SiteName,TestCity
SiteLongitude,-90.0000
SiteLatitude,35.0000
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,1.096e+16
2005-02-01,2005-02-28,1.166e+16
2005-03-01,2005-03-31,1.189e+16
2005-04-01,2005-04-30,1.158e+16
2005-05-01,2005-05-31,1.081e+16
2005-06-01,2005-06-30,9.773e+15
2005-07-01,2005-07-31,8.735e+15
2005-08-01,2005-08-31,7.965e+15
2005-09-01,2005-09-30,7.659e+15
2005-10-01,2005-10-31,7.889e+15
2005-11-01,2005-11-30,8.583e+15
2005-12-01,2005-12-31,9.545e+15
2006-01-01,2006-01-31,1.051e+16
2006-02-01,2006-02-28,1.12e+16
2006-03-01,2006-03-31,1.143e+16
2006-04-01,2006-04-30,1.113e+16
2006-05-01,2006-05-31,1.036e+16
2006-06-01,2006-06-30,9.318e+15
2006-07-01,2006-07-31,8.28e+15
2006-08-01,2006-08-31,7.51e+15
2006-09-01,2006-09-30,7.205e+15
2006-10-01,2006-10-31,7.435e+15
2006-11-01,2006-11-30,8.129e+15
2006-12-01,2006-12-31,9.091e+15
2007-01-01,2007-01-31,1.005e+16
2007-02-01,2007-02-28,1.075e+16
2007-03-01,2007-03-31,1.098e+16
2007-04-01,2007-04-30,1.067e+16
2007-05-01,2007-05-31,9.902e+15
2007-06-01,2007-06-30,8.864e+15
2007-07-01,2007-07-31,7.826e+15
2007-08-01,2007-08-31,7.056e+15
2007-09-01,2007-09-30,6.75e+15
2007-10-01,2007-10-31,6.98e+15
2007-11-01,2007-11-30,7.674e+15
2007-12-01,2007-12-31,8.636e+15
2008-01-01,2008-01-31,9.598e+15
2008-02-01,2008-02-29,1.029e+16
2008-03-01,2008-03-31,1.052e+16
2008-04-01,2008-04-30,1.022e+16
2008-05-01,2008-05-31,9.447e+15
2008-06-01,2008-06-30,8.409e+15
2008-07-01,2008-07-31,7.371e+15
2008-08-01,2008-08-31,6.601e+15
2008-09-01,2008-09-30,6.295e+15
2008-10-01,2008-10-31,6.526e+15
2008-11-01,2008-11-30,7.22e+15
2008-12-01,2008-12-31,8.182e+15
2009-01-01,2009-01-31,9.144e+15
2009-02-01,2009-02-28,9.838e+15
2009-03-01,2009-03-31,1.007e+16
2009-04-01,2009-04-30,9.762e+15
2009-05-01,2009-05-31,8.992e+15
2009-06-01,2009-06-30,7.955e+15
2009-07-01,2009-07-31,6.917e+15
2009-08-01,2009-08-31,6.147e+15
2009-09-01,2009-09-30,5.841e+15
2009-10-01,2009-10-31,6.071e+15
2009-11-01,2009-11-30,6.765e+15
2009-12-01,2009-12-31,7.727e+15
2010-01-01,2010-01-31,8.689e+15
2010-02-01,2010-02-28,9.384e+15
2010-03-01,2010-03-31,9.614e+15
2010-04-01,2010-04-30,9.308e+15
2010-05-01,2010-05-31,8.538e+15
2010-06-01,2010-06-30,7.5e+15
2010-07-01,2010-07-31,6.462e+15
2010-08-01,2010-08-31,5.692e+15
2010-09-01,2010-09-30,5.386e+15
2010-10-01,2010-10-31,5.616e+15
2010-11-01,2010-11-30,6.311e+15
2010-12-01,2010-12-31,7.273e+15
2011-01-01,2011-01-31,8.235e+15
2011-02-01,2011-02-28,8.929e+15
2011-03-01,2011-03-31,9.159e+15
2011-04-01,2011-04-30,8.853e+15
2011-05-01,2011-05-31,8.083e+15
2011-06-01,2011-06-30,7.045e+15
2011-07-01,2011-07-31,6.008e+15
2011-08-01,2011-08-31,5.238e+15
2011-09-01,2011-09-30,4.932e+15
2011-10-01,2011-10-31,5.162e+15
2011-11-01,2011-11-30,5.856e+15
2011-12-01,2011-12-31,6.818e+15
2012-01-01,2012-01-31,7.78e+15
2012-02-01,2012-02-29,8.474e+15
2012-03-01,2012-03-31,8.705e+15
2012-04-01,2012-04-30,8.399e+15
2012-05-01,2012-05-31,7.629e+15
2012-06-01,2012-06-30,6.591e+15
2012-07-01,2012-07-31,5.553e+15
2012-08-01,2012-08-31,4.783e+15
2012-09-01,2012-09-30,4.477e+15
2012-10-01,2012-10-31,4.707e+15
2012-11-01,2012-11-30,5.402e+15
2012-12-01,2012-12-31,6.364e+15
2013-01-01,2013-01-31,7.326e+15
2013-02-01,2013-02-28,8.02e+15
2013-03-01,2013-03-31,8.25e+15
2013-04-01,2013-04-30,7.944e+15
2013-05-01,2013-05-31,7.174e+15
2013-06-01,2013-06-30,6.136e+15
2013-07-01,2013-07-31,5.098e+15
2013-08-01,2013-08-31,4.329e+15
2013-09-01,2013-09-30,4.023e+15
2013-10-01,2013-10-31,4.253e+15
