ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,r,theta,BEHRSlantColumnAmountNO2Trop,ModelSCD
0,0,38.3484,-91.0495,NaN,NaN,NaN,NaN,NaN,NaN,1.631e-09,1.621e-09,1.516e-09,1.316e-09,1.234e-09,1.177e-09,1.119e-09,6.977e-10,4.961e-10,2.929e-10,9.988e-11,5.793e-11,4.848e-11,4.076e-11,3.205e-11,2.401e-11,1.544e-11,1.232e-11,1.302e-11,1.79e-11,2.482e-11,2.944e-11,2.278e-11,5.572e-11,1020,1015,1010,1005,1000,990,985.5,985,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.288,0.4728,0.4844,0.5079,0.5321,0.5685,0.6184,0.6829,0.7432,0.806,0.8717,0.9402,1.015,1.094,1.203,1.307,1.443,1.579,1.741,1.877,2.016,2.154,2.347,2.536,1.028,-145.8,1.54e+15,2.251e+15
1,0,38.4689,-91.0750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.228e-09,2.066e-09,1.833e-09,1.739e-09,1.658e-09,1.474e-09,7.196e-10,5.378e-10,3.138e-10,1.055e-10,5.906e-11,4.912e-11,4.102e-11,3.166e-11,2.356e-11,1.526e-11,1.226e-11,1.262e-11,1.699e-11,2.313e-11,2.966e-11,2.605e-11,5.544e-11,1020,1015,1010,1005,1000,990,988,986.5,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2694,0.5823,0.5966,0.619,0.6421,0.6769,0.7246,0.7862,0.8438,0.9037,0.9664,1.032,1.103,1.179,1.282,1.382,1.511,1.642,1.795,1.926,2.058,2.19,2.375,2.554,0.9882,-152.4,2.067e+15,3.102e+15
2,0,38.5894,-91.1006,NaN,NaN,NaN,NaN,NaN,NaN,2.099e-09,1.929e-09,1.758e-09,1.689e-09,1.658e-09,1.613e-09,1.163e-09,6.351e-10,5.369e-10,3.138e-10,1.37e-10,6.736e-11,5.09e-11,4.061e-11,3.033e-11,2.171e-11,1.4e-11,1.148e-11,1.185e-11,1.558e-11,2.097e-11,2.887e-11,2.899e-11,5.647e-11,1020,1015,1010,1005,1000,990,989.2,980,970,960,954,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3489,0.368,0.3893,0.4112,0.7299,0.7506,0.7969,0.8568,0.9125,0.9705,1.031,1.094,1.164,1.237,1.337,1.433,1.558,1.684,1.833,1.959,2.087,2.214,2.394,2.566,0.9623,-159.5,2.373e+15,2.878e+15
3,0,38.7100,-91.1261,NaN,NaN,NaN,NaN,NaN,NaN,1.318e-09,1.289e-09,1.267e-09,1.159e-09,1.106e-09,1.055e-09,7.487e-10,5.398e-10,4.54e-10,3.273e-10,1.546e-10,7.484e-11,5.31e-11,4.061e-11,3.01e-11,2.115e-11,1.377e-11,1.148e-11,1.176e-11,1.473e-11,1.936e-11,2.691e-11,2.976e-11,5.8e-11,1020,1015,1010,1005,1000,990,984.6,982,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2938,0.5473,0.5518,0.5747,0.5983,0.6338,0.6824,0.7452,0.804,0.8653,0.9294,0.9963,1.069,1.147,1.253,1.355,1.486,1.62,1.777,1.91,2.044,2.178,2.367,2.55,0.9518,-166.8,3.856e+15,2.175e+15
4,0,38.8306,-91.1517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.51e-09,1.464e-09,1.274e-09,1.165e-09,1.09e-09,8.536e-10,6.498e-10,4.997e-10,3.832e-10,1.834e-10,8.46e-11,5.448e-11,3.946e-11,2.941e-11,2.101e-11,1.414e-11,1.199e-11,1.216e-11,1.458e-11,1.835e-11,2.477e-11,3.227e-11,6.265e-11,1020,1015,1010,1005,1000,990,983,982.4,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2625,0.5971,0.6025,0.6249,0.6479,0.6826,0.7302,0.7916,0.8493,0.9093,0.9721,1.038,1.109,1.185,1.289,1.389,1.518,1.648,1.802,1.932,2.063,2.195,2.38,2.558,0.9572,-174.2,3.596e+15,2.485e+15
5,0,38.9512,-91.1774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.464e-09,1.405e-09,1.288e-09,1.217e-09,1.162e-09,9.237e-10,7.062e-10,5.267e-10,4.081e-10,1.985e-10,7.952e-11,5.144e-11,3.853e-11,2.899e-11,2.097e-11,1.425e-11,1.201e-11,1.206e-11,1.431e-11,1.752e-11,2.341e-11,3.48e-11,6.715e-11,1020,1015,1010,1005,1000,990,985,984.9,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3729,0.7793,0.7893,0.81,0.8312,0.8633,0.9072,0.964,1.017,1.072,1.13,1.19,1.256,1.326,1.422,1.513,1.632,1.751,1.892,2.012,2.133,2.254,2.425,2.587,0.9783,178.6,2.965e+15,3.152e+15
6,0,39.0717,-91.2031,NaN,NaN,NaN,NaN,NaN,NaN,1.474e-09,1.472e-09,1.403e-09,1.288e-09,1.232e-09,1.179e-09,9.953e-10,7.143e-10,5.45e-10,4.234e-10,1.616e-10,6.385e-11,4.717e-11,3.78e-11,2.894e-11,2.106e-11,1.433e-11,1.194e-11,1.198e-11,1.392e-11,1.668e-11,2.248e-11,3.774e-11,7.236e-11,1020,1015,1010,1005,1000,990,986.1,986,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.4136,0.6738,0.6867,0.7084,0.7307,0.7644,0.8106,0.8702,0.926,0.984,1.045,1.108,1.177,1.25,1.351,1.447,1.571,1.697,1.844,1.969,2.096,2.223,2.401,2.572,1.014,171.8,3.313e+15,2.929e+15
7,0,39.1922,-91.2288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.417e-09,1.365e-09,1.236e-09,1.159e-09,1.1e-09,9.785e-10,6.762e-10,4.804e-10,3.689e-10,9.987e-11,5.356e-11,4.526e-11,3.814e-11,2.942e-11,2.13e-11,1.455e-11,1.193e-11,1.19e-11,1.299e-11,1.522e-11,2.024e-11,3.937e-11,7.819e-11,1020,1015,1010,1005,1000,990,988,984.1,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2845,0.7012,0.7101,0.7316,0.7536,0.7869,0.8326,0.8916,0.9468,1.004,1.064,1.127,1.196,1.269,1.368,1.463,1.586,1.71,1.857,1.98,2.105,2.231,2.408,2.577,1.063,165.6,1.687e+15,2.776e+15
8,0,39.3127,-91.2545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.482e-09,1.459e-09,1.333e-09,1.251e-09,1.189e-09,1.089e-09,7.451e-10,4.849e-10,3.649e-10,1.057e-10,5.192e-11,4.465e-11,3.795e-11,2.939e-11,2.103e-11,1.43e-11,1.18e-11,1.174e-11,1.246e-11,1.481e-11,1.979e-11,3.986e-11,8.114e-11,1020,1015,1010,1005,1000,990,983,981.8,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.361,0.7907,0.7944,0.8151,0.8363,0.8683,0.9122,0.969,1.022,1.078,1.135,1.196,1.262,1.332,1.428,1.52,1.638,1.758,1.898,2.017,2.138,2.259,2.43,2.591,1.123,159.9,2.166e+15,3.102e+15
9,0,39.4332,-91.2803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.103e-09,1.911e-09,1.665e-09,1.569e-09,1.472e-09,1.335e-09,8.611e-10,5.655e-10,3.913e-10,1.137e-10,5.114e-11,4.393e-11,3.735e-11,2.889e-11,2.029e-11,1.39e-11,1.16e-11,1.131e-11,1.19e-11,1.45e-11,1.902e-11,3.968e-11,8.415e-11,1020,1015,1010,1005,1000,990,987,985.9,980,970,960,945,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2504,0.6288,0.6416,0.6639,0.6867,0.7211,0.7683,0.8294,0.8865,0.9459,1.008,1.073,1.144,1.219,1.322,1.421,1.548,1.676,1.827,1.954,2.083,2.213,2.395,2.569,1.194,154.9,5.894e+14,3.214e+15
