ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,r,theta,BEHRSlantColumnAmountNO2Trop,ModelSCD
0,0,38.2418,-90.6574,NaN,NaN,NaN,NaN,NaN,NaN,1.597e-09,1.52e-09,1.413e-09,1.37e-09,1.326e-09,1.273e-09,9.42e-10,8.347e-10,6.297e-10,9.226e-11,5.511e-11,4.598e-11,3.89e-11,3.048e-11,2.295e-11,1.822e-11,1.459e-11,1.132e-11,1.304e-11,1.806e-11,2.662e-11,2.873e-11,1.997e-11,5.404e-11,1020,1015,1010,1005,1000,990,986.6,980,970,960,945,925,900,875,850,825,800,770,740,700,660,634,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2102,0.2198,0.2347,0.25,0.273,0.3046,0.3454,0.3838,0.4239,0.4658,0.5095,0.5566,0.6064,0.6745,0.7396,1.518,1.561,1.648,1.749,1.835,1.922,2.008,2.127,2.236,0.8242,-123.8,1.02e+15,1.528e+15
1,0,38.3618,-90.6927,NaN,NaN,NaN,NaN,NaN,NaN,2.14e-09,2.054e-09,1.949e-09,1.9e-09,1.845e-09,1.778e-09,1.111e-09,9.923e-10,7.99e-10,1.131e-10,6.13e-11,4.884e-11,4.021e-11,3.06e-11,2.355e-11,1.917e-11,1.521e-11,1.181e-11,1.287e-11,1.732e-11,2.596e-11,3.01e-11,2.173e-11,5.475e-11,1020,1015,1010,1005,1000,990,987.5,980,970,960,945,925,900,875,850,825,800,770,740,700,660,636,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.214,0.225,0.2399,0.2553,0.2785,0.3102,0.3512,0.3897,0.4298,0.4717,0.5155,0.5627,0.6124,0.6806,0.7457,1.517,1.563,1.649,1.75,1.837,1.924,2.009,2.129,2.237,0.7502,-131.1,6.054e+14,1.893e+15
2,0,38.4817,-90.7281,NaN,NaN,NaN,NaN,NaN,NaN,3.358e-09,2.976e-09,2.619e-09,2.518e-09,2.419e-09,2.246e-09,1.145e-09,9.331e-10,5.988e-10,1.404e-10,7.041e-11,5.431e-11,4.308e-11,3.06e-11,2.533e-11,2.374e-11,1.546e-11,1.207e-11,1.262e-11,1.674e-11,2.477e-11,3.147e-11,2.511e-11,5.736e-11,1020,1015,1010,1005,1000,990,989.4,980,970,960,945,925,900,875,850,825,800,770,740,700,670,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2376,0.2514,0.2665,0.282,0.3054,0.3375,0.379,0.4171,0.4569,0.4984,0.5418,0.5886,0.638,0.7056,1.47,1.487,1.572,1.658,1.757,1.843,1.929,2.014,2.132,2.239,0.6912,-139.9,1.935e+15,2.336e+15
3,0,38.6016,-90.7635,NaN,NaN,NaN,NaN,NaN,NaN,3.196e-09,2.9e-09,2.604e-09,2.505e-09,2.398e-09,2.075e-09,9.972e-10,8.054e-10,4.787e-10,1.601e-10,7.195e-11,5.111e-11,3.952e-11,2.85e-11,2.177e-11,1.602e-11,1.415e-11,1.121e-11,1.194e-11,1.593e-11,2.284e-11,3.185e-11,3.16e-11,6.094e-11,1020,1015,1010,1005,1000,990,988.8,980,970,960,945,925,900,875,850,825,800,770,740,700,660,624,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.2658,0.2801,0.2967,0.3138,0.3396,0.3749,0.4206,0.4626,0.5064,0.5521,0.5999,0.6515,0.7059,0.7804,0.8513,1.469,1.497,1.59,1.699,1.791,1.884,1.976,2.104,2.221,0.6512,-150,1.617e+15,2.398e+15
4,0,38.7214,-90.7990,NaN,NaN,NaN,NaN,NaN,NaN,2.632e-09,2.353e-09,2.029e-09,1.912e-09,1.792e-09,1.064e-09,7.914e-10,7.053e-10,5.487e-10,2.252e-10,8.891e-11,5.369e-11,3.904e-11,2.844e-11,2.08e-11,2.045e-11,1.345e-11,1.084e-11,1.147e-11,1.501e-11,2.091e-11,3.144e-11,3.612e-11,6.559e-11,1020,1015,1010,1005,1000,990,987.4,980,970,960,945,925,900,875,850,825,800,770,740,700,660,658,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3104,0.3222,0.3384,0.355,0.3802,0.4146,0.4592,0.5002,0.543,0.5877,0.6343,0.6847,0.7378,0.8106,0.8799,1.431,1.518,1.609,1.715,1.805,1.896,1.986,2.111,2.226,0.6339,-161.1,2.104e+15,2.155e+15
5,0,38.8413,-90.8346,NaN,NaN,NaN,NaN,NaN,2.905e-09,2.885e-09,2.382e-09,1.993e-09,1.859e-09,1.716e-09,1.024e-09,9e-10,7.964e-10,5.665e-10,2.849e-10,1.122e-10,5.755e-11,3.922e-11,3.133e-11,2.871e-11,2.046e-11,1.334e-11,1.115e-11,1.165e-11,1.461e-11,1.966e-11,2.983e-11,3.69e-11,6.847e-11,1020,1015,1010,1005,1000,990.4,990,980,970,960,945,925,900,875,850,825,800,770,740,711,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.3609,0.3616,0.377,0.3928,0.409,0.4335,0.4671,0.5105,0.5504,0.5918,0.6352,0.6805,0.7295,0.781,1.367,1.388,1.456,1.544,1.632,1.735,1.823,1.911,1.998,2.12,2.231,0.6409,-172.3,1.178e+15,2.527e+15
6,0,38.9610,-90.8703,NaN,NaN,NaN,NaN,NaN,2.104e-09,2.083e-09,1.869e-09,1.709e-09,1.645e-09,1.575e-09,1.026e-09,9.223e-10,8.01e-10,6.346e-10,3.469e-10,1.184e-10,5.66e-11,3.805e-11,2.75e-11,2.159e-11,1.964e-11,1.304e-11,1.122e-11,1.183e-11,1.437e-11,1.866e-11,2.847e-11,3.786e-11,7.078e-11,1020,1015,1010,1005,1000,991,990,980,970,960,945,925,900,875,850,825,800,770,740,700,671,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,0.3734,0.375,0.3905,0.4063,0.4226,0.4472,0.4809,0.5245,0.5645,0.6061,0.6497,0.6951,0.7442,0.796,0.8669,1.437,1.457,1.545,1.633,1.736,1.823,1.911,1.999,2.121,2.232,0.6717,177.1,1.113e+15,2.486e+15
7,0,39.0809,-90.9060,NaN,NaN,NaN,NaN,NaN,NaN,1.856e-09,1.75e-09,1.601e-09,1.545e-09,1.483e-09,1.278e-09,9.586e-10,7.843e-10,6.396e-10,2.541e-10,7.537e-11,4.885e-11,3.703e-11,2.742e-11,2.448e-11,1.971e-11,1.316e-11,1.143e-11,1.222e-11,1.429e-11,1.796e-11,2.669e-11,3.99e-11,7.401e-11,1020,1015,1010,1005,1000,990,986.2,980,970,960,945,925,900,875,850,825,800,770,740,700,686,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3207,0.3308,0.3472,0.364,0.3895,0.4243,0.4694,0.511,0.5544,0.5997,0.647,0.6982,0.7521,0.8261,1.374,1.421,1.513,1.605,1.712,1.803,1.894,1.985,2.112,2.227,0.7232,167.7,1.469e+15,2.162e+15
8,0,39.2007,-90.9419,NaN,NaN,NaN,NaN,NaN,NaN,1.961e-09,1.848e-09,1.677e-09,1.609e-09,1.545e-09,1.39e-09,9.545e-10,7.525e-10,5.914e-10,1.482e-10,6.035e-11,4.532e-11,3.646e-11,2.989e-11,2.766e-11,1.99e-11,1.318e-11,1.109e-11,1.175e-11,1.313e-11,1.635e-11,2.418e-11,4.082e-11,7.622e-11,1020,1015,1010,1005,1000,990,985.9,980,970,960,945,925,900,875,850,825,800,770,740,711,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3466,0.3561,0.3725,0.3893,0.4147,0.4495,0.4945,0.5361,0.5793,0.6246,0.6719,0.723,0.7769,1.332,1.353,1.424,1.516,1.607,1.714,1.805,1.896,1.987,2.113,2.228,0.7913,159.8,1.328e+15,2.239e+15
9,0,39.3205,-90.9778,NaN,NaN,NaN,NaN,NaN,NaN,2.408e-09,2.301e-09,2.161e-09,2.063e-09,1.943e-09,1.743e-09,1.179e-09,8.371e-10,5.702e-10,1.092e-10,5.112e-11,4.191e-11,3.549e-11,2.896e-11,2.811e-11,2.001e-11,1.332e-11,1.097e-11,1.139e-11,1.205e-11,1.501e-11,2.198e-11,4.147e-11,7.939e-11,1020,1015,1010,1005,1000,990,987.4,980,970,960,945,925,900,875,850,825,800,770,740,705,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3437,0.3557,0.3723,0.3892,0.4149,0.4501,0.4956,0.5375,0.5812,0.6269,0.6747,0.7263,0.7807,1.337,1.347,1.418,1.51,1.603,1.711,1.802,1.893,1.984,2.112,2.227,0.8722,153.2,1.443e+15,2.572e+15
