ArrayShape,11,5
AlongTrackInd,AcrossTrackInd,Latitude,Longitude,AMFStrat,AMFTrop,BEHRAMFTrop,BEHRAMFTropVisOnly,BEHRAvgKernels-00,BEHRAvgKernels-01,BEHRAvgKernels-02,BEHRAvgKernels-03,BEHRAvgKernels-04,BEHRAvgKernels-05,BEHRAvgKernels-06,BEHRAvgKernels-07,BEHRAvgKernels-08,BEHRAvgKernels-09,BEHRAvgKernels-10,BEHRAvgKernels-11,BEHRAvgKernels-12,BEHRAvgKernels-13,BEHRAvgKernels-14,BEHRAvgKernels-15,BEHRAvgKernels-16,BEHRAvgKernels-17,BEHRAvgKernels-18,BEHRAvgKernels-19,BEHRAvgKernels-20,BEHRAvgKernels-21,BEHRAvgKernels-22,BEHRAvgKernels-23,BEHRAvgKernels-24,BEHRAvgKernels-25,BEHRAvgKernels-26,BEHRAvgKernels-27,BEHRAvgKernels-28,BEHRAvgKernels-29,BEHRColumnAmountNO2Trop,BEHRColumnAmountNO2TropVisOnly,BEHRNO2apriori-00,BEHRNO2apriori-01,BEHRNO2apriori-02,BEHRNO2apriori-03,BEHRNO2apriori-04,BEHRNO2apriori-05,BEHRNO2apriori-06,BEHRNO2apriori-07,BEHRNO2apriori-08,BEHRNO2apriori-09,BEHRNO2apriori-10,BEHRNO2apriori-11,BEHRNO2apriori-12,BEHRNO2apriori-13,BEHRNO2apriori-14,BEHRNO2apriori-15,BEHRNO2apriori-16,BEHRNO2apriori-17,BEHRNO2apriori-18,BEHRNO2apriori-19,BEHRNO2apriori-20,BEHRNO2apriori-21,BEHRNO2apriori-22,BEHRNO2apriori-23,BEHRNO2apriori-24,BEHRNO2apriori-25,BEHRNO2apriori-26,BEHRNO2apriori-27,BEHRNO2apriori-28,BEHRNO2apriori-29,BEHRPressureLevels-00,BEHRPressureLevels-01,BEHRPressureLevels-02,BEHRPressureLevels-03,BEHRPressureLevels-04,BEHRPressureLevels-05,BEHRPressureLevels-06,BEHRPressureLevels-07,BEHRPressureLevels-08,BEHRPressureLevels-09,BEHRPressureLevels-10,BEHRPressureLevels-11,BEHRPressureLevels-12,BEHRPressureLevels-13,BEHRPressureLevels-14,BEHRPressureLevels-15,BEHRPressureLevels-16,BEHRPressureLevels-17,BEHRPressureLevels-18,BEHRPressureLevels-19,BEHRPressureLevels-20,BEHRPressureLevels-21,BEHRPressureLevels-22,BEHRPressureLevels-23,BEHRPressureLevels-24,BEHRPressureLevels-25,BEHRPressureLevels-26,BEHRPressureLevels-27,BEHRPressureLevels-28,BEHRPressureLevels-29,BEHRScatteringWeights-00,BEHRScatteringWeights-01,BEHRScatteringWeights-02,BEHRScatteringWeights-03,BEHRScatteringWeights-04,BEHRScatteringWeights-05,BEHRScatteringWeights-06,BEHRScatteringWeights-07,BEHRScatteringWeights-08,BEHRScatteringWeights-09,BEHRScatteringWeights-10,BEHRScatteringWeights-11,BEHRScatteringWeights-12,BEHRScatteringWeights-13,BEHRScatteringWeights-14,BEHRScatteringWeights-15,BEHRScatteringWeights-16,BEHRScatteringWeights-17,BEHRScatteringWeights-18,BEHRScatteringWeights-19,BEHRScatteringWeights-20,BEHRScatteringWeights-21,BEHRScatteringWeights-22,BEHRScatteringWeights-23,BEHRScatteringWeights-24,BEHRScatteringWeights-25,BEHRScatteringWeights-26,BEHRScatteringWeights-27,BEHRScatteringWeights-28,BEHRScatteringWeights-29,CloudFraction,CloudPressure,CloudRadianceFraction,ColumnAmountNO2,ColumnAmountNO2Strat,ColumnAmountNO2Trop,ColumnAmountNO2TropStd,GLOBETerpres,Latcorn-00,Latcorn-01,Latcorn-02,Latcorn-03,Loncorn-00,Loncorn-01,Loncorn-02,Loncorn-03,MODISAlbedo,MODISCloud,RelativeAzimuthAngle,Row,SlantColumnAmountNO2,SolarAzimuthAngle,SolarZenithAngle,Swath,TerrainHeight,TerrainPressure,TerrainReflectivity,Time,ViewingAzimuthAngle,ViewingZenithAngle,XTrackQualityFlags,vcdQualityFlags
0,0,38.3014,-91.8472,2.704,1.29,0.984,0.9889,1.016e-30,1.016e-30,1.016e-30,1.016e-30,1.016e-30,1.016e-30,1.016e-30,0.3394,0.3648,0.3915,0.4316,0.4548,0.5073,0.5786,0.6465,0.7173,0.7914,0.8689,0.9543,1.045,1.169,1.291,1.449,1.61,1.803,1.964,2.128,2.29,2.518,2.751,NaN,NaN,1.135e-09,1.097e-09,1.059e-09,1.02e-09,9.821e-10,9.055e-10,8.289e-10,8.273e-10,7.523e-10,6.903e-10,6.498e-10,6.477e-10,6.084e-10,4.886e-10,3.124e-10,2.184e-10,1.502e-10,9.83e-11,7.556e-11,6.243e-11,5.481e-11,4.802e-11,3.652e-11,3.188e-11,4.045e-11,5.252e-11,6.953e-11,4.023e-11,7.681e-11,2.399e-10,1020,1015,1010,1005,1000,990,980,979.8,970,960,945,944,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.334,0.359,0.3852,0.4247,0.4475,0.4992,0.5694,0.6362,0.7059,0.7788,0.855,0.9391,1.028,1.15,1.27,1.426,1.584,1.774,1.933,2.094,2.254,2.477,2.707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,979.8,38.22,38.21,38.39,38.38,-92.16,-91.47,-91.5,-92.19,0.02426,0.056,158.3,53,NaN,-113.8,28.19,4.214e+04,214,986,0.037,6.14e+08,-92.07,51.89,49,0
1,0,38.4218,-91.8689,2.704,1.284,0.9558,0.9558,1.046e-30,1.046e-30,1.046e-30,1.046e-30,1.046e-30,1.046e-30,0.3519,0.3618,0.3887,0.4163,0.458,0.5151,0.5488,0.5917,0.6618,0.7349,0.8114,0.8913,0.9795,1.073,1.201,1.327,1.49,1.656,1.855,2.021,2.19,2.358,2.592,2.832,NaN,NaN,1.14e-09,1.101e-09,1.062e-09,1.022e-09,9.834e-10,9.054e-10,8.556e-10,8.273e-10,7.5e-10,7.004e-10,6.641e-10,6.246e-10,5.553e-10,4.77e-10,3.438e-10,2.257e-10,1.491e-10,9.668e-11,7.466e-11,6.253e-11,5.523e-11,4.947e-11,3.766e-11,3.216e-11,4.021e-11,5.456e-11,7.229e-11,3.99e-11,7.019e-11,2.442e-10,1020,1015,1010,1005,1000,990,983.7,980,970,960,945,925,914,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3363,0.3458,0.3715,0.3979,0.4377,0.4923,0.5246,0.5655,0.6325,0.7023,0.7755,0.8519,0.9362,1.025,1.148,1.268,1.424,1.583,1.773,1.932,2.093,2.253,2.477,2.707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,983.7,38.34,38.33,38.51,38.5,-92.18,-91.49,-91.53,-92.21,0.02443,0.03368,158.1,53,NaN,-114,28.23,4.214e+04,205,987,0.037,6.14e+08,-92.06,51.89,49,0
2,0,38.5422,-91.8905,2.704,1.29,0.9485,0.9485,1.054e-30,1.054e-30,1.054e-30,1.054e-30,1.054e-30,1.054e-30,0.3511,0.3654,0.3925,0.4204,0.4624,0.52,0.5687,0.6,0.6705,0.7441,0.8212,0.9017,0.9906,1.084,1.214,1.34,1.505,1.672,1.872,2.039,2.21,2.378,2.614,2.856,NaN,NaN,1.39e-09,1.323e-09,1.256e-09,1.189e-09,1.121e-09,9.868e-10,9.223e-10,8.522e-10,7.231e-10,6.685e-10,6.281e-10,5.893e-10,5.34e-10,4.997e-10,3.883e-10,2.333e-10,1.488e-10,9.186e-11,7.213e-11,6.212e-11,5.542e-11,5.068e-11,3.866e-11,3.229e-11,4.001e-11,5.901e-11,7.63e-11,3.949e-11,6.368e-11,2.509e-10,1020,1015,1010,1005,1000,990,985.4,980,970,960,945,925,910,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.333,0.3466,0.3723,0.3987,0.4386,0.4932,0.5394,0.5691,0.636,0.7058,0.7789,0.8553,0.9396,1.029,1.152,1.271,1.427,1.586,1.776,1.934,2.096,2.256,2.48,2.709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,985.4,38.46,38.45,38.63,38.62,-92.2,-91.52,-91.55,-92.23,0.02414,0.006667,157.8,53,NaN,-114.2,28.27,4.214e+04,227,985,0.038,6.14e+08,-92.06,51.89,49,0
3,0,38.6627,-91.9121,2.705,1.29,0.9289,0.9289,1.077e-30,1.077e-30,1.077e-30,1.077e-30,1.077e-30,1.077e-30,0.3438,0.3602,0.3881,0.4167,0.4599,0.5192,0.5958,0.6561,0.6684,0.744,0.8232,0.9061,0.9975,1.094,1.227,1.357,1.526,1.698,1.904,2.076,2.25,2.424,2.667,2.914,NaN,NaN,1.616e-09,1.53e-09,1.444e-09,1.358e-09,1.272e-09,1.101e-09,1.028e-09,9.287e-10,7.647e-10,7.005e-10,6.478e-10,5.943e-10,5.161e-10,4.174e-10,4.006e-10,2.448e-10,1.494e-10,8.877e-11,7.134e-11,6.236e-11,5.556e-11,5.13e-11,3.919e-11,3.235e-11,4.03e-11,6.467e-11,8.086e-11,3.909e-11,6.111e-11,2.59e-10,1020,1015,1010,1005,1000,990,986,980,970,960,945,925,900,879,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3194,0.3346,0.3604,0.3871,0.4272,0.4822,0.5535,0.6094,0.6208,0.6911,0.7647,0.8416,0.9265,1.016,1.14,1.26,1.417,1.577,1.768,1.928,2.09,2.251,2.477,2.707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,986,38.58,38.57,38.75,38.74,-92.22,-91.54,-91.57,-92.25,0.02248,0.008,157.6,53,NaN,-114.4,28.31,4.214e+04,183,990,0.038,6.14e+08,-92.05,51.89,49,0
4,0,38.7831,-91.9338,2.705,1.294,0.9652,0.9912,1.036e-30,1.036e-30,1.036e-30,1.036e-30,1.036e-30,1.036e-30,0.3284,0.3347,0.3611,0.3883,0.4292,0.4854,0.558,0.6271,0.6991,0.7745,0.8155,0.8917,0.979,1.071,1.199,1.323,1.484,1.649,1.846,2.009,2.176,2.342,2.574,2.81,NaN,NaN,1.398e-09,1.331e-09,1.263e-09,1.195e-09,1.128e-09,9.922e-10,8.876e-10,8.568e-10,7.23e-10,6.435e-10,5.953e-10,5.517e-10,4.85e-10,3.943e-10,2.668e-10,1.521e-10,1.489e-10,8.772e-11,7.18e-11,6.244e-11,5.506e-11,5.106e-11,3.966e-11,3.211e-11,4.101e-11,7.287e-11,8.73e-11,3.838e-11,6.172e-11,2.544e-10,1020,1015,1010,1005,1000,990,982.4,980,970,960,945,925,900,875,850,825,824,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.317,0.3231,0.3485,0.3748,0.4143,0.4684,0.5386,0.6053,0.6748,0.7476,0.7871,0.8606,0.945,1.034,1.157,1.277,1.432,1.592,1.781,1.939,2.1,2.26,2.485,2.712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,982.4,38.7,38.69,38.87,38.86,-92.24,-91.56,-91.59,-92.27,0.02261,0.04,157.4,53,NaN,-114.7,28.35,4.214e+04,245,982,0.038,6.14e+08,-92.05,51.89,49,0
5,0,38.9036,-91.9555,2.707,1.31,0.9743,1.068,1.026e-30,1.026e-30,1.026e-30,1.026e-30,1.026e-30,1.026e-30,0.342,0.3441,0.369,0.3946,0.4332,0.4861,0.5546,0.6198,0.6878,0.8347,0.9015,0.9769,1.06,1.148,1.27,1.388,1.542,1.699,1.887,2.043,2.202,2.36,2.581,2.805,NaN,NaN,1.92e-09,1.813e-09,1.707e-09,1.601e-09,1.495e-09,1.282e-09,1.086e-09,1.07e-09,8.573e-10,7.146e-10,6.469e-10,5.951e-10,5.116e-10,4.141e-10,2.856e-10,2.718e-10,1.523e-10,8.573e-11,7.18e-11,6.258e-11,5.453e-11,5.09e-11,4.034e-11,3.215e-11,4.115e-11,7.688e-11,9.021e-11,3.762e-11,6.374e-11,2.545e-10,1020,1015,1010,1005,1000,990,980.8,980,970,960,945,925,900,875,850,848,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3332,0.3353,0.3595,0.3844,0.422,0.4736,0.5404,0.6039,0.6701,0.8133,0.8783,0.9518,1.033,1.119,1.237,1.352,1.502,1.655,1.838,1.99,2.145,2.299,2.515,2.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,980.8,38.82,38.81,38.99,38.98,-92.27,-91.58,-91.61,-92.3,0.02613,0.3179,157.2,53,NaN,-114.9,28.39,4.214e+04,243,983,0.038,6.14e+08,-92.04,51.89,49,0
6,0,39.0240,-91.9771,2.707,1.364,0.9912,0.9912,1.009e-30,1.009e-30,1.009e-30,1.009e-30,1.009e-30,1.009e-30,1.009e-30,0.3869,0.4107,0.437,0.4767,0.5282,0.5311,0.6016,0.6687,0.7386,0.8119,0.8885,0.9731,1.063,1.186,1.306,1.462,1.621,1.811,1.969,2.13,2.29,2.515,2.742,NaN,NaN,2.14e-09,2.018e-09,1.895e-09,1.772e-09,1.649e-09,1.404e-09,1.158e-09,1.14e-09,9.129e-10,7.367e-10,6.592e-10,6.065e-10,6.039e-10,5.234e-10,4.298e-10,3.02e-10,1.55e-10,8.472e-11,7.195e-11,6.278e-11,5.396e-11,5.061e-11,4.122e-11,3.251e-11,4.079e-11,8.091e-11,9.27e-11,3.671e-11,6.587e-11,2.52e-10,1020,1015,1010,1005,1000,990,980,979.3,970,960,945,926,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3835,0.4071,0.4332,0.4725,0.5236,0.5265,0.5963,0.6628,0.7321,0.8048,0.8807,0.9646,1.053,1.176,1.294,1.449,1.607,1.796,1.952,2.112,2.27,2.493,2.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,979.3,38.94,38.93,39.11,39.1,-92.29,-91.6,-91.63,-92.32,0.02979,0.324,156.9,53,NaN,-115.1,28.43,4.214e+04,265,980,0.077,6.14e+08,-92.03,51.89,49,0
7,0,39.1445,-91.9988,2.708,1.365,1.009,1.009,9.909e-31,9.909e-31,9.909e-31,9.909e-31,9.909e-31,9.909e-31,9.909e-31,0.3925,0.4157,0.4414,0.4803,0.5279,0.5336,0.6026,0.6682,0.7367,0.8084,0.8834,0.9663,1.054,1.175,1.292,1.445,1.601,1.787,1.941,2.098,2.255,2.475,2.696,NaN,NaN,2.251e-09,2.118e-09,1.985e-09,1.852e-09,1.72e-09,1.454e-09,1.188e-09,1.166e-09,9.224e-10,7.195e-10,6.34e-10,5.831e-10,5.776e-10,5.269e-10,4.146e-10,2.903e-10,1.476e-10,8.381e-11,7.173e-11,6.248e-11,5.331e-11,5.039e-11,4.303e-11,3.357e-11,3.939e-11,8.658e-11,9.563e-11,3.595e-11,6.681e-11,2.458e-10,1020,1015,1010,1005,1000,990,980,979.2,970,960,945,927,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3961,0.4195,0.4455,0.4847,0.5328,0.5384,0.6081,0.6743,0.7434,0.8158,0.8915,0.9751,1.064,1.185,1.304,1.458,1.615,1.803,1.959,2.117,2.276,2.498,2.721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,979.2,39.07,39.05,39.23,39.23,-92.31,-91.62,-91.65,-92.34,0.03127,0.3911,156.7,53,NaN,-115.3,28.47,4.214e+04,262,980,0.077,6.14e+08,-92.03,51.89,49,0
8,0,39.2649,-92.0204,2.708,1.315,1.064,1.074,9.399e-31,9.399e-31,9.399e-31,9.399e-31,9.399e-31,9.399e-31,0.3897,0.3909,0.4142,0.4382,0.4744,0.5478,0.5504,0.6149,0.6762,0.74,0.807,0.877,0.9543,1.036,1.149,1.258,1.401,1.546,1.72,1.863,2.01,2.156,2.361,2.566,NaN,NaN,1.91e-09,1.8e-09,1.689e-09,1.579e-09,1.469e-09,1.248e-09,1.037e-09,1.027e-09,8.07e-10,6.551e-10,5.893e-10,5.439e-10,5.416e-10,4.893e-10,3.679e-10,2.314e-10,1.452e-10,8.096e-11,6.98e-11,6.147e-11,5.328e-11,5.061e-11,4.442e-11,3.428e-11,3.795e-11,9.134e-11,9.804e-11,3.779e-11,6.531e-11,2.433e-10,1020,1015,1010,1005,1000,990,980.5,980,970,960,945,926,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.4147,0.4159,0.4407,0.4662,0.5047,0.5828,0.5856,0.6543,0.7194,0.7874,0.8586,0.933,1.015,1.102,1.222,1.339,1.49,1.645,1.83,1.983,2.138,2.294,2.512,2.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,980.5,39.19,39.17,39.35,39.35,-92.33,-91.64,-91.67,-92.36,0.03407,0.48,156.5,53,NaN,-115.5,28.51,4.214e+04,251,982,0.066,6.14e+08,-92.02,51.89,49,0
9,0,39.3853,-92.0421,2.708,1.307,1.041,1.041,9.61e-31,9.61e-31,9.61e-31,9.61e-31,9.61e-31,9.61e-31,0.3743,0.3796,0.4039,0.4289,0.4667,0.505,0.5186,0.5858,0.6495,0.716,0.7856,0.8585,0.939,1.024,1.142,1.256,1.404,1.555,1.736,1.885,2.037,2.19,2.403,2.617,NaN,NaN,1.606e-09,1.52e-09,1.434e-09,1.348e-09,1.263e-09,1.091e-09,9.538e-10,9.19e-10,7.492e-10,6.504e-10,6.002e-10,5.686e-10,5.583e-10,4.662e-10,3.344e-10,2.133e-10,1.231e-10,8.057e-11,6.97e-11,6.181e-11,5.39e-11,5.181e-11,4.542e-11,3.426e-11,3.81e-11,1.027e-10,1.038e-10,4.194e-11,6.418e-11,2.256e-10,1020,1015,1010,1005,1000,990,982.2,980,970,960,945,930,925,900,875,850,825,800,770,740,700,660,610,560,500,450,400,350,280,200,1e-30,1e-30,1e-30,1e-30,1e-30,1e-30,0.3895,0.395,0.4203,0.4464,0.4857,0.5255,0.5397,0.6096,0.6759,0.745,0.8175,0.8934,0.9772,1.066,1.188,1.307,1.461,1.618,1.806,1.962,2.12,2.279,2.501,2.723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,982.2,39.31,39.29,39.47,39.47,-92.36,-91.66,-91.69,-92.39,0.03066,0.422,156.3,53,NaN,-115.7,28.56,4.214e+04,229,984,0.066,6.14e+08,-92.02,51.89,49,0
