Longitude,Latitude
-88.2000,34.9955
-88.2029,35.0079
-87.9849,35.0058
-87.6061,35.0034
-87.2232,34.9992
-87.2107,34.9989
-86.8364,34.9917
-86.7836,34.9918
-86.3188,34.9911
-86.3113,34.9910
-85.8653,34.9882
-85.6052,34.9846
-85.5832,34.8603
-85.5341,34.6238
-85.5273,34.5886
-85.5138,34.5241
-85.4622,34.2863
-85.4219,34.0807
-85.3989,33.9640
-85.3866,33.9016
-85.3383,33.6530
-85.3045,33.4828
-85.2939,33.4280
-85.2366,33.1294
-85.2324,33.1080
-85.1842,32.8704
-85.1845,32.8612
-85.1794,32.8551
-85.1688,32.8525
-85.1620,32.8563
-85.1535,32.8447
-85.1546,32.8397
-85.1606,32.8381
-85.1684,32.8284
-85.1649,32.8197
-85.1680,32.8115
-85.1521,32.7940
-85.1464,32.7914
-85.1423,32.7920
-85.1397,32.7850
-85.1263,32.7791
-85.1224,32.7743
-85.1309,32.7694
-85.1367,32.7710
-85.1375,32.7671
-85.1429,32.7620
-85.1351,32.7464
-85.1283,32.7421
-85.1168,32.7398
-85.1134,32.7356
-85.1228,32.7159
-85.1182,32.7093
-85.1201,32.7064
-85.1153,32.6872
-85.0936,32.6696
-85.0890,32.6564
-85.0996,32.6510
-85.1054,32.6434
-85.0990,32.6368
-85.1002,32.6344
-85.0963,32.6347
-85.0967,32.6361
-85.0901,32.6339
-85.0832,32.6360
-85.0839,32.6318
-85.0910,32.6256
-85.0823,32.6161
-85.0808,32.6079
-85.0779,32.5974
-85.0676,32.5794
-85.0608,32.5771
-85.0570,32.5711
-85.0455,32.5616
-85.0437,32.5564
-85.0391,32.5557
-85.0350,32.5520
-85.0315,32.5440
-85.0209,32.5426
-85.0203,32.5346
-85.0153,32.5310
-85.0145,32.5264
-85.0072,32.5237
-85.0011,32.5103
-84.9999,32.5042
-84.9966,32.5015
-84.9989,32.4969
-84.9949,32.4859
-84.9953,32.4751
-84.9986,32.4686
-84.9954,32.4531
-84.9839,32.4455
-84.9719,32.4427
-84.9631,32.4241
-84.9795,32.4121
-84.9810,32.4059
-84.9800,32.4000
-84.9688,32.3913
-84.9831,32.3918
-84.9885,32.3851
-84.9864,32.3802
-84.9749,32.3801
-84.9720,32.3776
-84.9753,32.3740
-84.9854,32.3724
-84.9839,32.3622
-85.0047,32.3451
-85.0082,32.3365
-85.0072,32.3282
-85.0019,32.3219
-84.9889,32.3190
-84.9347,32.2988
-84.9229,32.2852
-84.8891,32.2614
-84.8906,32.2575
-84.9013,32.2582
-84.9042,32.2507
-84.9073,32.2489
-84.9245,32.2500
-84.9233,32.2445
-84.9155,32.2459
-84.9128,32.2432
-84.9164,32.2364
-84.9231,32.2307
-84.9230,32.2246
-84.9302,32.2189
-84.9594,32.2177
-84.9682,32.2192
-84.9734,32.2175
-84.9799,32.2109
-84.9803,32.2076
-84.9745,32.2034
-84.9647,32.2034
-84.9618,32.1986
-84.9638,32.1957
-85.0113,32.1803
-85.0457,32.1436
-85.0612,32.1339
-85.0535,32.1047
-85.0448,32.0857
-85.0533,32.0804
-85.0561,32.0629
-85.0589,32.0465
-85.0536,32.0358
-85.0578,32.0317
-85.0489,32.0215
-85.0550,32.0186
-85.0551,32.0106
-85.0635,32.0040
-85.0683,31.9917
-85.0710,31.9815
-85.0660,31.9723
-85.0679,31.9672
-85.0833,31.9623
-85.0868,31.9590
-85.0790,31.9400
-85.0865,31.9358
-85.0919,31.9287
-85.0996,31.9251
-85.1025,31.9172
-85.1132,31.9117
-85.1081,31.9050
-85.1123,31.9026
-85.1121,31.8946
-85.1342,31.8920
-85.1285,31.8774
-85.1359,31.8623
-85.1408,31.8573
-85.1378,31.8457
-85.1419,31.8391
-85.1320,31.8269
-85.1346,31.8248
-85.1313,31.8166
-85.1323,31.7950
-85.1419,31.7822
-85.1412,31.7803
-85.1258,31.7680
-85.1274,31.7624
-85.1291,31.7575
-85.1190,31.7325
-85.1266,31.7166
-85.1256,31.6948
-85.1140,31.6867
-85.1095,31.6773
-85.0925,31.6598
-85.0792,31.6546
-85.0781,31.6514
-85.0827,31.6501
-85.0863,31.6384
-85.0801,31.6367
-85.0739,31.6294
-85.0575,31.6185
-85.0606,31.6081
-85.0560,31.6050
-85.0585,31.5835
-85.0554,31.5769
-85.0580,31.5707
-85.0509,31.5554
-85.0414,31.5423
-85.0483,31.5258
-85.0446,31.5207
-85.0456,31.5170
-85.0481,31.5141
-85.0658,31.4840
-85.0717,31.4682
-85.0660,31.4428
-85.0659,31.4304
-85.0686,31.4271
-85.0738,31.4288
-85.0760,31.4248
-85.0768,31.4158
-85.0800,31.4103
-85.0777,31.3987
-85.0924,31.3639
-85.0919,31.3550
-85.0860,31.3526
-85.0895,31.3359
-85.0842,31.3281
-85.0838,31.3180
-85.0877,31.3085
-85.0899,31.2948
-85.0932,31.2895
-85.0992,31.2840
-85.1104,31.2816
-85.1147,31.2772
-85.1120,31.2723
-85.1124,31.2594
-85.0968,31.2255
-85.0988,31.2111
-85.1070,31.2025
-85.1077,31.1873
-85.0986,31.1800
-85.1003,31.1653
-85.0922,31.1601
-85.0779,31.1577
-85.0752,31.1542
-85.0641,31.1423
-85.0547,31.1206
-85.0357,31.1080
-85.0261,31.0840
-85.0286,31.0753
-85.0182,31.0591
