SiteName,Albuquerque NM
SiteLongitude,-106.5500
SiteLatitude,35.2000
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,3.462e+15
2005-02-01,2005-02-28,2.279e+15
2005-03-01,2005-03-31,2.92e+15
2005-04-01,2005-04-30,2.734e+15
2005-05-01,2005-05-31,2.232e+15
2005-06-01,2005-06-30,2.047e+15
2005-07-01,2005-07-31,2.286e+15
2005-08-01,2005-08-31,1.95e+15
2005-09-01,2005-09-30,2.303e+15
2005-10-01,2005-10-31,3.019e+15
2005-11-01,2005-11-30,3.369e+15
2005-12-01,2005-12-31,3.312e+15
2006-01-01,2006-01-31,2.617e+15
2006-02-01,2006-02-28,2.915e+15
2006-03-01,2006-03-31,2.075e+15
2006-04-01,2006-04-30,2.134e+15
2006-05-01,2006-05-31,2.001e+15
2006-06-01,2006-06-30,2.227e+15
2006-07-01,2006-07-31,2.382e+15
2006-08-01,2006-08-31,1.734e+15
2006-09-01,2006-09-30,2.251e+15
2006-10-01,2006-10-31,2.503e+15
2006-11-01,2006-11-30,2.966e+15
2006-12-01,2006-12-31,2.89e+15
2007-01-01,2007-01-31,2.745e+15
2007-02-01,2007-02-28,2.226e+15
2007-03-01,2007-03-31,2.218e+15
2007-04-01,2007-04-30,2.299e+15
2007-05-01,2007-05-31,2.138e+15
2007-06-01,2007-06-30,2.013e+15
2007-07-01,2007-07-31,2.311e+15
2007-08-01,2007-08-31,1.773e+15
2007-09-01,2007-09-30,2.463e+15
2007-10-01,2007-10-31,2.801e+15
2007-11-01,2007-11-30,3.628e+15
2007-12-01,2007-12-31,2.377e+15
2008-01-01,2008-01-31,2.483e+15
2008-02-01,2008-02-29,2.61e+15
2008-03-01,2008-03-31,1.993e+15
2008-04-01,2008-04-30,2.011e+15
2008-05-01,2008-05-31,1.544e+15
2008-06-01,2008-06-30,1.579e+15
2008-07-01,2008-07-31,1.957e+15
2008-08-01,2008-08-31,1.498e+15
2008-09-01,2008-09-30,1.929e+15
2008-10-01,2008-10-31,2.519e+15
2008-11-01,2008-11-30,2.502e+15
2008-12-01,2008-12-31,2.536e+15
2009-01-01,2009-01-31,2.444e+15
2009-02-01,2009-02-28,2.546e+15
2009-03-01,2009-03-31,1.96e+15
2009-04-01,2009-04-30,2.036e+15
2009-05-01,2009-05-31,1.406e+15
2009-06-01,2009-06-30,1.67e+15
2009-07-01,2009-07-31,1.709e+15
2009-08-01,2009-08-31,1.322e+15
2009-09-01,2009-09-30,2.324e+15
2009-10-01,2009-10-31,1.932e+15
2009-11-01,2009-11-30,2.802e+15
2009-12-01,2009-12-31,2.109e+15
2010-01-01,2010-01-31,1.788e+15
2010-02-01,2010-02-28,2.265e+15
2010-03-01,2010-03-31,1.497e+15
2010-04-01,2010-04-30,1.887e+15
2010-05-01,2010-05-31,1.391e+15
2010-06-01,2010-06-30,1.448e+15
2010-07-01,2010-07-31,1.617e+15
2010-08-01,2010-08-31,1.32e+15
2010-09-01,2010-09-30,1.62e+15
2010-10-01,2010-10-31,1.871e+15
2010-11-01,2010-11-30,2.251e+15
2010-12-01,2010-12-31,2.744e+15
2011-01-01,2011-01-31,2.915e+15
2011-02-01,2011-02-28,2.01e+15
2011-03-01,2011-03-31,1.549e+15
2011-04-01,2011-04-30,1.612e+15
2011-05-01,2011-05-31,1.482e+15
2011-06-01,2011-06-30,1.079e+15
2011-07-01,2011-07-31,1.58e+15
2011-08-01,2011-08-31,1.594e+15
2011-09-01,2011-09-30,1.723e+15
2011-10-01,2011-10-31,2.168e+15
2011-11-01,2011-11-30,2.165e+15
2011-12-01,2011-12-31,1.858e+15
2012-01-01,2012-01-31,2.283e+15
2012-02-01,2012-02-29,1.777e+15
2012-03-01,2012-03-31,1.875e+15
2012-04-01,2012-04-30,1.566e+15
2012-05-01,2012-05-31,1.504e+15
2012-06-01,2012-06-30,1.477e+15
2012-07-01,2012-07-31,1.579e+15
2012-08-01,2012-08-31,1.357e+15
2012-09-01,2012-09-30,1.619e+15
2012-10-01,2012-10-31,1.831e+15
2012-11-01,2012-11-30,2.056e+15
2012-12-01,2012-12-31,2.036e+15
2013-01-01,2013-01-31,1.894e+15
2013-02-01,2013-02-28,1.677e+15
2013-03-01,2013-03-31,1.965e+15
2013-04-01,2013-04-30,1.515e+15
2013-05-01,2013-05-31,1.502e+15
2013-06-01,2013-06-30,1.435e+15
2013-07-01,2013-07-31,2.067e+15
2013-08-01,2013-08-31,1.033e+15
2013-09-01,2013-09-30,1.388e+15
2013-10-01,2013-10-31,1.793e+15
2013-11-01,2013-11-30,2.074e+15
2013-12-01,2013-12-31,2.021e+15
2014-01-01,2014-01-31,1.5e+15
2014-02-01,2014-02-28,1.529e+15
2014-03-01,2014-03-31,1.396e+15
2014-04-01,2014-04-30,1.508e+15
2014-05-01,2014-05-31,1.352e+15
2014-06-01,2014-06-30,1.307e+15
2014-07-01,2014-07-31,1.895e+15
2014-08-01,2014-08-31,1.081e+15
2014-09-01,2014-09-30,1.489e+15
2014-10-01,2014-10-31,1.74e+15
2014-11-01,2014-11-30,2.373e+15
2014-12-01,2014-12-31,1.804e+15
2015-01-01,2015-01-31,1.765e+15
2015-02-01,2015-02-28,1.756e+15
2015-03-01,2015-03-31,1.826e+15
2015-04-01,2015-04-30,1.853e+15
2015-05-01,2015-05-31,1.871e+15
2015-06-01,2015-06-30,1.497e+15
2015-07-01,2015-07-31,1.596e+15
2015-08-01,2015-08-31,1.364e+15
2015-09-01,2015-09-30,2.043e+15
2015-10-01,2015-10-31,2.284e+15
2015-11-01,2015-11-30,2.135e+15
2015-12-01,2015-12-31,1.4e+15
