SiteName,Atlanta GA
ShortName,Atlanta
SiteLongitude,-84.3500
SiteLatitude,33.8000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.25e+16,0.001336,2.414e+17
2005-02-01,2005-02-28,1.131e+16,0.001267,2.331e+17
2005-03-01,2005-03-31,1.145e+16,0.001298,2.442e+17
2005-04-01,2005-04-30,1.239e+16,0.001326,2.32e+17
2005-05-01,2005-05-31,1.105e+16,0.001331,2.394e+17
2005-06-01,2005-06-30,9.055e+15,0.00142,2.426e+17
2005-07-01,2005-07-31,7.277e+15,0.001442,2.584e+17
2005-08-01,2005-08-31,8.632e+15,0.001468,2.617e+17
2005-09-01,2005-09-30,8.878e+15,0.00136,2.587e+17
2005-10-01,2005-10-31,1.467e+16,0.001311,2.533e+17
2005-11-01,2005-11-30,1.213e+16,0.001253,2.473e+17
2005-12-01,2005-12-31,1.325e+16,0.00131,2.417e+17
2006-01-01,2006-01-31,1.075e+16,0.001303,2.368e+17
2006-02-01,2006-02-28,1.289e+16,0.00131,2.268e+17
2006-03-01,2006-03-31,1.1e+16,0.001377,2.473e+17
2006-04-01,2006-04-30,9.01e+15,0.001384,2.468e+17
2006-05-01,2006-05-31,7.504e+15,0.001373,2.435e+17
2006-06-01,2006-06-30,8.028e+15,0.001397,2.424e+17
2006-07-01,2006-07-31,7.435e+15,0.001473,2.522e+17
2006-08-01,2006-08-31,8.254e+15,0.00147,2.577e+17
2006-09-01,2006-09-30,8.695e+15,0.001348,2.537e+17
2006-10-01,2006-10-31,1.225e+16,0.001313,2.534e+17
2006-11-01,2006-11-30,9.89e+15,0.001307,2.653e+17
2006-12-01,2006-12-31,1.18e+16,0.001286,2.463e+17
2007-01-01,2007-01-31,1e+16,0.001332,2.496e+17
2007-02-01,2007-02-28,1.017e+16,0.001322,2.41e+17
2007-03-01,2007-03-31,1.009e+16,0.001357,2.571e+17
2007-04-01,2007-04-30,8.751e+15,0.001363,2.477e+17
2007-05-01,2007-05-31,8.769e+15,0.001337,2.405e+17
2007-06-01,2007-06-30,8.288e+15,0.001457,2.454e+17
2007-07-01,2007-07-31,7.228e+15,0.001489,2.677e+17
2007-08-01,2007-08-31,7.883e+15,0.001472,2.652e+17
2007-09-01,2007-09-30,8.404e+15,0.001393,2.625e+17
2007-10-01,2007-10-31,8.753e+15,0.00135,2.572e+17
2007-11-01,2007-11-30,1.159e+16,0.001304,2.587e+17
2007-12-01,2007-12-31,9.756e+15,0.001306,2.505e+17
2008-01-01,2008-01-31,9.38e+15,0.001383,2.499e+17
2008-02-01,2008-02-29,1.007e+16,0.001356,2.449e+17
2008-03-01,2008-03-31,9.253e+15,0.001286,2.292e+17
2008-04-01,2008-04-30,1.068e+16,0.001368,2.387e+17
2008-05-01,2008-05-31,6.516e+15,0.001365,2.42e+17
2008-06-01,2008-06-30,6.45e+15,0.001436,2.437e+17
2008-07-01,2008-07-31,7.371e+15,0.001478,2.556e+17
2008-08-01,2008-08-31,6.955e+15,0.0015,2.608e+17
2008-09-01,2008-09-30,6.358e+15,0.00139,2.569e+17
2008-10-01,2008-10-31,7.884e+15,0.001337,2.588e+17
2008-11-01,2008-11-30,8.281e+15,0.001318,2.679e+17
2008-12-01,2008-12-31,7.702e+15,0.001236,2.413e+17
2009-01-01,2009-01-31,1.04e+16,0.001293,2.263e+17
2009-02-01,2009-02-28,8.206e+15,0.001287,2.324e+17
