SiteName,Bakersfield CA
ShortName,Bakersfield
SiteLongitude,-119.0000
SiteLatitude,35.3000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,5.472e+15,0.001595,2.467e+17
2005-02-01,2005-02-28,6.229e+15,0.001526,2.54e+17
2005-03-01,2005-03-31,5.277e+15,0.001595,2.48e+17
2005-04-01,2005-04-30,4.418e+15,0.001551,2.366e+17
2005-05-01,2005-05-31,4.119e+15,0.001619,2.35e+17
2005-06-01,2005-06-30,3.811e+15,0.0016,2.389e+17
2005-07-01,2005-07-31,3.031e+15,0.001716,2.494e+17
2005-08-01,2005-08-31,3.87e+15,0.001687,2.546e+17
2005-09-01,2005-09-30,4.862e+15,0.001657,2.535e+17
2005-10-01,2005-10-31,5.594e+15,0.001571,2.584e+17
2005-11-01,2005-11-30,6.72e+15,0.001432,2.528e+17
2005-12-01,2005-12-31,6.855e+15,0.001625,2.58e+17
2006-01-01,2006-01-31,5.127e+15,0.001585,2.434e+17
2006-02-01,2006-02-28,6.633e+15,0.001452,2.375e+17
2006-03-01,2006-03-31,5.285e+15,0.001606,2.461e+17
2006-04-01,2006-04-30,4.518e+15,0.001648,2.452e+17
2006-05-01,2006-05-31,3.719e+15,0.00168,2.378e+17
2006-06-01,2006-06-30,3.51e+15,0.001676,2.407e+17
2006-07-01,2006-07-31,3.109e+15,0.001885,2.466e+17
2006-08-01,2006-08-31,3.433e+15,0.001841,2.555e+17
2006-09-01,2006-09-30,4.322e+15,0.001628,2.495e+17
2006-10-01,2006-10-31,6.469e+15,0.001442,2.63e+17
2006-11-01,2006-11-30,5.961e+15,0.001482,2.65e+17
2006-12-01,2006-12-31,7.294e+15,0.001414,2.571e+17
2007-01-01,2007-01-31,7.02e+15,0.001646,2.586e+17
2007-02-01,2007-02-28,4.413e+15,0.001804,2.616e+17
2007-03-01,2007-03-31,5.121e+15,0.00166,2.684e+17
2007-04-01,2007-04-30,4.223e+15,0.001612,2.511e+17
2007-05-01,2007-05-31,3.938e+15,0.001615,2.382e+17
2007-06-01,2007-06-30,3.723e+15,0.001593,2.398e+17
2007-07-01,2007-07-31,3.286e+15,0.001955,2.53e+17
2007-08-01,2007-08-31,5.267e+15,0.00184,2.6e+17
2007-09-01,2007-09-30,4.672e+15,0.001597,2.556e+17
2007-10-01,2007-10-31,5.609e+15,0.001601,2.634e+17
2007-11-01,2007-11-30,7.164e+15,0.00153,2.607e+17
2007-12-01,2007-12-31,5.196e+15,0.001446,2.583e+17
2008-01-01,2008-01-31,4.871e+15,0.001746,2.738e+17
2008-02-01,2008-02-29,5.347e+15,0.001426,2.478e+17
2008-03-01,2008-03-31,4.342e+15,0.001506,2.374e+17
2008-04-01,2008-04-30,3.733e+15,0.001497,2.356e+17
2008-05-01,2008-05-31,3.323e+15,0.00159,2.384e+17
2008-06-01,2008-06-30,3.619e+15,0.001719,2.404e+17
2008-07-01,2008-07-31,2.953e+15,0.001963,2.492e+17
2008-08-01,2008-08-31,3.139e+15,0.001725,2.564e+17
2008-09-01,2008-09-30,3.963e+15,0.001632,2.557e+17
2008-10-01,2008-10-31,5.564e+15,0.001483,2.541e+17
2008-11-01,2008-11-30,5.571e+15,0.001543,2.522e+17
2008-12-01,2008-12-31,5.76e+15,0.00172,2.697e+17
2009-01-01,2009-01-31,4.607e+15,0.001704,2.358e+17
2009-02-01,2009-02-28,4.132e+15,0.001663,2.295e+17
2009-03-01,2009-03-31,4.188e+15,0.001673,2.532e+17
2009-04-01,2009-04-30,3.024e+15,0.001531,2.511e+17
2009-05-01,2009-05-31,2.954e+15,0.001477,2.421e+17
2009-06-01,2009-06-30,2.719e+15,0.001904,2.448e+17
2009-07-01,2009-07-31,2.433e+15,0.001766,2.516e+17
2009-08-01,2009-08-31,2.906e+15,0.002124,2.6e+17
2009-09-01,2009-09-30,3.41e+15,0.001633,2.606e+17
2009-10-01,2009-10-31,3.839e+15,0.001478,2.556e+17
2009-11-01,2009-11-30,5.01e+15,0.001379,2.46e+17
2009-12-01,2009-12-31,5.29e+15,0.001637,2.449e+17
2010-01-01,2010-01-31,3.665e+15,0.001602,2.427e+17
2010-02-01,2010-02-28,3.029e+15,0.001356,2.449e+17
2010-03-01,2010-03-31,2.959e+15,0.001562,2.651e+17
2010-04-01,2010-04-30,3.477e+15,0.001605,2.586e+17
2010-05-01,2010-05-31,2.635e+15,0.001799,2.466e+17
2010-06-01,2010-06-30,2.391e+15,0.001743,2.503e+17
2010-07-01,2010-07-31,2.401e+15,0.001688,2.629e+17
2010-08-01,2010-08-31,2.588e+15,0.001751,2.683e+17
2010-09-01,2010-09-30,3.131e+15,0.001593,2.635e+17
2010-10-01,2010-10-31,3.688e+15,0.001355,2.519e+17
2010-11-01,2010-11-30,4.644e+15,0.001341,2.468e+17
2010-12-01,2010-12-31,6.535e+15,0.001644,2.511e+17
2011-01-01,2011-01-31,4.881e+15,0.001876,2.648e+17
2011-02-01,2011-02-28,4.079e+15,0.001619,2.567e+17
2011-03-01,2011-03-31,2.979e+15,0.001541,2.719e+17
2011-04-01,2011-04-30,2.71e+15,0.001496,2.597e+17
2011-05-01,2011-05-31,2.618e+15,0.001517,2.489e+17
2011-06-01,2011-06-30,2.139e+15,0.001953,2.523e+17
2011-07-01,2011-07-31,2.037e+15,0.001973,2.661e+17
2011-08-01,2011-08-31,2.377e+15,0.001751,2.69e+17
2011-09-01,2011-09-30,3.204e+15,0.001557,2.658e+17
2011-10-01,2011-10-31,3.897e+15,0.001487,2.701e+17
2011-11-01,2011-11-30,3.498e+15,0.001825,2.487e+17
2011-12-01,2011-12-31,4.717e+15,0.001637,2.626e+17
2012-01-01,2012-01-31,3.793e+15,0.001505,2.513e+17
2012-02-01,2012-02-29,3.559e+15,0.001405,2.46e+17
2012-03-01,2012-03-31,3.869e+15,0.001615,2.66e+17
2012-04-01,2012-04-30,3.254e+15,0.001654,2.483e+17
2012-05-01,2012-05-31,2.817e+15,0.001678,2.524e+17
2012-06-01,2012-06-30,2.748e+15,0.001649,2.522e+17
2012-07-01,2012-07-31,2.168e+15,0.001995,2.709e+17
2012-08-01,2012-08-31,2.679e+15,0.001973,2.762e+17
2012-09-01,2012-09-30,3.183e+15,0.002048,2.795e+17
2012-10-01,2012-10-31,3.19e+15,0.001605,2.718e+17
2012-11-01,2012-11-30,4.63e+15,0.001376,2.576e+17
2012-12-01,2012-12-31,4.056e+15,0.001514,2.494e+17
2013-01-01,2013-01-31,5.015e+15,0.001561,2.375e+17
2013-02-01,2013-02-28,3.422e+15,0.001608,2.506e+17
2013-03-01,2013-03-31,3.358e+15,0.001581,2.782e+17
2013-04-01,2013-04-30,2.595e+15,0.001534,2.569e+17
2013-05-01,2013-05-31,3.116e+15,0.001718,2.565e+17
2013-06-01,2013-06-30,2.8e+15,0.001859,2.58e+17
2013-07-01,2013-07-31,2.324e+15,0.001929,2.682e+17
2013-08-01,2013-08-31,2.611e+15,0.001826,2.758e+17
2013-09-01,2013-09-30,2.906e+15,0.001938,2.75e+17
2013-10-01,2013-10-31,4.095e+15,0.001628,2.766e+17
2013-11-01,2013-11-30,4.034e+15,0.001495,2.731e+17
2013-12-01,2013-12-31,4.955e+15,0.001597,2.523e+17
2014-01-01,2014-01-31,3.466e+15,0.001725,2.546e+17
2014-02-01,2014-02-28,2.601e+15,0.002157,2.568e+17
2014-03-01,2014-03-31,3.125e+15,0.001677,2.806e+17
2014-04-01,2014-04-30,2.485e+15,0.001819,2.507e+17
2014-05-01,2014-05-31,2.609e+15,0.001885,2.562e+17
2014-06-01,2014-06-30,2.516e+15,0.001913,2.542e+17
2014-07-01,2014-07-31,2.216e+15,0.001955,2.725e+17
2014-08-01,2014-08-31,2.611e+15,0.001928,2.76e+17
2014-09-01,2014-09-30,2.616e+15,0.001842,2.772e+17
2014-10-01,2014-10-31,3.438e+15,0.001866,2.807e+17
2014-11-01,2014-11-30,4.083e+15,0.001354,2.597e+17
2014-12-01,2014-12-31,3.02e+15,0.002166,2.527e+17
2015-01-01,2015-01-31,3.707e+15,0.00163,2.319e+17
2015-02-01,2015-02-28,3.025e+15,0.001643,2.704e+17
2015-03-01,2015-03-31,2.674e+15,0.001673,2.781e+17
2015-04-01,2015-04-30,2.755e+15,0.001442,2.647e+17
2015-05-01,2015-05-31,2.948e+15,0.001829,2.567e+17
2015-06-01,2015-06-30,2.676e+15,0.001667,2.612e+17
2015-07-01,2015-07-31,2.361e+15,0.001913,2.683e+17
2015-08-01,2015-08-31,2.719e+15,0.001814,2.771e+17
2015-09-01,2015-09-30,3.367e+15,0.00177,2.807e+17
2015-10-01,2015-10-31,3.741e+15,0.001678,2.599e+17
2015-11-01,2015-11-30,4.337e+15,0.001822,2.817e+17
2015-12-01,2015-12-31,4.115e+15,0.001439,2.786e+17
