SiteName,Boston MA
ShortName,Boston
SiteLongitude,-71.0000
SiteLatitude,42.4500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,5.359e+15,0.001217,2.425e+17
2005-02-01,2005-02-28,5.505e+15,0.001156,2.384e+17
2005-03-01,2005-03-31,6.799e+15,0.001167,2.426e+17
2005-04-01,2005-04-30,8.47e+15,0.001148,2.283e+17
2005-05-01,2005-05-31,7.177e+15,0.001187,2.288e+17
2005-06-01,2005-06-30,7.281e+15,0.001199,2.297e+17
2005-07-01,2005-07-31,4.95e+15,0.001282,2.414e+17
2005-08-01,2005-08-31,6.841e+15,0.001311,2.481e+17
2005-09-01,2005-09-30,7.025e+15,0.001276,2.522e+17
2005-10-01,2005-10-31,9.806e+15,0.001192,2.631e+17
2005-11-01,2005-11-30,1.081e+16,0.001147,2.701e+17
2005-12-01,2005-12-31,1.07e+16,0.00117,2.472e+17
2006-01-01,2006-01-31,1.1e+16,0.001224,2.509e+17
2006-02-01,2006-02-28,1.324e+16,0.00119,2.389e+17
2006-03-01,2006-03-31,6.685e+15,0.001188,2.507e+17
2006-04-01,2006-04-30,7.523e+15,0.001248,2.423e+17
2006-05-01,2006-05-31,6.022e+15,0.00123,2.379e+17
2006-06-01,2006-06-30,5.943e+15,0.001245,2.287e+17
2006-07-01,2006-07-31,4.221e+15,0.001272,2.407e+17
2006-08-01,2006-08-31,5.188e+15,0.001353,2.461e+17
2006-09-01,2006-09-30,5.862e+15,0.001257,2.553e+17
2006-10-01,2006-10-31,8.06e+15,0.001197,2.614e+17
2006-11-01,2006-11-30,8.356e+15,0.001209,2.837e+17
2006-12-01,2006-12-31,1.079e+16,0.001166,2.638e+17
2007-01-01,2007-01-31,1.093e+16,0.001288,2.678e+17
2007-02-01,2007-02-28,8.022e+15,0.00124,2.511e+17
2007-03-01,2007-03-31,6.771e+15,0.001218,2.649e+17
2007-04-01,2007-04-30,5.912e+15,0.001191,2.392e+17
2007-05-01,2007-05-31,6.794e+15,0.00117,2.32e+17
2007-06-01,2007-06-30,4.569e+15,0.001254,2.257e+17
2007-07-01,2007-07-31,4.771e+15,0.001272,2.411e+17
2007-08-01,2007-08-31,5.355e+15,0.001325,2.489e+17
2007-09-01,2007-09-30,5.166e+15,0.001287,2.54e+17
2007-10-01,2007-10-31,6.679e+15,0.001252,2.68e+17
2007-11-01,2007-11-30,7.508e+15,0.001212,2.741e+17
2007-12-01,2007-12-31,6.294e+15,0.001157,2.458e+17
2008-01-01,2008-01-31,8.239e+15,0.001346,2.615e+17
2008-02-01,2008-02-29,1.094e+16,0.001173,2.585e+17
2008-03-01,2008-03-31,5.638e+15,0.001138,2.368e+17
2008-04-01,2008-04-30,6.083e+15,0.001174,2.323e+17
2008-05-01,2008-05-31,6.293e+15,0.001207,2.305e+17
2008-06-01,2008-06-30,5.249e+15,0.001255,2.348e+17
2008-07-01,2008-07-31,4.7e+15,0.001298,2.413e+17
2008-08-01,2008-08-31,4.748e+15,0.001349,2.47e+17
2008-09-01,2008-09-30,4.699e+15,0.001261,2.527e+17
2008-10-01,2008-10-31,6.088e+15,0.001237,2.632e+17
2008-11-01,2008-11-30,6.871e+15,0.001161,2.724e+17
2008-12-01,2008-12-31,9.413e+15,0.001261,2.653e+17
2009-01-01,2009-01-31,6.14e+15,0.001312,2.538e+17
2009-02-01,2009-02-28,5.486e+15,0.001216,2.48e+17
2009-03-01,2009-03-31,6.902e+15,0.001165,2.407e+17
2009-04-01,2009-04-30,4.49e+15,0.001235,2.446e+17
2009-05-01,2009-05-31,5.155e+15,0.001225,2.376e+17
2009-06-01,2009-06-30,4.148e+15,0.001231,2.366e+17
2009-07-01,2009-07-31,4.306e+15,0.001292,2.384e+17
2009-08-01,2009-08-31,5.24e+15,0.001338,2.492e+17
2009-09-01,2009-09-30,5.521e+15,0.00126,2.493e+17
2009-10-01,2009-10-31,7.487e+15,0.001217,2.615e+17
2009-11-01,2009-11-30,6.687e+15,0.001234,2.761e+17
2009-12-01,2009-12-31,7.983e+15,0.001214,2.335e+17
2010-01-01,2010-01-31,4.1e+15,0.00133,2.412e+17
2010-02-01,2010-02-28,5.496e+15,0.001184,2.435e+17
2010-03-01,2010-03-31,5.453e+15,0.001168,2.469e+17
2010-04-01,2010-04-30,4.635e+15,0.001287,2.484e+17
2010-05-01,2010-05-31,4.917e+15,0.001289,2.428e+17
2010-06-01,2010-06-30,4.673e+15,0.001295,2.42e+17
2010-07-01,2010-07-31,3.939e+15,0.001336,2.453e+17
2010-08-01,2010-08-31,4.337e+15,0.001475,2.565e+17
2010-09-01,2010-09-30,4.928e+15,0.001333,2.624e+17
2010-10-01,2010-10-31,3.796e+15,0.001199,2.529e+17
2010-11-01,2010-11-30,3.853e+15,0.001276,2.64e+17
2010-12-01,2010-12-31,7.968e+15,0.001423,2.449e+17
2011-01-01,2011-01-31,5.245e+15,0.00146,2.443e+17
2011-02-01,2011-02-28,7.02e+15,0.001357,2.444e+17
2011-03-01,2011-03-31,6.166e+15,0.001376,2.68e+17
2011-04-01,2011-04-30,5.62e+15,0.001281,2.627e+17
2011-05-01,2011-05-31,5.432e+15,0.001223,2.405e+17
2011-06-01,2011-06-30,4.64e+15,0.001347,2.399e+17
2011-07-01,2011-07-31,3.687e+15,0.001389,2.485e+17
2011-08-01,2011-08-31,4.48e+15,0.00148,2.591e+17
2011-09-01,2011-09-30,4.571e+15,0.001309,2.58e+17
2011-10-01,2011-10-31,5.363e+15,0.00129,2.737e+17
2011-11-01,2011-11-30,6.3e+15,0.001193,2.625e+17
2011-12-01,2011-12-31,6.821e+15,0.001224,2.299e+17
2012-01-01,2012-01-31,8.559e+15,0.001365,2.558e+17
2012-02-01,2012-02-29,6.664e+15,0.001235,2.565e+17
2012-03-01,2012-03-31,5.119e+15,0.001144,2.425e+17
2012-04-01,2012-04-30,5.783e+15,0.001235,2.481e+17
2012-05-01,2012-05-31,4.697e+15,0.001179,2.417e+17
2012-06-01,2012-06-30,4.327e+15,0.001334,2.475e+17
2012-07-01,2012-07-31,3.66e+15,0.001431,2.568e+17
2012-08-01,2012-08-31,4.99e+15,0.001444,2.64e+17
2012-09-01,2012-09-30,5.213e+15,0.001353,2.724e+17
2012-10-01,2012-10-31,6.259e+15,0.001339,2.764e+17
2012-11-01,2012-11-30,5.994e+15,0.001328,2.664e+17
2012-12-01,2012-12-31,6.762e+15,0.001402,2.51e+17
2013-01-01,2013-01-31,6.689e+15,0.001371,2.607e+17
2013-02-01,2013-02-28,5.378e+15,0.001461,2.516e+17
2013-03-01,2013-03-31,5.006e+15,0.001384,2.721e+17
2013-04-01,2013-04-30,5.712e+15,0.001374,2.673e+17
2013-05-01,2013-05-31,4.181e+15,0.001284,2.51e+17
2013-06-01,2013-06-30,3.462e+15,0.001402,2.511e+17
2013-07-01,2013-07-31,2.742e+15,0.001445,2.562e+17
2013-08-01,2013-08-31,4.116e+15,0.001484,2.66e+17
2013-09-01,2013-09-30,5.002e+15,0.001336,2.725e+17
2013-10-01,2013-10-31,5.193e+15,0.001309,2.677e+17
2013-11-01,2013-11-30,5.853e+15,0.001276,2.743e+17
2013-12-01,2013-12-31,1.135e+16,0.001032,2.198e+17
2014-01-01,2014-01-31,6.177e+15,0.001385,2.36e+17
2014-02-01,2014-02-28,6.152e+15,0.001329,2.793e+17
2014-03-01,2014-03-31,6.906e+15,0.001271,2.877e+17
2014-04-01,2014-04-30,3.765e+15,0.001257,2.588e+17
2014-05-01,2014-05-31,4.982e+15,0.001332,2.464e+17
2014-06-01,2014-06-30,3.799e+15,0.001353,2.447e+17
2014-07-01,2014-07-31,3.116e+15,0.001386,2.592e+17
2014-08-01,2014-08-31,3.938e+15,0.001469,2.688e+17
2014-09-01,2014-09-30,5.3e+15,0.00144,2.761e+17
2014-10-01,2014-10-31,6.465e+15,0.001274,2.822e+17
2014-11-01,2014-11-30,6.46e+15,0.001198,2.598e+17
2014-12-01,2014-12-31,6.564e+15,0.001167,2.434e+17
2015-01-01,2015-01-31,5.034e+15,0.001502,2.485e+17
2015-02-01,2015-02-28,3.475e+15,0.001587,2.74e+17
2015-03-01,2015-03-31,4.404e+15,0.001271,2.915e+17
2015-04-01,2015-04-30,4.378e+15,0.001335,2.637e+17
2015-05-01,2015-05-31,4.312e+15,0.00134,2.544e+17
2015-06-01,2015-06-30,4.169e+15,0.001404,2.496e+17
2015-07-01,2015-07-31,2.738e+15,0.001352,2.582e+17
2015-08-01,2015-08-31,4.088e+15,0.00152,2.65e+17
2015-09-01,2015-09-30,4.685e+15,0.001438,2.749e+17
2015-10-01,2015-10-31,5.061e+15,0.001173,2.525e+17
2015-11-01,2015-11-30,4.911e+15,0.001254,2.825e+17
2015-12-01,2015-12-31,6.541e+15,0.00152,2.708e+17
