SiteName,Charlotte NC
ShortName,Charlotte
SiteLongitude,-80.8500
SiteLatitude,35.2500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.022e+16,0.001282,2.418e+17
2005-02-01,2005-02-28,1.145e+16,0.001214,2.317e+17
2005-03-01,2005-03-31,9.605e+15,0.001248,2.409e+17
2005-04-01,2005-04-30,1.087e+16,0.001289,2.327e+17
2005-05-01,2005-05-31,7.408e+15,0.001292,2.361e+17
2005-06-01,2005-06-30,7.248e+15,0.001338,2.384e+17
2005-07-01,2005-07-31,7.506e+15,0.001412,2.505e+17
2005-08-01,2005-08-31,8.181e+15,0.001443,2.561e+17
2005-09-01,2005-09-30,7.491e+15,0.001347,2.546e+17
2005-10-01,2005-10-31,1.054e+16,0.001274,2.543e+17
2005-11-01,2005-11-30,9.202e+15,0.001221,2.544e+17
2005-12-01,2005-12-31,1.264e+16,0.001263,2.42e+17
2006-01-01,2006-01-31,9.427e+15,0.00127,2.362e+17
2006-02-01,2006-02-28,9.699e+15,0.001292,2.3e+17
2006-03-01,2006-03-31,7.443e+15,0.001346,2.458e+17
2006-04-01,2006-04-30,9.254e+15,0.001364,2.465e+17
2006-05-01,2006-05-31,5.984e+15,0.001301,2.407e+17
2006-06-01,2006-06-30,6.947e+15,0.001381,2.394e+17
2006-07-01,2006-07-31,6.299e+15,0.001418,2.463e+17
2006-08-01,2006-08-31,6.615e+15,0.001436,2.578e+17
2006-09-01,2006-09-30,7.167e+15,0.001335,2.549e+17
2006-10-01,2006-10-31,9.107e+15,0.001275,2.541e+17
2006-11-01,2006-11-30,9.633e+15,0.00124,2.613e+17
2006-12-01,2006-12-31,1.129e+16,0.001216,2.503e+17
2007-01-01,2007-01-31,8.281e+15,0.001302,2.544e+17
2007-02-01,2007-02-28,9.901e+15,0.001276,2.393e+17
2007-03-01,2007-03-31,7.489e+15,0.001287,2.558e+17
2007-04-01,2007-04-30,7.286e+15,0.001323,2.464e+17
2007-05-01,2007-05-31,7.254e+15,0.001315,2.363e+17
2007-06-01,2007-06-30,7.639e+15,0.001387,2.425e+17
2007-07-01,2007-07-31,7.048e+15,0.001424,2.552e+17
2007-08-01,2007-08-31,7.406e+15,0.001436,2.605e+17
2007-09-01,2007-09-30,7.628e+15,0.001341,2.558e+17
2007-10-01,2007-10-31,7.506e+15,0.001312,2.57e+17
2007-11-01,2007-11-30,9.99e+15,0.001267,2.607e+17
2007-12-01,2007-12-31,8.246e+15,0.00125,2.5e+17
2008-01-01,2008-01-31,7.439e+15,0.001357,2.507e+17
2008-02-01,2008-02-29,7.47e+15,0.001321,2.437e+17
2008-03-01,2008-03-31,6.237e+15,0.001247,2.303e+17
2008-04-01,2008-04-30,8.988e+15,0.001327,2.374e+17
2008-05-01,2008-05-31,4.8e+15,0.001323,2.377e+17
2008-06-01,2008-06-30,5.399e+15,0.001389,2.413e+17
2008-07-01,2008-07-31,6.45e+15,0.001439,2.542e+17
2008-08-01,2008-08-31,6.22e+15,0.001434,2.589e+17
2008-09-01,2008-09-30,5.713e+15,0.001386,2.519e+17
2008-10-01,2008-10-31,5.66e+15,0.001271,2.468e+17
2008-11-01,2008-11-30,7.896e+15,0.001269,2.616e+17
2008-12-01,2008-12-31,7.848e+15,0.001244,2.513e+17
2009-01-01,2009-01-31,9.293e+15,0.001313,2.405e+17
2009-02-01,2009-02-28,6.398e+15,0.001261,2.341e+17
2009-03-01,2009-03-31,5.522e+15,0.001331,2.46e+17
2009-04-01,2009-04-30,5.474e+15,0.001365,2.43e+17
2009-05-01,2009-05-31,6.066e+15,0.001356,2.447e+17
2009-06-01,2009-06-30,5.858e+15,0.001428,2.492e+17
2009-07-01,2009-07-31,4.905e+15,0.001427,2.531e+17
2009-08-01,2009-08-31,5.615e+15,0.001424,2.613e+17
2009-09-01,2009-09-30,5.525e+15,0.001388,2.63e+17
2009-10-01,2009-10-31,6.137e+15,0.001245,2.503e+17
2009-11-01,2009-11-30,6.164e+15,0.001251,2.476e+17
2009-12-01,2009-12-31,7.167e+15,0.001304,2.368e+17
2010-01-01,2010-01-31,6.694e+15,0.001282,2.276e+17
2010-02-01,2010-02-28,6.012e+15,0.001236,2.383e+17
2010-03-01,2010-03-31,6.843e+15,0.001345,2.54e+17
2010-04-01,2010-04-30,6.893e+15,0.001403,2.606e+17
2010-05-01,2010-05-31,5.067e+15,0.001449,2.533e+17
2010-06-01,2010-06-30,4.743e+15,0.001485,2.538e+17
2010-07-01,2010-07-31,6.159e+15,0.001539,2.641e+17
2010-08-01,2010-08-31,5.612e+15,0.001533,2.704e+17
2010-09-01,2010-09-30,5.752e+15,0.001435,2.647e+17
2010-10-01,2010-10-31,5.896e+15,0.00133,2.538e+17
2010-11-01,2010-11-30,6.353e+15,0.001416,2.555e+17
2010-12-01,2010-12-31,1e+16,0.001424,2.445e+17
