SiteName,Chicago IL
ShortName,Chicago
SiteLongitude,-87.7000
SiteLatitude,41.8000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,8.571e+15,0.001426,2.656e+17
2005-02-01,2005-02-28,1.669e+16,0.001283,2.509e+17
2005-03-01,2005-03-31,1.431e+16,0.001274,2.609e+17
2005-04-01,2005-04-30,1.212e+16,0.00123,2.317e+17
2005-05-01,2005-05-31,1.093e+16,0.001263,2.308e+17
2005-06-01,2005-06-30,7.961e+15,0.001305,2.294e+17
2005-07-01,2005-07-31,8.095e+15,0.001353,2.401e+17
2005-08-01,2005-08-31,1.099e+16,0.001402,2.46e+17
2005-09-01,2005-09-30,1.1e+16,0.001345,2.532e+17
2005-10-01,2005-10-31,1.21e+16,0.001301,2.68e+17
2005-11-01,2005-11-30,1.082e+16,0.001246,2.677e+17
2005-12-01,2005-12-31,1.273e+16,0.001288,2.602e+17
2006-01-01,2006-01-31,1.15e+16,0.00139,2.513e+17
2006-02-01,2006-02-28,1.345e+16,0.001269,2.441e+17
2006-03-01,2006-03-31,1.054e+16,0.001252,2.517e+17
2006-04-01,2006-04-30,1.256e+16,0.00133,2.405e+17
2006-05-01,2006-05-31,1.109e+16,0.001279,2.336e+17
2006-06-01,2006-06-30,8.472e+15,0.001331,2.331e+17
2006-07-01,2006-07-31,7.632e+15,0.001349,2.37e+17
2006-08-01,2006-08-31,9.804e+15,0.001424,2.489e+17
2006-09-01,2006-09-30,1.094e+16,0.001338,2.507e+17
2006-10-01,2006-10-31,1.124e+16,0.001268,2.638e+17
2006-11-01,2006-11-30,1.182e+16,0.001308,2.904e+17
2006-12-01,2006-12-31,1.451e+16,0.001285,2.642e+17
2007-01-01,2007-01-31,9.383e+15,0.001389,2.589e+17
2007-02-01,2007-02-28,1.036e+16,0.001294,2.58e+17
2007-03-01,2007-03-31,9.223e+15,0.001311,2.704e+17
2007-04-01,2007-04-30,1.01e+16,0.001268,2.421e+17
2007-05-01,2007-05-31,1.036e+16,0.00124,2.306e+17
2007-06-01,2007-06-30,7.223e+15,0.001317,2.295e+17
2007-07-01,2007-07-31,7.044e+15,0.001343,2.413e+17
2007-08-01,2007-08-31,9.186e+15,0.001419,2.481e+17
2007-09-01,2007-09-30,8.743e+15,0.00135,2.568e+17
2007-10-01,2007-10-31,9.574e+15,0.001308,2.742e+17
2007-11-01,2007-11-30,1.128e+16,0.001302,2.777e+17
2007-12-01,2007-12-31,7.794e+15,0.001189,2.493e+17
2008-01-01,2008-01-31,7.788e+15,0.00152,2.787e+17
2008-02-01,2008-02-29,1.095e+16,0.00134,2.607e+17
2008-03-01,2008-03-31,9.939e+15,0.00122,2.463e+17
2008-04-01,2008-04-30,8.71e+15,0.001224,2.332e+17
2008-05-01,2008-05-31,9.973e+15,0.001276,2.343e+17
2008-06-01,2008-06-30,7.274e+15,0.001328,2.298e+17
2008-07-01,2008-07-31,6.756e+15,0.00136,2.437e+17
2008-08-01,2008-08-31,7.277e+15,0.00141,2.508e+17
2008-09-01,2008-09-30,1.015e+16,0.001331,2.513e+17
2008-10-01,2008-10-31,1.011e+16,0.001262,2.607e+17
2008-11-01,2008-11-30,9.762e+15,0.001251,2.571e+17
2008-12-01,2008-12-31,8.907e+15,0.001282,2.741e+17
2009-01-01,2009-01-31,7.014e+15,0.00133,2.498e+17
2009-02-01,2009-02-28,8.918e+15,0.001296,2.464e+17
2009-03-01,2009-03-31,9.343e+15,0.001278,2.444e+17
2009-04-01,2009-04-30,9.199e+15,0.001292,2.49e+17
2009-05-01,2009-05-31,6.228e+15,0.001283,2.379e+17
2009-06-01,2009-06-30,5.479e+15,0.001362,2.377e+17
2009-07-01,2009-07-31,6.019e+15,0.001367,2.452e+17
2009-08-01,2009-08-31,7.993e+15,0.001423,2.505e+17
2009-09-01,2009-09-30,1.083e+16,0.001367,2.572e+17
2009-10-01,2009-10-31,8.604e+15,0.001193,2.343e+17
2009-11-01,2009-11-30,9.885e+15,0.001217,2.551e+17
2009-12-01,2009-12-31,8.725e+15,0.001267,2.435e+17
2010-01-01,2010-01-31,5.354e+15,0.001296,2.386e+17
2010-02-01,2010-02-28,9.33e+15,0.001268,2.637e+17
2010-03-01,2010-03-31,1.041e+16,0.001253,2.699e+17
2010-04-01,2010-04-30,8.686e+15,0.001381,2.558e+17
2010-05-01,2010-05-31,6.859e+15,0.001394,2.439e+17
2010-06-01,2010-06-30,6.516e+15,0.001396,2.466e+17
2010-07-01,2010-07-31,4.862e+15,0.001476,2.548e+17
2010-08-01,2010-08-31,8.813e+15,0.001492,2.608e+17
2010-09-01,2010-09-30,8.022e+15,0.001468,2.586e+17
2010-10-01,2010-10-31,9.46e+15,0.001267,2.524e+17
2010-11-01,2010-11-30,8.747e+15,0.001316,2.617e+17
2010-12-01,2010-12-31,1.029e+16,0.001316,2.608e+17
2011-01-01,2011-01-31,8.652e+15,0.001329,2.511e+17
2011-02-01,2011-02-28,1.036e+16,0.001331,2.639e+17
2011-03-01,2011-03-31,8.51e+15,0.001432,2.744e+17
2011-04-01,2011-04-30,8.781e+15,0.0013,2.548e+17
2011-05-01,2011-05-31,7.604e+15,0.001412,2.384e+17
2011-06-01,2011-06-30,5.211e+15,0.001407,2.412e+17
2011-07-01,2011-07-31,6.045e+15,0.001528,2.458e+17
2011-08-01,2011-08-31,7.467e+15,0.001546,2.622e+17
2011-09-01,2011-09-30,6.388e+15,0.00144,2.585e+17
2011-10-01,2011-10-31,9.526e+15,0.001319,2.713e+17
2011-11-01,2011-11-30,9.566e+15,0.001316,2.7e+17
2011-12-01,2011-12-31,7.892e+15,0.0009974,2.241e+17
2012-01-01,2012-01-31,8.995e+15,0.001203,2.376e+17
2012-02-01,2012-02-29,5.791e+15,0.001358,2.578e+17
2012-03-01,2012-03-31,5.62e+15,0.001238,2.539e+17
2012-04-01,2012-04-30,7.247e+15,0.001333,2.415e+17
2012-05-01,2012-05-31,6.333e+15,0.001402,2.471e+17
2012-06-01,2012-06-30,4.963e+15,0.001437,2.44e+17
2012-07-01,2012-07-31,4.653e+15,0.001451,2.592e+17
2012-08-01,2012-08-31,8.282e+15,0.001534,2.677e+17
2012-09-01,2012-09-30,7.468e+15,0.001461,2.753e+17
2012-10-01,2012-10-31,6.686e+15,0.001441,2.801e+17
2012-11-01,2012-11-30,1.113e+16,0.001368,2.736e+17
2012-12-01,2012-12-31,8.918e+15,0.001287,2.662e+17
2013-01-01,2013-01-31,1.082e+16,0.001436,2.505e+17
2013-02-01,2013-02-28,8.498e+15,0.001384,2.46e+17
2013-03-01,2013-03-31,1.027e+16,0.001393,2.568e+17
2013-04-01,2013-04-30,6.959e+15,0.001346,2.648e+17
2013-05-01,2013-05-31,7.503e+15,0.001321,2.558e+17
2013-06-01,2013-06-30,5.475e+15,0.001483,2.524e+17
2013-07-01,2013-07-31,5.273e+15,0.001437,2.59e+17
2013-08-01,2013-08-31,6.03e+15,0.001532,2.698e+17
2013-09-01,2013-09-30,6.615e+15,0.001454,2.727e+17
2013-10-01,2013-10-31,8.375e+15,0.001357,2.748e+17
2013-11-01,2013-11-30,8.908e+15,0.001341,2.613e+17
2013-12-01,2013-12-31,8.858e+15,0.001364,2.754e+17
2014-01-01,2014-01-31,2.762e+15,0.001543,2.35e+17
2014-02-01,2014-02-28,4.659e+15,0.001412,2.714e+17
2014-03-01,2014-03-31,7.907e+15,0.001354,2.682e+17
2014-04-01,2014-04-30,7.136e+15,0.001371,2.572e+17
2014-05-01,2014-05-31,6.852e+15,0.001411,2.442e+17
2014-06-01,2014-06-30,5.586e+15,0.001399,2.496e+17
2014-07-01,2014-07-31,4.619e+15,0.001488,2.656e+17
2014-08-01,2014-08-31,7.243e+15,0.00162,2.716e+17
2014-09-01,2014-09-30,6.885e+15,0.001468,2.701e+17
2014-10-01,2014-10-31,8.957e+15,0.001415,2.814e+17
2014-11-01,2014-11-30,7.085e+15,0.001393,2.819e+17
2014-12-01,2014-12-31,8.501e+15,0.001434,2.521e+17
2015-01-01,2015-01-31,7.898e+15,NaN,NaN
2015-02-01,2015-02-28,6.539e+15,0.001451,2.864e+17
2015-03-01,2015-03-31,5.874e+15,0.001401,2.888e+17
2015-04-01,2015-04-30,6.234e+15,0.001393,2.635e+17
2015-05-01,2015-05-31,7.093e+15,0.001415,2.524e+17
2015-06-01,2015-06-30,4.914e+15,0.001532,2.485e+17
2015-07-01,2015-07-31,4.868e+15,0.001565,2.632e+17
2015-08-01,2015-08-31,5.452e+15,0.001561,2.691e+17
2015-09-01,2015-09-30,5.989e+15,0.001525,2.798e+17
2015-10-01,2015-10-31,7.546e+15,0.001364,2.713e+17
2015-11-01,2015-11-30,6.225e+15,0.001372,2.75e+17
2015-12-01,2015-12-31,7.49e+15,0.00159,2.71e+17
