SiteName,Cincinnati OH
ShortName,Cincinnati
SiteLongitude,-84.5500
SiteLatitude,39.1000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,5.552e+15,0.001324,2.472e+17
2005-02-01,2005-02-28,1.353e+16,0.001308,2.517e+17
2005-03-01,2005-03-31,1.248e+16,0.001254,2.442e+17
2005-04-01,2005-04-30,1.336e+16,0.001262,2.3e+17
2005-05-01,2005-05-31,7.779e+15,0.001286,2.329e+17
2005-06-01,2005-06-30,7.522e+15,0.001348,2.365e+17
2005-07-01,2005-07-31,6.688e+15,0.001408,2.442e+17
2005-08-01,2005-08-31,8.623e+15,0.001431,2.501e+17
2005-09-01,2005-09-30,8.322e+15,0.001352,2.531e+17
2005-10-01,2005-10-31,1.463e+16,0.0013,2.633e+17
2005-11-01,2005-11-30,1.211e+16,0.001237,2.635e+17
2005-12-01,2005-12-31,1.213e+16,0.00132,2.541e+17
2006-01-01,2006-01-31,8.603e+15,0.001317,2.489e+17
2006-02-01,2006-02-28,1.31e+16,0.001276,2.366e+17
2006-03-01,2006-03-31,1.044e+16,0.001337,2.534e+17
2006-04-01,2006-04-30,1.049e+16,0.001352,2.454e+17
2006-05-01,2006-05-31,7.5e+15,0.001339,2.385e+17
2006-06-01,2006-06-30,6.508e+15,0.001354,2.372e+17
2006-07-01,2006-07-31,4.941e+15,0.001387,2.413e+17
2006-08-01,2006-08-31,7.7e+15,0.001427,2.526e+17
2006-09-01,2006-09-30,8.972e+15,0.001353,2.523e+17
2006-10-01,2006-10-31,1.084e+16,0.001296,2.581e+17
2006-11-01,2006-11-30,1.22e+16,0.001305,2.766e+17
2006-12-01,2006-12-31,1.108e+16,0.00127,2.672e+17
2007-01-01,2007-01-31,9.632e+15,0.001354,2.555e+17
2007-02-01,2007-02-28,1.282e+16,0.001299,2.57e+17
2007-03-01,2007-03-31,9.696e+15,0.001324,2.667e+17
2007-04-01,2007-04-30,1.102e+16,0.001294,2.425e+17
2007-05-01,2007-05-31,7.454e+15,0.001292,2.346e+17
2007-06-01,2007-06-30,6.675e+15,0.001342,2.309e+17
2007-07-01,2007-07-31,5.57e+15,0.001405,2.445e+17
2007-08-01,2007-08-31,6.852e+15,0.001452,2.556e+17
2007-09-01,2007-09-30,8.031e+15,0.001368,2.585e+17
2007-10-01,2007-10-31,1.115e+16,0.001336,2.651e+17
2007-11-01,2007-11-30,1.284e+16,0.001337,2.703e+17
2007-12-01,2007-12-31,1.113e+16,0.001238,2.492e+17
2008-01-01,2008-01-31,9.782e+15,0.001428,2.663e+17
2008-02-01,2008-02-29,7.127e+15,0.001395,2.61e+17
2008-03-01,2008-03-31,1.058e+16,0.001259,2.442e+17
2008-04-01,2008-04-30,7.47e+15,0.001284,2.367e+17
2008-05-01,2008-05-31,5.801e+15,0.001313,2.334e+17
2008-06-01,2008-06-30,5.336e+15,0.001354,2.41e+17
2008-07-01,2008-07-31,5.628e+15,0.001419,2.463e+17
2008-08-01,2008-08-31,6.275e+15,0.001432,2.523e+17
2008-09-01,2008-09-30,8.377e+15,0.001368,2.551e+17
2008-10-01,2008-10-31,9.151e+15,0.001279,2.535e+17
2008-11-01,2008-11-30,1.321e+16,0.001228,2.587e+17
2008-12-01,2008-12-31,6.602e+15,0.001305,2.628e+17
2009-01-01,2009-01-31,4.413e+15,0.001307,2.42e+17
2009-02-01,2009-02-28,9.855e+15,0.001241,2.357e+17
2009-03-01,2009-03-31,7.541e+15,0.0013,2.431e+17
2009-04-01,2009-04-30,6.611e+15,0.001342,2.493e+17
2009-05-01,2009-05-31,5.363e+15,0.001314,2.398e+17
2009-06-01,2009-06-30,4.707e+15,0.001407,2.406e+17
2009-07-01,2009-07-31,5.582e+15,0.001415,2.51e+17
2009-08-01,2009-08-31,6.542e+15,0.001475,2.587e+17
2009-09-01,2009-09-30,6.199e+15,0.001411,2.633e+17
2009-10-01,2009-10-31,6.782e+15,0.001302,2.575e+17
