SiteName,Cleveland OH
ShortName,Cleveland
SiteLongitude,-81.6700
SiteLatitude,41.4500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,7.562e+15,0.001409,2.537e+17
2005-02-01,2005-02-28,5.638e+15,0.001302,2.404e+17
2005-03-01,2005-03-31,1.053e+16,0.001274,2.406e+17
2005-04-01,2005-04-30,8.259e+15,0.001259,2.301e+17
2005-05-01,2005-05-31,7.764e+15,0.001274,2.283e+17
2005-06-01,2005-06-30,6.442e+15,0.001351,2.311e+17
2005-07-01,2005-07-31,5.236e+15,0.001388,2.416e+17
2005-08-01,2005-08-31,5.032e+15,0.001457,2.469e+17
2005-09-01,2005-09-30,6.983e+15,0.001376,2.532e+17
2005-10-01,2005-10-31,1.102e+16,0.001347,2.643e+17
2005-11-01,2005-11-30,1.087e+16,0.001271,2.682e+17
2005-12-01,2005-12-31,1.17e+16,0.001322,2.567e+17
2006-01-01,2006-01-31,1.01e+16,0.001311,2.508e+17
2006-02-01,2006-02-28,8.333e+15,0.001296,2.412e+17
2006-03-01,2006-03-31,7.174e+15,0.001342,2.5e+17
2006-04-01,2006-04-30,1.004e+16,0.001354,2.432e+17
2006-05-01,2006-05-31,6.495e+15,0.001306,2.338e+17
2006-06-01,2006-06-30,4.966e+15,0.001351,2.312e+17
2006-07-01,2006-07-31,5.148e+15,0.001363,2.346e+17
2006-08-01,2006-08-31,4.841e+15,0.001467,2.487e+17
2006-09-01,2006-09-30,7.907e+15,0.001381,2.518e+17
2006-10-01,2006-10-31,7.59e+15,0.001304,2.616e+17
2006-11-01,2006-11-30,9.597e+15,0.001331,2.831e+17
2006-12-01,2006-12-31,9.667e+15,0.001338,2.68e+17
2007-01-01,2007-01-31,7.793e+15,0.001357,2.782e+17
2007-02-01,2007-02-28,6.434e+15,0.001417,2.518e+17
2007-03-01,2007-03-31,6.072e+15,0.001328,2.664e+17
2007-04-01,2007-04-30,5.864e+15,0.001278,2.395e+17
2007-05-01,2007-05-31,6.83e+15,0.001278,2.303e+17
2007-06-01,2007-06-30,4.602e+15,0.001372,2.323e+17
2007-07-01,2007-07-31,3.32e+15,0.001361,2.388e+17
2007-08-01,2007-08-31,5.68e+15,0.001443,2.557e+17
2007-09-01,2007-09-30,6.396e+15,0.001381,2.578e+17
2007-10-01,2007-10-31,8.663e+15,0.001349,2.715e+17
2007-11-01,2007-11-30,8.402e+15,0.001384,2.678e+17
2007-12-01,2007-12-31,5.09e+15,0.001257,2.585e+17
2008-01-01,2008-01-31,4.113e+15,0.001422,2.698e+17
2008-02-01,2008-02-29,1.479e+16,0.001418,2.658e+17
2008-03-01,2008-03-31,3.543e+15,0.001236,2.359e+17
2008-04-01,2008-04-30,7.351e+15,0.001285,2.336e+17
2008-05-01,2008-05-31,5.295e+15,0.001294,2.322e+17
2008-06-01,2008-06-30,4.031e+15,0.001346,2.336e+17
2008-07-01,2008-07-31,4.677e+15,0.001399,2.454e+17
2008-08-01,2008-08-31,3.624e+15,0.001452,2.494e+17
2008-09-01,2008-09-30,6.151e+15,0.001361,2.523e+17
2008-10-01,2008-10-31,8.072e+15,0.001343,2.622e+17
2008-11-01,2008-11-30,8.035e+15,0.001379,2.614e+17
2008-12-01,2008-12-31,5.66e+15,0.001444,2.932e+17
2009-01-01,2009-01-31,2.684e+15,0.001423,2.485e+17
2009-02-01,2009-02-28,5.821e+15,0.001345,2.521e+17
2009-03-01,2009-03-31,6.152e+15,0.001305,2.446e+17
2009-04-01,2009-04-30,4.349e+15,0.001351,2.44e+17
