SiteName,Columbus OH
ShortName,Columbus
SiteLongitude,-83.1000
SiteLatitude,40.0000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,3.774e+15,0.00135,2.455e+17
2005-02-01,2005-02-28,1.115e+16,0.001288,2.349e+17
2005-03-01,2005-03-31,7.515e+15,0.001277,2.442e+17
2005-04-01,2005-04-30,8.329e+15,0.001286,2.323e+17
2005-05-01,2005-05-31,5.593e+15,0.001317,2.305e+17
2005-06-01,2005-06-30,5.539e+15,0.001369,2.343e+17
2005-07-01,2005-07-31,3.965e+15,0.001449,2.463e+17
2005-08-01,2005-08-31,5.371e+15,0.001468,2.503e+17
2005-09-01,2005-09-30,5.597e+15,0.001398,2.525e+17
2005-10-01,2005-10-31,8.179e+15,0.00134,2.67e+17
2005-11-01,2005-11-30,8.375e+15,0.001283,2.651e+17
2005-12-01,2005-12-31,7.036e+15,0.001313,2.453e+17
2006-01-01,2006-01-31,6.797e+15,0.001347,2.486e+17
2006-02-01,2006-02-28,8.316e+15,0.001305,2.348e+17
2006-03-01,2006-03-31,4.92e+15,0.001365,2.566e+17
2006-04-01,2006-04-30,6.095e+15,0.001381,2.451e+17
2006-05-01,2006-05-31,4.297e+15,0.001356,2.391e+17
2006-06-01,2006-06-30,4.019e+15,0.001422,2.358e+17
2006-07-01,2006-07-31,3.527e+15,0.00147,2.399e+17
2006-08-01,2006-08-31,4.766e+15,0.001491,2.52e+17
2006-09-01,2006-09-30,5.188e+15,0.001392,2.531e+17
2006-10-01,2006-10-31,7.28e+15,0.001325,2.579e+17
2006-11-01,2006-11-30,7.943e+15,0.001373,2.817e+17
2006-12-01,2006-12-31,8.617e+15,0.001308,2.632e+17
2007-01-01,2007-01-31,6.606e+15,0.001405,2.597e+17
2007-02-01,2007-02-28,8.428e+15,0.001335,2.563e+17
2007-03-01,2007-03-31,6.23e+15,0.00136,2.676e+17
2007-04-01,2007-04-30,5.652e+15,0.001329,2.401e+17
2007-05-01,2007-05-31,5.319e+15,0.001328,2.338e+17
2007-06-01,2007-06-30,4.597e+15,0.001402,2.338e+17
2007-07-01,2007-07-31,3.233e+15,0.001421,2.399e+17
2007-08-01,2007-08-31,4.554e+15,0.001486,2.555e+17
2007-09-01,2007-09-30,4.684e+15,0.001404,2.592e+17
2007-10-01,2007-10-31,7.654e+15,0.001366,2.69e+17
2007-11-01,2007-11-30,7e+15,0.001382,2.712e+17
2007-12-01,2007-12-31,8.199e+15,0.001243,2.465e+17
2008-01-01,2008-01-31,7.092e+15,0.001465,2.682e+17
2008-02-01,2008-02-29,3.371e+15,0.001346,2.425e+17
2008-03-01,2008-03-31,4.708e+15,0.001291,2.456e+17
2008-04-01,2008-04-30,5.451e+15,0.001313,2.351e+17
2008-05-01,2008-05-31,4.715e+15,0.001317,2.341e+17
2008-06-01,2008-06-30,3.585e+15,0.001382,2.333e+17
2008-07-01,2008-07-31,3.417e+15,0.001463,2.442e+17
2008-08-01,2008-08-31,3.346e+15,0.001475,2.518e+17
2008-09-01,2008-09-30,4.685e+15,0.001402,2.535e+17
2008-10-01,2008-10-31,6.219e+15,0.001302,2.57e+17
2008-11-01,2008-11-30,7.177e+15,0.001301,2.71e+17
2008-12-01,2008-12-31,4.142e+15,0.00134,2.668e+17
2009-01-01,2009-01-31,4.024e+15,0.001374,2.296e+17
2009-02-01,2009-02-28,5.482e+15,0.001314,2.31e+17
2009-03-01,2009-03-31,4.914e+15,0.001334,2.471e+17
2009-04-01,2009-04-30,4.62e+15,0.001403,2.442e+17
2009-05-01,2009-05-31,4.172e+15,0.001381,2.416e+17
2009-06-01,2009-06-30,3.963e+15,0.001435,2.422e+17
2009-07-01,2009-07-31,4.215e+15,0.001484,2.458e+17
2009-08-01,2009-08-31,3.721e+15,0.001523,2.533e+17
2009-09-01,2009-09-30,4.339e+15,0.001471,2.617e+17
2009-10-01,2009-10-31,3.908e+15,0.001369,2.58e+17
2009-11-01,2009-11-30,6.123e+15,0.001422,2.679e+17
2009-12-01,2009-12-31,4.086e+15,0.001347,2.528e+17
2010-01-01,2010-01-31,5.216e+15,0.001391,2.413e+17
2010-02-01,2010-02-28,4.666e+15,0.001381,2.56e+17
2010-03-01,2010-03-31,6.092e+15,0.001301,2.62e+17
2010-04-01,2010-04-30,4.473e+15,0.001447,2.56e+17
2010-05-01,2010-05-31,4.017e+15,0.001443,2.483e+17
2010-06-01,2010-06-30,4.092e+15,0.001492,2.487e+17
2010-07-01,2010-07-31,3.132e+15,0.001572,2.534e+17
2010-08-01,2010-08-31,3.929e+15,0.001594,2.62e+17
2010-09-01,2010-09-30,4.172e+15,0.001507,2.599e+17
2010-10-01,2010-10-31,4.918e+15,0.001361,2.536e+17
2010-11-01,2010-11-30,6.12e+15,0.001351,2.525e+17
2010-12-01,2010-12-31,5.201e+15,0.001349,2.396e+17
2011-01-01,2011-01-31,4.82e+15,0.00154,2.588e+17
2011-02-01,2011-02-28,6.42e+15,0.001472,2.447e+17
2011-03-01,2011-03-31,4.349e+15,0.001476,2.661e+17
2011-04-01,2011-04-30,4.416e+15,0.001485,2.446e+17
2011-05-01,2011-05-31,2.726e+15,0.0014,2.454e+17
