SiteName,Dallas TX
ShortName,Dallas
SiteLongitude,-96.9500
SiteLatitude,32.8500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,8.785e+15,0.001263,2.402e+17
2005-02-01,2005-02-28,1.041e+16,0.001211,2.338e+17
2005-03-01,2005-03-31,8.334e+15,0.001237,2.399e+17
2005-04-01,2005-04-30,6.921e+15,0.001254,2.381e+17
2005-05-01,2005-05-31,7.122e+15,0.001304,2.351e+17
2005-06-01,2005-06-30,5.881e+15,0.001336,2.416e+17
2005-07-01,2005-07-31,6.656e+15,0.001383,2.54e+17
2005-08-01,2005-08-31,8.222e+15,0.001395,2.6e+17
2005-09-01,2005-09-30,6.84e+15,0.001295,2.517e+17
2005-10-01,2005-10-31,8.629e+15,0.001258,2.501e+17
2005-11-01,2005-11-30,7.707e+15,0.001226,2.43e+17
2005-12-01,2005-12-31,8.823e+15,0.001249,2.452e+17
2006-01-01,2006-01-31,8.066e+15,0.001265,2.386e+17
2006-02-01,2006-02-28,8.773e+15,0.001276,2.282e+17
2006-03-01,2006-03-31,7.214e+15,0.001346,2.467e+17
2006-04-01,2006-04-30,5.791e+15,0.001315,2.419e+17
2006-05-01,2006-05-31,6.023e+15,0.00131,2.405e+17
2006-06-01,2006-06-30,5.852e+15,0.001365,2.422e+17
2006-07-01,2006-07-31,5.25e+15,0.001406,2.478e+17
2006-08-01,2006-08-31,7.144e+15,0.001402,2.542e+17
2006-09-01,2006-09-30,6.42e+15,0.001296,2.479e+17
2006-10-01,2006-10-31,7.747e+15,0.001269,2.555e+17
2006-11-01,2006-11-30,7.516e+15,0.001245,2.606e+17
2006-12-01,2006-12-31,9.883e+15,0.001204,2.462e+17
2007-01-01,2007-01-31,7.206e+15,0.001275,2.521e+17
2007-02-01,2007-02-28,7.867e+15,0.001245,2.462e+17
2007-03-01,2007-03-31,8.983e+15,0.001273,2.541e+17
2007-04-01,2007-04-30,6.066e+15,0.001309,2.472e+17
2007-05-01,2007-05-31,7.834e+15,0.001307,2.384e+17
2007-06-01,2007-06-30,5.46e+15,0.001339,2.421e+17
2007-07-01,2007-07-31,6.008e+15,0.001432,2.576e+17
2007-08-01,2007-08-31,6.876e+15,0.001391,2.606e+17
2007-09-01,2007-09-30,6.294e+15,0.001312,2.572e+17
2007-10-01,2007-10-31,7.404e+15,0.001294,2.589e+17
2007-11-01,2007-11-30,7.373e+15,0.001273,2.583e+17
2007-12-01,2007-12-31,7.705e+15,0.001227,2.405e+17
2008-01-01,2008-01-31,7.275e+15,0.001334,2.547e+17
2008-02-01,2008-02-29,8.044e+15,0.001302,2.397e+17
2008-03-01,2008-03-31,6.782e+15,0.001258,2.287e+17
2008-04-01,2008-04-30,5.251e+15,0.001301,2.353e+17
2008-05-01,2008-05-31,5.45e+15,0.001315,2.384e+17
2008-06-01,2008-06-30,4.574e+15,0.001372,2.456e+17
2008-07-01,2008-07-31,5.231e+15,0.001397,2.529e+17
2008-08-01,2008-08-31,6.933e+15,0.001383,2.571e+17
2008-09-01,2008-09-30,5.123e+15,0.001297,2.494e+17
2008-10-01,2008-10-31,7.72e+15,0.001266,2.523e+17
