SiteName,Detroit MI
ShortName,Detroit
SiteLongitude,-83.1000
SiteLatitude,42.3500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,5.695e+15,0.00157,2.655e+17
2005-02-01,2005-02-28,4.436e+15,0.001292,2.454e+17
2005-03-01,2005-03-31,1.302e+16,0.001225,2.394e+17
2005-04-01,2005-04-30,9.327e+15,0.001218,2.299e+17
2005-05-01,2005-05-31,1.024e+16,0.001254,2.277e+17
2005-06-01,2005-06-30,7.75e+15,0.001295,2.299e+17
2005-07-01,2005-07-31,6.753e+15,0.00136,2.401e+17
2005-08-01,2005-08-31,7.892e+15,0.001425,2.479e+17
2005-09-01,2005-09-30,8.388e+15,0.001363,2.496e+17
2005-10-01,2005-10-31,1.04e+16,0.001304,2.666e+17
2005-11-01,2005-11-30,1.127e+16,0.00125,2.675e+17
2005-12-01,2005-12-31,6.458e+15,0.001249,2.741e+17
2006-01-01,2006-01-31,9.106e+15,0.001348,2.555e+17
2006-02-01,2006-02-28,8.972e+15,0.001256,2.448e+17
2006-03-01,2006-03-31,7.65e+15,0.001266,2.527e+17
2006-04-01,2006-04-30,8.73e+15,0.001324,2.425e+17
2006-05-01,2006-05-31,6.855e+15,0.001294,2.332e+17
2006-06-01,2006-06-30,6.487e+15,0.001336,2.309e+17
2006-07-01,2006-07-31,5.177e+15,0.00134,2.345e+17
2006-08-01,2006-08-31,6.357e+15,0.001425,2.462e+17
2006-09-01,2006-09-30,1.111e+16,0.001312,2.509e+17
2006-10-01,2006-10-31,8.95e+15,0.001281,2.627e+17
2006-11-01,2006-11-30,1.149e+16,0.001309,2.926e+17
2006-12-01,2006-12-31,9.785e+15,0.00122,2.629e+17
2007-01-01,2007-01-31,7.864e+15,0.001374,2.638e+17
2007-02-01,2007-02-28,7.108e+15,0.001295,2.474e+17
2007-03-01,2007-03-31,7.754e+15,0.001317,2.731e+17
2007-04-01,2007-04-30,8.606e+15,0.001254,2.369e+17
2007-05-01,2007-05-31,7.643e+15,0.001257,2.293e+17
2007-06-01,2007-06-30,6.396e+15,0.001306,2.309e+17
2007-07-01,2007-07-31,5.126e+15,0.001347,2.386e+17
2007-08-01,2007-08-31,7.547e+15,0.001444,2.51e+17
2007-09-01,2007-09-30,6.989e+15,0.001363,2.566e+17
2007-10-01,2007-10-31,9.204e+15,0.001324,2.721e+17
2007-11-01,2007-11-30,9.712e+15,0.001346,2.722e+17
2007-12-01,2007-12-31,8.771e+15,0.001254,2.61e+17
2008-01-01,2008-01-31,6.468e+15,0.001497,2.778e+17
2008-02-01,2008-02-29,5.576e+15,0.001265,2.42e+17
2008-03-01,2008-03-31,7.359e+15,0.001186,2.344e+17
2008-04-01,2008-04-30,8.26e+15,0.001243,2.353e+17
2008-05-01,2008-05-31,7.066e+15,0.00128,2.336e+17
2008-06-01,2008-06-30,5.245e+15,0.001349,2.322e+17
2008-07-01,2008-07-31,5.143e+15,0.001378,2.416e+17
2008-08-01,2008-08-31,5.245e+15,0.001434,2.507e+17
2008-09-01,2008-09-30,6.921e+15,0.001345,2.525e+17
2008-10-01,2008-10-31,8.354e+15,0.001273,2.582e+17
2008-11-01,2008-11-30,8.354e+15,0.001315,2.81e+17
2008-12-01,2008-12-31,4.074e+15,0.001441,2.787e+17
2009-01-01,2009-01-31,3.906e+15,0.001393,2.543e+17
2009-02-01,2009-02-28,8.293e+15,0.001144,2.217e+17
2009-03-01,2009-03-31,6.728e+15,0.001266,2.385e+17
2009-04-01,2009-04-30,6.464e+15,0.001341,2.486e+17
2009-05-01,2009-05-31,5.992e+15,0.001297,2.372e+17
2009-06-01,2009-06-30,5.896e+15,0.001381,2.373e+17
2009-07-01,2009-07-31,4.975e+15,0.001398,2.463e+17
2009-08-01,2009-08-31,5.883e+15,0.001433,2.503e+17
2009-09-01,2009-09-30,6.535e+15,0.001381,2.627e+17
2009-10-01,2009-10-31,7.879e+15,0.001265,2.68e+17
2009-11-01,2009-11-30,8.35e+15,0.001347,2.666e+17
2009-12-01,2009-12-31,7.548e+15,0.001186,2.565e+17
2010-01-01,2010-01-31,1.034e+16,0.001382,2.569e+17
2010-02-01,2010-02-28,6.975e+15,0.0012,2.262e+17
2010-03-01,2010-03-31,8.848e+15,0.001213,2.651e+17
2010-04-01,2010-04-30,6.097e+15,0.001327,2.52e+17
2010-05-01,2010-05-31,5.335e+15,0.001355,2.365e+17
2010-06-01,2010-06-30,4.939e+15,0.001437,2.41e+17
2010-07-01,2010-07-31,5.543e+15,0.001435,2.526e+17
2010-08-01,2010-08-31,5.433e+15,0.001553,2.559e+17
2010-09-01,2010-09-30,6.689e+15,0.001441,2.661e+17
2010-10-01,2010-10-31,6.906e+15,0.00123,2.432e+17
2010-11-01,2010-11-30,7.959e+15,0.001304,2.617e+17
