SiteName,Fresno CA
ShortName,Fresno
SiteLongitude,-119.7500
SiteLatitude,36.7000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,4.247e+15,0.001232,2.436e+17
2005-02-01,2005-02-28,4.689e+15,0.001273,2.589e+17
2005-03-01,2005-03-31,4.657e+15,0.001209,2.573e+17
2005-04-01,2005-04-30,5.062e+15,0.001218,2.35e+17
2005-05-01,2005-05-31,3.487e+15,0.001238,2.329e+17
2005-06-01,2005-06-30,4.07e+15,0.001311,2.354e+17
2005-07-01,2005-07-31,3.205e+15,0.001345,2.468e+17
2005-08-01,2005-08-31,4.376e+15,0.001409,2.54e+17
2005-09-01,2005-09-30,5.027e+15,0.001318,2.536e+17
2005-10-01,2005-10-31,5.84e+15,0.001253,2.595e+17
2005-11-01,2005-11-30,6.916e+15,0.001192,2.551e+17
2005-12-01,2005-12-31,5.148e+15,0.001314,2.6e+17
2006-01-01,2006-01-31,4.259e+15,0.001298,2.456e+17
2006-02-01,2006-02-28,5.98e+15,0.001211,2.389e+17
2006-03-01,2006-03-31,3.632e+15,0.001238,2.434e+17
2006-04-01,2006-04-30,4.136e+15,0.001314,2.422e+17
2006-05-01,2006-05-31,3.641e+15,0.001263,2.352e+17
2006-06-01,2006-06-30,3.468e+15,0.001317,2.386e+17
2006-07-01,2006-07-31,3.472e+15,0.001403,2.447e+17
2006-08-01,2006-08-31,4.002e+15,0.001402,2.519e+17
2006-09-01,2006-09-30,4.113e+15,0.001321,2.481e+17
2006-10-01,2006-10-31,6.612e+15,0.001249,2.659e+17
2006-11-01,2006-11-30,6.474e+15,0.001251,2.643e+17
2006-12-01,2006-12-31,8.158e+15,0.001195,2.601e+17
2007-01-01,2007-01-31,9.043e+15,0.001333,2.645e+17
2007-02-01,2007-02-28,5.23e+15,0.00129,2.592e+17
2007-03-01,2007-03-31,4.835e+15,0.001283,2.678e+17
2007-04-01,2007-04-30,5.056e+15,0.001283,2.503e+17
2007-05-01,2007-05-31,3.841e+15,0.00124,2.358e+17
2007-06-01,2007-06-30,3.478e+15,0.001306,2.374e+17
2007-07-01,2007-07-31,3.023e+15,0.001397,2.52e+17
2007-08-01,2007-08-31,4.02e+15,0.001367,2.565e+17
2007-09-01,2007-09-30,4.245e+15,0.001298,2.562e+17
2007-10-01,2007-10-31,5.573e+15,0.001288,2.635e+17
2007-11-01,2007-11-30,6.454e+15,0.001241,2.656e+17
2007-12-01,2007-12-31,6.16e+15,0.001177,2.654e+17
2008-01-01,2008-01-31,4.794e+15,0.001373,2.659e+17
2008-02-01,2008-02-29,4.468e+15,0.001311,2.555e+17
2008-03-01,2008-03-31,4.119e+15,0.001282,2.396e+17
2008-04-01,2008-04-30,3.543e+15,0.001237,2.363e+17
2008-05-01,2008-05-31,3.374e+15,0.001233,2.368e+17
2008-06-01,2008-06-30,3.917e+15,0.001298,2.374e+17
2008-07-01,2008-07-31,2.975e+15,0.001344,2.467e+17
2008-08-01,2008-08-31,3.49e+15,0.00136,2.539e+17
2008-09-01,2008-09-30,3.908e+15,0.001299,2.525e+17
2008-10-01,2008-10-31,5.324e+15,0.001244,2.559e+17
2008-11-01,2008-11-30,5.635e+15,0.001203,2.606e+17
2008-12-01,2008-12-31,4.428e+15,0.001267,2.814e+17
2009-01-01,2009-01-31,5.209e+15,0.00127,2.398e+17
2009-02-01,2009-02-28,3.506e+15,0.001209,2.339e+17
2009-03-01,2009-03-31,4.279e+15,0.001256,2.526e+17
2009-04-01,2009-04-30,3.536e+15,0.001256,2.493e+17
2009-05-01,2009-05-31,3.069e+15,0.001233,2.42e+17
2009-06-01,2009-06-30,3.124e+15,0.001338,2.417e+17
2009-07-01,2009-07-31,2.476e+15,0.001375,2.494e+17
2009-08-01,2009-08-31,3.284e+15,0.001371,2.586e+17
2009-09-01,2009-09-30,3.856e+15,0.001345,2.585e+17
2009-10-01,2009-10-31,4.697e+15,0.001257,2.606e+17
2009-11-01,2009-11-30,4.65e+15,0.001235,2.56e+17
2009-12-01,2009-12-31,5.997e+15,0.001187,2.384e+17
2010-01-01,2010-01-31,2.89e+15,0.001427,2.517e+17
2010-02-01,2010-02-28,2.993e+15,0.00115,2.466e+17
2010-03-01,2010-03-31,2.845e+15,0.001238,2.694e+17
2010-04-01,2010-04-30,3.227e+15,0.001276,2.606e+17
2010-05-01,2010-05-31,2.575e+15,0.001292,2.495e+17
2010-06-01,2010-06-30,2.54e+15,0.001373,2.436e+17
2010-07-01,2010-07-31,2.568e+15,0.001428,2.541e+17
2010-08-01,2010-08-31,2.916e+15,0.001451,2.63e+17
2010-09-01,2010-09-30,3.24e+15,0.00134,2.607e+17
2010-10-01,2010-10-31,4.204e+15,0.001253,2.551e+17
2010-11-01,2010-11-30,4.879e+15,0.001268,2.531e+17
2010-12-01,2010-12-31,6.216e+15,0.001265,2.525e+17
2011-01-01,2011-01-31,5.68e+15,0.001341,2.631e+17
2011-02-01,2011-02-28,3.478e+15,0.001311,2.605e+17
2011-03-01,2011-03-31,3.421e+15,0.001301,2.77e+17
2011-04-01,2011-04-30,2.484e+15,0.001299,2.562e+17
2011-05-01,2011-05-31,2.743e+15,0.001297,2.463e+17
2011-06-01,2011-06-30,2.361e+15,0.001336,2.489e+17
2011-07-01,2011-07-31,2.399e+15,0.00138,2.587e+17
2011-08-01,2011-08-31,2.851e+15,0.001449,2.66e+17
2011-09-01,2011-09-30,3.229e+15,0.001368,2.646e+17
2011-10-01,2011-10-31,4.469e+15,0.001344,2.689e+17
2011-11-01,2011-11-30,4.242e+15,0.001357,2.642e+17
2011-12-01,2011-12-31,4.821e+15,0.001326,2.636e+17
2012-01-01,2012-01-31,5.344e+15,0.001411,2.639e+17
2012-02-01,2012-02-29,4e+15,0.001261,2.586e+17
2012-03-01,2012-03-31,3.897e+15,0.001281,2.551e+17
2012-04-01,2012-04-30,3.281e+15,0.001336,2.463e+17
2012-05-01,2012-05-31,2.67e+15,0.001314,2.513e+17
2012-06-01,2012-06-30,2.742e+15,0.001373,2.531e+17
2012-07-01,2012-07-31,2.329e+15,0.001492,2.631e+17
2012-08-01,2012-08-31,2.899e+15,0.001483,2.714e+17
2012-09-01,2012-09-30,3.184e+15,0.001364,2.764e+17
2012-10-01,2012-10-31,3.749e+15,0.00132,2.725e+17
2012-11-01,2012-11-30,4.495e+15,0.00128,2.547e+17
2012-12-01,2012-12-31,3.302e+15,0.001286,2.482e+17
2013-01-01,2013-01-31,5.234e+15,0.001477,2.426e+17
2013-02-01,2013-02-28,3.607e+15,0.001295,2.673e+17
2013-03-01,2013-03-31,3.056e+15,0.00134,2.798e+17
2013-04-01,2013-04-30,2.698e+15,0.001327,2.58e+17
2013-05-01,2013-05-31,2.618e+15,0.001342,2.513e+17
2013-06-01,2013-06-30,2.601e+15,0.001392,2.551e+17
2013-07-01,2013-07-31,2.424e+15,0.001447,2.619e+17
2013-08-01,2013-08-31,2.833e+15,0.001489,2.732e+17
2013-09-01,2013-09-30,2.898e+15,0.0014,2.72e+17
2013-10-01,2013-10-31,4.55e+15,0.001364,2.834e+17
2013-11-01,2013-11-30,4.602e+15,0.00133,2.709e+17
2013-12-01,2013-12-31,5.945e+15,0.001357,2.527e+17
2014-01-01,2014-01-31,4.259e+15,0.001448,2.588e+17
2014-02-01,2014-02-28,3.84e+15,0.001371,2.535e+17
2014-03-01,2014-03-31,2.839e+15,0.001326,2.81e+17
2014-04-01,2014-04-30,2.848e+15,0.001316,2.551e+17
2014-05-01,2014-05-31,2.436e+15,0.001354,2.538e+17
2014-06-01,2014-06-30,2.457e+15,0.001381,2.493e+17
2014-07-01,2014-07-31,2.189e+15,0.001474,2.656e+17
2014-08-01,2014-08-31,2.949e+15,0.001487,2.758e+17
2014-09-01,2014-09-30,2.865e+15,0.001423,2.759e+17
2014-10-01,2014-10-31,3.653e+15,0.00134,2.79e+17
2014-11-01,2014-11-30,4.426e+15,0.001191,2.577e+17
2014-12-01,2014-12-31,2.839e+15,0.001409,2.666e+17
2015-01-01,2015-01-31,3.833e+15,0.001266,2.384e+17
2015-02-01,2015-02-28,2.706e+15,0.00151,2.763e+17
2015-03-01,2015-03-31,2.567e+15,0.001351,2.769e+17
2015-04-01,2015-04-30,2.986e+15,0.001312,2.628e+17
2015-05-01,2015-05-31,2.741e+15,0.001309,2.539e+17
2015-06-01,2015-06-30,2.682e+15,0.001405,2.563e+17
2015-07-01,2015-07-31,2.393e+15,0.001418,2.643e+17
2015-08-01,2015-08-31,2.974e+15,0.001453,2.716e+17
2015-09-01,2015-09-30,3.728e+15,0.001385,2.776e+17
2015-10-01,2015-10-31,4.71e+15,0.001341,2.748e+17
2015-11-01,2015-11-30,4.278e+15,0.001434,2.814e+17
2015-12-01,2015-12-31,5.063e+15,0.001486,2.825e+17
