SiteName,Houston TX
ShortName,Houston
SiteLongitude,-95.2500
SiteLatitude,29.8000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.243e+16,0.001171,2.385e+17
2005-02-01,2005-02-28,1.072e+16,0.001143,2.429e+17
2005-03-01,2005-03-31,9.955e+15,0.001133,2.347e+17
2005-04-01,2005-04-30,7.22e+15,0.001181,2.392e+17
2005-05-01,2005-05-31,1.101e+16,0.001204,2.425e+17
2005-06-01,2005-06-30,7.109e+15,0.001273,2.448e+17
2005-07-01,2005-07-31,7.813e+15,0.001305,2.607e+17
2005-08-01,2005-08-31,1.116e+16,0.001283,2.633e+17
2005-09-01,2005-09-30,8.409e+15,0.001205,2.535e+17
2005-10-01,2005-10-31,9.546e+15,0.001178,2.441e+17
2005-11-01,2005-11-30,9.562e+15,0.001144,2.346e+17
2005-12-01,2005-12-31,1.096e+16,0.001152,2.426e+17
2006-01-01,2006-01-31,9.471e+15,0.001155,2.357e+17
2006-02-01,2006-02-28,1.021e+16,0.001174,2.277e+17
2006-03-01,2006-03-31,8.25e+15,0.001225,2.42e+17
2006-04-01,2006-04-30,7.223e+15,0.001228,2.459e+17
2006-05-01,2006-05-31,8.752e+15,0.001243,2.41e+17
2006-06-01,2006-06-30,8.189e+15,0.001283,2.494e+17
2006-07-01,2006-07-31,9.528e+15,0.0013,2.584e+17
2006-08-01,2006-08-31,1.095e+16,0.001297,2.579e+17
2006-09-01,2006-09-30,8.046e+15,0.001197,2.493e+17
2006-10-01,2006-10-31,8.104e+15,0.001155,2.478e+17
2006-11-01,2006-11-30,8.742e+15,0.001149,2.545e+17
2006-12-01,2006-12-31,1.151e+16,0.00112,2.414e+17
2007-01-01,2007-01-31,9.514e+15,0.001167,2.421e+17
2007-02-01,2007-02-28,1.165e+16,0.001206,2.377e+17
2007-03-01,2007-03-31,1.244e+16,0.001163,2.483e+17
2007-04-01,2007-04-30,6.31e+15,0.001243,2.489e+17
2007-05-01,2007-05-31,9.547e+15,0.001211,2.458e+17
2007-06-01,2007-06-30,6.919e+15,0.001253,2.435e+17
2007-07-01,2007-07-31,7.333e+15,0.001281,2.581e+17
2007-08-01,2007-08-31,8.302e+15,0.001286,2.653e+17
2007-09-01,2007-09-30,8.047e+15,0.001208,2.599e+17
2007-10-01,2007-10-31,8.504e+15,0.001202,2.524e+17
2007-11-01,2007-11-30,9.94e+15,0.001191,2.519e+17
2007-12-01,2007-12-31,9.181e+15,0.001128,2.346e+17
2008-01-01,2008-01-31,6.779e+15,0.001214,2.522e+17
2008-02-01,2008-02-29,8.255e+15,0.001183,2.331e+17
2008-03-01,2008-03-31,7.786e+15,0.001172,2.264e+17
2008-04-01,2008-04-30,6.637e+15,0.00123,2.404e+17
2008-05-01,2008-05-31,7.052e+15,0.001205,2.411e+17
2008-06-01,2008-06-30,6.049e+15,0.001287,2.487e+17
2008-07-01,2008-07-31,7.523e+15,0.001317,2.579e+17
2008-08-01,2008-08-31,9.364e+15,0.001287,2.602e+17
2008-09-01,2008-09-30,6.894e+15,0.001229,2.568e+17
2008-10-01,2008-10-31,1.058e+16,0.001183,2.529e+17
2008-11-01,2008-11-30,9.003e+15,0.001105,2.49e+17
2008-12-01,2008-12-31,1.026e+16,0.001086,2.203e+17
2009-01-01,2009-01-31,9.611e+15,0.001119,2.211e+17
2009-02-01,2009-02-28,7.687e+15,0.001172,2.269e+17
2009-03-01,2009-03-31,8.335e+15,0.001225,2.471e+17
2009-04-01,2009-04-30,6.252e+15,0.001244,2.473e+17
2009-05-01,2009-05-31,6.141e+15,0.001257,2.514e+17
2009-06-01,2009-06-30,5.436e+15,0.001331,2.545e+17
