SiteName,Indianapolis IN
ShortName,Indianapolis
SiteLongitude,-86.1500
SiteLatitude,39.8000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.447e+15,0.001324,2.408e+17
2005-02-01,2005-02-28,8.983e+15,0.001298,2.474e+17
2005-03-01,2005-03-31,9.023e+15,0.001261,2.411e+17
2005-04-01,2005-04-30,8.289e+15,0.001264,2.336e+17
2005-05-01,2005-05-31,7.905e+15,0.001287,2.326e+17
2005-06-01,2005-06-30,5.285e+15,0.001335,2.323e+17
2005-07-01,2005-07-31,4.231e+15,0.001413,2.444e+17
2005-08-01,2005-08-31,6.55e+15,0.001459,2.522e+17
2005-09-01,2005-09-30,5.735e+15,0.001373,2.543e+17
2005-10-01,2005-10-31,8.585e+15,0.001331,2.621e+17
2005-11-01,2005-11-30,7.344e+15,0.00125,2.666e+17
2005-12-01,2005-12-31,7.519e+15,0.001294,2.504e+17
2006-01-01,2006-01-31,8.194e+15,0.001339,2.516e+17
2006-02-01,2006-02-28,8.51e+15,0.001291,2.371e+17
2006-03-01,2006-03-31,6.469e+15,0.001335,2.514e+17
2006-04-01,2006-04-30,7.441e+15,0.001383,2.422e+17
2006-05-01,2006-05-31,6.43e+15,0.001337,2.379e+17
2006-06-01,2006-06-30,4.793e+15,0.001358,2.348e+17
2006-07-01,2006-07-31,4.562e+15,0.001393,2.406e+17
2006-08-01,2006-08-31,6.838e+15,0.00149,2.51e+17
2006-09-01,2006-09-30,6.803e+15,0.001356,2.554e+17
2006-10-01,2006-10-31,7.122e+15,0.001299,2.625e+17
2006-11-01,2006-11-30,9.086e+15,0.00132,2.797e+17
2006-12-01,2006-12-31,8.633e+15,0.001262,2.641e+17
2007-01-01,2007-01-31,8.131e+15,0.001381,2.598e+17
2007-02-01,2007-02-28,7.787e+15,0.001288,2.553e+17
2007-03-01,2007-03-31,8.076e+15,0.001343,2.647e+17
2007-04-01,2007-04-30,7.156e+15,0.001301,2.438e+17
2007-05-01,2007-05-31,6.026e+15,0.001302,2.351e+17
2007-06-01,2007-06-30,4.641e+15,0.001358,2.314e+17
2007-07-01,2007-07-31,4.351e+15,0.001406,2.429e+17
2007-08-01,2007-08-31,6.063e+15,0.001434,2.541e+17
2007-09-01,2007-09-30,5.893e+15,0.001379,2.569e+17
2007-10-01,2007-10-31,8.174e+15,0.00135,2.696e+17
2007-11-01,2007-11-30,8.558e+15,0.001322,2.728e+17
2007-12-01,2007-12-31,8.354e+15,0.001237,2.485e+17
2008-01-01,2008-01-31,5.524e+15,0.001457,2.744e+17
2008-02-01,2008-02-29,4.479e+15,0.001392,2.529e+17
2008-03-01,2008-03-31,7.282e+15,0.001254,2.496e+17
2008-04-01,2008-04-30,5.146e+15,0.001281,2.331e+17
2008-05-01,2008-05-31,5.394e+15,0.001306,2.331e+17
2008-06-01,2008-06-30,3.268e+15,0.001384,2.383e+17
2008-07-01,2008-07-31,3.867e+15,0.00145,2.455e+17
2008-08-01,2008-08-31,4.094e+15,0.001457,2.484e+17
2008-09-01,2008-09-30,5.998e+15,0.001359,2.566e+17
2008-10-01,2008-10-31,6.564e+15,0.001309,2.598e+17
2008-11-01,2008-11-30,7.879e+15,0.001292,2.616e+17
2008-12-01,2008-12-31,3.738e+15,0.001398,2.845e+17
2009-01-01,2009-01-31,4.145e+15,0.001271,2.273e+17
2009-02-01,2009-02-28,6.269e+15,0.001341,2.379e+17
2009-03-01,2009-03-31,4.941e+15,0.001308,2.405e+17
2009-04-01,2009-04-30,4.939e+15,0.001357,2.525e+17
2009-05-01,2009-05-31,3.853e+15,0.001343,2.436e+17
2009-06-01,2009-06-30,3.133e+15,0.001421,2.415e+17
2009-07-01,2009-07-31,4.622e+15,0.001448,2.479e+17
2009-08-01,2009-08-31,5.391e+15,0.001517,2.541e+17
2009-09-01,2009-09-30,5.342e+15,0.001421,2.595e+17
2009-10-01,2009-10-31,5.091e+15,0.001283,2.612e+17
2009-11-01,2009-11-30,6.827e+15,0.001355,2.701e+17
2009-12-01,2009-12-31,7.461e+15,0.001285,2.54e+17
2010-01-01,2010-01-31,6.86e+15,0.001419,2.698e+17
2010-02-01,2010-02-28,6.7e+15,0.001386,2.496e+17
2010-03-01,2010-03-31,5.709e+15,0.001342,2.624e+17
2010-04-01,2010-04-30,5.07e+15,0.001416,2.597e+17
2010-05-01,2010-05-31,3.828e+15,0.001387,2.438e+17
2010-06-01,2010-06-30,3.732e+15,0.001422,2.459e+17
