SiteName,Jacksonville FL
ShortName,Jacksonville
SiteLongitude,-81.6000
SiteLatitude,30.4500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.898e+15,0.001141,2.372e+17
2005-02-01,2005-02-28,6.374e+15,0.001098,2.257e+17
2005-03-01,2005-03-31,5.685e+15,0.001156,2.377e+17
2005-04-01,2005-04-30,5.673e+15,0.001176,2.4e+17
2005-05-01,2005-05-31,8.138e+15,0.001208,2.398e+17
2005-06-01,2005-06-30,6.993e+15,0.001258,2.461e+17
2005-07-01,2005-07-31,7.594e+15,0.001296,2.597e+17
2005-08-01,2005-08-31,7.432e+15,0.001291,2.623e+17
2005-09-01,2005-09-30,6.205e+15,0.001194,2.523e+17
2005-10-01,2005-10-31,5.401e+15,0.001188,2.461e+17
2005-11-01,2005-11-30,5.427e+15,0.001124,2.401e+17
2005-12-01,2005-12-31,6.682e+15,0.001146,2.378e+17
2006-01-01,2006-01-31,6.322e+15,0.001143,2.312e+17
2006-02-01,2006-02-28,8.006e+15,0.001169,2.26e+17
2006-03-01,2006-03-31,6.203e+15,0.001236,2.448e+17
2006-04-01,2006-04-30,4.893e+15,0.001227,2.441e+17
2006-05-01,2006-05-31,6.202e+15,0.001225,2.445e+17
2006-06-01,2006-06-30,7.093e+15,0.001278,2.474e+17
2006-07-01,2006-07-31,6.527e+15,0.001305,2.49e+17
2006-08-01,2006-08-31,7.136e+15,0.001314,2.61e+17
2006-09-01,2006-09-30,6.464e+15,0.001206,2.528e+17
2006-10-01,2006-10-31,5.597e+15,0.001153,2.481e+17
2006-11-01,2006-11-30,4.718e+15,0.001149,2.544e+17
2006-12-01,2006-12-31,4.696e+15,0.00111,2.378e+17
2007-01-01,2007-01-31,6.367e+15,0.001158,2.418e+17
2007-02-01,2007-02-28,6.218e+15,0.001139,2.375e+17
2007-03-01,2007-03-31,6.584e+15,0.001181,2.525e+17
2007-04-01,2007-04-30,4.773e+15,0.001211,2.49e+17
2007-05-01,2007-05-31,5.748e+15,0.001208,2.461e+17
2007-06-01,2007-06-30,6.49e+15,0.001309,2.476e+17
2007-07-01,2007-07-31,6.477e+15,0.001329,2.595e+17
2007-08-01,2007-08-31,7.142e+15,0.00129,2.647e+17
2007-09-01,2007-09-30,5.746e+15,0.001216,2.611e+17
2007-10-01,2007-10-31,5.069e+15,0.001207,2.568e+17
2007-11-01,2007-11-30,5.284e+15,0.001156,2.491e+17
2007-12-01,2007-12-31,5.965e+15,0.00116,2.385e+17
2008-01-01,2008-01-31,3.988e+15,0.001192,2.429e+17
2008-02-01,2008-02-29,5.677e+15,0.001193,2.365e+17
2008-03-01,2008-03-31,5.341e+15,0.001154,2.269e+17
2008-04-01,2008-04-30,4.93e+15,0.001228,2.395e+17
2008-05-01,2008-05-31,5.104e+15,0.001228,2.426e+17
2008-06-01,2008-06-30,6.247e+15,0.0013,2.486e+17
2008-07-01,2008-07-31,6.071e+15,0.001308,2.585e+17
2008-08-01,2008-08-31,6.219e+15,0.001306,2.633e+17
2008-09-01,2008-09-30,4.84e+15,0.001236,2.585e+17
2008-10-01,2008-10-31,4.72e+15,0.001215,2.537e+17
2008-11-01,2008-11-30,5.166e+15,0.001147,2.442e+17
2008-12-01,2008-12-31,6.353e+15,0.001122,2.386e+17
2009-01-01,2009-01-31,5.769e+15,0.00113,2.197e+17
2009-02-01,2009-02-28,5.805e+15,0.001144,2.316e+17
2009-03-01,2009-03-31,4.454e+15,0.001235,2.467e+17
2009-04-01,2009-04-30,3.573e+15,0.001252,2.446e+17
2009-05-01,2009-05-31,4.816e+15,0.001251,2.5e+17
2009-06-01,2009-06-30,4.857e+15,0.001313,2.533e+17
2009-07-01,2009-07-31,5.416e+15,0.001338,2.604e+17
2009-08-01,2009-08-31,4.228e+15,0.001295,2.684e+17
2009-09-01,2009-09-30,4.294e+15,0.001243,2.6e+17
2009-10-01,2009-10-31,3.056e+15,0.001163,2.511e+17
2009-11-01,2009-11-30,4.887e+15,0.001136,2.371e+17
2009-12-01,2009-12-31,4.885e+15,0.001113,2.205e+17
2010-01-01,2010-01-31,6.456e+15,0.001242,2.214e+17
2010-02-01,2010-02-28,3.989e+15,0.001248,2.277e+17
2010-03-01,2010-03-31,4.957e+15,0.001285,2.577e+17
2010-04-01,2010-04-30,4.52e+15,0.001288,2.581e+17
2010-05-01,2010-05-31,3.877e+15,0.001299,2.555e+17
2010-06-01,2010-06-30,5.457e+15,0.001351,2.575e+17
2010-07-01,2010-07-31,5.432e+15,0.001399,2.758e+17
2010-08-01,2010-08-31,5.519e+15,0.001418,2.827e+17
2010-09-01,2010-09-30,4.676e+15,0.001321,2.663e+17
2010-10-01,2010-10-31,3.389e+15,0.00125,2.559e+17
2010-11-01,2010-11-30,3.175e+15,0.00125,2.449e+17
2010-12-01,2010-12-31,4.284e+15,0.001223,2.358e+17
2011-01-01,2011-01-31,4.073e+15,0.001211,2.395e+17
2011-02-01,2011-02-28,4.41e+15,0.001263,2.447e+17
2011-03-01,2011-03-31,4.597e+15,0.001319,2.678e+17
2011-04-01,2011-04-30,4.431e+15,0.001284,2.594e+17
2011-05-01,2011-05-31,4.462e+15,0.001314,2.528e+17
2011-06-01,2011-06-30,4.553e+15,0.001357,2.592e+17
2011-07-01,2011-07-31,5.546e+15,0.001452,2.715e+17
2011-08-01,2011-08-31,5.28e+15,0.001446,2.819e+17
2011-09-01,2011-09-30,4.787e+15,0.001285,2.794e+17
2011-10-01,2011-10-31,4.037e+15,0.001306,2.663e+17
2011-11-01,2011-11-30,3.611e+15,0.001166,2.256e+17
2011-12-01,2011-12-31,3.539e+15,0.00118,2.407e+17
2012-01-01,2012-01-31,4.156e+15,0.001182,2.385e+17
2012-02-01,2012-02-29,5.241e+15,0.001324,2.312e+17
2012-03-01,2012-03-31,5.006e+15,0.001239,2.422e+17
2012-04-01,2012-04-30,5.282e+15,0.00129,2.469e+17
2012-05-01,2012-05-31,5.341e+15,0.001342,2.572e+17
2012-06-01,2012-06-30,6.18e+15,0.001372,2.609e+17
2012-07-01,2012-07-31,5.182e+15,0.001409,2.771e+17
2012-08-01,2012-08-31,4.738e+15,0.001409,2.877e+17
2012-09-01,2012-09-30,4.937e+15,0.001365,2.779e+17
2012-10-01,2012-10-31,4.532e+15,0.00136,2.632e+17
2012-11-01,2012-11-30,4.213e+15,0.001326,2.488e+17
2012-12-01,2012-12-31,3.913e+15,0.001281,2.423e+17
2013-01-01,2013-01-31,4.79e+15,0.00136,2.309e+17
2013-02-01,2013-02-28,5.212e+15,0.001408,2.407e+17
2013-03-01,2013-03-31,5.014e+15,0.00137,2.648e+17
2013-04-01,2013-04-30,3.823e+15,0.001306,2.633e+17
2013-05-01,2013-05-31,5.499e+15,0.001311,2.648e+17
2013-06-01,2013-06-30,4.568e+15,0.00137,2.694e+17
2013-07-01,2013-07-31,5.038e+15,0.001452,2.701e+17
2013-08-01,2013-08-31,5.381e+15,0.001438,2.816e+17
2013-09-01,2013-09-30,4.803e+15,0.001363,2.846e+17
2013-10-01,2013-10-31,3.105e+15,0.001315,2.811e+17
2013-11-01,2013-11-30,2.965e+15,0.001311,2.621e+17
2013-12-01,2013-12-31,3.532e+15,0.001423,2.683e+17
2014-01-01,2014-01-31,3.332e+15,0.001338,2.468e+17
2014-02-01,2014-02-28,5.675e+15,0.001241,2.508e+17
2014-03-01,2014-03-31,3.916e+15,0.001343,2.774e+17
2014-04-01,2014-04-30,4.715e+15,0.001394,2.558e+17
2014-05-01,2014-05-31,5.077e+15,0.001369,2.589e+17
2014-06-01,2014-06-30,5.3e+15,0.001431,2.66e+17
2014-07-01,2014-07-31,5.706e+15,0.001426,2.917e+17
2014-08-01,2014-08-31,6.394e+15,0.001417,2.884e+17
2014-09-01,2014-09-30,5.617e+15,0.001396,2.847e+17
2014-10-01,2014-10-31,4.104e+15,0.001296,2.725e+17
2014-11-01,2014-11-30,3.601e+15,0.001335,2.603e+17
2014-12-01,2014-12-31,4.977e+15,0.001207,2.434e+17
2015-01-01,2015-01-31,4.154e+15,0.001243,2.373e+17
2015-02-01,2015-02-28,4.345e+15,0.001367,2.74e+17
2015-03-01,2015-03-31,3.238e+15,0.001369,2.726e+17
2015-04-01,2015-04-30,5.026e+15,0.001343,2.606e+17
2015-05-01,2015-05-31,5.382e+15,0.001349,2.671e+17
2015-06-01,2015-06-30,6.473e+15,0.001356,2.745e+17
2015-07-01,2015-07-31,6.215e+15,0.001399,2.793e+17
2015-08-01,2015-08-31,6.551e+15,0.001407,2.898e+17
2015-09-01,2015-09-30,4.683e+15,0.001376,3.008e+17
2015-10-01,2015-10-31,2.81e+15,0.001267,2.704e+17
2015-11-01,2015-11-30,4.849e+15,0.001287,2.9e+17
2015-12-01,2015-12-31,3.87e+15,0.001213,2.478e+17
