SiteName,Kansas City MO
ShortName,Kansas City
SiteLongitude,-94.5500
SiteLatitude,39.1500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.746e+15,0.001407,2.545e+17
2005-02-01,2005-02-28,9.522e+15,0.001342,2.534e+17
2005-03-01,2005-03-31,5.923e+15,0.001299,2.496e+17
2005-04-01,2005-04-30,6.882e+15,0.001288,2.338e+17
2005-05-01,2005-05-31,5.123e+15,0.001311,2.319e+17
2005-06-01,2005-06-30,5.48e+15,0.001373,2.336e+17
2005-07-01,2005-07-31,5.602e+15,0.001432,2.438e+17
2005-08-01,2005-08-31,6.368e+15,0.001472,2.516e+17
2005-09-01,2005-09-30,6.223e+15,0.001392,2.546e+17
2005-10-01,2005-10-31,7.63e+15,0.001348,2.66e+17
2005-11-01,2005-11-30,6.391e+15,0.001267,2.634e+17
2005-12-01,2005-12-31,8.099e+15,0.001333,2.535e+17
2006-01-01,2006-01-31,5.926e+15,0.001386,2.527e+17
2006-02-01,2006-02-28,6.701e+15,0.001328,2.429e+17
2006-03-01,2006-03-31,6.077e+15,0.001334,2.496e+17
2006-04-01,2006-04-30,6.281e+15,0.001379,2.432e+17
2006-05-01,2006-05-31,4.933e+15,0.001341,2.375e+17
2006-06-01,2006-06-30,5.053e+15,0.001404,2.351e+17
2006-07-01,2006-07-31,5.231e+15,0.001432,2.416e+17
2006-08-01,2006-08-31,6.195e+15,0.001478,2.496e+17
2006-09-01,2006-09-30,7.021e+15,0.001383,2.5e+17
2006-10-01,2006-10-31,5.853e+15,0.001321,2.604e+17
2006-11-01,2006-11-30,7.243e+15,0.001325,2.781e+17
2006-12-01,2006-12-31,7.772e+15,0.00129,2.625e+17
2007-01-01,2007-01-31,6.704e+15,0.001404,2.629e+17
2007-02-01,2007-02-28,6.103e+15,0.001325,2.58e+17
2007-03-01,2007-03-31,4.539e+15,0.001362,2.703e+17
2007-04-01,2007-04-30,4.416e+15,0.001317,2.461e+17
2007-05-01,2007-05-31,6.684e+15,0.001336,2.33e+17
2007-06-01,2007-06-30,5.234e+15,0.001374,2.344e+17
2007-07-01,2007-07-31,4.986e+15,0.001432,2.452e+17
2007-08-01,2007-08-31,5.084e+15,0.001478,2.548e+17
2007-09-01,2007-09-30,5.892e+15,0.00141,2.568e+17
2007-10-01,2007-10-31,5.788e+15,0.001352,2.692e+17
2007-11-01,2007-11-30,7.551e+15,0.001336,2.721e+17
2007-12-01,2007-12-31,4.59e+15,0.001293,2.599e+17
2008-01-01,2008-01-31,4.601e+15,0.001428,2.618e+17
2008-02-01,2008-02-29,5.378e+15,0.001364,2.497e+17
2008-03-01,2008-03-31,5.266e+15,0.001291,2.386e+17
2008-04-01,2008-04-30,4.645e+15,0.00131,2.33e+17
2008-05-01,2008-05-31,4.687e+15,0.001324,2.347e+17
2008-06-01,2008-06-30,4.567e+15,0.001385,2.384e+17
2008-07-01,2008-07-31,3.832e+15,0.00145,2.475e+17
2008-08-01,2008-08-31,4.9e+15,0.001459,2.512e+17
2008-09-01,2008-09-30,5.851e+15,0.001373,2.529e+17
2008-10-01,2008-10-31,6.399e+15,0.001342,2.627e+17
2008-11-01,2008-11-30,5.828e+15,0.001255,2.625e+17
2008-12-01,2008-12-31,4.219e+15,0.001336,2.7e+17
2009-01-01,2009-01-31,5.275e+15,0.001282,2.29e+17
2009-02-01,2009-02-28,4.466e+15,0.001334,2.349e+17
2009-03-01,2009-03-31,4.821e+15,0.001339,2.503e+17
2009-04-01,2009-04-30,5.533e+15,0.001365,2.499e+17
2009-05-01,2009-05-31,4.195e+15,0.001362,2.434e+17
2009-06-01,2009-06-30,3.529e+15,0.001443,2.429e+17
2009-07-01,2009-07-31,4.208e+15,0.001457,2.484e+17
2009-08-01,2009-08-31,4.085e+15,0.00151,2.528e+17
2009-09-01,2009-09-30,5.148e+15,0.001411,2.683e+17
2009-10-01,2009-10-31,4.965e+15,0.00129,2.613e+17
