SiteName,Knoxville TN
ShortName,Knoxville
SiteLongitude,-84.0000
SiteLatitude,35.9500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,8.265e+15,0.001356,2.409e+17
2005-02-01,2005-02-28,7.466e+15,0.001365,2.385e+17
2005-03-01,2005-03-31,6.852e+15,0.001323,2.477e+17
2005-04-01,2005-04-30,7.587e+15,0.001374,2.325e+17
2005-05-01,2005-05-31,4.522e+15,0.001418,2.359e+17
2005-06-01,2005-06-30,4.828e+15,0.001409,2.379e+17
2005-07-01,2005-07-31,3.738e+15,0.001537,2.525e+17
2005-08-01,2005-08-31,5.08e+15,0.001518,2.586e+17
2005-09-01,2005-09-30,5.557e+15,0.001464,2.574e+17
2005-10-01,2005-10-31,8.129e+15,0.001359,2.58e+17
2005-11-01,2005-11-30,7.683e+15,0.001317,2.55e+17
2005-12-01,2005-12-31,8.398e+15,0.001361,2.447e+17
2006-01-01,2006-01-31,5.926e+15,0.001392,2.41e+17
2006-02-01,2006-02-28,6.385e+15,0.001338,2.295e+17
2006-03-01,2006-03-31,5.68e+15,0.001434,2.487e+17
2006-04-01,2006-04-30,5.101e+15,0.001457,2.467e+17
2006-05-01,2006-05-31,4.634e+15,0.001407,2.39e+17
2006-06-01,2006-06-30,4.054e+15,0.001439,2.406e+17
2006-07-01,2006-07-31,3.378e+15,0.001471,2.468e+17
2006-08-01,2006-08-31,4.105e+15,0.001537,2.572e+17
2006-09-01,2006-09-30,6.24e+15,0.001429,2.524e+17
2006-10-01,2006-10-31,6.05e+15,0.001373,2.582e+17
2006-11-01,2006-11-30,8.192e+15,0.001386,2.67e+17
2006-12-01,2006-12-31,7.851e+15,0.001355,2.523e+17
2007-01-01,2007-01-31,6.208e+15,0.001424,2.606e+17
2007-02-01,2007-02-28,6.895e+15,0.001365,2.503e+17
2007-03-01,2007-03-31,6.464e+15,0.001379,2.603e+17
2007-04-01,2007-04-30,5.178e+15,0.00138,2.486e+17
2007-05-01,2007-05-31,4.647e+15,0.001397,2.372e+17
2007-06-01,2007-06-30,4.116e+15,0.001462,2.394e+17
2007-07-01,2007-07-31,4.061e+15,0.001469,2.51e+17
2007-08-01,2007-08-31,4.517e+15,0.00156,2.617e+17
2007-09-01,2007-09-30,5.65e+15,0.0015,2.595e+17
2007-10-01,2007-10-31,7.474e+15,0.001421,2.635e+17
2007-11-01,2007-11-30,7.657e+15,0.001344,2.639e+17
2007-12-01,2007-12-31,5.502e+15,0.001341,2.527e+17
2008-01-01,2008-01-31,6.174e+15,0.001505,2.539e+17
2008-02-01,2008-02-29,6.657e+15,0.001366,2.402e+17
2008-03-01,2008-03-31,5.149e+15,0.001383,2.358e+17
2008-04-01,2008-04-30,5.137e+15,0.001412,2.367e+17
2008-05-01,2008-05-31,3.308e+15,0.001456,2.382e+17
2008-06-01,2008-06-30,2.756e+15,0.001486,2.423e+17
2008-07-01,2008-07-31,3.548e+15,0.001573,2.494e+17
2008-08-01,2008-08-31,4.097e+15,0.001517,2.565e+17
2008-09-01,2008-09-30,5.18e+15,0.001426,2.536e+17
2008-10-01,2008-10-31,5.053e+15,0.001408,2.496e+17
2008-11-01,2008-11-30,5.468e+15,0.001394,2.613e+17
2008-12-01,2008-12-31,4.149e+15,0.001347,2.452e+17
2009-01-01,2009-01-31,4.748e+15,0.001396,2.302e+17
2009-02-01,2009-02-28,4.094e+15,0.001344,2.396e+17
2009-03-01,2009-03-31,4.431e+15,0.001401,2.481e+17
2009-04-01,2009-04-30,4.326e+15,0.001451,2.478e+17
2009-05-01,2009-05-31,3.63e+15,0.001447,2.431e+17
2009-06-01,2009-06-30,3.191e+15,0.001507,2.433e+17
2009-07-01,2009-07-31,3.184e+15,0.00157,2.511e+17
2009-08-01,2009-08-31,3.455e+15,0.001577,2.637e+17
2009-09-01,2009-09-30,4.308e+15,0.001493,2.573e+17
2009-10-01,2009-10-31,4.801e+15,0.001366,2.562e+17
2009-11-01,2009-11-30,4.722e+15,0.001374,2.553e+17
2009-12-01,2009-12-31,3.883e+15,0.001499,2.329e+17
2010-01-01,2010-01-31,4.564e+15,0.001422,2.415e+17
2010-02-01,2010-02-28,3.888e+15,0.001395,2.402e+17
2010-03-01,2010-03-31,6.593e+15,0.001681,2.697e+17
2010-04-01,2010-04-30,4.165e+15,0.001506,2.606e+17
2010-05-01,2010-05-31,3.235e+15,0.001493,2.529e+17
2010-06-01,2010-06-30,3.352e+15,0.00156,2.582e+17
2010-07-01,2010-07-31,3.94e+15,0.001587,2.598e+17
2010-08-01,2010-08-31,3.948e+15,0.001654,2.718e+17
2010-09-01,2010-09-30,4.323e+15,0.00156,2.647e+17
2010-10-01,2010-10-31,4.341e+15,0.001424,2.522e+17
2010-11-01,2010-11-30,3.373e+15,0.001471,2.507e+17
2010-12-01,2010-12-31,6.916e+15,0.001422,2.479e+17
2011-01-01,2011-01-31,4.496e+15,0.00151,2.381e+17
2011-02-01,2011-02-28,4.429e+15,0.001542,2.472e+17
2011-03-01,2011-03-31,4.117e+15,0.00146,2.716e+17
2011-04-01,2011-04-30,3.555e+15,0.001528,2.567e+17
2011-05-01,2011-05-31,3.656e+15,0.001526,2.488e+17
2011-06-01,2011-06-30,2.846e+15,0.001572,2.538e+17
2011-07-01,2011-07-31,3.466e+15,0.001594,2.623e+17
2011-08-01,2011-08-31,3.925e+15,0.001687,2.704e+17
2011-09-01,2011-09-30,4.505e+15,0.001549,2.65e+17
2011-10-01,2011-10-31,4.261e+15,0.001513,2.728e+17
2011-11-01,2011-11-30,5.697e+15,0.001511,2.588e+17
2011-12-01,2011-12-31,5.813e+15,0.001356,2.303e+17
2012-01-01,2012-01-31,3.887e+15,0.001438,2.504e+17
2012-02-01,2012-02-29,3.643e+15,0.001347,2.26e+17
2012-03-01,2012-03-31,3.935e+15,0.001418,2.449e+17
2012-04-01,2012-04-30,4.128e+15,0.001416,2.489e+17
2012-05-01,2012-05-31,3.498e+15,0.001503,2.53e+17
2012-06-01,2012-06-30,3.707e+15,0.001625,2.557e+17
2012-07-01,2012-07-31,3.365e+15,0.001749,2.668e+17
2012-08-01,2012-08-31,4.328e+15,0.001641,2.765e+17
2012-09-01,2012-09-30,4.509e+15,0.001704,2.785e+17
2012-10-01,2012-10-31,4.485e+15,0.001539,2.703e+17
2012-11-01,2012-11-30,4.79e+15,0.001454,2.524e+17
2012-12-01,2012-12-31,5.526e+15,0.001428,2.501e+17
2013-01-01,2013-01-31,5.027e+15,0.001568,2.468e+17
2013-02-01,2013-02-28,3.523e+15,0.001571,2.449e+17
2013-03-01,2013-03-31,4.986e+15,0.001611,2.749e+17
2013-04-01,2013-04-30,4.592e+15,0.001605,2.616e+17
2013-05-01,2013-05-31,3.162e+15,0.001565,2.567e+17
2013-06-01,2013-06-30,3.343e+15,0.001601,2.626e+17
2013-07-01,2013-07-31,3.083e+15,0.001685,2.719e+17
2013-08-01,2013-08-31,3.446e+15,0.001758,2.795e+17
2013-09-01,2013-09-30,4.416e+15,0.001631,2.747e+17
2013-10-01,2013-10-31,3.808e+15,0.00154,2.754e+17
2013-11-01,2013-11-30,5.022e+15,0.001573,2.689e+17
2013-12-01,2013-12-31,5.174e+15,0.001585,2.685e+17
2014-01-01,2014-01-31,3.694e+15,0.001654,2.499e+17
2014-02-01,2014-02-28,3.672e+15,0.001592,2.713e+17
2014-03-01,2014-03-31,3.66e+15,0.001516,2.743e+17
2014-04-01,2014-04-30,3.793e+15,0.001544,2.535e+17
2014-05-01,2014-05-31,2.848e+15,0.00152,2.523e+17
2014-06-01,2014-06-30,2.789e+15,0.001602,2.516e+17
2014-07-01,2014-07-31,3.24e+15,0.001694,2.749e+17
2014-08-01,2014-08-31,3.936e+15,0.001676,2.759e+17
2014-09-01,2014-09-30,3.663e+15,0.001548,2.784e+17
2014-10-01,2014-10-31,4.21e+15,0.001464,2.743e+17
2014-11-01,2014-11-30,5.315e+15,0.001382,2.6e+17
2014-12-01,2014-12-31,4.653e+15,0.001471,2.358e+17
2015-01-01,2015-01-31,5.238e+15,0.001487,2.307e+17
2015-02-01,2015-02-28,4.738e+15,0.001643,2.735e+17
2015-03-01,2015-03-31,3.213e+15,0.001508,2.711e+17
2015-04-01,2015-04-30,4.374e+15,0.001618,2.586e+17
2015-05-01,2015-05-31,3.813e+15,0.001541,2.611e+17
2015-06-01,2015-06-30,3.039e+15,0.001573,2.669e+17
2015-07-01,2015-07-31,3.273e+15,0.001694,2.782e+17
2015-08-01,2015-08-31,3.616e+15,0.001739,2.872e+17
2015-09-01,2015-09-30,5.053e+15,0.001669,2.799e+17
2015-10-01,2015-10-31,4.287e+15,0.001519,2.734e+17
2015-11-01,2015-11-30,4.211e+15,0.001591,2.85e+17
2015-12-01,2015-12-31,4.204e+15,0.001584,2.553e+17
