SiteName,Las Vegas NV
ShortName,Las Vegas
SiteLongitude,-115.2000
SiteLatitude,36.2000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.519e+15,0.002286,2.481e+17
2005-02-01,2005-02-28,5.45e+15,0.00282,2.567e+17
2005-03-01,2005-03-31,5.972e+15,0.00238,2.514e+17
2005-04-01,2005-04-30,5.279e+15,0.002713,2.375e+17
2005-05-01,2005-05-31,4.197e+15,0.002325,2.33e+17
2005-06-01,2005-06-30,4.406e+15,0.00373,2.35e+17
2005-07-01,2005-07-31,4.319e+15,0.002787,2.459e+17
2005-08-01,2005-08-31,4.235e+15,0.007477,2.537e+17
2005-09-01,2005-09-30,6.212e+15,0.003101,2.534e+17
2005-10-01,2005-10-31,6.062e+15,0.002856,2.579e+17
2005-11-01,2005-11-30,7.919e+15,0.003814,2.581e+17
2005-12-01,2005-12-31,8.043e+15,0.002332,2.549e+17
2006-01-01,2006-01-31,6.299e+15,0.002862,2.427e+17
2006-02-01,2006-02-28,6.647e+15,0.002793,2.374e+17
2006-03-01,2006-03-31,5.827e+15,0.00221,2.505e+17
2006-04-01,2006-04-30,4.158e+15,0.003972,2.415e+17
2006-05-01,2006-05-31,4.486e+15,0.003977,2.369e+17
2006-06-01,2006-06-30,4.172e+15,0.003936,2.386e+17
2006-07-01,2006-07-31,3.459e+15,0.003678,2.443e+17
2006-08-01,2006-08-31,3.536e+15,0.0218,2.549e+17
2006-09-01,2006-09-30,5.062e+15,0.00342,2.513e+17
2006-10-01,2006-10-31,6.677e+15,0.003864,2.642e+17
2006-11-01,2006-11-30,6.681e+15,0.002177,2.643e+17
2006-12-01,2006-12-31,6.744e+15,0.002323,2.567e+17
2007-01-01,2007-01-31,6.212e+15,0.00317,2.613e+17
2007-02-01,2007-02-28,5.988e+15,0.004917,2.592e+17
2007-03-01,2007-03-31,5.589e+15,0.003682,2.673e+17
2007-04-01,2007-04-30,4.464e+15,0.003287,2.506e+17
2007-05-01,2007-05-31,3.895e+15,0.00298,2.358e+17
2007-06-01,2007-06-30,4.287e+15,0.002747,2.378e+17
2007-07-01,2007-07-31,2.996e+15,0.002482,2.511e+17
2007-08-01,2007-08-31,3.539e+15,0.003367,2.583e+17
2007-09-01,2007-09-30,4.112e+15,0.004264,2.568e+17
2007-10-01,2007-10-31,4.872e+15,0.00433,2.656e+17
