SiteName,Memphis TN
ShortName,Memphis
SiteLongitude,-90.1000
SiteLatitude,35.1000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,7.072e+15,0.001225,2.422e+17
2005-02-01,2005-02-28,7.976e+15,0.001154,2.384e+17
2005-03-01,2005-03-31,5.45e+15,0.00117,2.442e+17
2005-04-01,2005-04-30,7.456e+15,0.001203,2.364e+17
2005-05-01,2005-05-31,5.658e+15,0.001209,2.363e+17
2005-06-01,2005-06-30,5.332e+15,0.001269,2.38e+17
2005-07-01,2005-07-31,5.459e+15,0.001325,2.525e+17
2005-08-01,2005-08-31,6.493e+15,0.001339,2.563e+17
2005-09-01,2005-09-30,5.487e+15,0.001248,2.527e+17
2005-10-01,2005-10-31,7.576e+15,0.001205,2.556e+17
2005-11-01,2005-11-30,5.953e+15,0.001151,2.493e+17
2005-12-01,2005-12-31,6.567e+15,0.001211,2.479e+17
2006-01-01,2006-01-31,5.914e+15,0.001178,2.391e+17
2006-02-01,2006-02-28,6.943e+15,0.001188,2.323e+17
2006-03-01,2006-03-31,7.787e+15,0.001245,2.456e+17
2006-04-01,2006-04-30,5.75e+15,0.001277,2.419e+17
2006-05-01,2006-05-31,5.453e+15,0.001231,2.38e+17
2006-06-01,2006-06-30,4.559e+15,0.001279,2.403e+17
2006-07-01,2006-07-31,5.416e+15,0.001307,2.454e+17
2006-08-01,2006-08-31,5.893e+15,0.001347,2.55e+17
2006-09-01,2006-09-30,5.448e+15,0.001238,2.512e+17
2006-10-01,2006-10-31,6.076e+15,0.001189,2.534e+17
2006-11-01,2006-11-30,7.176e+15,0.001198,2.629e+17
2006-12-01,2006-12-31,7.144e+15,0.001147,2.525e+17
2007-01-01,2007-01-31,4.314e+15,0.001233,2.57e+17
2007-02-01,2007-02-28,7.279e+15,0.001199,2.465e+17
2007-03-01,2007-03-31,5.642e+15,0.001226,2.59e+17
2007-04-01,2007-04-30,5.938e+15,0.001231,2.472e+17
2007-05-01,2007-05-31,6.17e+15,0.001203,2.374e+17
2007-06-01,2007-06-30,5.694e+15,0.001281,2.396e+17
2007-07-01,2007-07-31,5.156e+15,0.00132,2.533e+17
2007-08-01,2007-08-31,5.193e+15,0.001355,2.59e+17
2007-09-01,2007-09-30,5.416e+15,0.001272,2.571e+17
2007-10-01,2007-10-31,6.926e+15,0.001223,2.589e+17
2007-11-01,2007-11-30,6.798e+15,0.001187,2.637e+17
2007-12-01,2007-12-31,5.685e+15,0.001125,2.48e+17
2008-01-01,2008-01-31,6.107e+15,0.001283,2.609e+17
2008-02-01,2008-02-29,5.388e+15,0.001237,2.447e+17
2008-03-01,2008-03-31,5.065e+15,0.001177,2.331e+17
2008-04-01,2008-04-30,6.028e+15,0.001205,2.32e+17
2008-05-01,2008-05-31,4.47e+15,0.001234,2.408e+17
