SiteName,Minneapolis MN
ShortName,Minneapolis
SiteLongitude,-93.2500
SiteLatitude,44.9500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,3.508e+15,0.001391,2.519e+17
2005-02-01,2005-02-28,3.874e+15,0.001376,2.524e+17
2005-03-01,2005-03-31,8.31e+15,0.001314,2.578e+17
2005-04-01,2005-04-30,7.227e+15,0.00126,2.312e+17
2005-05-01,2005-05-31,6.279e+15,0.001292,2.31e+17
2005-06-01,2005-06-30,6.238e+15,0.001349,2.236e+17
2005-07-01,2005-07-31,5.955e+15,0.001373,2.332e+17
2005-08-01,2005-08-31,7.439e+15,0.001464,2.418e+17
2005-09-01,2005-09-30,5.956e+15,0.001411,2.525e+17
2005-10-01,2005-10-31,9.074e+15,0.001392,2.729e+17
2005-11-01,2005-11-30,5.786e+15,0.001297,2.706e+17
2005-12-01,2005-12-31,4.214e+15,0.001402,2.581e+17
2006-01-01,2006-01-31,3.687e+15,0.001485,2.555e+17
2006-02-01,2006-02-28,4.425e+15,0.001324,2.508e+17
2006-03-01,2006-03-31,5.818e+15,0.001275,2.528e+17
2006-04-01,2006-04-30,6.448e+15,0.001347,2.433e+17
2006-05-01,2006-05-31,6.408e+15,0.001299,2.29e+17
2006-06-01,2006-06-30,5.243e+15,0.001349,2.288e+17
2006-07-01,2006-07-31,4.83e+15,0.001381,2.318e+17
2006-08-01,2006-08-31,6.155e+15,0.001473,2.461e+17
2006-09-01,2006-09-30,5.901e+15,0.001405,2.524e+17
2006-10-01,2006-10-31,7.594e+15,0.001356,2.687e+17
2006-11-01,2006-11-30,7.148e+15,0.001373,2.845e+17
2006-12-01,2006-12-31,5.344e+15,0.00136,2.712e+17
2007-01-01,2007-01-31,4.41e+15,0.001492,2.714e+17
2007-02-01,2007-02-28,3.998e+15,0.001396,2.579e+17
2007-03-01,2007-03-31,9.367e+15,0.001394,2.726e+17
2007-04-01,2007-04-30,6.25e+15,0.001303,2.424e+17
2007-05-01,2007-05-31,6.397e+15,0.001302,2.29e+17
2007-06-01,2007-06-30,4.658e+15,0.001377,2.248e+17
2007-07-01,2007-07-31,4.707e+15,0.001396,2.381e+17
2007-08-01,2007-08-31,7.377e+15,0.001454,2.44e+17
2007-09-01,2007-09-30,5.672e+15,0.001432,2.525e+17
2007-10-01,2007-10-31,5.589e+15,0.00141,2.761e+17
2007-11-01,2007-11-30,5.386e+15,0.001375,2.746e+17
2007-12-01,2007-12-31,3.957e+15,0.001335,2.646e+17
2008-01-01,2008-01-31,4.268e+15,0.001548,2.673e+17
2008-02-01,2008-02-29,4.275e+15,0.001444,2.617e+17
2008-03-01,2008-03-31,5.624e+15,0.001273,2.539e+17
2008-04-01,2008-04-30,6.671e+15,0.001301,2.337e+17
2008-05-01,2008-05-31,6.023e+15,0.001317,2.296e+17
2008-06-01,2008-06-30,4.607e+15,0.001381,2.282e+17
2008-07-01,2008-07-31,5.099e+15,0.001398,2.367e+17
2008-08-01,2008-08-31,4.878e+15,0.00147,2.486e+17
2008-09-01,2008-09-30,5.493e+15,0.001387,2.546e+17
2008-10-01,2008-10-31,6.024e+15,0.001422,2.748e+17
2008-11-01,2008-11-30,4.571e+15,0.001328,2.682e+17
2008-12-01,2008-12-31,3.626e+15,0.001487,2.874e+17
2009-01-01,2009-01-31,4.519e+15,0.001408,2.374e+17
2009-02-01,2009-02-28,3.288e+15,0.001391,2.47e+17
