SiteName,Montreal QC
SiteLongitude,-73.7000
SiteLatitude,45.6000
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,3.332e+15
2005-02-01,2005-02-28,5.033e+15
2005-03-01,2005-03-31,5.428e+15
2005-04-01,2005-04-30,5.001e+15
2005-05-01,2005-05-31,6.035e+15
2005-06-01,2005-06-30,6.41e+15
2005-07-01,2005-07-31,3.739e+15
2005-08-01,2005-08-31,5.194e+15
2005-09-01,2005-09-30,4.267e+15
2005-10-01,2005-10-31,5.119e+15
2005-11-01,2005-11-30,5.476e+15
2005-12-01,2005-12-31,2.717e+15
2006-01-01,2006-01-31,4.441e+15
2006-02-01,2006-02-28,3.485e+15
2006-03-01,2006-03-31,5.187e+15
2006-04-01,2006-04-30,4.568e+15
2006-05-01,2006-05-31,4.992e+15
2006-06-01,2006-06-30,5.023e+15
2006-07-01,2006-07-31,3.644e+15
2006-08-01,2006-08-31,4.079e+15
2006-09-01,2006-09-30,4.294e+15
2006-10-01,2006-10-31,4.655e+15
2006-11-01,2006-11-30,3.515e+15
2006-12-01,2006-12-31,3.081e+15
2007-01-01,2007-01-31,3.931e+15
2007-02-01,2007-02-28,3.115e+15
2007-03-01,2007-03-31,3.987e+15
2007-04-01,2007-04-30,5.507e+15
2007-05-01,2007-05-31,4.459e+15
2007-06-01,2007-06-30,4.012e+15
2007-07-01,2007-07-31,3.377e+15
2007-08-01,2007-08-31,4.144e+15
2007-09-01,2007-09-30,4.896e+15
2007-10-01,2007-10-31,6.373e+15
2007-11-01,2007-11-30,4.764e+15
2007-12-01,2007-12-31,2.66e+15
2008-01-01,2008-01-31,4.416e+15
2008-02-01,2008-02-29,3.318e+15
2008-03-01,2008-03-31,2.972e+15
2008-04-01,2008-04-30,4.219e+15
2008-05-01,2008-05-31,4.439e+15
2008-06-01,2008-06-30,4.552e+15
2008-07-01,2008-07-31,3.24e+15
2008-08-01,2008-08-31,4.763e+15
2008-09-01,2008-09-30,5.683e+15
2008-10-01,2008-10-31,5.663e+15
2008-11-01,2008-11-30,3.38e+15
2008-12-01,2008-12-31,2.486e+15
2009-01-01,2009-01-31,3.193e+15
2009-02-01,2009-02-28,2.745e+15
2009-03-01,2009-03-31,4.29e+15
2009-04-01,2009-04-30,3.544e+15
2009-05-01,2009-05-31,3.974e+15
2009-06-01,2009-06-30,4.721e+15
2009-07-01,2009-07-31,3.202e+15
2009-08-01,2009-08-31,3.729e+15
2009-09-01,2009-09-30,4.448e+15
2009-10-01,2009-10-31,3.185e+15
2009-11-01,2009-11-30,5.616e+15
2009-12-01,2009-12-31,3.041e+15
2010-01-01,2010-01-31,2.744e+15
2010-02-01,2010-02-28,4.29e+15
2010-03-01,2010-03-31,3.95e+15
2010-04-01,2010-04-30,4.582e+15
2010-05-01,2010-05-31,3.782e+15
2010-06-01,2010-06-30,3.595e+15
2010-07-01,2010-07-31,2.335e+15
2010-08-01,2010-08-31,3.734e+15
2010-09-01,2010-09-30,4.075e+15
2010-10-01,2010-10-31,3.417e+15
2010-11-01,2010-11-30,4.76e+15
2010-12-01,2010-12-31,2.746e+15
2011-01-01,2011-01-31,3.766e+15
2011-02-01,2011-02-28,2.859e+15
2011-03-01,2011-03-31,3.378e+15
2011-04-01,2011-04-30,5.722e+15
2011-05-01,2011-05-31,3.873e+15
2011-06-01,2011-06-30,5.397e+15
2011-07-01,2011-07-31,2.64e+15
2011-08-01,2011-08-31,3.186e+15
2011-09-01,2011-09-30,4.308e+15
2011-10-01,2011-10-31,3.607e+15
2011-11-01,2011-11-30,5.685e+15
2011-12-01,2011-12-31,2.661e+15
2012-01-01,2012-01-31,2.21e+15
2012-02-01,2012-02-29,2.209e+15
2012-03-01,2012-03-31,5.114e+15
2012-04-01,2012-04-30,3.785e+15
2012-05-01,2012-05-31,3.558e+15
2012-06-01,2012-06-30,4.087e+15
2012-07-01,2012-07-31,2.822e+15
2012-08-01,2012-08-31,3.479e+15
2012-09-01,2012-09-30,3.702e+15
2012-10-01,2012-10-31,5.429e+15
2012-11-01,2012-11-30,6.228e+15
2012-12-01,2012-12-31,2.233e+15
2013-01-01,2013-01-31,3.569e+15
2013-02-01,2013-02-28,2.568e+15
2013-03-01,2013-03-31,3.094e+15
2013-04-01,2013-04-30,3.305e+15
2013-05-01,2013-05-31,3.971e+15
2013-06-01,2013-06-30,3.2e+15
2013-07-01,2013-07-31,3.073e+15
2013-08-01,2013-08-31,3.294e+15
2013-09-01,2013-09-30,4.182e+15
2013-10-01,2013-10-31,3.821e+15
2013-11-01,2013-11-30,3.63e+15
2013-12-01,2013-12-31,2.205e+15
2014-01-01,2014-01-31,3.423e+15
2014-02-01,2014-02-28,3.077e+15
2014-03-01,2014-03-31,2.246e+15
2014-04-01,2014-04-30,3.028e+15
2014-05-01,2014-05-31,3.383e+15
2014-06-01,2014-06-30,3.49e+15
2014-07-01,2014-07-31,2.741e+15
2014-08-01,2014-08-31,3.041e+15
2014-09-01,2014-09-30,4.065e+15
2014-10-01,2014-10-31,4.349e+15
2014-11-01,2014-11-30,2.916e+15
2014-12-01,2014-12-31,2.337e+15
2015-01-01,2015-01-31,4.042e+15
2015-02-01,2015-02-28,7.038e+15
2015-03-01,2015-03-31,2.392e+15
2015-04-01,2015-04-30,3.037e+15
2015-05-01,2015-05-31,3.387e+15
2015-06-01,2015-06-30,3.494e+15
2015-07-01,2015-07-31,1.833e+15
2015-08-01,2015-08-31,3.006e+15
2015-09-01,2015-09-30,4.155e+15
2015-10-01,2015-10-31,2.953e+15
2015-11-01,2015-11-30,5.117e+15
2015-12-01,2015-12-31,1.097e+15
