SiteName,Nashville TN
ShortName,Nashville
SiteLongitude,-86.6000
SiteLatitude,36.2000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.914e+15,0.001296,2.427e+17
2005-02-01,2005-02-28,8.777e+15,0.00126,2.461e+17
2005-03-01,2005-03-31,6.766e+15,0.001252,2.399e+17
2005-04-01,2005-04-30,7.284e+15,0.001288,2.344e+17
2005-05-01,2005-05-31,5.184e+15,0.001255,2.379e+17
2005-06-01,2005-06-30,4.621e+15,0.001351,2.38e+17
2005-07-01,2005-07-31,4.285e+15,0.001419,2.525e+17
2005-08-01,2005-08-31,6.449e+15,0.001424,2.567e+17
2005-09-01,2005-09-30,5.805e+15,0.00133,2.541e+17
2005-10-01,2005-10-31,7.994e+15,0.001251,2.602e+17
2005-11-01,2005-11-30,7.159e+15,0.001208,2.547e+17
2005-12-01,2005-12-31,8.304e+15,0.001259,2.456e+17
2006-01-01,2006-01-31,5.412e+15,0.001251,2.419e+17
2006-02-01,2006-02-28,7.879e+15,0.001309,2.304e+17
2006-03-01,2006-03-31,6.701e+15,0.00134,2.5e+17
2006-04-01,2006-04-30,7.298e+15,0.00135,2.437e+17
2006-05-01,2006-05-31,5.447e+15,0.001327,2.384e+17
2006-06-01,2006-06-30,5.167e+15,0.001337,2.401e+17
2006-07-01,2006-07-31,4.037e+15,0.001358,2.468e+17
2006-08-01,2006-08-31,5.737e+15,0.001433,2.54e+17
2006-09-01,2006-09-30,5.83e+15,0.001303,2.515e+17
2006-10-01,2006-10-31,5.88e+15,0.001263,2.532e+17
2006-11-01,2006-11-30,6.462e+15,0.001297,2.719e+17
2006-12-01,2006-12-31,7.311e+15,0.00123,2.547e+17
2007-01-01,2007-01-31,6.808e+15,0.001278,2.563e+17
2007-02-01,2007-02-28,8.595e+15,0.001275,2.47e+17
2007-03-01,2007-03-31,6.331e+15,0.001289,2.628e+17
2007-04-01,2007-04-30,6.224e+15,0.001293,2.484e+17
2007-05-01,2007-05-31,5.678e+15,0.001278,2.377e+17
2007-06-01,2007-06-30,5.353e+15,0.001358,2.396e+17
2007-07-01,2007-07-31,4.306e+15,0.001381,2.517e+17
2007-08-01,2007-08-31,4.912e+15,0.00144,2.566e+17
2007-09-01,2007-09-30,5.674e+15,0.001348,2.587e+17
2007-10-01,2007-10-31,6.626e+15,0.001305,2.634e+17
2007-11-01,2007-11-30,8.271e+15,0.001301,2.681e+17
2007-12-01,2007-12-31,6.811e+15,0.001249,2.482e+17
2008-01-01,2008-01-31,6.843e+15,0.001361,2.59e+17
2008-02-01,2008-02-29,7.377e+15,0.001309,2.506e+17
2008-03-01,2008-03-31,5.585e+15,0.001242,2.38e+17
2008-04-01,2008-04-30,5.269e+15,0.001282,2.355e+17
2008-05-01,2008-05-31,3.983e+15,0.001302,2.391e+17
2008-06-01,2008-06-30,3.407e+15,0.00136,2.43e+17
2008-07-01,2008-07-31,3.791e+15,0.001408,2.527e+17
2008-08-01,2008-08-31,5.001e+15,0.001433,2.573e+17
2008-09-01,2008-09-30,5.047e+15,0.001338,2.615e+17
2008-10-01,2008-10-31,6.003e+15,0.001258,2.591e+17
2008-11-01,2008-11-30,6.084e+15,0.001238,2.6e+17
2008-12-01,2008-12-31,5.737e+15,0.001224,2.462e+17
2009-01-01,2009-01-31,5.242e+15,0.00128,2.383e+17
2009-02-01,2009-02-28,5.686e+15,0.001223,2.278e+17
2009-03-01,2009-03-31,4.718e+15,0.00132,2.501e+17
2009-04-01,2009-04-30,4.608e+15,0.001303,2.509e+17
2009-05-01,2009-05-31,3.724e+15,0.001338,2.446e+17
2009-06-01,2009-06-30,3.892e+15,0.001383,2.467e+17
2009-07-01,2009-07-31,3.95e+15,0.001456,2.621e+17
2009-08-01,2009-08-31,4.343e+15,0.001455,2.636e+17
2009-09-01,2009-09-30,4.266e+15,0.001402,2.714e+17
2009-10-01,2009-10-31,4.324e+15,0.001204,2.453e+17
2009-11-01,2009-11-30,5.232e+15,0.001232,2.471e+17
2009-12-01,2009-12-31,5.771e+15,0.0012,2.303e+17
2010-01-01,2010-01-31,4.605e+15,0.001272,2.415e+17
2010-02-01,2010-02-28,4.025e+15,0.001257,2.392e+17
2010-03-01,2010-03-31,7.591e+15,0.001366,2.65e+17
2010-04-01,2010-04-30,4.639e+15,0.001357,2.596e+17
2010-05-01,2010-05-31,3.477e+15,0.001377,2.496e+17
2010-06-01,2010-06-30,4.054e+15,0.001373,2.54e+17
2010-07-01,2010-07-31,4.179e+15,0.001463,2.681e+17
2010-08-01,2010-08-31,4.728e+15,0.001498,2.729e+17
2010-09-01,2010-09-30,4.103e+15,0.001416,2.659e+17
2010-10-01,2010-10-31,5.462e+15,0.001263,2.481e+17
2010-11-01,2010-11-30,4.323e+15,0.001157,2.421e+17
2010-12-01,2010-12-31,8.09e+15,0.001119,2.337e+17
2011-01-01,2011-01-31,6.968e+15,0.001359,2.362e+17
2011-02-01,2011-02-28,5.479e+15,0.001312,2.261e+17
2011-03-01,2011-03-31,3.625e+15,0.001407,2.7e+17
2011-04-01,2011-04-30,4.303e+15,0.001309,2.634e+17
2011-05-01,2011-05-31,3.01e+15,0.001432,2.44e+17
2011-06-01,2011-06-30,3.008e+15,0.001469,2.536e+17
2011-07-01,2011-07-31,3.555e+15,0.001472,2.691e+17
2011-08-01,2011-08-31,4.201e+15,0.001529,2.759e+17
2011-09-01,2011-09-30,4.181e+15,0.001358,2.76e+17
2011-10-01,2011-10-31,5.077e+15,0.001291,2.642e+17
2011-11-01,2011-11-30,4.279e+15,0.001237,2.642e+17
2011-12-01,2011-12-31,5.833e+15,0.001178,2.254e+17
2012-01-01,2012-01-31,4.468e+15,0.001306,2.446e+17
2012-02-01,2012-02-29,4.349e+15,0.001276,2.425e+17
2012-03-01,2012-03-31,4.531e+15,0.001342,2.423e+17
2012-04-01,2012-04-30,6.438e+15,0.001392,2.492e+17
2012-05-01,2012-05-31,4.053e+15,0.001374,2.575e+17
2012-06-01,2012-06-30,4.621e+15,0.001462,2.563e+17
2012-07-01,2012-07-31,3.404e+15,0.001534,2.679e+17
2012-08-01,2012-08-31,4.735e+15,0.001579,2.743e+17
2012-09-01,2012-09-30,4.133e+15,0.001502,2.759e+17
2012-10-01,2012-10-31,5.822e+15,0.001432,2.697e+17
2012-11-01,2012-11-30,4.993e+15,0.001263,2.491e+17
2012-12-01,2012-12-31,4.718e+15,0.001237,2.533e+17
2013-01-01,2013-01-31,6.029e+15,0.001391,2.49e+17
2013-02-01,2013-02-28,3.834e+15,0.001225,2.572e+17
2013-03-01,2013-03-31,5.574e+15,0.001506,2.712e+17
2013-04-01,2013-04-30,4.626e+15,0.001417,2.695e+17
2013-05-01,2013-05-31,4.185e+15,0.001398,2.623e+17
2013-06-01,2013-06-30,3.776e+15,0.001479,2.679e+17
2013-07-01,2013-07-31,3.888e+15,0.001522,2.67e+17
2013-08-01,2013-08-31,4.427e+15,0.001545,2.779e+17
2013-09-01,2013-09-30,4.556e+15,0.001502,2.762e+17
2013-10-01,2013-10-31,5.814e+15,0.00134,2.848e+17
2013-11-01,2013-11-30,5.599e+15,0.0013,2.701e+17
2013-12-01,2013-12-31,5.896e+15,0.001485,2.511e+17
2014-01-01,2014-01-31,5.083e+15,0.001342,2.344e+17
2014-02-01,2014-02-28,3.366e+15,0.001329,2.603e+17
2014-03-01,2014-03-31,4.347e+15,0.001424,2.772e+17
2014-04-01,2014-04-30,4.406e+15,0.001406,2.616e+17
2014-05-01,2014-05-31,3.273e+15,0.001417,2.545e+17
2014-06-01,2014-06-30,3.846e+15,0.001488,2.583e+17
2014-07-01,2014-07-31,3.805e+15,0.001506,2.754e+17
2014-08-01,2014-08-31,4.394e+15,0.00161,2.828e+17
2014-09-01,2014-09-30,4.872e+15,0.001498,2.856e+17
2014-10-01,2014-10-31,5.338e+15,0.001407,2.81e+17
2014-11-01,2014-11-30,6.014e+15,0.001348,2.681e+17
2014-12-01,2014-12-31,5.023e+15,0.001255,2.476e+17
2015-01-01,2015-01-31,5.103e+15,0.001318,2.364e+17
2015-02-01,2015-02-28,6.527e+15,0.001174,2.209e+17
2015-03-01,2015-03-31,3.499e+15,0.001414,2.865e+17
2015-04-01,2015-04-30,4.824e+15,0.001409,2.594e+17
2015-05-01,2015-05-31,5.275e+15,0.001431,2.571e+17
2015-06-01,2015-06-30,3.704e+15,0.001498,2.606e+17
2015-07-01,2015-07-31,3.778e+15,0.001529,2.711e+17
2015-08-01,2015-08-31,4.12e+15,0.001574,2.784e+17
2015-09-01,2015-09-30,5.433e+15,0.001573,2.886e+17
2015-10-01,2015-10-31,4.543e+15,0.001375,2.65e+17
2015-11-01,2015-11-30,5.128e+15,0.001326,2.783e+17
2015-12-01,2015-12-31,4.794e+15,0.001226,2.645e+17
