SiteName,New Orleans LA
ShortName,New Orleans
SiteLongitude,-90.3000
SiteLatitude,30.0500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,8.16e+15,0.001152,2.367e+17
2005-02-01,2005-02-28,6.876e+15,0.001079,2.345e+17
2005-03-01,2005-03-31,7.833e+15,0.001148,2.368e+17
2005-04-01,2005-04-30,6.682e+15,0.001185,2.398e+17
2005-05-01,2005-05-31,7.245e+15,0.001187,2.401e+17
2005-06-01,2005-06-30,7.4e+15,0.001253,2.48e+17
2005-07-01,2005-07-31,7.274e+15,0.001289,2.595e+17
2005-08-01,2005-08-31,8.921e+15,0.001269,2.603e+17
2005-09-01,2005-09-30,5.811e+15,0.001179,2.52e+17
2005-10-01,2005-10-31,5.668e+15,0.001163,2.44e+17
2005-11-01,2005-11-30,6.522e+15,0.001141,2.362e+17
2005-12-01,2005-12-31,8.503e+15,0.001141,2.401e+17
2006-01-01,2006-01-31,6.097e+15,0.00115,2.347e+17
2006-02-01,2006-02-28,7.228e+15,0.001171,2.231e+17
2006-03-01,2006-03-31,6.514e+15,0.001227,2.429e+17
2006-04-01,2006-04-30,4.955e+15,0.001229,2.441e+17
2006-05-01,2006-05-31,6.468e+15,0.001195,2.403e+17
2006-06-01,2006-06-30,6.279e+15,0.001271,2.465e+17
2006-07-01,2006-07-31,7.436e+15,0.001289,2.541e+17
2006-08-01,2006-08-31,8.466e+15,0.001266,2.592e+17
2006-09-01,2006-09-30,6.233e+15,0.001202,2.515e+17
2006-10-01,2006-10-31,6.141e+15,0.001158,2.465e+17
2006-11-01,2006-11-30,6.249e+15,0.001139,2.542e+17
2006-12-01,2006-12-31,6.005e+15,0.001107,2.411e+17
2007-01-01,2007-01-31,5.387e+15,0.001154,2.447e+17
2007-02-01,2007-02-28,7.658e+15,0.001169,2.404e+17
2007-03-01,2007-03-31,6.949e+15,0.001172,2.49e+17
2007-04-01,2007-04-30,4.71e+15,0.001223,2.471e+17
2007-05-01,2007-05-31,5.835e+15,0.001203,2.457e+17
2007-06-01,2007-06-30,7.431e+15,0.001259,2.462e+17
2007-07-01,2007-07-31,7.377e+15,0.001278,2.603e+17
2007-08-01,2007-08-31,8.452e+15,0.001263,2.646e+17
2007-09-01,2007-09-30,6.771e+15,0.001191,2.559e+17
2007-10-01,2007-10-31,5.977e+15,0.001173,2.492e+17
2007-11-01,2007-11-30,5.972e+15,0.001168,2.494e+17
2007-12-01,2007-12-31,7.183e+15,0.001107,2.373e+17
2008-01-01,2008-01-31,4.49e+15,0.001179,2.49e+17
2008-02-01,2008-02-29,4.935e+15,0.001175,2.391e+17
2008-03-01,2008-03-31,5.353e+15,0.00116,2.225e+17
2008-04-01,2008-04-30,4.788e+15,0.001222,2.342e+17
2008-05-01,2008-05-31,6.718e+15,0.001216,2.445e+17
2008-06-01,2008-06-30,6.491e+15,0.001245,2.47e+17
2008-07-01,2008-07-31,6.676e+15,0.001278,2.559e+17
2008-08-01,2008-08-31,7.019e+15,0.001289,2.617e+17
2008-09-01,2008-09-30,5.333e+15,0.001192,2.534e+17
2008-10-01,2008-10-31,5.303e+15,0.001181,2.539e+17
2008-11-01,2008-11-30,5.876e+15,0.001093,2.429e+17
2008-12-01,2008-12-31,6.552e+15,0.001092,2.408e+17
2009-01-01,2009-01-31,7.692e+15,0.001147,2.362e+17
2009-02-01,2009-02-28,5.082e+15,0.001135,2.249e+17
2009-03-01,2009-03-31,5.362e+15,0.001244,2.538e+17
2009-04-01,2009-04-30,4.013e+15,0.001233,2.491e+17
2009-05-01,2009-05-31,5.381e+15,0.001256,2.515e+17
2009-06-01,2009-06-30,5.487e+15,0.001305,2.516e+17
2009-07-01,2009-07-31,6.742e+15,0.001316,2.568e+17
2009-08-01,2009-08-31,5.377e+15,0.0013,2.628e+17
2009-09-01,2009-09-30,5.112e+15,0.00124,2.618e+17
2009-10-01,2009-10-31,4.753e+15,0.001177,2.501e+17
2009-11-01,2009-11-30,6.503e+15,0.001138,2.487e+17
2009-12-01,2009-12-31,4.598e+15,0.001202,2.304e+17
2010-01-01,2010-01-31,5.998e+15,0.001169,2.187e+17
2010-02-01,2010-02-28,5.148e+15,0.001091,2.364e+17
2010-03-01,2010-03-31,5.859e+15,0.001281,2.663e+17
2010-04-01,2010-04-30,4.974e+15,0.001369,2.583e+17
2010-05-01,2010-05-31,6.239e+15,0.001292,2.552e+17
2010-06-01,2010-06-30,6.467e+15,0.001388,2.603e+17
2010-07-01,2010-07-31,6.736e+15,0.001424,2.742e+17
2010-08-01,2010-08-31,7.007e+15,0.001452,2.71e+17
2010-09-01,2010-09-30,6.664e+15,0.001299,2.745e+17
2010-10-01,2010-10-31,4.182e+15,0.00122,2.56e+17
2010-11-01,2010-11-30,5.355e+15,0.0009504,2.296e+17
2010-12-01,2010-12-31,6.345e+15,0.001178,2.421e+17
2011-01-01,2011-01-31,5.507e+15,0.001244,2.305e+17
2011-02-01,2011-02-28,6.291e+15,0.001183,2.489e+17
2011-03-01,2011-03-31,6.949e+15,0.001315,2.665e+17
2011-04-01,2011-04-30,4.41e+15,0.001255,2.607e+17
2011-05-01,2011-05-31,5.06e+15,0.00129,2.543e+17
2011-06-01,2011-06-30,6.13e+15,0.001389,2.556e+17
2011-07-01,2011-07-31,7.922e+15,0.001445,2.737e+17
2011-08-01,2011-08-31,6.677e+15,0.001413,2.762e+17
2011-09-01,2011-09-30,5.682e+15,0.001269,2.64e+17
2011-10-01,2011-10-31,5.151e+15,0.001263,2.639e+17
2011-11-01,2011-11-30,3.946e+15,0.001154,2.45e+17
2011-12-01,2011-12-31,6.025e+15,0.0009502,1.927e+17
2012-01-01,2012-01-31,4.975e+15,0.001135,2.108e+17
2012-02-01,2012-02-29,4.634e+15,0.001163,2.303e+17
2012-03-01,2012-03-31,6.743e+15,0.001176,2.453e+17
2012-04-01,2012-04-30,5.137e+15,0.00131,2.508e+17
2012-05-01,2012-05-31,6.715e+15,0.001284,2.566e+17
2012-06-01,2012-06-30,5.939e+15,0.001375,2.62e+17
2012-07-01,2012-07-31,6.071e+15,0.001393,2.828e+17
2012-08-01,2012-08-31,6.226e+15,0.00141,2.803e+17
2012-09-01,2012-09-30,5.471e+15,0.001345,2.775e+17
2012-10-01,2012-10-31,5.388e+15,0.001283,2.644e+17
2012-11-01,2012-11-30,4.889e+15,0.001115,2.296e+17
2012-12-01,2012-12-31,6.359e+15,0.001194,2.34e+17
2013-01-01,2013-01-31,6.288e+15,0.001221,2.484e+17
2013-02-01,2013-02-28,4.917e+15,0.001273,2.588e+17
2013-03-01,2013-03-31,5.297e+15,0.001322,2.614e+17
2013-04-01,2013-04-30,3.574e+15,0.001244,2.612e+17
2013-05-01,2013-05-31,5.401e+15,0.001323,2.563e+17
2013-06-01,2013-06-30,5.818e+15,0.001359,2.649e+17
2013-07-01,2013-07-31,6.274e+15,0.001389,2.656e+17
2013-08-01,2013-08-31,6.893e+15,0.001452,2.817e+17
2013-09-01,2013-09-30,6.264e+15,0.001301,2.75e+17
2013-10-01,2013-10-31,4.793e+15,0.001268,2.786e+17
2013-11-01,2013-11-30,4.14e+15,0.001168,2.533e+17
