SiteName,New York NY
ShortName,New York
SiteLongitude,-73.7000
SiteLatitude,40.8500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,9.597e+15,0.001285,2.394e+17
2005-02-01,2005-02-28,1.319e+16,0.001147,2.302e+17
2005-03-01,2005-03-31,1.278e+16,0.00116,2.361e+17
2005-04-01,2005-04-30,1.496e+16,0.001159,2.297e+17
2005-05-01,2005-05-31,1.483e+16,0.00117,2.298e+17
2005-06-01,2005-06-30,1.286e+16,0.001223,2.314e+17
2005-07-01,2005-07-31,9.843e+15,0.001288,2.461e+17
2005-08-01,2005-08-31,1.198e+16,0.001341,2.52e+17
2005-09-01,2005-09-30,1.137e+16,0.001252,2.55e+17
2005-10-01,2005-10-31,1.699e+16,0.001217,2.612e+17
2005-11-01,2005-11-30,1.53e+16,0.001143,2.626e+17
2005-12-01,2005-12-31,1.803e+16,0.001159,2.439e+17
2006-01-01,2006-01-31,1.714e+16,0.001223,2.47e+17
2006-02-01,2006-02-28,1.66e+16,0.0012,2.376e+17
2006-03-01,2006-03-31,1.298e+16,0.001219,2.499e+17
2006-04-01,2006-04-30,1.355e+16,0.00124,2.407e+17
2006-05-01,2006-05-31,1.096e+16,0.001196,2.361e+17
2006-06-01,2006-06-30,9.296e+15,0.001216,2.313e+17
2006-07-01,2006-07-31,9.426e+15,0.001277,2.385e+17
2006-08-01,2006-08-31,1.008e+16,0.001365,2.493e+17
2006-09-01,2006-09-30,1.195e+16,0.001241,2.515e+17
2006-10-01,2006-10-31,1.411e+16,0.001192,2.573e+17
2006-11-01,2006-11-30,1.49e+16,0.001234,2.789e+17
2006-12-01,2006-12-31,1.658e+16,0.001145,2.603e+17
2007-01-01,2007-01-31,1.348e+16,0.001281,2.614e+17
2007-02-01,2007-02-28,1.253e+16,0.00121,2.452e+17
2007-03-01,2007-03-31,1.052e+16,0.001189,2.612e+17
2007-04-01,2007-04-30,1.27e+16,0.0012,2.4e+17
2007-05-01,2007-05-31,1.157e+16,0.001191,2.333e+17
2007-06-01,2007-06-30,9.129e+15,0.001256,2.333e+17
2007-07-01,2007-07-31,9.529e+15,0.001298,2.417e+17
2007-08-01,2007-08-31,1.07e+16,0.001317,2.512e+17
2007-09-01,2007-09-30,9.725e+15,0.001269,2.541e+17
2007-10-01,2007-10-31,1.329e+16,0.001232,2.687e+17
2007-11-01,2007-11-30,1.312e+16,0.001213,2.666e+17
2007-12-01,2007-12-31,1.457e+16,0.001164,2.543e+17
2008-01-01,2008-01-31,1.247e+16,0.001315,2.666e+17
2008-02-01,2008-02-29,1.485e+16,0.001242,2.489e+17
2008-03-01,2008-03-31,9.834e+15,0.001146,2.397e+17
2008-04-01,2008-04-30,1.167e+16,0.001179,2.283e+17
2008-05-01,2008-05-31,1.056e+16,0.001216,2.356e+17
2008-06-01,2008-06-30,8.554e+15,0.001238,2.357e+17
2008-07-01,2008-07-31,9.179e+15,0.001267,2.449e+17
2008-08-01,2008-08-31,9.054e+15,0.001321,2.499e+17
2008-09-01,2008-09-30,8.239e+15,0.001268,2.51e+17
2008-10-01,2008-10-31,1.18e+16,0.001161,2.515e+17
2008-11-01,2008-11-30,1.032e+16,0.001155,2.684e+17
2008-12-01,2008-12-31,1.364e+16,0.00127,2.573e+17
2009-01-01,2009-01-31,1.104e+16,0.001225,2.446e+17
2009-02-01,2009-02-28,1.069e+16,0.001247,2.398e+17
2009-03-01,2009-03-31,1.09e+16,0.001223,2.429e+17
2009-04-01,2009-04-30,9.949e+15,0.00122,2.445e+17
2009-05-01,2009-05-31,9.002e+15,0.00122,2.427e+17
2009-06-01,2009-06-30,5.769e+15,0.001326,2.401e+17
2009-07-01,2009-07-31,6.753e+15,0.001294,2.474e+17
2009-08-01,2009-08-31,8.451e+15,0.001349,2.514e+17
2009-09-01,2009-09-30,7.862e+15,0.001309,2.556e+17
2009-10-01,2009-10-31,8.625e+15,0.001242,2.609e+17
2009-11-01,2009-11-30,1.324e+16,0.001167,2.673e+17
2009-12-01,2009-12-31,1.182e+16,0.001277,2.464e+17
2010-01-01,2010-01-31,1.158e+16,0.00119,2.192e+17
2010-02-01,2010-02-28,6.646e+15,0.001312,2.466e+17
2010-03-01,2010-03-31,8.986e+15,0.001235,2.648e+17
2010-04-01,2010-04-30,8.816e+15,0.001306,2.55e+17
2010-05-01,2010-05-31,9.292e+15,0.0013,2.486e+17
2010-06-01,2010-06-30,9.148e+15,0.001316,2.432e+17
2010-07-01,2010-07-31,6.423e+15,0.001393,2.503e+17
2010-08-01,2010-08-31,7.721e+15,0.001375,2.614e+17
2010-09-01,2010-09-30,8.812e+15,0.001351,2.61e+17
2010-10-01,2010-10-31,9.02e+15,0.001212,2.531e+17
2010-11-01,2010-11-30,1.053e+16,0.001208,2.59e+17
2010-12-01,2010-12-31,1.142e+16,0.001151,2.331e+17
2011-01-01,2011-01-31,8.5e+15,0.001073,2.382e+17
2011-02-01,2011-02-28,1.567e+16,0.001117,2.438e+17
2011-03-01,2011-03-31,7.737e+15,0.001358,2.774e+17
2011-04-01,2011-04-30,6.331e+15,0.001223,2.577e+17
2011-05-01,2011-05-31,7.457e+15,0.001252,2.479e+17
2011-06-01,2011-06-30,7.603e+15,0.001326,2.422e+17
2011-07-01,2011-07-31,5.784e+15,0.001403,2.526e+17
2011-08-01,2011-08-31,6.287e+15,0.001475,2.677e+17
2011-09-01,2011-09-30,8.821e+15,0.001212,2.563e+17
2011-10-01,2011-10-31,8.672e+15,0.001235,2.738e+17
2011-11-01,2011-11-30,1.079e+16,0.001093,2.619e+17
2011-12-01,2011-12-31,1.082e+16,0.001143,2.265e+17
2012-01-01,2012-01-31,1.273e+16,0.001126,2.418e+17
2012-02-01,2012-02-29,9.438e+15,0.001191,2.439e+17
2012-03-01,2012-03-31,8.041e+15,0.001205,2.481e+17
2012-04-01,2012-04-30,8.389e+15,0.001254,2.459e+17
2012-05-01,2012-05-31,6.75e+15,0.001288,2.509e+17
2012-06-01,2012-06-30,6.357e+15,0.001335,2.475e+17
2012-07-01,2012-07-31,5.999e+15,0.001381,2.612e+17
2012-08-01,2012-08-31,7.741e+15,0.001473,2.681e+17
2012-09-01,2012-09-30,8.845e+15,0.001403,2.765e+17
2012-10-01,2012-10-31,8.658e+15,0.00127,2.65e+17
2012-11-01,2012-11-30,1.023e+16,0.001152,2.598e+17
2012-12-01,2012-12-31,1.246e+16,0.001244,2.578e+17
2013-01-01,2013-01-31,8.973e+15,0.001432,2.475e+17
2013-02-01,2013-02-28,8.801e+15,0.001202,2.163e+17
2013-03-01,2013-03-31,6.823e+15,0.001316,2.767e+17
2013-04-01,2013-04-30,9.463e+15,0.001361,2.64e+17
2013-05-01,2013-05-31,7.475e+15,0.001349,2.51e+17
2013-06-01,2013-06-30,6.479e+15,0.001337,2.534e+17
2013-07-01,2013-07-31,5.834e+15,0.001448,2.595e+17
2013-08-01,2013-08-31,6.642e+15,0.001455,2.664e+17
2013-09-01,2013-09-30,8.441e+15,0.001362,2.756e+17
2013-10-01,2013-10-31,8.671e+15,0.001332,2.811e+17
2013-11-01,2013-11-30,1.061e+16,0.001279,2.657e+17
2013-12-01,2013-12-31,1.545e+16,0.001423,2.701e+17
2014-01-01,2014-01-31,1.035e+16,0.001259,2.239e+17
2014-02-01,2014-02-28,8.969e+15,0.001305,2.81e+17
2014-03-01,2014-03-31,9.876e+15,0.001351,2.819e+17
2014-04-01,2014-04-30,7.5e+15,0.001331,2.544e+17
2014-05-01,2014-05-31,6.988e+15,0.001348,2.495e+17
2014-06-01,2014-06-30,7.839e+15,0.00136,2.566e+17
2014-07-01,2014-07-31,5.98e+15,0.00141,2.66e+17
2014-08-01,2014-08-31,6.682e+15,0.001497,2.652e+17
2014-09-01,2014-09-30,7.558e+15,0.001408,2.752e+17
2014-10-01,2014-10-31,9.697e+15,0.001239,2.623e+17
2014-11-01,2014-11-30,1.154e+16,0.001274,2.714e+17
2014-12-01,2014-12-31,8.855e+15,0.001115,2.3e+17
2015-01-01,2015-01-31,9.793e+15,0.001366,2.402e+17
2015-02-01,2015-02-28,8.157e+15,0.001474,2.953e+17
2015-03-01,2015-03-31,8.182e+15,0.001395,2.829e+17
2015-04-01,2015-04-30,6.93e+15,0.001303,2.751e+17
2015-05-01,2015-05-31,8.332e+15,0.001355,2.565e+17
2015-06-01,2015-06-30,5.725e+15,0.001392,2.527e+17
2015-07-01,2015-07-31,5.42e+15,0.001433,2.627e+17
2015-08-01,2015-08-31,5.919e+15,0.001485,2.726e+17
2015-09-01,2015-09-30,7.319e+15,0.001428,2.831e+17
2015-10-01,2015-10-31,8.385e+15,0.001245,2.655e+17
2015-11-01,2015-11-30,8.725e+15,0.001222,2.665e+17
2015-12-01,2015-12-31,1.084e+16,0.001339,2.595e+17
