SiteName,Omaha NE
ShortName,Omaha
SiteLongitude,-96.0500
SiteLatitude,41.3000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,3.931e+15,0.001399,2.402e+17
2005-02-01,2005-02-28,4.98e+15,0.001417,2.568e+17
2005-03-01,2005-03-31,4.024e+15,0.001358,2.55e+17
2005-04-01,2005-04-30,4.714e+15,0.00132,2.343e+17
2005-05-01,2005-05-31,4.127e+15,0.001345,2.289e+17
2005-06-01,2005-06-30,4.331e+15,0.001404,2.299e+17
2005-07-01,2005-07-31,3.89e+15,0.001458,2.383e+17
2005-08-01,2005-08-31,4.354e+15,0.001544,2.486e+17
2005-09-01,2005-09-30,4.425e+15,0.001455,2.531e+17
2005-10-01,2005-10-31,5.283e+15,0.001422,2.663e+17
2005-11-01,2005-11-30,5.337e+15,0.001351,2.702e+17
2005-12-01,2005-12-31,5.016e+15,0.001368,2.504e+17
2006-01-01,2006-01-31,4.463e+15,0.00148,2.539e+17
2006-02-01,2006-02-28,4.707e+15,0.001352,2.476e+17
2006-03-01,2006-03-31,2.951e+15,0.001347,2.494e+17
2006-04-01,2006-04-30,4.853e+15,0.001432,2.452e+17
2006-05-01,2006-05-31,3.812e+15,0.001387,2.37e+17
2006-06-01,2006-06-30,4.532e+15,0.001435,2.331e+17
2006-07-01,2006-07-31,3.868e+15,0.00147,2.393e+17
2006-08-01,2006-08-31,4.39e+15,0.0015,2.49e+17
2006-09-01,2006-09-30,3.69e+15,0.00142,2.493e+17
2006-10-01,2006-10-31,4.117e+15,0.001374,2.644e+17
2006-11-01,2006-11-30,4.87e+15,0.001381,2.797e+17
2006-12-01,2006-12-31,4.04e+15,0.001341,2.671e+17
2007-01-01,2007-01-31,2.287e+15,0.001473,2.682e+17
2007-02-01,2007-02-28,2.266e+15,0.001408,2.542e+17
2007-03-01,2007-03-31,4.207e+15,0.001411,2.713e+17
2007-04-01,2007-04-30,3.339e+15,0.001337,2.434e+17
2007-05-01,2007-05-31,4.089e+15,0.001346,2.322e+17
2007-06-01,2007-06-30,3.714e+15,0.001423,2.304e+17
2007-07-01,2007-07-31,3.126e+15,0.001464,2.415e+17
2007-08-01,2007-08-31,3.744e+15,0.001531,2.517e+17
2007-09-01,2007-09-30,2.919e+15,0.001472,2.565e+17
2007-10-01,2007-10-31,4.155e+15,0.001427,2.742e+17
2007-11-01,2007-11-30,4.731e+15,0.001395,2.727e+17
2007-12-01,2007-12-31,3.103e+15,0.001362,2.599e+17
2008-01-01,2008-01-31,2.755e+15,0.001564,2.655e+17
2008-02-01,2008-02-29,3.735e+15,0.001444,2.587e+17
2008-03-01,2008-03-31,3.446e+15,0.001326,2.499e+17
2008-04-01,2008-04-30,3.408e+15,0.001348,2.338e+17
2008-05-01,2008-05-31,3.593e+15,0.001378,2.33e+17
2008-06-01,2008-06-30,3.577e+15,0.001431,2.329e+17
2008-07-01,2008-07-31,3.334e+15,0.001462,2.418e+17
2008-08-01,2008-08-31,3.496e+15,0.001545,2.485e+17
2008-09-01,2008-09-30,3.634e+15,0.001431,2.514e+17
2008-10-01,2008-10-31,4.56e+15,0.001408,2.594e+17
2008-11-01,2008-11-30,3.954e+15,0.001376,2.698e+17
2008-12-01,2008-12-31,2.781e+15,0.001496,2.75e+17
2009-01-01,2009-01-31,3.839e+15,0.001394,2.371e+17
2009-02-01,2009-02-28,2.876e+15,0.001409,2.387e+17
2009-03-01,2009-03-31,3.412e+15,0.001378,2.394e+17
2009-04-01,2009-04-30,3.566e+15,0.001414,2.522e+17
2009-05-01,2009-05-31,3.577e+15,0.001366,2.378e+17
2009-06-01,2009-06-30,3.48e+15,0.00148,2.401e+17
2009-07-01,2009-07-31,3.277e+15,0.001517,2.458e+17
2009-08-01,2009-08-31,3.279e+15,0.001574,2.481e+17
2009-09-01,2009-09-30,4.154e+15,0.00149,2.577e+17
2009-10-01,2009-10-31,4.004e+15,0.001347,2.579e+17
2009-11-01,2009-11-30,4.404e+15,0.001451,2.697e+17
2009-12-01,2009-12-31,1.663e+15,0.001368,2.475e+17
2010-01-01,2010-01-31,1.915e+15,0.001478,2.441e+17
2010-02-01,2010-02-28,2.383e+15,0.001399,2.543e+17
2010-03-01,2010-03-31,4.109e+15,0.001435,2.589e+17
2010-04-01,2010-04-30,3.79e+15,0.001397,2.552e+17
2010-05-01,2010-05-31,3.085e+15,0.00149,2.457e+17
2010-06-01,2010-06-30,3.322e+15,0.001525,2.411e+17
2010-07-01,2010-07-31,3.028e+15,0.001574,2.552e+17
2010-08-01,2010-08-31,3.155e+15,0.001626,2.608e+17
2010-09-01,2010-09-30,2.682e+15,0.001562,2.613e+17
2010-10-01,2010-10-31,4.19e+15,0.001371,2.538e+17
2010-11-01,2010-11-30,4.155e+15,0.001451,2.591e+17
2010-12-01,2010-12-31,4.252e+15,0.001625,2.628e+17
2011-01-01,2011-01-31,3.495e+15,0.00149,2.61e+17
2011-02-01,2011-02-28,3.933e+15,0.001468,2.513e+17
2011-03-01,2011-03-31,3.769e+15,0.001433,2.719e+17
2011-04-01,2011-04-30,3.099e+15,0.001444,2.705e+17
2011-05-01,2011-05-31,3.568e+15,0.001442,2.411e+17
2011-06-01,2011-06-30,3.1e+15,0.001542,2.472e+17
2011-07-01,2011-07-31,3.487e+15,0.0016,2.52e+17
2011-08-01,2011-08-31,3.568e+15,0.001682,2.627e+17
2011-09-01,2011-09-30,3.769e+15,0.001569,2.613e+17
2011-10-01,2011-10-31,3.747e+15,0.001505,2.75e+17
2011-11-01,2011-11-30,3.279e+15,0.001469,2.673e+17
2011-12-01,2011-12-31,3.532e+15,0.001418,2.682e+17
2012-01-01,2012-01-31,3.193e+15,0.001637,2.672e+17
2012-02-01,2012-02-29,2.956e+15,0.001355,2.474e+17
2012-03-01,2012-03-31,3.079e+15,0.001372,2.504e+17
2012-04-01,2012-04-30,3.53e+15,0.001472,2.454e+17
2012-05-01,2012-05-31,3.728e+15,0.001509,2.465e+17
2012-06-01,2012-06-30,3.292e+15,0.001521,2.518e+17
2012-07-01,2012-07-31,3.351e+15,0.001649,2.622e+17
2012-08-01,2012-08-31,3.472e+15,0.001711,2.65e+17
2012-09-01,2012-09-30,3.42e+15,0.001602,2.752e+17
2012-10-01,2012-10-31,3.855e+15,0.001562,2.801e+17
2012-11-01,2012-11-30,4.699e+15,0.00144,2.611e+17
2012-12-01,2012-12-31,2.636e+15,0.001477,2.538e+17
2013-01-01,2013-01-31,4.679e+15,0.001557,2.424e+17
2013-02-01,2013-02-28,2.375e+15,0.001494,2.451e+17
2013-03-01,2013-03-31,4.753e+15,0.001614,2.785e+17
2013-04-01,2013-04-30,4.565e+15,0.001534,2.61e+17
2013-05-01,2013-05-31,3.73e+15,0.001507,2.521e+17
2013-06-01,2013-06-30,3.46e+15,0.001546,2.559e+17
2013-07-01,2013-07-31,3.051e+15,0.001614,2.591e+17
2013-08-01,2013-08-31,3.442e+15,0.001711,2.709e+17
2013-09-01,2013-09-30,3.309e+15,0.001609,2.751e+17
2013-10-01,2013-10-31,3.342e+15,0.001427,2.761e+17
2013-11-01,2013-11-30,3.656e+15,0.001585,2.862e+17
2013-12-01,2013-12-31,3.375e+15,0.001559,2.574e+17
2014-01-01,2014-01-31,1.692e+15,0.001751,2.738e+17
2014-02-01,2014-02-28,3.141e+15,0.001514,2.529e+17
2014-03-01,2014-03-31,2.744e+15,0.001569,2.887e+17
2014-04-01,2014-04-30,3.772e+15,0.001516,2.616e+17
2014-05-01,2014-05-31,4.2e+15,0.001544,2.499e+17
2014-06-01,2014-06-30,3.102e+15,0.001521,2.455e+17
2014-07-01,2014-07-31,3.565e+15,0.001674,2.639e+17
2014-08-01,2014-08-31,3.839e+15,0.001679,2.664e+17
2014-09-01,2014-09-30,3.801e+15,0.001641,2.769e+17
2014-10-01,2014-10-31,4.515e+15,0.001586,2.864e+17
2014-11-01,2014-11-30,4.121e+15,0.001442,2.791e+17
2014-12-01,2014-12-31,3.517e+15,0.001654,2.667e+17
2015-01-01,2015-01-31,2.491e+15,0.001611,2.426e+17
2015-02-01,2015-02-28,4.107e+15,0.0016,2.671e+17
2015-03-01,2015-03-31,3.045e+15,0.001448,2.845e+17
2015-04-01,2015-04-30,3.556e+15,0.001516,2.713e+17
2015-05-01,2015-05-31,3.139e+15,0.001565,2.457e+17
2015-06-01,2015-06-30,3.595e+15,0.001651,2.544e+17
2015-07-01,2015-07-31,3.264e+15,0.001693,2.596e+17
2015-08-01,2015-08-31,3.587e+15,0.001674,2.7e+17
2015-09-01,2015-09-30,3.535e+15,0.001664,2.814e+17
2015-10-01,2015-10-31,4.007e+15,0.001593,2.672e+17
2015-11-01,2015-11-30,3.638e+15,0.001573,2.798e+17
2015-12-01,2015-12-31,2.974e+15,0.001531,2.717e+17
