SiteName,Orlando FL
ShortName,Orlando
SiteLongitude,-81.3000
SiteLatitude,28.5000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,5.644e+15,0.001141,2.33e+17
2005-02-01,2005-02-28,7.493e+15,0.00111,2.268e+17
2005-03-01,2005-03-31,7.545e+15,0.001162,2.326e+17
2005-04-01,2005-04-30,5.636e+15,0.001174,2.399e+17
2005-05-01,2005-05-31,6.156e+15,0.001223,2.403e+17
2005-06-01,2005-06-30,7.104e+15,0.001265,2.468e+17
2005-07-01,2005-07-31,6.806e+15,0.001307,2.649e+17
2005-08-01,2005-08-31,9.092e+15,0.00128,2.615e+17
2005-09-01,2005-09-30,5.948e+15,0.001192,2.516e+17
2005-10-01,2005-10-31,5.748e+15,0.001181,2.464e+17
2005-11-01,2005-11-30,5.47e+15,0.001155,2.372e+17
2005-12-01,2005-12-31,6.683e+15,0.00116,2.383e+17
2006-01-01,2006-01-31,6.651e+15,0.001141,2.306e+17
2006-02-01,2006-02-28,8.172e+15,0.001199,2.243e+17
2006-03-01,2006-03-31,5.735e+15,0.00123,2.414e+17
2006-04-01,2006-04-30,4.661e+15,0.001242,2.448e+17
2006-05-01,2006-05-31,5.587e+15,0.001236,2.448e+17
2006-06-01,2006-06-30,6.229e+15,0.001287,2.513e+17
2006-07-01,2006-07-31,7.866e+15,0.001304,2.558e+17
2006-08-01,2006-08-31,7.564e+15,0.001306,2.606e+17
2006-09-01,2006-09-30,5.752e+15,0.001194,2.506e+17
2006-10-01,2006-10-31,4.849e+15,0.001162,2.43e+17
2006-11-01,2006-11-30,5.727e+15,0.001166,2.516e+17
2006-12-01,2006-12-31,4.91e+15,0.001133,2.416e+17
2007-01-01,2007-01-31,7.062e+15,0.001152,2.378e+17
2007-02-01,2007-02-28,6.795e+15,0.001143,2.339e+17
2007-03-01,2007-03-31,6.813e+15,0.001197,2.445e+17
2007-04-01,2007-04-30,4.599e+15,0.001234,2.47e+17
2007-05-01,2007-05-31,5.837e+15,0.001239,2.48e+17
2007-06-01,2007-06-30,6.282e+15,0.001297,2.5e+17
2007-07-01,2007-07-31,7.328e+15,0.001334,2.628e+17
2007-08-01,2007-08-31,6.964e+15,0.00128,2.648e+17
2007-09-01,2007-09-30,4.85e+15,0.00121,2.592e+17
2007-10-01,2007-10-31,4.445e+15,0.001203,2.504e+17
