SiteName,Philadelphia PA
ShortName,Philadelphia
SiteLongitude,-75.2000
SiteLatitude,40.0000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.464e+15,0.001225,2.404e+17
2005-02-01,2005-02-28,1.34e+16,0.001149,2.347e+17
2005-03-01,2005-03-31,1.027e+16,0.001148,2.388e+17
2005-04-01,2005-04-30,1.405e+16,0.001163,2.344e+17
2005-05-01,2005-05-31,9.738e+15,0.00118,2.316e+17
2005-06-01,2005-06-30,9.024e+15,0.001239,2.36e+17
2005-07-01,2005-07-31,8.648e+15,0.001308,2.484e+17
2005-08-01,2005-08-31,8.266e+15,0.001346,2.532e+17
2005-09-01,2005-09-30,9.618e+15,0.001267,2.547e+17
2005-10-01,2005-10-31,1.274e+16,0.001209,2.661e+17
2005-11-01,2005-11-30,1.191e+16,0.001136,2.618e+17
2005-12-01,2005-12-31,1.798e+16,0.001168,2.461e+17
2006-01-01,2006-01-31,1.204e+16,0.001215,2.391e+17
2006-02-01,2006-02-28,9.734e+15,0.001192,2.392e+17
2006-03-01,2006-03-31,1.097e+16,0.001215,2.517e+17
2006-04-01,2006-04-30,1.131e+16,0.001261,2.411e+17
2006-05-01,2006-05-31,1.013e+16,0.001218,2.368e+17
2006-06-01,2006-06-30,7.337e+15,0.001253,2.36e+17
2006-07-01,2006-07-31,7.329e+15,0.001283,2.393e+17
2006-08-01,2006-08-31,7.84e+15,0.00134,2.533e+17
2006-09-01,2006-09-30,1.036e+16,0.00126,2.537e+17
2006-10-01,2006-10-31,1.14e+16,0.001186,2.561e+17
2006-11-01,2006-11-30,1.34e+16,0.001219,2.758e+17
2006-12-01,2006-12-31,1.439e+16,0.001126,2.565e+17
2007-01-01,2007-01-31,1.278e+16,0.001229,2.556e+17
2007-02-01,2007-02-28,9.924e+15,0.001205,2.457e+17
2007-03-01,2007-03-31,9.979e+15,0.001206,2.63e+17
2007-04-01,2007-04-30,1.031e+16,0.001176,2.41e+17
2007-05-01,2007-05-31,8.556e+15,0.001191,2.351e+17
2007-06-01,2007-06-30,7.414e+15,0.001251,2.365e+17
2007-07-01,2007-07-31,6.972e+15,0.001284,2.448e+17
2007-08-01,2007-08-31,8.69e+15,0.001351,2.54e+17
2007-09-01,2007-09-30,8.383e+15,0.00128,2.562e+17
2007-10-01,2007-10-31,1.205e+16,0.001229,2.664e+17
2007-11-01,2007-11-30,1.236e+16,0.001215,2.692e+17
2007-12-01,2007-12-31,1.069e+16,0.001115,2.492e+17
2008-01-01,2008-01-31,1.111e+16,0.001287,2.566e+17
2008-02-01,2008-02-29,1.213e+16,0.001197,2.353e+17
2008-03-01,2008-03-31,9.159e+15,0.001151,2.328e+17
2008-04-01,2008-04-30,1.103e+16,0.001183,2.297e+17
2008-05-01,2008-05-31,8.628e+15,0.001216,2.374e+17
2008-06-01,2008-06-30,6.203e+15,0.001264,2.352e+17
2008-07-01,2008-07-31,8.12e+15,0.001309,2.42e+17
2008-08-01,2008-08-31,6.64e+15,0.001325,2.514e+17
2008-09-01,2008-09-30,8.302e+15,0.001232,2.516e+17
2008-10-01,2008-10-31,1.001e+16,0.00122,2.646e+17
2008-11-01,2008-11-30,1.24e+16,0.001158,2.518e+17
2008-12-01,2008-12-31,9.089e+15,0.001174,2.533e+17
2009-01-01,2009-01-31,8.475e+15,0.00121,2.362e+17
2009-02-01,2009-02-28,1.027e+16,0.001171,2.37e+17
2009-03-01,2009-03-31,9.019e+15,0.001197,2.356e+17
2009-04-01,2009-04-30,8.708e+15,0.001228,2.434e+17
2009-05-01,2009-05-31,6.241e+15,0.001226,2.42e+17
2009-06-01,2009-06-30,4.781e+15,0.001269,2.412e+17
2009-07-01,2009-07-31,5.191e+15,0.00132,2.479e+17
2009-08-01,2009-08-31,7.002e+15,0.001364,2.548e+17
2009-09-01,2009-09-30,6.602e+15,0.001304,2.558e+17
2009-10-01,2009-10-31,7.145e+15,0.001145,2.363e+17
2009-11-01,2009-11-30,9.969e+15,0.001219,2.638e+17
2009-12-01,2009-12-31,1.008e+16,0.001308,2.383e+17
2010-01-01,2010-01-31,7.175e+15,0.001201,2.121e+17
2010-02-01,2010-02-28,4.079e+15,0.001228,2.375e+17
2010-03-01,2010-03-31,7.773e+15,0.001204,2.499e+17
2010-04-01,2010-04-30,6.722e+15,0.00128,2.627e+17
2010-05-01,2010-05-31,6.076e+15,0.001286,2.474e+17
2010-06-01,2010-06-30,6.563e+15,0.001369,2.465e+17
2010-07-01,2010-07-31,5.286e+15,0.00141,2.551e+17
2010-08-01,2010-08-31,6.606e+15,0.001404,2.585e+17
2010-09-01,2010-09-30,6.669e+15,0.001379,2.676e+17
2010-10-01,2010-10-31,7.48e+15,0.001274,2.546e+17
2010-11-01,2010-11-30,9.362e+15,0.001256,2.608e+17
2010-12-01,2010-12-31,9.154e+15,0.00123,2.173e+17
2011-01-01,2011-01-31,7.192e+15,0.001444,2.386e+17
2011-02-01,2011-02-28,1.023e+16,0.001244,2.48e+17
2011-03-01,2011-03-31,7.291e+15,0.001316,2.721e+17
2011-04-01,2011-04-30,5.706e+15,0.001246,2.517e+17
2011-05-01,2011-05-31,6.094e+15,0.001311,2.415e+17
2011-06-01,2011-06-30,4.651e+15,0.00139,2.408e+17
2011-07-01,2011-07-31,4.861e+15,0.001444,2.529e+17
2011-08-01,2011-08-31,5.346e+15,0.001452,2.652e+17
2011-09-01,2011-09-30,7.228e+15,0.001369,2.716e+17
2011-10-01,2011-10-31,7.084e+15,0.001284,2.632e+17
2011-11-01,2011-11-30,9.642e+15,0.001318,2.738e+17
2011-12-01,2011-12-31,9.247e+15,0.001189,2.46e+17
2012-01-01,2012-01-31,8.735e+15,0.001314,2.552e+17
2012-02-01,2012-02-29,7.847e+15,0.001222,2.408e+17
2012-03-01,2012-03-31,6.346e+15,0.001138,2.457e+17
2012-04-01,2012-04-30,6.473e+15,0.001295,2.506e+17
2012-05-01,2012-05-31,4.964e+15,0.001316,2.536e+17
2012-06-01,2012-06-30,4.805e+15,0.001363,2.515e+17
2012-07-01,2012-07-31,5.188e+15,0.001447,2.602e+17
2012-08-01,2012-08-31,6.216e+15,0.001447,2.726e+17
2012-09-01,2012-09-30,6.359e+15,0.001413,2.766e+17
2012-10-01,2012-10-31,7.964e+15,0.001302,2.702e+17
2012-11-01,2012-11-30,7.885e+15,0.001327,2.61e+17
2012-12-01,2012-12-31,1.219e+16,0.001198,2.561e+17
2013-01-01,2013-01-31,9.08e+15,0.001415,2.487e+17
2013-02-01,2013-02-28,8.037e+15,0.001376,2.493e+17
2013-03-01,2013-03-31,5.918e+15,0.001297,2.723e+17
2013-04-01,2013-04-30,6.624e+15,0.001393,2.641e+17
2013-05-01,2013-05-31,5.734e+15,0.00136,2.527e+17
2013-06-01,2013-06-30,5.48e+15,0.001434,2.509e+17
2013-07-01,2013-07-31,4.298e+15,0.001417,2.633e+17
2013-08-01,2013-08-31,4.672e+15,0.001463,2.712e+17
2013-09-01,2013-09-30,7.544e+15,0.001395,2.691e+17
2013-10-01,2013-10-31,7.581e+15,0.001322,2.741e+17
2013-11-01,2013-11-30,1.048e+16,0.001356,2.817e+17
2013-12-01,2013-12-31,9.862e+15,0.001539,2.775e+17
2014-01-01,2014-01-31,8.275e+15,0.001357,2.453e+17
2014-02-01,2014-02-28,7.642e+15,0.001342,2.604e+17
2014-03-01,2014-03-31,8.954e+15,0.001381,2.787e+17
2014-04-01,2014-04-30,6.291e+15,0.001343,2.593e+17
2014-05-01,2014-05-31,5.432e+15,0.001362,2.482e+17
2014-06-01,2014-06-30,5.253e+15,0.001374,2.516e+17
2014-07-01,2014-07-31,4.769e+15,0.00148,2.61e+17
2014-08-01,2014-08-31,5.926e+15,0.001511,2.729e+17
2014-09-01,2014-09-30,5.274e+15,0.00144,2.816e+17
2014-10-01,2014-10-31,7.755e+15,0.001364,2.803e+17
2014-11-01,2014-11-30,8.586e+15,0.001278,2.628e+17
2014-12-01,2014-12-31,6.673e+15,0.001226,2.339e+17
2015-01-01,2015-01-31,7.494e+15,0.0014,2.331e+17
2015-02-01,2015-02-28,7.353e+15,0.001452,2.874e+17
2015-03-01,2015-03-31,4.269e+15,0.001415,2.971e+17
2015-04-01,2015-04-30,6.071e+15,0.001337,2.639e+17
2015-05-01,2015-05-31,4.895e+15,0.001367,2.566e+17
2015-06-01,2015-06-30,4.311e+15,0.001359,2.585e+17
2015-07-01,2015-07-31,4.787e+15,0.001473,2.622e+17
2015-08-01,2015-08-31,5.017e+15,0.001496,2.718e+17
2015-09-01,2015-09-30,7.008e+15,0.001467,2.759e+17
2015-10-01,2015-10-31,7.317e+15,0.001324,2.644e+17
2015-11-01,2015-11-30,7.12e+15,0.001326,2.695e+17
2015-12-01,2015-12-31,9.937e+15,0.001346,2.684e+17
