SiteName,Phoenix AZ
ShortName,Phoenix
SiteLongitude,-112.0000
SiteLatitude,33.6000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,7.548e+15,0.001511,2.422e+17
2005-02-01,2005-02-28,7.183e+15,0.001466,2.457e+17
2005-03-01,2005-03-31,7.669e+15,0.001521,2.444e+17
2005-04-01,2005-04-30,6.462e+15,0.001533,2.365e+17
2005-05-01,2005-05-31,6.326e+15,0.001552,2.384e+17
2005-06-01,2005-06-30,5.516e+15,0.001623,2.403e+17
2005-07-01,2005-07-31,5.038e+15,0.001653,2.524e+17
2005-08-01,2005-08-31,4.663e+15,0.001737,2.559e+17
2005-09-01,2005-09-30,5.928e+15,0.001547,2.537e+17
2005-10-01,2005-10-31,6.74e+15,0.001519,2.571e+17
2005-11-01,2005-11-30,7.507e+15,0.00143,2.475e+17
2005-12-01,2005-12-31,1.099e+16,0.001515,2.517e+17
2006-01-01,2006-01-31,7.8e+15,0.001541,2.434e+17
2006-02-01,2006-02-28,8.408e+15,0.001534,2.338e+17
2006-03-01,2006-03-31,6.944e+15,0.001512,2.461e+17
2006-04-01,2006-04-30,6.324e+15,0.001523,2.411e+17
2006-05-01,2006-05-31,5.842e+15,0.00154,2.395e+17
2006-06-01,2006-06-30,5.332e+15,0.001638,2.417e+17
2006-07-01,2006-07-31,4.135e+15,0.001636,2.48e+17
2006-08-01,2006-08-31,4.019e+15,0.001656,2.545e+17
2006-09-01,2006-09-30,4.79e+15,0.001505,2.46e+17
2006-10-01,2006-10-31,6.628e+15,0.001496,2.571e+17
2006-11-01,2006-11-30,6.92e+15,0.001553,2.601e+17
2006-12-01,2006-12-31,7.715e+15,0.001519,2.542e+17
2007-01-01,2007-01-31,6.632e+15,0.001595,2.544e+17
2007-02-01,2007-02-28,7.794e+15,0.001562,2.523e+17
2007-03-01,2007-03-31,5.883e+15,0.001539,2.598e+17
2007-04-01,2007-04-30,6.372e+15,0.00155,2.504e+17
2007-05-01,2007-05-31,5.133e+15,0.001591,2.381e+17
2007-06-01,2007-06-30,5.677e+15,0.001667,2.422e+17
2007-07-01,2007-07-31,3.722e+15,0.001699,2.56e+17
2007-08-01,2007-08-31,4.116e+15,0.001635,2.598e+17
2007-09-01,2007-09-30,4.4e+15,0.001546,2.561e+17
2007-10-01,2007-10-31,5.838e+15,0.001537,2.592e+17
2007-11-01,2007-11-30,6.345e+15,0.001555,2.578e+17
2007-12-01,2007-12-31,6.823e+15,0.00144,2.519e+17
2008-01-01,2008-01-31,6.788e+15,0.001587,2.575e+17
2008-02-01,2008-02-29,8.162e+15,0.00159,2.477e+17
2008-03-01,2008-03-31,5.867e+15,0.001505,2.337e+17
2008-04-01,2008-04-30,5.01e+15,0.001527,2.383e+17
2008-05-01,2008-05-31,4.542e+15,0.001571,2.394e+17
2008-06-01,2008-06-30,4.116e+15,0.001639,2.437e+17
2008-07-01,2008-07-31,3.584e+15,0.001651,2.516e+17
2008-08-01,2008-08-31,3.303e+15,0.001674,2.565e+17
2008-09-01,2008-09-30,3.622e+15,0.001551,2.541e+17
2008-10-01,2008-10-31,4.325e+15,0.001565,2.541e+17
2008-11-01,2008-11-30,5.193e+15,0.001452,2.63e+17
2008-12-01,2008-12-31,5.43e+15,0.001388,2.51e+17
2009-01-01,2009-01-31,5.669e+15,0.001573,2.363e+17
2009-02-01,2009-02-28,5.571e+15,0.001515,2.308e+17
2009-03-01,2009-03-31,4.618e+15,0.001581,2.536e+17
2009-04-01,2009-04-30,4.719e+15,0.001599,2.521e+17
2009-05-01,2009-05-31,3.865e+15,0.001531,2.472e+17
2009-06-01,2009-06-30,3.463e+15,0.001649,2.476e+17
2009-07-01,2009-07-31,3.017e+15,0.001703,2.565e+17
2009-08-01,2009-08-31,3.045e+15,0.001707,2.61e+17
2009-09-01,2009-09-30,3.712e+15,0.001576,2.652e+17
2009-10-01,2009-10-31,4.244e+15,0.001502,2.54e+17
2009-11-01,2009-11-30,4.733e+15,0.001478,2.462e+17
2009-12-01,2009-12-31,6.143e+15,0.00152,2.349e+17
2010-01-01,2010-01-31,4.403e+15,0.001557,2.364e+17
2010-02-01,2010-02-28,5.86e+15,0.001483,2.403e+17
2010-03-01,2010-03-31,4.838e+15,0.001547,2.6e+17
2010-04-01,2010-04-30,4.567e+15,0.001633,2.601e+17
2010-05-01,2010-05-31,3.646e+15,0.001571,2.487e+17
2010-06-01,2010-06-30,3.601e+15,0.00171,2.516e+17
2010-07-01,2010-07-31,2.92e+15,0.001769,2.639e+17
2010-08-01,2010-08-31,2.682e+15,0.001795,2.697e+17
2010-09-01,2010-09-30,3.491e+15,0.001617,2.616e+17
2010-10-01,2010-10-31,3.574e+15,0.001599,2.555e+17
2010-11-01,2010-11-30,4.094e+15,0.001619,2.501e+17
2010-12-01,2010-12-31,5.445e+15,0.001535,2.458e+17
2011-01-01,2011-01-31,6.329e+15,0.001691,2.444e+17
2011-02-01,2011-02-28,5.574e+15,0.00157,2.409e+17
2011-03-01,2011-03-31,4.569e+15,0.001608,2.705e+17
2011-04-01,2011-04-30,3.822e+15,0.001632,2.594e+17
2011-05-01,2011-05-31,3.436e+15,0.001673,2.488e+17
2011-06-01,2011-06-30,2.941e+15,0.001688,2.516e+17
2011-07-01,2011-07-31,2.951e+15,0.001684,2.65e+17
2011-08-01,2011-08-31,2.96e+15,0.001783,2.703e+17
2011-09-01,2011-09-30,3.653e+15,0.001623,2.664e+17
2011-10-01,2011-10-31,3.832e+15,0.001654,2.683e+17
2011-11-01,2011-11-30,4.782e+15,0.001587,2.466e+17
2011-12-01,2011-12-31,5.542e+15,0.001543,2.512e+17
2012-01-01,2012-01-31,4.738e+15,0.001632,2.572e+17
2012-02-01,2012-02-29,5.044e+15,0.001536,2.498e+17
2012-03-01,2012-03-31,5.105e+15,0.0016,2.58e+17
2012-04-01,2012-04-30,4.022e+15,0.001603,2.447e+17
2012-05-01,2012-05-31,3.459e+15,0.001652,2.51e+17
2012-06-01,2012-06-30,3.147e+15,0.001694,2.582e+17
2012-07-01,2012-07-31,2.601e+15,0.001799,2.683e+17
2012-08-01,2012-08-31,2.937e+15,0.001813,2.791e+17
2012-09-01,2012-09-30,3.229e+15,0.001714,2.778e+17
2012-10-01,2012-10-31,4.021e+15,0.001657,2.719e+17
2012-11-01,2012-11-30,4.241e+15,0.001519,2.506e+17
2012-12-01,2012-12-31,5.436e+15,0.001558,2.475e+17
2013-01-01,2013-01-31,4.713e+15,0.001628,2.365e+17
2013-02-01,2013-02-28,5.532e+15,0.001597,2.506e+17
2013-03-01,2013-03-31,4.732e+15,0.001747,2.769e+17
2013-04-01,2013-04-30,4.036e+15,0.001622,2.594e+17
2013-05-01,2013-05-31,3.414e+15,0.001618,2.566e+17
2013-06-01,2013-06-30,3.259e+15,0.001686,2.596e+17
2013-07-01,2013-07-31,2.769e+15,0.001789,2.655e+17
2013-08-01,2013-08-31,2.387e+15,0.001869,2.771e+17
2013-09-01,2013-09-30,3.543e+15,0.00171,2.769e+17
2013-10-01,2013-10-31,3.687e+15,0.001673,2.862e+17
2013-11-01,2013-11-30,4.227e+15,0.001596,2.655e+17
2013-12-01,2013-12-31,5.41e+15,0.001581,2.464e+17
2014-01-01,2014-01-31,5.096e+15,0.001792,2.53e+17
2014-02-01,2014-02-28,4.47e+15,0.001562,2.57e+17
2014-03-01,2014-03-31,4.445e+15,0.001649,2.779e+17
2014-04-01,2014-04-30,3.478e+15,0.001676,2.59e+17
2014-05-01,2014-05-31,3.37e+15,0.00171,2.543e+17
2014-06-01,2014-06-30,2.977e+15,0.001686,2.582e+17
2014-07-01,2014-07-31,2.894e+15,0.001886,2.755e+17
2014-08-01,2014-08-31,2.779e+15,0.001886,2.844e+17
2014-09-01,2014-09-30,2.966e+15,0.001818,2.798e+17
2014-10-01,2014-10-31,3.804e+15,0.00163,2.772e+17
2014-11-01,2014-11-30,3.792e+15,0.001765,2.662e+17
2014-12-01,2014-12-31,5.715e+15,0.001498,2.581e+17
2015-01-01,2015-01-31,4.847e+15,0.001701,2.496e+17
2015-02-01,2015-02-28,4.581e+15,0.001754,2.643e+17
2015-03-01,2015-03-31,3.668e+15,0.00163,2.797e+17
2015-04-01,2015-04-30,4.072e+15,0.001623,2.631e+17
2015-05-01,2015-05-31,3.653e+15,0.00174,2.62e+17
2015-06-01,2015-06-30,3.116e+15,0.001763,2.649e+17
2015-07-01,2015-07-31,2.575e+15,0.001825,2.739e+17
2015-08-01,2015-08-31,2.664e+15,0.00185,2.783e+17
2015-09-01,2015-09-30,2.712e+15,0.001709,2.806e+17
2015-10-01,2015-10-31,3.467e+15,0.001637,2.714e+17
2015-11-01,2015-11-30,3.754e+15,0.00168,2.856e+17
2015-12-01,2015-12-31,4.561e+15,0.001797,2.691e+17
