SiteName,Pittsburgh PA
ShortName,Pittsburgh
SiteLongitude,-79.9500
SiteLatitude,40.4000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,9.237e+15,0.001498,2.619e+17
2005-02-01,2005-02-28,1.519e+16,0.001359,2.367e+17
2005-03-01,2005-03-31,1.5e+16,0.001301,2.336e+17
2005-04-01,2005-04-30,1.106e+16,0.001321,2.319e+17
2005-05-01,2005-05-31,8.066e+15,0.001324,2.29e+17
2005-06-01,2005-06-30,6.37e+15,0.001378,2.33e+17
2005-07-01,2005-07-31,4.458e+15,0.001459,2.431e+17
2005-08-01,2005-08-31,6.685e+15,0.001502,2.492e+17
2005-09-01,2005-09-30,9.268e+15,0.001428,2.551e+17
2005-10-01,2005-10-31,1.443e+16,0.001358,2.653e+17
2005-11-01,2005-11-30,1.22e+16,0.001333,2.672e+17
2005-12-01,2005-12-31,1.185e+16,0.001316,2.397e+17
2006-01-01,2006-01-31,9.447e+15,0.001374,2.482e+17
2006-02-01,2006-02-28,1.119e+16,0.001374,2.379e+17
2006-03-01,2006-03-31,1.178e+16,0.001387,2.523e+17
2006-04-01,2006-04-30,1.177e+16,0.001427,2.462e+17
2006-05-01,2006-05-31,8.309e+15,0.001398,2.37e+17
2006-06-01,2006-06-30,6.287e+15,0.001402,2.371e+17
2006-07-01,2006-07-31,4.594e+15,0.001446,2.427e+17
2006-08-01,2006-08-31,6.02e+15,0.001522,2.52e+17
2006-09-01,2006-09-30,8.306e+15,0.001396,2.522e+17
2006-10-01,2006-10-31,9.701e+15,0.001329,2.607e+17
2006-11-01,2006-11-30,1.094e+16,0.00138,2.796e+17
2006-12-01,2006-12-31,1.266e+16,0.001336,2.634e+17
2007-01-01,2007-01-31,8.328e+15,0.001448,2.682e+17
2007-02-01,2007-02-28,2.035e+16,0.001367,2.554e+17
2007-03-01,2007-03-31,1.066e+16,0.001384,2.662e+17
2007-04-01,2007-04-30,9.278e+15,0.001357,2.377e+17
2007-05-01,2007-05-31,7.838e+15,0.001345,2.321e+17
2007-06-01,2007-06-30,5.669e+15,0.001422,2.347e+17
2007-07-01,2007-07-31,4.442e+15,0.001428,2.468e+17
2007-08-01,2007-08-31,7.07e+15,0.001519,2.55e+17
2007-09-01,2007-09-30,8.295e+15,0.001448,2.572e+17
2007-10-01,2007-10-31,1.145e+16,0.001394,2.629e+17
2007-11-01,2007-11-30,1.203e+16,0.001412,2.712e+17
2007-12-01,2007-12-31,8.247e+15,0.001267,2.47e+17
2008-01-01,2008-01-31,9.201e+15,0.001463,2.576e+17
2008-02-01,2008-02-29,1.009e+16,0.001438,2.68e+17
2008-03-01,2008-03-31,8.417e+15,0.001331,2.432e+17
2008-04-01,2008-04-30,9.009e+15,0.001335,2.325e+17
2008-05-01,2008-05-31,6.768e+15,0.001387,2.336e+17
2008-06-01,2008-06-30,4.972e+15,0.00144,2.341e+17
2008-07-01,2008-07-31,4.944e+15,0.001484,2.45e+17
2008-08-01,2008-08-31,5.04e+15,0.001528,2.519e+17
2008-09-01,2008-09-30,6.729e+15,0.001415,2.553e+17
2008-10-01,2008-10-31,1.02e+16,0.001399,2.69e+17
2008-11-01,2008-11-30,9.644e+15,0.001382,2.672e+17
2008-12-01,2008-12-31,5.583e+15,0.001386,2.704e+17
2009-01-01,2009-01-31,7.862e+15,0.001484,2.575e+17
2009-02-01,2009-02-28,1.123e+16,0.001408,2.41e+17
2009-03-01,2009-03-31,8.602e+15,0.001378,2.463e+17
2009-04-01,2009-04-30,5.101e+15,0.001398,2.409e+17
2009-05-01,2009-05-31,4.875e+15,0.001433,2.423e+17
2009-06-01,2009-06-30,4.335e+15,0.001449,2.389e+17
2009-07-01,2009-07-31,3.764e+15,0.001463,2.427e+17
2009-08-01,2009-08-31,5.099e+15,0.001565,2.588e+17
2009-09-01,2009-09-30,5.882e+15,0.001511,2.618e+17
2009-10-01,2009-10-31,5.275e+15,0.001422,2.635e+17
2009-11-01,2009-11-30,6.931e+15,0.001433,2.724e+17
2009-12-01,2009-12-31,6.869e+15,0.001276,2.325e+17
2010-01-01,2010-01-31,4.214e+15,0.001296,2.262e+17
2010-02-01,2010-02-28,4.798e+15,0.001273,2.494e+17
2010-03-01,2010-03-31,1.28e+16,0.00142,2.641e+17
2010-04-01,2010-04-30,6.13e+15,0.001438,2.536e+17
2010-05-01,2010-05-31,4.894e+15,0.001464,2.47e+17
2010-06-01,2010-06-30,6.222e+15,0.001545,2.503e+17
2010-07-01,2010-07-31,4.257e+15,0.001586,2.544e+17
2010-08-01,2010-08-31,6.026e+15,0.001641,2.606e+17
2010-09-01,2010-09-30,6.066e+15,0.001537,2.606e+17
2010-10-01,2010-10-31,6.19e+15,0.001361,2.47e+17
2010-11-01,2010-11-30,9.598e+15,0.001519,2.59e+17
2010-12-01,2010-12-31,9.227e+15,0.0009891,2.187e+17
2011-01-01,2011-01-31,7.537e+15,0.00158,2.579e+17
2011-02-01,2011-02-28,9.199e+15,0.001473,2.471e+17
2011-03-01,2011-03-31,5.968e+15,0.001438,2.736e+17
2011-04-01,2011-04-30,8.493e+15,0.001403,2.462e+17
2011-05-01,2011-05-31,5.481e+15,0.001474,2.414e+17
2011-06-01,2011-06-30,4.339e+15,0.001583,2.52e+17
