SiteName,Portland OR
ShortName,Portland
SiteLongitude,-122.5500
SiteLatitude,45.4500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,4.615e+15,0.001435,2.413e+17
2005-02-01,2005-02-28,5.604e+15,0.001483,2.72e+17
2005-03-01,2005-03-31,6.014e+15,0.001372,2.77e+17
2005-04-01,2005-04-30,6.198e+15,0.001242,2.245e+17
2005-05-01,2005-05-31,4.735e+15,0.001202,2.192e+17
2005-06-01,2005-06-30,5.604e+15,0.0013,2.233e+17
2005-07-01,2005-07-31,4.778e+15,0.001464,2.324e+17
2005-08-01,2005-08-31,5.492e+15,0.00141,2.409e+17
2005-09-01,2005-09-30,7.399e+15,0.001418,2.535e+17
2005-10-01,2005-10-31,5.223e+15,0.001381,2.689e+17
2005-11-01,2005-11-30,4.857e+15,0.001307,2.759e+17
2005-12-01,2005-12-31,4.008e+15,0.001397,2.792e+17
2006-01-01,2006-01-31,3.596e+15,0.001724,2.616e+17
2006-02-01,2006-02-28,3.786e+15,0.001307,2.671e+17
2006-03-01,2006-03-31,3.621e+15,0.001152,2.476e+17
2006-04-01,2006-04-30,4.654e+15,0.001275,2.428e+17
2006-05-01,2006-05-31,4.472e+15,0.001337,2.325e+17
2006-06-01,2006-06-30,3.829e+15,0.00133,2.287e+17
2006-07-01,2006-07-31,4.445e+15,0.001377,2.334e+17
2006-08-01,2006-08-31,4.909e+15,0.001515,2.43e+17
2006-09-01,2006-09-30,5.955e+15,0.00144,2.537e+17
2006-10-01,2006-10-31,6.135e+15,0.001494,2.748e+17
2006-11-01,2006-11-30,5.639e+15,0.001342,2.873e+17
2006-12-01,2006-12-31,3.784e+15,0.001424,2.658e+17
2007-01-01,2007-01-31,4.989e+15,0.001652,2.891e+17
2007-02-01,2007-02-28,3.547e+15,0.001534,2.785e+17
2007-03-01,2007-03-31,5.198e+15,0.001513,2.775e+17
2007-04-01,2007-04-30,4.565e+15,0.001379,2.508e+17
2007-05-01,2007-05-31,4.467e+15,0.00128,2.281e+17
2007-06-01,2007-06-30,4.995e+15,0.001373,2.255e+17
2007-07-01,2007-07-31,5.259e+15,0.001488,2.335e+17
2007-08-01,2007-08-31,5.557e+15,0.001506,2.465e+17
2007-09-01,2007-09-30,5.574e+15,0.001431,2.525e+17
2007-10-01,2007-10-31,4.745e+15,0.001468,2.769e+17
2007-11-01,2007-11-30,4.693e+15,0.0013,2.707e+17
2007-12-01,2007-12-31,1.332e+15,0.001443,2.728e+17
2008-01-01,2008-01-31,3.077e+15,0.001605,2.596e+17
2008-02-01,2008-02-29,4.773e+15,0.00149,2.582e+17
2008-03-01,2008-03-31,4.578e+15,0.001376,2.631e+17
2008-04-01,2008-04-30,4.739e+15,0.001405,2.376e+17
2008-05-01,2008-05-31,3.675e+15,0.001237,2.308e+17
2008-06-01,2008-06-30,3.411e+15,0.001408,2.289e+17
2008-07-01,2008-07-31,4.121e+15,0.001402,2.35e+17
2008-08-01,2008-08-31,5.147e+15,0.001489,2.454e+17
2008-09-01,2008-09-30,5.57e+15,0.001456,2.511e+17
2008-10-01,2008-10-31,4.504e+15,0.001301,2.711e+17
2008-11-01,2008-11-30,3.023e+15,0.001306,2.733e+17
2008-12-01,2008-12-31,4.65e+15,0.001415,2.97e+17
2009-01-01,2009-01-31,4.186e+15,0.001423,2.498e+17
2009-02-01,2009-02-28,3.548e+15,0.001177,2.26e+17
2009-03-01,2009-03-31,3.688e+15,0.001278,2.502e+17
2009-04-01,2009-04-30,2.993e+15,0.001306,2.516e+17
2009-05-01,2009-05-31,3.014e+15,0.001312,2.328e+17
2009-06-01,2009-06-30,2.91e+15,0.001471,2.341e+17
2009-07-01,2009-07-31,3.955e+15,0.001444,2.396e+17
2009-08-01,2009-08-31,4.649e+15,0.001468,2.474e+17
2009-09-01,2009-09-30,4.715e+15,0.001481,2.518e+17
2009-10-01,2009-10-31,4.287e+15,0.001352,2.666e+17
2009-11-01,2009-11-30,2.809e+15,0.001627,2.637e+17
2009-12-01,2009-12-31,3.595e+15,0.001414,2.495e+17
2010-01-01,2010-01-31,5.121e+15,0.001648,2.773e+17
2010-02-01,2010-02-28,2.672e+15,0.001335,2.677e+17
2010-03-01,2010-03-31,2.467e+15,0.001176,2.653e+17
