SiteName,Reno NV
SiteLongitude,-119.7000
SiteLatitude,39.5500
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,5.504e+15
2005-02-01,2005-02-28,2.221e+15
2005-03-01,2005-03-31,1.848e+15
2005-04-01,2005-04-30,1.551e+15
2005-05-01,2005-05-31,1.5e+15
2005-06-01,2005-06-30,1.967e+15
2005-07-01,2005-07-31,1.458e+15
2005-08-01,2005-08-31,2.193e+15
2005-09-01,2005-09-30,2.708e+15
2005-10-01,2005-10-31,2.459e+15
2005-11-01,2005-11-30,2.753e+15
2005-12-01,2005-12-31,2.578e+15
2006-01-01,2006-01-31,2.42e+15
2006-02-01,2006-02-28,3.182e+15
2006-03-01,2006-03-31,2.29e+15
2006-04-01,2006-04-30,1.426e+15
2006-05-01,2006-05-31,1.599e+15
2006-06-01,2006-06-30,1.698e+15
2006-07-01,2006-07-31,1.681e+15
2006-08-01,2006-08-31,2.055e+15
2006-09-01,2006-09-30,2.23e+15
2006-10-01,2006-10-31,2.721e+15
2006-11-01,2006-11-30,2.36e+15
2006-12-01,2006-12-31,3.029e+15
2007-01-01,2007-01-31,2.862e+15
2007-02-01,2007-02-28,2.865e+15
2007-03-01,2007-03-31,2.016e+15
2007-04-01,2007-04-30,1.415e+15
2007-05-01,2007-05-31,1.463e+15
2007-06-01,2007-06-30,1.722e+15
2007-07-01,2007-07-31,1.717e+15
2007-08-01,2007-08-31,2.058e+15
2007-09-01,2007-09-30,2.251e+15
2007-10-01,2007-10-31,2.399e+15
2007-11-01,2007-11-30,2.215e+15
2007-12-01,2007-12-31,1.583e+15
2008-01-01,2008-01-31,1.854e+15
2008-02-01,2008-02-29,2.143e+15
2008-03-01,2008-03-31,1.499e+15
2008-04-01,2008-04-30,1.238e+15
2008-05-01,2008-05-31,1.184e+15
2008-06-01,2008-06-30,1.481e+15
2008-07-01,2008-07-31,1.392e+15
2008-08-01,2008-08-31,1.642e+15
2008-09-01,2008-09-30,1.972e+15
2008-10-01,2008-10-31,2.603e+15
2008-11-01,2008-11-30,2.246e+15
2008-12-01,2008-12-31,2.17e+15
2009-01-01,2009-01-31,2.484e+15
2009-02-01,2009-02-28,1.217e+15
2009-03-01,2009-03-31,1.779e+15
2009-04-01,2009-04-30,1.035e+15
2009-05-01,2009-05-31,1.164e+15
2009-06-01,2009-06-30,1.237e+15
2009-07-01,2009-07-31,1.118e+15
2009-08-01,2009-08-31,1.669e+15
2009-09-01,2009-09-30,1.637e+15
2009-10-01,2009-10-31,1.748e+15
2009-11-01,2009-11-30,1.658e+15
2009-12-01,2009-12-31,2.282e+15
2010-01-01,2010-01-31,1.363e+15
2010-02-01,2010-02-28,1.602e+15
2010-03-01,2010-03-31,8.193e+14
2010-04-01,2010-04-30,1.138e+15
2010-05-01,2010-05-31,9.57e+14
2010-06-01,2010-06-30,1.054e+15
2010-07-01,2010-07-31,1.203e+15
2010-08-01,2010-08-31,1.524e+15
2010-09-01,2010-09-30,1.711e+15
2010-10-01,2010-10-31,1.445e+15
2010-11-01,2010-11-30,1.574e+15
2010-12-01,2010-12-31,1.524e+15
2011-01-01,2011-01-31,2.407e+15
2011-02-01,2011-02-28,1.395e+15
2011-03-01,2011-03-31,1.039e+15
2011-04-01,2011-04-30,1.044e+15
2011-05-01,2011-05-31,7.581e+14
2011-06-01,2011-06-30,1.181e+15
2011-07-01,2011-07-31,9.418e+14
2011-08-01,2011-08-31,1.284e+15
2011-09-01,2011-09-30,1.831e+15
2011-10-01,2011-10-31,1.647e+15
2011-11-01,2011-11-30,1.605e+15
2011-12-01,2011-12-31,1.862e+15
2012-01-01,2012-01-31,2.316e+15
2012-02-01,2012-02-29,1.578e+15
2012-03-01,2012-03-31,1.235e+15
2012-04-01,2012-04-30,1.083e+15
2012-05-01,2012-05-31,8.247e+14
2012-06-01,2012-06-30,1.201e+15
2012-07-01,2012-07-31,1.145e+15
2012-08-01,2012-08-31,1.475e+15
2012-09-01,2012-09-30,1.704e+15
2012-10-01,2012-10-31,1.626e+15
2012-11-01,2012-11-30,1.854e+15
2012-12-01,2012-12-31,1.648e+15
2013-01-01,2013-01-31,1.911e+15
2013-02-01,2013-02-28,1.388e+15
2013-03-01,2013-03-31,1.171e+15
2013-04-01,2013-04-30,1.084e+15
2013-05-01,2013-05-31,1.066e+15
2013-06-01,2013-06-30,1.1e+15
2013-07-01,2013-07-31,1.021e+15
2013-08-01,2013-08-31,1.572e+15
2013-09-01,2013-09-30,8.045e+14
2013-10-01,2013-10-31,2.044e+15
2013-11-01,2013-11-30,1.544e+15
2013-12-01,2013-12-31,1.913e+15
2014-01-01,2014-01-31,2.365e+15
2014-02-01,2014-02-28,1.707e+15
