SiteName,Richmond VA
ShortName,Richmond
SiteLongitude,-77.3000
SiteLatitude,37.4000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,9.168e+15,0.001205,2.401e+17
2005-02-01,2005-02-28,1.254e+16,0.001146,2.351e+17
2005-03-01,2005-03-31,9.383e+15,0.001146,2.443e+17
2005-04-01,2005-04-30,1.003e+16,0.00118,2.307e+17
2005-05-01,2005-05-31,6.77e+15,0.00119,2.347e+17
2005-06-01,2005-06-30,5.497e+15,0.001249,2.355e+17
2005-07-01,2005-07-31,5.494e+15,0.001311,2.488e+17
2005-08-01,2005-08-31,6.483e+15,0.001321,2.564e+17
2005-09-01,2005-09-30,6.836e+15,0.00124,2.535e+17
2005-10-01,2005-10-31,8.237e+15,0.001183,2.573e+17
2005-11-01,2005-11-30,8.356e+15,0.001116,2.538e+17
2005-12-01,2005-12-31,1.365e+16,0.001183,2.43e+17
2006-01-01,2006-01-31,9.456e+15,0.001187,2.37e+17
2006-02-01,2006-02-28,1.095e+16,0.001185,2.308e+17
2006-03-01,2006-03-31,8.254e+15,0.001228,2.466e+17
2006-04-01,2006-04-30,8.074e+15,0.00125,2.451e+17
2006-05-01,2006-05-31,5.897e+15,0.001232,2.389e+17
2006-06-01,2006-06-30,6.553e+15,0.001244,2.372e+17
2006-07-01,2006-07-31,4.745e+15,0.001321,2.442e+17
2006-08-01,2006-08-31,6.344e+15,0.00134,2.51e+17
2006-09-01,2006-09-30,7.16e+15,0.001223,2.524e+17
2006-10-01,2006-10-31,7.707e+15,0.001172,2.567e+17
2006-11-01,2006-11-30,1.065e+16,0.001178,2.678e+17
2006-12-01,2006-12-31,1.039e+16,0.001119,2.495e+17
2007-01-01,2007-01-31,8.277e+15,0.001211,2.52e+17
2007-02-01,2007-02-28,1.044e+16,0.001173,2.41e+17
2007-03-01,2007-03-31,7.622e+15,0.001201,2.577e+17
2007-04-01,2007-04-30,8.408e+15,0.001192,2.429e+17
2007-05-01,2007-05-31,5.754e+15,0.001199,2.33e+17
2007-06-01,2007-06-30,6.126e+15,0.001239,2.387e+17
2007-07-01,2007-07-31,4.938e+15,0.001281,2.484e+17
2007-08-01,2007-08-31,6.258e+15,0.001331,2.583e+17
2007-09-01,2007-09-30,6.414e+15,0.001252,2.536e+17
2007-10-01,2007-10-31,9.348e+15,0.001214,2.596e+17
2007-11-01,2007-11-30,8.83e+15,0.001168,2.616e+17
2007-12-01,2007-12-31,8.746e+15,0.001134,2.466e+17
2008-01-01,2008-01-31,6.698e+15,0.001251,2.494e+17
