SiteName,Sacramento CA
ShortName,Sacramento
SiteLongitude,-121.4000
SiteLatitude,38.6500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,5.935e+15,0.001231,2.457e+17
2005-02-01,2005-02-28,7.41e+15,0.00129,2.552e+17
2005-03-01,2005-03-31,5.075e+15,0.001189,2.575e+17
2005-04-01,2005-04-30,4.395e+15,0.001197,2.33e+17
2005-05-01,2005-05-31,4.762e+15,0.001218,2.283e+17
2005-06-01,2005-06-30,4.981e+15,0.001245,2.336e+17
2005-07-01,2005-07-31,4.297e+15,0.001321,2.449e+17
2005-08-01,2005-08-31,5.254e+15,0.001342,2.516e+17
2005-09-01,2005-09-30,6.294e+15,0.001287,2.521e+17
2005-10-01,2005-10-31,6.488e+15,0.001248,2.63e+17
2005-11-01,2005-11-30,6.594e+15,0.001144,2.58e+17
2005-12-01,2005-12-31,6.315e+15,0.001241,2.621e+17
2006-01-01,2006-01-31,5.586e+15,0.001245,2.465e+17
2006-02-01,2006-02-28,6.435e+15,0.00119,2.441e+17
2006-03-01,2006-03-31,3.137e+15,0.001215,2.537e+17
2006-04-01,2006-04-30,4.607e+15,0.00123,2.434e+17
2006-05-01,2006-05-31,4.427e+15,0.001202,2.356e+17
2006-06-01,2006-06-30,4.096e+15,0.001277,2.361e+17
2006-07-01,2006-07-31,3.97e+15,0.001347,2.437e+17
2006-08-01,2006-08-31,4.69e+15,0.001351,2.512e+17
2006-09-01,2006-09-30,4.613e+15,0.001263,2.489e+17
2006-10-01,2006-10-31,6.141e+15,0.001229,2.669e+17
2006-11-01,2006-11-30,5.567e+15,0.001167,2.714e+17
2006-12-01,2006-12-31,7.092e+15,0.001188,2.599e+17
2007-01-01,2007-01-31,6.654e+15,0.001322,2.652e+17
2007-02-01,2007-02-28,4.68e+15,0.001276,2.599e+17
2007-03-01,2007-03-31,4.454e+15,0.001253,2.728e+17
2007-04-01,2007-04-30,4.389e+15,0.001202,2.507e+17
2007-05-01,2007-05-31,3.843e+15,0.001231,2.352e+17
2007-06-01,2007-06-30,3.274e+15,0.001266,2.357e+17
2007-07-01,2007-07-31,3.582e+15,0.001294,2.465e+17
2007-08-01,2007-08-31,4.298e+15,0.001332,2.547e+17
2007-09-01,2007-09-30,4.69e+15,0.001266,2.547e+17
2007-10-01,2007-10-31,5.605e+15,0.001262,2.669e+17
2007-11-01,2007-11-30,5.677e+15,0.001222,2.641e+17
2007-12-01,2007-12-31,4.802e+15,0.001187,2.659e+17
2008-01-01,2008-01-31,5.277e+15,0.001405,2.715e+17
2008-02-01,2008-02-29,4.79e+15,0.001297,2.579e+17
2008-03-01,2008-03-31,4.062e+15,0.001211,2.402e+17
2008-04-01,2008-04-30,3.497e+15,0.001231,2.354e+17
2008-05-01,2008-05-31,3.45e+15,0.001215,2.386e+17
2008-06-01,2008-06-30,3.353e+15,0.001272,2.348e+17
2008-07-01,2008-07-31,3.426e+15,0.001336,2.419e+17
2008-08-01,2008-08-31,3.36e+15,0.001348,2.527e+17
2008-09-01,2008-09-30,3.858e+15,0.001288,2.55e+17
2008-10-01,2008-10-31,5.135e+15,0.001184,2.569e+17
