SiteName,San Antonio TX
ShortName,San Antonio
SiteLongitude,-98.4500
SiteLatitude,29.5500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,5.28e+15,0.001344,2.404e+17
2005-02-01,2005-02-28,6.901e+15,0.001285,2.443e+17
2005-03-01,2005-03-31,5.08e+15,0.001293,2.37e+17
2005-04-01,2005-04-30,4.601e+15,0.001356,2.392e+17
2005-05-01,2005-05-31,4.663e+15,0.00138,2.427e+17
2005-06-01,2005-06-30,4.695e+15,0.001451,2.463e+17
2005-07-01,2005-07-31,5.51e+15,0.00148,2.579e+17
2005-08-01,2005-08-31,6.107e+15,0.001455,2.626e+17
2005-09-01,2005-09-30,4.868e+15,0.001345,2.522e+17
2005-10-01,2005-10-31,5.297e+15,0.001306,2.461e+17
2005-11-01,2005-11-30,4.714e+15,0.001293,2.351e+17
2005-12-01,2005-12-31,5.25e+15,0.001334,2.462e+17
2006-01-01,2006-01-31,4.77e+15,0.001311,2.344e+17
2006-02-01,2006-02-28,5.277e+15,0.001359,2.266e+17
2006-03-01,2006-03-31,4.42e+15,0.001369,2.443e+17
2006-04-01,2006-04-30,4.378e+15,0.001385,2.428e+17
2006-05-01,2006-05-31,4.749e+15,0.001368,2.449e+17
2006-06-01,2006-06-30,4.643e+15,0.001463,2.496e+17
2006-07-01,2006-07-31,5.617e+15,0.001504,2.527e+17
2006-08-01,2006-08-31,6.764e+15,0.00146,2.623e+17
2006-09-01,2006-09-30,4.779e+15,0.001351,2.506e+17
2006-10-01,2006-10-31,5.173e+15,0.001309,2.495e+17
2006-11-01,2006-11-30,4.099e+15,0.001306,2.527e+17
2006-12-01,2006-12-31,5.368e+15,0.001295,2.456e+17
2007-01-01,2007-01-31,4.917e+15,0.001318,2.421e+17
2007-02-01,2007-02-28,4.632e+15,0.001298,2.425e+17
2007-03-01,2007-03-31,5.095e+15,0.001312,2.501e+17
2007-04-01,2007-04-30,4.094e+15,0.001387,2.473e+17
2007-05-01,2007-05-31,4.898e+15,0.001349,2.455e+17
2007-06-01,2007-06-30,4.65e+15,0.001456,2.456e+17
2007-07-01,2007-07-31,4.286e+15,0.001499,2.61e+17
2007-08-01,2007-08-31,5.024e+15,0.001464,2.653e+17
2007-09-01,2007-09-30,5.9e+15,0.001368,2.583e+17
2007-10-01,2007-10-31,4.778e+15,0.001377,2.54e+17
2007-11-01,2007-11-30,4.465e+15,0.001333,2.484e+17
2007-12-01,2007-12-31,4.38e+15,0.001269,2.353e+17
