SiteName,San Diego CA
ShortName,San Diego
SiteLongitude,-117.0000
SiteLatitude,32.8000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,9.164e+15,0.001401,2.396e+17
2005-02-01,2005-02-28,7.638e+15,0.001417,2.515e+17
2005-03-01,2005-03-31,6.864e+15,0.001383,2.395e+17
2005-04-01,2005-04-30,6.829e+15,0.001507,2.382e+17
2005-05-01,2005-05-31,6.422e+15,0.001411,2.359e+17
2005-06-01,2005-06-30,5.648e+15,0.001729,2.404e+17
2005-07-01,2005-07-31,3.83e+15,0.001578,2.52e+17
2005-08-01,2005-08-31,5.113e+15,0.001575,2.562e+17
2005-09-01,2005-09-30,6.721e+15,0.001479,2.494e+17
2005-10-01,2005-10-31,7.523e+15,0.001483,2.522e+17
2005-11-01,2005-11-30,9.431e+15,0.001383,2.431e+17
2005-12-01,2005-12-31,1.116e+16,0.001421,2.494e+17
2006-01-01,2006-01-31,9.147e+15,0.001483,2.368e+17
2006-02-01,2006-02-28,8.704e+15,0.001411,2.303e+17
2006-03-01,2006-03-31,7.271e+15,0.001426,2.465e+17
2006-04-01,2006-04-30,5.582e+15,0.001429,2.4e+17
2006-05-01,2006-05-31,5.735e+15,0.001572,2.389e+17
2006-06-01,2006-06-30,4.922e+15,0.001546,2.406e+17
2006-07-01,2006-07-31,3.369e+15,0.00163,2.462e+17
2006-08-01,2006-08-31,3.941e+15,0.001593,2.558e+17
2006-09-01,2006-09-30,5.245e+15,0.001471,2.464e+17
2006-10-01,2006-10-31,7.699e+15,0.00141,2.591e+17
2006-11-01,2006-11-30,8.298e+15,0.00148,2.58e+17
2006-12-01,2006-12-31,1.013e+16,0.001488,2.509e+17
2007-01-01,2007-01-31,7.731e+15,0.001515,2.51e+17
2007-02-01,2007-02-28,7.121e+15,0.001335,2.472e+17
2007-03-01,2007-03-31,8.508e+15,0.001457,2.61e+17
2007-04-01,2007-04-30,6.735e+15,0.001329,2.462e+17
2007-05-01,2007-05-31,5.223e+15,0.001467,2.382e+17
2007-06-01,2007-06-30,5.23e+15,0.001565,2.417e+17
2007-07-01,2007-07-31,3.654e+15,0.001607,2.576e+17
2007-08-01,2007-08-31,4.39e+15,0.001624,2.589e+17
2007-09-01,2007-09-30,5.183e+15,0.001506,2.527e+17
2007-10-01,2007-10-31,7.264e+15,0.001485,2.58e+17
2007-11-01,2007-11-30,7.288e+15,0.001406,2.525e+17
2007-12-01,2007-12-31,8.313e+15,0.001468,2.482e+17
2008-01-01,2008-01-31,8.456e+15,0.001873,2.622e+17
2008-02-01,2008-02-29,8.729e+15,0.001506,2.447e+17
2008-03-01,2008-03-31,6.867e+15,0.001515,2.342e+17
2008-04-01,2008-04-30,5.295e+15,0.001464,2.37e+17
2008-05-01,2008-05-31,4.886e+15,0.001603,2.392e+17
2008-06-01,2008-06-30,4.057e+15,0.00174,2.397e+17
2008-07-01,2008-07-31,2.93e+15,0.001834,2.501e+17
2008-08-01,2008-08-31,3.572e+15,0.001782,2.557e+17
2008-09-01,2008-09-30,4.353e+15,0.001566,2.512e+17
2008-10-01,2008-10-31,6.1e+15,0.001538,2.521e+17
2008-11-01,2008-11-30,6.854e+15,0.001513,2.512e+17
2008-12-01,2008-12-31,7.191e+15,0.001458,2.565e+17
2009-01-01,2009-01-31,8.587e+15,0.001478,2.32e+17
2009-02-01,2009-02-28,5.884e+15,0.001606,2.247e+17
2009-03-01,2009-03-31,5.56e+15,0.001671,2.505e+17
2009-04-01,2009-04-30,5.091e+15,0.001553,2.503e+17
2009-05-01,2009-05-31,4.206e+15,0.001596,2.449e+17
2009-06-01,2009-06-30,3.783e+15,0.001949,2.478e+17
2009-07-01,2009-07-31,2.655e+15,0.001897,2.536e+17
2009-08-01,2009-08-31,3.43e+15,0.001818,2.598e+17
2009-09-01,2009-09-30,4.269e+15,0.001894,2.597e+17
2009-10-01,2009-10-31,5.083e+15,0.001715,2.576e+17
2009-11-01,2009-11-30,6.155e+15,0.001729,2.479e+17
2009-12-01,2009-12-31,7.374e+15,0.00158,2.297e+17
2010-01-01,2010-01-31,5.844e+15,0.001582,2.38e+17
2010-02-01,2010-02-28,6.515e+15,0.001573,2.409e+17
2010-03-01,2010-03-31,5.01e+15,0.001542,2.62e+17
