SiteName,San Francisco CA
ShortName,San Francisco
SiteLongitude,-122.0000
SiteLatitude,37.6000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.137e+16,0.001325,2.468e+17
2005-02-01,2005-02-28,1.054e+16,0.00137,2.588e+17
2005-03-01,2005-03-31,7.761e+15,0.001277,2.559e+17
2005-04-01,2005-04-30,6.844e+15,0.001303,2.351e+17
2005-05-01,2005-05-31,5.382e+15,0.001351,2.315e+17
2005-06-01,2005-06-30,5.246e+15,0.001387,2.309e+17
2005-07-01,2005-07-31,5.086e+15,0.001542,2.442e+17
2005-08-01,2005-08-31,6.972e+15,0.001458,2.506e+17
2005-09-01,2005-09-30,7.48e+15,0.001395,2.525e+17
2005-10-01,2005-10-31,8.577e+15,0.001329,2.609e+17
2005-11-01,2005-11-30,7.581e+15,0.001176,2.529e+17
2005-12-01,2005-12-31,8.874e+15,0.001378,2.609e+17
2006-01-01,2006-01-31,1.035e+16,0.001422,2.453e+17
2006-02-01,2006-02-28,9.113e+15,0.001277,2.418e+17
2006-03-01,2006-03-31,5.153e+15,0.001223,2.549e+17
2006-04-01,2006-04-30,6.976e+15,0.001349,2.438e+17
2006-05-01,2006-05-31,5.561e+15,0.001363,2.364e+17
2006-06-01,2006-06-30,4.769e+15,0.001387,2.374e+17
2006-07-01,2006-07-31,5.008e+15,0.00146,2.41e+17
2006-08-01,2006-08-31,5.879e+15,0.001437,2.506e+17
2006-09-01,2006-09-30,6.596e+15,0.001308,2.469e+17
2006-10-01,2006-10-31,9.752e+15,0.001315,2.679e+17
2006-11-01,2006-11-30,6.634e+15,0.001324,2.668e+17
2006-12-01,2006-12-31,1.034e+16,0.00136,2.583e+17
2007-01-01,2007-01-31,9.111e+15,0.001463,2.625e+17
2007-02-01,2007-02-28,6.639e+15,0.00136,2.566e+17
2007-03-01,2007-03-31,7.504e+15,0.001337,2.71e+17
2007-04-01,2007-04-30,5.738e+15,0.001327,2.473e+17
2007-05-01,2007-05-31,4.857e+15,0.001348,2.314e+17
2007-06-01,2007-06-30,4.644e+15,0.001459,2.321e+17
2007-07-01,2007-07-31,4.046e+15,0.001482,2.48e+17
2007-08-01,2007-08-31,5.787e+15,0.001429,2.555e+17
2007-09-01,2007-09-30,6.757e+15,0.001343,2.573e+17
2007-10-01,2007-10-31,8.278e+15,0.00129,2.649e+17
2007-11-01,2007-11-30,7.24e+15,0.001323,2.636e+17
2007-12-01,2007-12-31,7.61e+15,0.001296,2.658e+17
2008-01-01,2008-01-31,7.976e+15,0.001631,2.723e+17
2008-02-01,2008-02-29,7.82e+15,0.001379,2.578e+17
2008-03-01,2008-03-31,6.506e+15,0.001327,2.388e+17
2008-04-01,2008-04-30,5.438e+15,0.00136,2.365e+17
2008-05-01,2008-05-31,4.658e+15,0.001391,2.356e+17
2008-06-01,2008-06-30,5.057e+15,0.001491,2.343e+17
2008-07-01,2008-07-31,3.943e+15,0.001456,2.432e+17
2008-08-01,2008-08-31,4.666e+15,0.001543,2.502e+17
2008-09-01,2008-09-30,6.433e+15,0.001403,2.524e+17
2008-10-01,2008-10-31,8.163e+15,0.0013,2.542e+17
2008-11-01,2008-11-30,5.839e+15,0.00139,2.636e+17
2008-12-01,2008-12-31,7.601e+15,0.001353,2.86e+17
2009-01-01,2009-01-31,6.974e+15,0.001452,2.463e+17
2009-02-01,2009-02-28,6.739e+15,0.001264,2.193e+17
2009-03-01,2009-03-31,6.584e+15,0.001286,2.507e+17
2009-04-01,2009-04-30,4.888e+15,0.00135,2.515e+17
2009-05-01,2009-05-31,4.368e+15,0.001374,2.418e+17
2009-06-01,2009-06-30,3.929e+15,0.001435,2.421e+17
2009-07-01,2009-07-31,3.775e+15,0.001455,2.509e+17
2009-08-01,2009-08-31,4.535e+15,0.001478,2.563e+17
2009-09-01,2009-09-30,5.233e+15,0.001394,2.52e+17
2009-10-01,2009-10-31,6.88e+15,0.001327,2.617e+17
2009-11-01,2009-11-30,6.639e+15,0.001268,2.478e+17
2009-12-01,2009-12-31,9.492e+15,0.001288,2.297e+17
2010-01-01,2010-01-31,4.455e+15,0.001342,2.452e+17
2010-02-01,2010-02-28,6.142e+15,0.001235,2.499e+17
2010-03-01,2010-03-31,6.278e+15,0.001355,2.72e+17
2010-04-01,2010-04-30,5.231e+15,0.001369,2.584e+17
2010-05-01,2010-05-31,3.722e+15,0.001492,2.479e+17
2010-06-01,2010-06-30,3.505e+15,0.001533,2.431e+17
2010-07-01,2010-07-31,3.928e+15,0.00164,2.585e+17
2010-08-01,2010-08-31,4.379e+15,0.001641,2.64e+17
2010-09-01,2010-09-30,5.396e+15,0.001461,2.637e+17
2010-10-01,2010-10-31,7.236e+15,0.001379,2.571e+17
2010-11-01,2010-11-30,5.35e+15,0.001394,2.496e+17
2010-12-01,2010-12-31,8.401e+15,0.001419,2.545e+17
2011-01-01,2011-01-31,6.612e+15,0.001451,2.584e+17
2011-02-01,2011-02-28,6.753e+15,0.001486,2.614e+17
2011-03-01,2011-03-31,4.294e+15,0.001465,2.694e+17
2011-04-01,2011-04-30,4.107e+15,0.00138,2.483e+17
2011-05-01,2011-05-31,4.02e+15,0.001432,2.406e+17
2011-06-01,2011-06-30,3.814e+15,0.001519,2.456e+17
2011-07-01,2011-07-31,3.71e+15,0.001635,2.566e+17
2011-08-01,2011-08-31,4.597e+15,0.001576,2.654e+17
2011-09-01,2011-09-30,5.788e+15,0.001503,2.651e+17
2011-10-01,2011-10-31,6.314e+15,0.001389,2.651e+17
2011-11-01,2011-11-30,6.157e+15,0.001496,2.683e+17
2011-12-01,2011-12-31,7.683e+15,0.001376,2.598e+17
2012-01-01,2012-01-31,7.428e+15,0.001503,2.63e+17
2012-02-01,2012-02-29,5.683e+15,0.001436,2.66e+17
2012-03-01,2012-03-31,6.052e+15,0.001558,2.636e+17
2012-04-01,2012-04-30,4.235e+15,0.001413,2.422e+17
2012-05-01,2012-05-31,3.763e+15,0.001539,2.478e+17
2012-06-01,2012-06-30,3.692e+15,0.001498,2.464e+17
2012-07-01,2012-07-31,3.625e+15,0.001604,2.643e+17
2012-08-01,2012-08-31,4.276e+15,0.001668,2.708e+17
2012-09-01,2012-09-30,4.519e+15,0.001571,2.737e+17
2012-10-01,2012-10-31,6.254e+15,0.001406,2.733e+17
2012-11-01,2012-11-30,5.529e+15,0.001345,2.496e+17
2012-12-01,2012-12-31,5.479e+15,0.001276,2.209e+17
2013-01-01,2013-01-31,7.368e+15,0.001517,2.357e+17
2013-02-01,2013-02-28,5.703e+15,0.001459,2.576e+17
2013-03-01,2013-03-31,5.664e+15,0.001398,2.786e+17
2013-04-01,2013-04-30,3.553e+15,0.00147,2.564e+17
2013-05-01,2013-05-31,3.614e+15,0.001513,2.497e+17
2013-06-01,2013-06-30,3.35e+15,0.001573,2.54e+17
2013-07-01,2013-07-31,3.645e+15,0.00161,2.623e+17
2013-08-01,2013-08-31,4.172e+15,0.001538,2.695e+17
2013-09-01,2013-09-30,4.106e+15,0.001533,2.695e+17
2013-10-01,2013-10-31,6.437e+15,0.00148,2.791e+17
2013-11-01,2013-11-30,6.386e+15,0.001479,2.677e+17
2013-12-01,2013-12-31,7.039e+15,0.001461,2.544e+17
2014-01-01,2014-01-31,7.143e+15,0.001578,2.642e+17
2014-02-01,2014-02-28,5.59e+15,0.001462,2.716e+17
2014-03-01,2014-03-31,4.892e+15,0.001507,2.829e+17
2014-04-01,2014-04-30,4.125e+15,0.001491,2.541e+17
2014-05-01,2014-05-31,3.252e+15,0.001579,2.524e+17
2014-06-01,2014-06-30,3.401e+15,0.001632,2.501e+17
2014-07-01,2014-07-31,3.162e+15,0.001672,2.691e+17
2014-08-01,2014-08-31,3.373e+15,0.001798,2.761e+17
2014-09-01,2014-09-30,3.905e+15,0.001649,2.795e+17
2014-10-01,2014-10-31,5.682e+15,0.001575,2.761e+17
2014-11-01,2014-11-30,5.112e+15,0.00154,2.78e+17
2014-12-01,2014-12-31,4.393e+15,0.001394,2.652e+17
2015-01-01,2015-01-31,6.116e+15,0.001586,2.571e+17
2015-02-01,2015-02-28,4.811e+15,0.001593,2.649e+17
2015-03-01,2015-03-31,5.324e+15,0.00152,2.898e+17
2015-04-01,2015-04-30,3.766e+15,0.001436,2.672e+17
2015-05-01,2015-05-31,3.137e+15,0.001502,2.553e+17
2015-06-01,2015-06-30,3.407e+15,0.001596,2.588e+17
2015-07-01,2015-07-31,3.07e+15,0.001662,2.624e+17
