SiteName,Seattle WA
ShortName,Seattle
SiteLongitude,-122.2500
SiteLatitude,47.3500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,5.241e+15,0.001423,2.339e+17
2005-02-01,2005-02-28,7.355e+15,0.001463,2.757e+17
2005-03-01,2005-03-31,6.665e+15,0.001375,2.829e+17
2005-04-01,2005-04-30,4.988e+15,0.001214,2.294e+17
2005-05-01,2005-05-31,4.655e+15,0.001352,2.229e+17
2005-06-01,2005-06-30,5.296e+15,0.001217,2.205e+17
2005-07-01,2005-07-31,5.957e+15,0.001382,2.319e+17
2005-08-01,2005-08-31,7.217e+15,0.001462,2.389e+17
2005-09-01,2005-09-30,7.108e+15,0.001364,2.531e+17
2005-10-01,2005-10-31,6.489e+15,0.001454,2.756e+17
2005-11-01,2005-11-30,5.281e+15,0.001427,2.782e+17
2005-12-01,2005-12-31,5.974e+15,0.001512,2.781e+17
2006-01-01,2006-01-31,3.743e+15,0.001659,2.639e+17
2006-02-01,2006-02-28,5.317e+15,0.001388,2.705e+17
2006-03-01,2006-03-31,5.068e+15,0.001306,2.648e+17
2006-04-01,2006-04-30,5.113e+15,0.001227,2.414e+17
2006-05-01,2006-05-31,5.046e+15,0.00123,2.297e+17
2006-06-01,2006-06-30,5.39e+15,0.00131,2.242e+17
2006-07-01,2006-07-31,5.134e+15,0.001341,2.311e+17
2006-08-01,2006-08-31,5.83e+15,0.001469,2.429e+17
2006-09-01,2006-09-30,6.805e+15,0.001393,2.511e+17
2006-10-01,2006-10-31,7.269e+15,0.001308,2.723e+17
2006-11-01,2006-11-30,4.644e+15,0.001439,2.761e+17
2006-12-01,2006-12-31,4.566e+15,0.00139,2.646e+17
2007-01-01,2007-01-31,5.933e+15,0.001578,2.877e+17
2007-02-01,2007-02-28,5.275e+15,0.00135,2.718e+17
2007-03-01,2007-03-31,5.229e+15,0.00144,2.91e+17
2007-04-01,2007-04-30,4.268e+15,0.001297,2.495e+17
2007-05-01,2007-05-31,5.12e+15,0.001259,2.281e+17
2007-06-01,2007-06-30,4.315e+15,0.001282,2.227e+17
2007-07-01,2007-07-31,4.492e+15,0.001369,2.318e+17
2007-08-01,2007-08-31,6.453e+15,0.00143,2.429e+17
2007-09-01,2007-09-30,5.694e+15,0.001379,2.539e+17
2007-10-01,2007-10-31,5.453e+15,0.001359,2.791e+17
2007-11-01,2007-11-30,5.349e+15,0.001335,2.684e+17
2007-12-01,2007-12-31,4.069e+15,0.00156,2.89e+17
2008-01-01,2008-01-31,7.378e+15,0.001484,2.677e+17
2008-02-01,2008-02-29,5.934e+15,0.001459,2.622e+17
2008-03-01,2008-03-31,4.733e+15,0.001486,2.605e+17
2008-04-01,2008-04-30,4.51e+15,0.001313,2.371e+17
2008-05-01,2008-05-31,3.34e+15,0.001253,2.309e+17
2008-06-01,2008-06-30,4.253e+15,0.001417,2.286e+17
2008-07-01,2008-07-31,4.798e+15,0.001474,2.337e+17
2008-08-01,2008-08-31,4.961e+15,0.001518,2.442e+17
2008-09-01,2008-09-30,6.03e+15,0.001393,2.529e+17
2008-10-01,2008-10-31,5.198e+15,0.001447,2.75e+17
2008-11-01,2008-11-30,4.063e+15,0.001331,2.596e+17
2008-12-01,2008-12-31,4.255e+15,0.001746,3.067e+17
2009-01-01,2009-01-31,5.811e+15,0.001526,2.474e+17
2009-02-01,2009-02-28,3.662e+15,0.00138,2.454e+17
2009-03-01,2009-03-31,4.934e+15,0.00131,2.508e+17
2009-04-01,2009-04-30,4.384e+15,0.00142,2.519e+17
2009-05-01,2009-05-31,4.045e+15,0.001243,2.323e+17
2009-06-01,2009-06-30,3.779e+15,0.001331,2.347e+17
2009-07-01,2009-07-31,4.324e+15,0.001421,2.346e+17
2009-08-01,2009-08-31,4.973e+15,0.001441,2.45e+17
2009-09-01,2009-09-30,4.792e+15,0.001508,2.498e+17
2009-10-01,2009-10-31,5.271e+15,0.001496,2.602e+17
2009-11-01,2009-11-30,5.467e+15,0.001449,2.603e+17
2009-12-01,2009-12-31,5.502e+15,0.001482,2.507e+17
2010-01-01,2010-01-31,2.221e+15,NaN,NaN
2010-02-01,2010-02-28,4.582e+15,0.001451,2.718e+17
2010-03-01,2010-03-31,4.308e+15,0.001418,2.621e+17
2010-04-01,2010-04-30,3.127e+15,0.001276,2.614e+17
2010-05-01,2010-05-31,3.222e+15,0.001432,2.411e+17
2010-06-01,2010-06-30,2.995e+15,0.001274,2.35e+17
2010-07-01,2010-07-31,4.496e+15,0.001488,2.42e+17
2010-08-01,2010-08-31,5.521e+15,0.001556,2.494e+17
2010-09-01,2010-09-30,4.597e+15,0.001566,2.538e+17
2010-10-01,2010-10-31,4.413e+15,0.001703,2.695e+17
2010-11-01,2010-11-30,4.985e+15,0.001404,2.587e+17
2010-12-01,2010-12-31,4.555e+15,0.001184,2.542e+17
2011-01-01,2011-01-31,3.451e+15,0.002073,2.722e+17
2011-02-01,2011-02-28,4.8e+15,0.001734,2.894e+17
2011-03-01,2011-03-31,4.952e+15,0.001409,2.634e+17
2011-04-01,2011-04-30,3.037e+15,0.001342,2.764e+17
2011-05-01,2011-05-31,4.866e+15,0.00122,2.551e+17
2011-06-01,2011-06-30,3.827e+15,0.001726,2.389e+17
2011-07-01,2011-07-31,3.972e+15,0.0016,2.499e+17
2011-08-01,2011-08-31,4.95e+15,0.001631,2.5e+17
2011-09-01,2011-09-30,4.375e+15,0.001507,2.55e+17
2011-10-01,2011-10-31,4.221e+15,0.001994,2.793e+17
2011-11-01,2011-11-30,5.398e+15,0.001605,2.857e+17
2011-12-01,2011-12-31,4.376e+15,0.00196,2.785e+17
2012-01-01,2012-01-31,3.688e+15,0.002073,2.823e+17
2012-02-01,2012-02-29,3.152e+15,0.001949,2.89e+17
2012-03-01,2012-03-31,2.668e+15,NaN,1.48e+17
2012-04-01,2012-04-30,3.486e+15,0.001362,2.435e+17
2012-05-01,2012-05-31,3.817e+15,0.001297,2.434e+17
2012-06-01,2012-06-30,4.244e+15,NaN,NaN
2012-07-01,2012-07-31,4.183e+15,0.001601,2.499e+17
2012-08-01,2012-08-31,4.646e+15,0.001603,2.584e+17
