SiteName,Tampa FL
ShortName,Tampa
SiteLongitude,-82.4000
SiteLatitude,27.9000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,7.488e+15,0.001132,2.32e+17
2005-02-01,2005-02-28,7.899e+15,0.001105,2.259e+17
2005-03-01,2005-03-31,7.717e+15,0.001164,2.355e+17
2005-04-01,2005-04-30,7.527e+15,0.001179,2.414e+17
2005-05-01,2005-05-31,1.02e+16,0.001219,2.413e+17
2005-06-01,2005-06-30,8.778e+15,0.001262,2.482e+17
2005-07-01,2005-07-31,9.725e+15,0.001285,2.603e+17
2005-08-01,2005-08-31,1.083e+16,0.001279,2.658e+17
2005-09-01,2005-09-30,7.495e+15,0.001197,2.528e+17
2005-10-01,2005-10-31,7.062e+15,0.001181,2.454e+17
2005-11-01,2005-11-30,6.578e+15,0.001155,2.375e+17
2005-12-01,2005-12-31,7.783e+15,0.001181,2.402e+17
2006-01-01,2006-01-31,7.919e+15,0.001139,2.315e+17
2006-02-01,2006-02-28,7.643e+15,0.001185,2.261e+17
2006-03-01,2006-03-31,7.704e+15,0.001217,2.422e+17
2006-04-01,2006-04-30,5.827e+15,0.001236,2.44e+17
2006-05-01,2006-05-31,7.134e+15,0.001205,2.462e+17
2006-06-01,2006-06-30,8.268e+15,0.001276,2.504e+17
2006-07-01,2006-07-31,9.772e+15,0.001301,2.581e+17
2006-08-01,2006-08-31,8.948e+15,0.001273,2.607e+17
2006-09-01,2006-09-30,8.041e+15,0.001182,2.487e+17
2006-10-01,2006-10-31,6.391e+15,0.001164,2.438e+17
2006-11-01,2006-11-30,6.395e+15,0.001156,2.497e+17
2006-12-01,2006-12-31,7.016e+15,0.001148,2.391e+17
2007-01-01,2007-01-31,8.437e+15,0.001151,2.396e+17
2007-02-01,2007-02-28,7.249e+15,0.001144,2.334e+17
2007-03-01,2007-03-31,7.143e+15,0.001197,2.436e+17
2007-04-01,2007-04-30,5.974e+15,0.001241,2.472e+17
2007-05-01,2007-05-31,6.926e+15,0.001205,2.46e+17
2007-06-01,2007-06-30,6.948e+15,0.001281,2.495e+17
2007-07-01,2007-07-31,8.274e+15,0.001312,2.629e+17
2007-08-01,2007-08-31,9.392e+15,0.001255,2.669e+17
2007-09-01,2007-09-30,7.197e+15,0.001202,2.563e+17
