SiteName,Toronto ON
ShortName,Toronto
SiteLongitude,-79.5000
SiteLatitude,43.7000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,4.976e+15,0.001313,2.554e+17
2005-02-01,2005-02-28,9.337e+15,0.0013,2.457e+17
2005-03-01,2005-03-31,1.02e+16,0.001228,2.468e+17
2005-04-01,2005-04-30,8.152e+15,0.001204,2.288e+17
2005-05-01,2005-05-31,1.026e+16,0.001221,2.294e+17
2005-06-01,2005-06-30,8.098e+15,0.00127,2.27e+17
2005-07-01,2005-07-31,5.413e+15,0.001335,2.359e+17
2005-08-01,2005-08-31,5.605e+15,0.001422,2.433e+17
2005-09-01,2005-09-30,7.028e+15,0.001346,2.527e+17
2005-10-01,2005-10-31,9.479e+15,0.001278,2.638e+17
2005-11-01,2005-11-30,1.201e+16,0.001252,2.737e+17
2005-12-01,2005-12-31,7.763e+15,0.001236,2.554e+17
2006-01-01,2006-01-31,8.013e+15,0.001321,2.469e+17
2006-02-01,2006-02-28,6.53e+15,0.001296,2.556e+17
2006-03-01,2006-03-31,7.873e+15,0.001258,2.521e+17
2006-04-01,2006-04-30,7.838e+15,0.001309,2.423e+17
2006-05-01,2006-05-31,9.456e+15,0.001278,2.332e+17
2006-06-01,2006-06-30,4.785e+15,0.001275,2.288e+17
2006-07-01,2006-07-31,5.122e+15,0.001334,2.35e+17
2006-08-01,2006-08-31,6.028e+15,0.00141,2.471e+17
2006-09-01,2006-09-30,7.613e+15,0.001304,2.518e+17
2006-10-01,2006-10-31,8.548e+15,0.001281,2.606e+17
2006-11-01,2006-11-30,1.197e+16,0.001264,2.916e+17
2006-12-01,2006-12-31,8.927e+15,0.001251,2.672e+17
2007-01-01,2007-01-31,6.897e+15,0.001397,2.628e+17
2007-02-01,2007-02-28,5.958e+15,0.001336,2.651e+17
2007-03-01,2007-03-31,7.33e+15,0.001271,2.664e+17
2007-04-01,2007-04-30,6.843e+15,0.001239,2.307e+17
2007-05-01,2007-05-31,7.97e+15,0.001241,2.292e+17
2007-06-01,2007-06-30,5.385e+15,0.001308,2.279e+17
2007-07-01,2007-07-31,5.118e+15,0.001315,2.389e+17
2007-08-01,2007-08-31,5.542e+15,0.001383,2.498e+17
2007-09-01,2007-09-30,6.706e+15,0.001354,2.565e+17
2007-10-01,2007-10-31,1.108e+16,0.001329,2.769e+17
2007-11-01,2007-11-30,8.267e+15,0.001367,2.728e+17
2007-12-01,2007-12-31,5.276e+15,0.001338,2.717e+17
2008-01-01,2008-01-31,5.895e+15,0.001386,2.732e+17
2008-02-01,2008-02-29,8.033e+15,0.001316,2.429e+17
2008-03-01,2008-03-31,5.748e+15,0.001202,2.457e+17
2008-04-01,2008-04-30,7.63e+15,0.001229,2.341e+17
2008-05-01,2008-05-31,6.337e+15,0.001249,2.322e+17
2008-06-01,2008-06-30,5.796e+15,0.001299,2.296e+17
2008-07-01,2008-07-31,4.842e+15,0.00136,2.383e+17
2008-08-01,2008-08-31,4.552e+15,0.001392,2.469e+17
2008-09-01,2008-09-30,7.504e+15,0.00131,2.494e+17
2008-10-01,2008-10-31,7.913e+15,0.001255,2.645e+17
2008-11-01,2008-11-30,6.738e+15,0.001343,2.824e+17
2008-12-01,2008-12-31,4.777e+15,0.001318,2.817e+17
2009-01-01,2009-01-31,6.24e+15,0.001303,2.506e+17
2009-02-01,2009-02-28,6.809e+15,0.00124,2.534e+17
2009-03-01,2009-03-31,7.624e+15,0.001237,2.415e+17
2009-04-01,2009-04-30,5.122e+15,0.001291,2.481e+17
2009-05-01,2009-05-31,5.472e+15,0.001268,2.315e+17
2009-06-01,2009-06-30,7.29e+15,0.001322,2.317e+17
2009-07-01,2009-07-31,3.93e+15,0.00134,2.381e+17
2009-08-01,2009-08-31,6.553e+15,0.001396,2.454e+17
2009-09-01,2009-09-30,5.777e+15,0.001362,2.522e+17
2009-10-01,2009-10-31,6.943e+15,0.001359,2.633e+17
2009-11-01,2009-11-30,6.96e+15,0.001358,2.708e+17
2009-12-01,2009-12-31,8.01e+15,0.001313,2.632e+17
2010-01-01,2010-01-31,3.746e+15,0.001381,2.388e+17
2010-02-01,2010-02-28,6.632e+15,0.001375,2.62e+17
2010-03-01,2010-03-31,9.481e+15,0.001214,2.619e+17
2010-04-01,2010-04-30,7.31e+15,0.001353,2.501e+17
2010-05-01,2010-05-31,5.048e+15,0.00132,2.431e+17
2010-06-01,2010-06-30,5.443e+15,0.001409,2.364e+17
2010-07-01,2010-07-31,3.512e+15,0.001448,2.485e+17
2010-08-01,2010-08-31,7.431e+15,0.001507,2.534e+17
2010-09-01,2010-09-30,6.966e+15,0.00139,2.59e+17
2010-10-01,2010-10-31,5.202e+15,0.001329,2.457e+17
2010-11-01,2010-11-30,7.508e+15,0.0013,2.59e+17
2010-12-01,2010-12-31,8.492e+15,0.001124,2.374e+17
2011-01-01,2011-01-31,4.677e+15,0.001314,2.517e+17
2011-02-01,2011-02-28,1.013e+16,0.001213,2.543e+17
2011-03-01,2011-03-31,7.292e+15,0.001332,2.74e+17
2011-04-01,2011-04-30,4.55e+15,0.001302,2.525e+17
2011-05-01,2011-05-31,4.987e+15,0.00129,2.393e+17
2011-06-01,2011-06-30,5.52e+15,0.001449,2.44e+17
2011-07-01,2011-07-31,4.1e+15,0.001455,2.489e+17
2011-08-01,2011-08-31,4.849e+15,0.001571,2.626e+17
2011-09-01,2011-09-30,5.576e+15,0.00137,2.622e+17
2011-10-01,2011-10-31,7.226e+15,0.001278,2.506e+17
2011-11-01,2011-11-30,7.237e+15,0.00143,2.709e+17
2011-12-01,2011-12-31,5.453e+15,0.001342,2.655e+17
2012-01-01,2012-01-31,4.677e+15,0.001499,2.677e+17
2012-02-01,2012-02-29,7.684e+15,0.001321,2.63e+17
2012-03-01,2012-03-31,6.524e+15,0.001192,2.489e+17
2012-04-01,2012-04-30,5.932e+15,0.001365,2.501e+17
2012-05-01,2012-05-31,5.499e+15,0.001345,2.488e+17
2012-06-01,2012-06-30,5.193e+15,0.001434,2.421e+17
2012-07-01,2012-07-31,4.511e+15,0.001478,2.608e+17
2012-08-01,2012-08-31,5.492e+15,0.001572,2.681e+17
2012-09-01,2012-09-30,6.332e+15,0.001464,2.692e+17
2012-10-01,2012-10-31,5.624e+15,0.001378,2.567e+17
2012-11-01,2012-11-30,8.79e+15,0.001279,2.777e+17
2012-12-01,2012-12-31,8.845e+15,0.001509,2.753e+17
2013-01-01,2013-01-31,7.972e+15,0.001796,2.317e+17
2013-02-01,2013-02-28,5.768e+15,0.001327,2.638e+17
2013-03-01,2013-03-31,5.856e+15,0.001338,2.732e+17
2013-04-01,2013-04-30,7.752e+15,0.001424,2.676e+17
2013-05-01,2013-05-31,4.876e+15,0.001399,2.575e+17
2013-06-01,2013-06-30,4.128e+15,0.001435,2.487e+17
2013-07-01,2013-07-31,3.745e+15,0.001456,2.576e+17
2013-08-01,2013-08-31,4.778e+15,0.001517,2.637e+17
2013-09-01,2013-09-30,5.938e+15,0.001382,2.765e+17
2013-10-01,2013-10-31,7.19e+15,0.001318,2.65e+17
2013-11-01,2013-11-30,6.43e+15,0.001152,2.725e+17
2013-12-01,2013-12-31,8.221e+15,NaN,NaN
2014-01-01,2014-01-31,5.967e+15,0.001497,2.708e+17
2014-02-01,2014-02-28,3.052e+15,0.001387,2.658e+17
2014-03-01,2014-03-31,8.724e+15,0.00138,2.823e+17
2014-04-01,2014-04-30,5.056e+15,0.001338,2.693e+17
2014-05-01,2014-05-31,4.759e+15,0.001385,2.453e+17
2014-06-01,2014-06-30,4.964e+15,0.001459,2.462e+17
2014-07-01,2014-07-31,5.032e+15,0.001477,2.586e+17
2014-08-01,2014-08-31,4.347e+15,0.001582,2.693e+17
2014-09-01,2014-09-30,4.987e+15,0.00148,2.782e+17
2014-10-01,2014-10-31,7.042e+15,0.001382,3.023e+17
2014-11-01,2014-11-30,5.723e+15,NaN,NaN
2014-12-01,2014-12-31,5.598e+15,0.001424,2.289e+17
2015-01-01,2015-01-31,5.268e+15,0.001261,2.529e+17
2015-02-01,2015-02-28,8.139e+15,0.001626,2.869e+17
2015-03-01,2015-03-31,5.889e+15,0.001467,2.938e+17
2015-04-01,2015-04-30,5.77e+15,0.001394,2.687e+17
2015-05-01,2015-05-31,5.677e+15,0.001464,2.528e+17
2015-06-01,2015-06-30,5.146e+15,0.001472,2.515e+17
2015-07-01,2015-07-31,4.674e+15,0.001494,2.557e+17
2015-08-01,2015-08-31,3.807e+15,0.00153,2.661e+17
2015-09-01,2015-09-30,6.427e+15,0.001476,2.779e+17
2015-10-01,2015-10-31,5.994e+15,0.001357,2.628e+17
2015-11-01,2015-11-30,7.552e+15,0.001342,2.792e+17
2015-12-01,2015-12-31,3.428e+15,0.001574,2.4e+17
