SiteName,Tucson AZ
ShortName,Tucson
SiteLongitude,-110.8500
SiteLatitude,32.2500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,3.757e+15,0.002044,2.365e+17
2005-02-01,2005-02-28,4.63e+15,0.001941,2.394e+17
2005-03-01,2005-03-31,4.053e+15,0.002106,2.428e+17
2005-04-01,2005-04-30,3.187e+15,0.002398,2.374e+17
2005-05-01,2005-05-31,3.835e+15,0.002065,2.369e+17
2005-06-01,2005-06-30,2.786e+15,0.002443,2.41e+17
2005-07-01,2005-07-31,2.432e+15,0.002303,2.54e+17
2005-08-01,2005-08-31,2.22e+15,0.00222,2.572e+17
2005-09-01,2005-09-30,3.026e+15,0.002203,2.545e+17
2005-10-01,2005-10-31,3.322e+15,0.002321,2.54e+17
2005-11-01,2005-11-30,4.001e+15,0.002232,2.428e+17
2005-12-01,2005-12-31,5.46e+15,0.002256,2.498e+17
2006-01-01,2006-01-31,3.932e+15,0.002131,2.387e+17
2006-02-01,2006-02-28,3.944e+15,0.002224,2.336e+17
2006-03-01,2006-03-31,3.468e+15,0.002109,2.465e+17
2006-04-01,2006-04-30,3.509e+15,0.00256,2.409e+17
2006-05-01,2006-05-31,3.302e+15,0.002377,2.388e+17
2006-06-01,2006-06-30,3.141e+15,0.002333,2.432e+17
2006-07-01,2006-07-31,2.556e+15,0.002361,2.486e+17
2006-08-01,2006-08-31,2.194e+15,0.002417,2.552e+17
2006-09-01,2006-09-30,2.683e+15,0.002143,2.475e+17
2006-10-01,2006-10-31,3.752e+15,0.002433,2.589e+17
2006-11-01,2006-11-30,3.048e+15,0.002187,2.574e+17
2006-12-01,2006-12-31,3.847e+15,0.002268,2.502e+17
2007-01-01,2007-01-31,3.392e+15,0.002102,2.508e+17
2007-02-01,2007-02-28,4.247e+15,0.002122,2.498e+17
2007-03-01,2007-03-31,3.737e+15,0.002209,2.566e+17
2007-04-01,2007-04-30,3.146e+15,0.002058,2.496e+17
2007-05-01,2007-05-31,3.043e+15,0.002345,2.409e+17
2007-06-01,2007-06-30,2.891e+15,0.002424,2.415e+17
2007-07-01,2007-07-31,2.567e+15,0.002239,2.559e+17
2007-08-01,2007-08-31,2.289e+15,0.002294,2.574e+17
2007-09-01,2007-09-30,2.833e+15,0.002413,2.582e+17
2007-10-01,2007-10-31,2.933e+15,0.002354,2.572e+17
2007-11-01,2007-11-30,3.105e+15,0.002022,2.557e+17
2007-12-01,2007-12-31,3.804e+15,0.001999,2.446e+17
2008-01-01,2008-01-31,3.498e+15,0.002255,2.57e+17
2008-02-01,2008-02-29,4.164e+15,0.00223,2.46e+17
2008-03-01,2008-03-31,3.195e+15,0.002122,2.34e+17
2008-04-01,2008-04-30,2.59e+15,0.002187,2.375e+17
2008-05-01,2008-05-31,2.583e+15,0.002238,2.409e+17
2008-06-01,2008-06-30,2.476e+15,0.002733,2.441e+17
2008-07-01,2008-07-31,2.11e+15,0.002843,2.591e+17
2008-08-01,2008-08-31,1.799e+15,0.002313,2.592e+17
2008-09-01,2008-09-30,2.223e+15,0.002049,2.554e+17
2008-10-01,2008-10-31,2.87e+15,0.002011,2.53e+17
2008-11-01,2008-11-30,2.787e+15,0.001979,2.516e+17
2008-12-01,2008-12-31,3.522e+15,0.002134,2.5e+17
2009-01-01,2009-01-31,3.182e+15,0.002468,2.325e+17
2009-02-01,2009-02-28,2.944e+15,0.002077,2.299e+17
2009-03-01,2009-03-31,2.521e+15,0.002048,2.45e+17
2009-04-01,2009-04-30,2.159e+15,0.002302,2.547e+17
2009-05-01,2009-05-31,2.217e+15,0.002382,2.472e+17
2009-06-01,2009-06-30,2.223e+15,0.002297,2.508e+17
2009-07-01,2009-07-31,1.734e+15,0.002622,2.583e+17
2009-08-01,2009-08-31,1.734e+15,0.002288,2.628e+17
2009-09-01,2009-09-30,2.333e+15,0.002858,2.643e+17
2009-10-01,2009-10-31,2.577e+15,0.00256,2.514e+17
2009-11-01,2009-11-30,2.856e+15,0.002253,2.384e+17
2009-12-01,2009-12-31,4.112e+15,0.002045,2.361e+17
2010-01-01,2010-01-31,2.493e+15,0.001823,2.335e+17
2010-02-01,2010-02-28,3.391e+15,0.002067,2.406e+17
2010-03-01,2010-03-31,2.543e+15,0.002195,2.648e+17
2010-04-01,2010-04-30,2.625e+15,0.002149,2.624e+17
2010-05-01,2010-05-31,2.201e+15,0.002332,2.532e+17
2010-06-01,2010-06-30,2.047e+15,0.002244,2.56e+17
2010-07-01,2010-07-31,1.86e+15,0.002789,2.732e+17
2010-08-01,2010-08-31,1.642e+15,0.002718,2.766e+17
2010-09-01,2010-09-30,2.093e+15,0.002188,2.653e+17
2010-10-01,2010-10-31,2.123e+15,0.00211,2.513e+17
2010-11-01,2010-11-30,2.432e+15,0.00202,2.38e+17
2010-12-01,2010-12-31,3.66e+15,0.001887,2.458e+17
2011-01-01,2011-01-31,3.681e+15,0.002059,2.443e+17
2011-02-01,2011-02-28,3.194e+15,0.002174,2.459e+17
