SiteName,Vancouver BC
ShortName,Vancouver
SiteLongitude,-122.8500
SiteLatitude,49.2500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,3.321e+15,0.00154,2.32e+17
2005-02-01,2005-02-28,7.589e+15,0.001631,2.753e+17
2005-03-01,2005-03-31,5.113e+15,0.001568,2.724e+17
2005-04-01,2005-04-30,5.652e+15,0.001287,2.268e+17
2005-05-01,2005-05-31,6.296e+15,0.001147,2.227e+17
2005-06-01,2005-06-30,4.774e+15,0.001179,2.157e+17
2005-07-01,2005-07-31,5.41e+15,0.001455,2.277e+17
2005-08-01,2005-08-31,5.406e+15,0.001508,2.342e+17
2005-09-01,2005-09-30,8.333e+15,0.001632,2.528e+17
2005-10-01,2005-10-31,5.362e+15,0.001703,2.794e+17
2005-11-01,2005-11-30,4.119e+15,0.001442,2.858e+17
2005-12-01,2005-12-31,5.17e+15,0.001567,2.789e+17
2006-01-01,2006-01-31,4.16e+15,0.001406,2.663e+17
2006-02-01,2006-02-28,4.262e+15,0.001491,2.77e+17
2006-03-01,2006-03-31,6.322e+15,0.001396,2.717e+17
2006-04-01,2006-04-30,5.602e+15,0.001337,2.429e+17
2006-05-01,2006-05-31,5.85e+15,0.001307,2.311e+17
2006-06-01,2006-06-30,5.123e+15,0.001561,2.218e+17
2006-07-01,2006-07-31,4.888e+15,0.001576,2.3e+17
2006-08-01,2006-08-31,4.936e+15,0.001657,2.397e+17
2006-09-01,2006-09-30,8.897e+15,0.001631,2.522e+17
2006-10-01,2006-10-31,8.394e+15,0.001637,2.751e+17
2006-11-01,2006-11-30,2.752e+15,0.001228,2.847e+17
2006-12-01,2006-12-31,3.109e+15,0.001392,2.592e+17
2007-01-01,2007-01-31,3.716e+15,0.002001,2.841e+17
2007-02-01,2007-02-28,3.549e+15,0.001639,2.817e+17
2007-03-01,2007-03-31,3.868e+15,0.001213,2.729e+17
2007-04-01,2007-04-30,3.755e+15,0.001544,2.447e+17
2007-05-01,2007-05-31,6.625e+15,0.00123,2.272e+17
2007-06-01,2007-06-30,4.548e+15,0.001444,2.217e+17
2007-07-01,2007-07-31,4.464e+15,0.001504,2.292e+17
2007-08-01,2007-08-31,5.501e+15,0.00148,2.404e+17
2007-09-01,2007-09-30,7.46e+15,0.0017,2.56e+17
2007-10-01,2007-10-31,5.235e+15,0.001788,2.748e+17
2007-11-01,2007-11-30,5.407e+15,0.001466,2.646e+17
2007-12-01,2007-12-31,3.472e+15,0.001953,2.788e+17
2008-01-01,2008-01-31,4.92e+15,0.001581,2.66e+17
2008-02-01,2008-02-29,5.1e+15,0.001444,2.673e+17
2008-03-01,2008-03-31,5.04e+15,0.001336,2.726e+17
2008-04-01,2008-04-30,3.809e+15,0.001407,2.362e+17
2008-05-01,2008-05-31,6.241e+15,0.001247,2.301e+17
2008-06-01,2008-06-30,5.621e+15,0.001241,2.257e+17
2008-07-01,2008-07-31,4.872e+15,0.001572,2.316e+17
2008-08-01,2008-08-31,3.685e+15,0.001525,2.407e+17
2008-09-01,2008-09-30,7.395e+15,0.001619,2.536e+17
2008-10-01,2008-10-31,6.587e+15,0.001622,2.739e+17
2008-11-01,2008-11-30,3.681e+15,0.001217,2.625e+17
2008-12-01,2008-12-31,1.809e+15,0.001639,2.99e+17
2009-01-01,2009-01-31,6.235e+15,0.001428,2.32e+17
2009-02-01,2009-02-28,4.839e+15,0.001611,2.523e+17
2009-03-01,2009-03-31,5.597e+15,0.001555,2.377e+17
2009-04-01,2009-04-30,4.493e+15,0.001416,2.506e+17
2009-05-01,2009-05-31,4.267e+15,0.001414,2.334e+17
2009-06-01,2009-06-30,3.87e+15,0.001408,2.294e+17
2009-07-01,2009-07-31,4.01e+15,0.001538,2.318e+17
2009-08-01,2009-08-31,3.957e+15,0.001735,2.366e+17
2009-09-01,2009-09-30,5.841e+15,0.001432,2.481e+17
2009-10-01,2009-10-31,4.573e+15,0.001479,2.565e+17
2009-11-01,2009-11-30,5.152e+15,0.0009104,2.418e+17
2009-12-01,2009-12-31,2.277e+15,0.001494,2.45e+17
2010-01-01,2010-01-31,4.815e+15,0.002321,2.991e+17
2010-02-01,2010-02-28,4.748e+15,0.00186,2.758e+17
2010-03-01,2010-03-31,4.247e+15,0.001545,2.7e+17
2010-04-01,2010-04-30,3.12e+15,0.001408,2.571e+17
2010-05-01,2010-05-31,3.975e+15,0.001435,2.361e+17
2010-06-01,2010-06-30,4.138e+15,0.001253,2.306e+17
2010-07-01,2010-07-31,4.919e+15,0.001807,2.429e+17
2010-08-01,2010-08-31,4.164e+15,0.00168,2.493e+17
