SiteName,Bruce Mansfield PA
ShortName,B Mansfield
SiteLongitude,-79.0500
SiteLatitude,40.4000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,7.262e+15,0.001529,2.454e+17
2005-02-01,2005-02-28,6.455e+15,0.001523,2.489e+17
2005-03-01,2005-03-31,9.01e+15,0.001434,2.311e+17
2005-04-01,2005-04-30,7.722e+15,0.001483,2.305e+17
2005-05-01,2005-05-31,5.11e+15,0.001468,2.288e+17
2005-06-01,2005-06-30,5.79e+15,0.001562,2.31e+17
2005-07-01,2005-07-31,3.454e+15,0.001594,2.41e+17
2005-08-01,2005-08-31,5.476e+15,0.001651,2.476e+17
2005-09-01,2005-09-30,6.93e+15,0.001536,2.522e+17
2005-10-01,2005-10-31,7.548e+15,0.001523,2.65e+17
2005-11-01,2005-11-30,9.263e+15,0.001403,2.642e+17
2005-12-01,2005-12-31,1.437e+16,0.00149,2.54e+17
2006-01-01,2006-01-31,7.87e+15,0.001467,2.449e+17
2006-02-01,2006-02-28,1.173e+16,0.001527,2.355e+17
2006-03-01,2006-03-31,8.566e+15,0.001599,2.529e+17
2006-04-01,2006-04-30,9.811e+15,0.001554,2.431e+17
2006-05-01,2006-05-31,5.863e+15,0.001537,2.37e+17
2006-06-01,2006-06-30,5.316e+15,0.001656,2.295e+17
2006-07-01,2006-07-31,3.166e+15,0.001615,2.404e+17
2006-08-01,2006-08-31,5.065e+15,0.001696,2.516e+17
2006-09-01,2006-09-30,6.796e+15,0.001508,2.494e+17
2006-10-01,2006-10-31,8.397e+15,0.001491,2.629e+17
2006-11-01,2006-11-30,9.49e+15,0.001537,2.8e+17
2006-12-01,2006-12-31,1.149e+16,0.001428,2.578e+17
2007-01-01,2007-01-31,9.538e+15,0.001628,2.569e+17
2007-02-01,2007-02-28,1.127e+16,0.001483,2.49e+17
2007-03-01,2007-03-31,9.694e+15,0.001545,2.65e+17
2007-04-01,2007-04-30,8.373e+15,0.001518,2.373e+17
2007-05-01,2007-05-31,5.447e+15,0.001473,2.313e+17
2007-06-01,2007-06-30,5.296e+15,0.001586,2.31e+17
2007-07-01,2007-07-31,3.268e+15,0.001615,2.475e+17
2007-08-01,2007-08-31,5.427e+15,0.001694,2.558e+17
2007-09-01,2007-09-30,6.135e+15,0.001562,2.564e+17
2007-10-01,2007-10-31,9.144e+15,0.001535,2.608e+17
2007-11-01,2007-11-30,8.885e+15,0.00156,2.705e+17
2007-12-01,2007-12-31,6.354e+15,0.001313,2.459e+17
2008-01-01,2008-01-31,4.673e+15,0.001632,2.62e+17
2008-02-01,2008-02-29,5.627e+15,0.001637,2.59e+17
2008-03-01,2008-03-31,8.05e+15,0.001443,2.404e+17
2008-04-01,2008-04-30,7.206e+15,0.001465,2.3e+17
2008-05-01,2008-05-31,5.129e+15,0.001519,2.37e+17
2008-06-01,2008-06-30,5.092e+15,0.001583,2.34e+17
2008-07-01,2008-07-31,4.38e+15,0.001641,2.466e+17
2008-08-01,2008-08-31,4.383e+15,0.001624,2.53e+17
2008-09-01,2008-09-30,6.17e+15,0.001548,2.523e+17
2008-10-01,2008-10-31,7.593e+15,0.001543,2.559e+17
2008-11-01,2008-11-30,5.548e+15,0.001541,2.738e+17
2008-12-01,2008-12-31,7.609e+15,0.001604,2.814e+17
2009-01-01,2009-01-31,5.142e+15,0.001581,2.498e+17
2009-02-01,2009-02-28,9.031e+15,0.001503,2.434e+17
2009-03-01,2009-03-31,5.24e+15,0.001465,2.46e+17
2009-04-01,2009-04-30,4.601e+15,0.001518,2.468e+17
2009-05-01,2009-05-31,5.156e+15,0.001575,2.388e+17
2009-06-01,2009-06-30,4.29e+15,0.001648,2.409e+17
2009-07-01,2009-07-31,2.505e+15,0.001632,2.494e+17
2009-08-01,2009-08-31,4.546e+15,0.001647,2.472e+17
2009-09-01,2009-09-30,5.984e+15,0.001661,2.699e+17
2009-10-01,2009-10-31,5.367e+15,0.001489,2.535e+17
2009-11-01,2009-11-30,5.785e+15,0.001486,2.573e+17
2009-12-01,2009-12-31,4.646e+15,0.001377,2.497e+17
2010-01-01,2010-01-31,4.187e+15,0.001449,2.195e+17
2010-02-01,2010-02-28,1.51e+15,0.0015,2.563e+17
2010-03-01,2010-03-31,1.015e+16,0.001558,2.612e+17
2010-04-01,2010-04-30,4.522e+15,0.001568,2.61e+17
2010-05-01,2010-05-31,4.021e+15,0.001639,2.489e+17
2010-06-01,2010-06-30,6.868e+15,0.00167,2.488e+17
2010-07-01,2010-07-31,3.723e+15,0.00174,2.561e+17
2010-08-01,2010-08-31,5.515e+15,0.001788,2.619e+17
