SiteName,Cholla AZ
ShortName,Cholla
SiteLongitude,-110.2000
SiteLatitude,34.9500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,2.453e+15,0.003239,2.423e+17
2005-02-01,2005-02-28,2.343e+15,0.003173,2.469e+17
2005-03-01,2005-03-31,1.954e+15,0.003278,2.461e+17
2005-04-01,2005-04-30,2.031e+15,0.003287,2.372e+17
2005-05-01,2005-05-31,2.17e+15,0.00342,2.349e+17
2005-06-01,2005-06-30,1.862e+15,0.003367,2.357e+17
2005-07-01,2005-07-31,2.271e+15,0.003772,2.47e+17
2005-08-01,2005-08-31,2.411e+15,0.003595,2.579e+17
2005-09-01,2005-09-30,2.319e+15,0.003498,2.573e+17
2005-10-01,2005-10-31,2.728e+15,0.003367,2.582e+17
2005-11-01,2005-11-30,2.923e+15,0.003155,2.473e+17
2005-12-01,2005-12-31,3.048e+15,0.003235,2.503e+17
2006-01-01,2006-01-31,2.378e+15,0.003375,2.457e+17
2006-02-01,2006-02-28,2.428e+15,0.003406,2.366e+17
2006-03-01,2006-03-31,1.633e+15,0.003478,2.477e+17
2006-04-01,2006-04-30,1.928e+15,0.00355,2.434e+17
2006-05-01,2006-05-31,2.194e+15,0.003418,2.397e+17
2006-06-01,2006-06-30,2.381e+15,0.003606,2.38e+17
2006-07-01,2006-07-31,2.541e+15,0.003639,2.434e+17
2006-08-01,2006-08-31,1.761e+15,0.003663,2.524e+17
2006-09-01,2006-09-30,2.506e+15,0.003379,2.487e+17
2006-10-01,2006-10-31,2.744e+15,0.003365,2.634e+17
2006-11-01,2006-11-30,2.426e+15,0.003355,2.635e+17
2006-12-01,2006-12-31,2.688e+15,0.003296,2.553e+17
2007-01-01,2007-01-31,2.457e+15,0.003516,2.541e+17
2007-02-01,2007-02-28,1.955e+15,0.003394,2.527e+17
2007-03-01,2007-03-31,1.988e+15,0.003534,2.654e+17
2007-04-01,2007-04-30,2.614e+15,0.003476,2.481e+17
2007-05-01,2007-05-31,2.271e+15,0.003398,2.381e+17
2007-06-01,2007-06-30,1.998e+15,0.003585,2.385e+17
2007-07-01,2007-07-31,2.658e+15,0.003822,2.529e+17
2007-08-01,2007-08-31,2.392e+15,0.0038,2.56e+17
2007-09-01,2007-09-30,2.408e+15,0.003536,2.581e+17
2007-10-01,2007-10-31,2.298e+15,0.003442,2.64e+17
2007-11-01,2007-11-30,2.808e+15,0.00326,2.605e+17
2007-12-01,2007-12-31,2.23e+15,0.003255,2.53e+17
2008-01-01,2008-01-31,1.732e+15,0.003647,2.61e+17
2008-02-01,2008-02-29,2.061e+15,0.003487,2.481e+17
2008-03-01,2008-03-31,1.646e+15,0.003348,2.353e+17
2008-04-01,2008-04-30,1.36e+15,0.003315,2.37e+17
2008-05-01,2008-05-31,1.33e+15,0.003433,2.386e+17
2008-06-01,2008-06-30,1.663e+15,0.003684,2.406e+17
2008-07-01,2008-07-31,1.658e+15,0.003707,2.476e+17
2008-08-01,2008-08-31,1.783e+15,0.003781,2.55e+17
2008-09-01,2008-09-30,1.709e+15,0.003473,2.551e+17
2008-10-01,2008-10-31,2.226e+15,0.003466,2.581e+17
2008-11-01,2008-11-30,1.941e+15,0.003422,2.602e+17
2008-12-01,2008-12-31,2.064e+15,0.003558,2.61e+17
2009-01-01,2009-01-31,2.238e+15,0.003378,2.327e+17
2009-02-01,2009-02-28,1.68e+15,0.003434,2.322e+17
2009-03-01,2009-03-31,2.003e+15,0.003484,2.465e+17
2009-04-01,2009-04-30,1.645e+15,0.003477,2.555e+17
2009-05-01,2009-05-31,1.616e+15,0.003466,2.466e+17
2009-06-01,2009-06-30,1.629e+15,0.003709,2.474e+17
2009-07-01,2009-07-31,1.385e+15,0.00362,2.529e+17
2009-08-01,2009-08-31,1.556e+15,0.003893,2.612e+17
2009-09-01,2009-09-30,1.698e+15,0.003529,2.662e+17
2009-10-01,2009-10-31,1.829e+15,0.003561,2.623e+17
2009-11-01,2009-11-30,2.065e+15,0.003334,2.494e+17
2009-12-01,2009-12-31,2.196e+15,0.003369,2.347e+17
2010-01-01,2010-01-31,1.831e+15,0.003497,2.427e+17
2010-02-01,2010-02-28,1.956e+15,0.003246,2.414e+17
2010-03-01,2010-03-31,1.818e+15,0.003467,2.654e+17
2010-04-01,2010-04-30,1.501e+15,0.00376,2.648e+17
2010-05-01,2010-05-31,1.421e+15,0.003645,2.499e+17
2010-06-01,2010-06-30,1.184e+15,0.003779,2.496e+17
2010-07-01,2010-07-31,1.519e+15,0.004059,2.653e+17
