SiteName,Colstrip MT
ShortName,Colstrip
SiteLongitude,-106.4500
SiteLatitude,45.9000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,2.66e+15,0.002136,2.449e+17
2005-02-01,2005-02-28,2.114e+15,0.002056,2.635e+17
2005-03-01,2005-03-31,2.39e+15,0.001979,2.648e+17
2005-04-01,2005-04-30,2.357e+15,0.001847,2.3e+17
2005-05-01,2005-05-31,2.518e+15,0.001818,2.281e+17
2005-06-01,2005-06-30,2.872e+15,0.00192,2.231e+17
2005-07-01,2005-07-31,2.859e+15,0.001975,2.32e+17
2005-08-01,2005-08-31,3.094e+15,0.002122,2.41e+17
2005-09-01,2005-09-30,3.08e+15,0.002073,2.52e+17
2005-10-01,2005-10-31,2.643e+15,0.002056,2.774e+17
2005-11-01,2005-11-30,1.95e+15,0.001952,2.762e+17
2005-12-01,2005-12-31,1.336e+15,0.001991,2.673e+17
2006-01-01,2006-01-31,1.495e+15,0.00223,2.616e+17
2006-02-01,2006-02-28,1.614e+15,0.001935,2.597e+17
2006-03-01,2006-03-31,2.941e+15,0.001903,2.587e+17
2006-04-01,2006-04-30,2.394e+15,0.001951,2.441e+17
2006-05-01,2006-05-31,2.085e+15,0.001912,2.308e+17
2006-06-01,2006-06-30,1.945e+15,0.002,2.261e+17
2006-07-01,2006-07-31,2.267e+15,0.001996,2.315e+17
2006-08-01,2006-08-31,2.642e+15,0.002119,2.438e+17
2006-09-01,2006-09-30,2.18e+15,0.002064,2.508e+17
2006-10-01,2006-10-31,2.72e+15,0.001932,2.704e+17
2006-11-01,2006-11-30,1.991e+15,0.001986,2.856e+17
2006-12-01,2006-12-31,1.393e+15,0.002043,2.641e+17
2007-01-01,2007-01-31,1.435e+15,0.002302,2.795e+17
2007-02-01,2007-02-28,1.208e+15,0.002069,2.68e+17
2007-03-01,2007-03-31,1.681e+15,0.002104,2.785e+17
2007-04-01,2007-04-30,2.459e+15,0.001894,2.45e+17
2007-05-01,2007-05-31,2.072e+15,0.00187,2.266e+17
2007-06-01,2007-06-30,1.857e+15,0.001971,2.275e+17
2007-07-01,2007-07-31,2.062e+15,0.002027,2.363e+17
2007-08-01,2007-08-31,1.942e+15,0.002117,2.444e+17
2007-09-01,2007-09-30,2.06e+15,0.00209,2.549e+17
2007-10-01,2007-10-31,1.75e+15,0.00208,2.798e+17
2007-11-01,2007-11-30,1.695e+15,0.002053,2.74e+17
2007-12-01,2007-12-31,1.272e+15,0.002056,2.829e+17
2008-01-01,2008-01-31,8.556e+14,0.002321,2.718e+17
2008-02-01,2008-02-29,1.513e+15,0.002193,2.607e+17
2008-03-01,2008-03-31,1.943e+15,0.001979,2.613e+17
2008-04-01,2008-04-30,2.609e+15,0.001904,2.408e+17
2008-05-01,2008-05-31,2.116e+15,0.001935,2.299e+17
