SiteName,Conemaugh PA
ShortName,Conemaugh
SiteLongitude,-76.5500
SiteLatitude,40.1000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,4.182e+15,0.001286,2.465e+17
2005-02-01,2005-02-28,9.944e+15,0.001193,2.306e+17
2005-03-01,2005-03-31,9.244e+15,0.001193,2.42e+17
2005-04-01,2005-04-30,8.671e+15,0.001222,2.315e+17
2005-05-01,2005-05-31,6.399e+15,0.001235,2.313e+17
2005-06-01,2005-06-30,7.246e+15,0.001323,2.298e+17
2005-07-01,2005-07-31,4.809e+15,0.001375,2.461e+17
2005-08-01,2005-08-31,6.783e+15,0.001399,2.54e+17
2005-09-01,2005-09-30,7.306e+15,0.001341,2.571e+17
2005-10-01,2005-10-31,7.884e+15,0.001252,2.642e+17
2005-11-01,2005-11-30,1.109e+16,0.001212,2.637e+17
2005-12-01,2005-12-31,1.133e+16,0.001238,2.459e+17
2006-01-01,2006-01-31,9.221e+15,0.001308,2.446e+17
2006-02-01,2006-02-28,8.206e+15,0.001258,2.4e+17
2006-03-01,2006-03-31,8.238e+15,0.001275,2.511e+17
2006-04-01,2006-04-30,7.93e+15,0.001346,2.437e+17
2006-05-01,2006-05-31,7.342e+15,0.001277,2.37e+17
2006-06-01,2006-06-30,5.757e+15,0.001318,2.354e+17
2006-07-01,2006-07-31,5.561e+15,0.001333,2.393e+17
2006-08-01,2006-08-31,6.337e+15,0.00142,2.507e+17
2006-09-01,2006-09-30,6.226e+15,0.001318,2.513e+17
2006-10-01,2006-10-31,9.416e+15,0.001267,2.603e+17
2006-11-01,2006-11-30,1.181e+16,0.001281,2.792e+17
2006-12-01,2006-12-31,1.332e+16,0.001218,2.605e+17
2007-01-01,2007-01-31,9.574e+15,0.001295,2.609e+17
2007-02-01,2007-02-28,8.702e+15,0.001251,2.486e+17
2007-03-01,2007-03-31,7.666e+15,0.001287,2.589e+17
2007-04-01,2007-04-30,6.711e+15,0.001239,2.403e+17
2007-05-01,2007-05-31,6.107e+15,0.001254,2.352e+17
2007-06-01,2007-06-30,6.377e+15,0.00132,2.345e+17
2007-07-01,2007-07-31,5.069e+15,0.001358,2.478e+17
2007-08-01,2007-08-31,6.872e+15,0.001427,2.578e+17
2007-09-01,2007-09-30,6.644e+15,0.001329,2.567e+17
2007-10-01,2007-10-31,9.934e+15,0.001305,2.651e+17
2007-11-01,2007-11-30,1.038e+16,0.001314,2.669e+17
2007-12-01,2007-12-31,8.561e+15,0.00119,2.427e+17
2008-01-01,2008-01-31,8.849e+15,0.00136,2.607e+17
2008-02-01,2008-02-29,9.509e+15,0.001273,2.366e+17
2008-03-01,2008-03-31,7.139e+15,0.00118,2.386e+17
2008-04-01,2008-04-30,7.607e+15,0.001234,2.334e+17
2008-05-01,2008-05-31,5.771e+15,0.001265,2.356e+17
2008-06-01,2008-06-30,5.965e+15,0.001323,2.363e+17
2008-07-01,2008-07-31,6.07e+15,0.001371,2.438e+17
2008-08-01,2008-08-31,5.64e+15,0.001389,2.512e+17
