SiteName,Coronado Generating Station AZ
SiteLongitude,-109.2000
SiteLatitude,34.5500
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,2.272e+15
2005-02-01,2005-02-28,1.855e+15
2005-03-01,2005-03-31,1.743e+15
2005-04-01,2005-04-30,1.681e+15
2005-05-01,2005-05-31,1.846e+15
2005-06-01,2005-06-30,1.206e+15
2005-07-01,2005-07-31,1.676e+15
2005-08-01,2005-08-31,1.941e+15
2005-09-01,2005-09-30,1.254e+15
2005-10-01,2005-10-31,1.966e+15
2005-11-01,2005-11-30,2.292e+15
2005-12-01,2005-12-31,2.169e+15
2006-01-01,2006-01-31,1.265e+15
2006-02-01,2006-02-28,1.554e+15
2006-03-01,2006-03-31,1.45e+15
2006-04-01,2006-04-30,1.804e+15
2006-05-01,2006-05-31,1.59e+15
2006-06-01,2006-06-30,1.947e+15
2006-07-01,2006-07-31,2.019e+15
2006-08-01,2006-08-31,1.952e+15
2006-09-01,2006-09-30,1.864e+15
2006-10-01,2006-10-31,2.107e+15
2006-11-01,2006-11-30,2.033e+15
2006-12-01,2006-12-31,2.199e+15
2007-01-01,2007-01-31,1.507e+15
2007-02-01,2007-02-28,1.692e+15
2007-03-01,2007-03-31,1.603e+15
2007-04-01,2007-04-30,1.847e+15
2007-05-01,2007-05-31,1.61e+15
2007-06-01,2007-06-30,1.64e+15
2007-07-01,2007-07-31,2.687e+15
2007-08-01,2007-08-31,2.138e+15
2007-09-01,2007-09-30,1.828e+15
2007-10-01,2007-10-31,1.901e+15
2007-11-01,2007-11-30,2.429e+15
2007-12-01,2007-12-31,1.7e+15
2008-01-01,2008-01-31,1.127e+15
2008-02-01,2008-02-29,1.547e+15
2008-03-01,2008-03-31,1.627e+15
2008-04-01,2008-04-30,1.617e+15
2008-05-01,2008-05-31,1.477e+15
2008-06-01,2008-06-30,1.293e+15
2008-07-01,2008-07-31,1.853e+15
2008-08-01,2008-08-31,1.563e+15
2008-09-01,2008-09-30,1.521e+15
2008-10-01,2008-10-31,1.942e+15
2008-11-01,2008-11-30,1.721e+15
2008-12-01,2008-12-31,1.595e+15
2009-01-01,2009-01-31,1.799e+15
2009-02-01,2009-02-28,1.736e+15
2009-03-01,2009-03-31,1.687e+15
2009-04-01,2009-04-30,1.623e+15
2009-05-01,2009-05-31,1.375e+15
2009-06-01,2009-06-30,1.397e+15
2009-07-01,2009-07-31,1.357e+15
2009-08-01,2009-08-31,1.325e+15
2009-09-01,2009-09-30,1.963e+15
2009-10-01,2009-10-31,1.538e+15
2009-11-01,2009-11-30,2.238e+15
2009-12-01,2009-12-31,1.487e+15
2010-01-01,2010-01-31,1.707e+15
2010-02-01,2010-02-28,1.659e+15
2010-03-01,2010-03-31,1.569e+15
2010-04-01,2010-04-30,1.441e+15
2010-05-01,2010-05-31,1.234e+15
2010-06-01,2010-06-30,1.231e+15
2010-07-01,2010-07-31,1.744e+15
2010-08-01,2010-08-31,1.091e+15
2010-09-01,2010-09-30,2.006e+15
2010-10-01,2010-10-31,1.718e+15
2010-11-01,2010-11-30,1.853e+15
2010-12-01,2010-12-31,1.498e+15
2011-01-01,2011-01-31,1.96e+15
2011-02-01,2011-02-28,1.921e+15
2011-03-01,2011-03-31,1.293e+15
2011-04-01,2011-04-30,1.189e+15
2011-05-01,2011-05-31,1.254e+15
2011-06-01,2011-06-30,8.095e+14
2011-07-01,2011-07-31,1.901e+15
2011-08-01,2011-08-31,1.73e+15
2011-09-01,2011-09-30,1.695e+15
2011-10-01,2011-10-31,2.004e+15
2011-11-01,2011-11-30,1.598e+15
2011-12-01,2011-12-31,1.547e+15
2012-01-01,2012-01-31,1.622e+15
2012-02-01,2012-02-29,1.547e+15
2012-03-01,2012-03-31,1.396e+15
2012-04-01,2012-04-30,1.555e+15
2012-05-01,2012-05-31,1.255e+15
2012-06-01,2012-06-30,1.364e+15
2012-07-01,2012-07-31,1.206e+15
2012-08-01,2012-08-31,1.412e+15
2012-09-01,2012-09-30,1.75e+15
2012-10-01,2012-10-31,1.811e+15
2012-11-01,2012-11-30,1.713e+15
2012-12-01,2012-12-31,1.199e+15
2013-01-01,2013-01-31,1.67e+15
2013-02-01,2013-02-28,1.373e+15
2013-03-01,2013-03-31,1.691e+15
2013-04-01,2013-04-30,1.59e+15
2013-05-01,2013-05-31,1.333e+15
2013-06-01,2013-06-30,1.246e+15
2013-07-01,2013-07-31,1.422e+15
2013-08-01,2013-08-31,3.792e+14
2013-09-01,2013-09-30,1.425e+15
2013-10-01,2013-10-31,1.843e+15
2013-11-01,2013-11-30,1.801e+15
2013-12-01,2013-12-31,1.527e+15
2014-01-01,2014-01-31,1.272e+15
2014-02-01,2014-02-28,1.382e+15
2014-03-01,2014-03-31,1.125e+15
2014-04-01,2014-04-30,1.157e+15
2014-05-01,2014-05-31,1.13e+15
2014-06-01,2014-06-30,9.256e+14
2014-07-01,2014-07-31,1.224e+15
2014-08-01,2014-08-31,8.188e+14
2014-09-01,2014-09-30,1.148e+15
2014-10-01,2014-10-31,1.696e+15
2014-11-01,2014-11-30,1.807e+15
2014-12-01,2014-12-31,1.309e+15
2015-01-01,2015-01-31,1.236e+15
2015-02-01,2015-02-28,1.353e+15
2015-03-01,2015-03-31,1.295e+15
2015-04-01,2015-04-30,1.252e+15
2015-05-01,2015-05-31,1.433e+15
2015-06-01,2015-06-30,1.321e+15
2015-07-01,2015-07-31,1.452e+15
2015-08-01,2015-08-31,1.018e+15
2015-09-01,2015-09-30,1.339e+15
2015-10-01,2015-10-31,1.682e+15
2015-11-01,2015-11-30,1.6e+15
2015-12-01,2015-12-31,1.109e+15
