SiteName,Coronado Generating Station AZ
ShortName,Coronado
SiteLongitude,-109.2000
SiteLatitude,34.5500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,2.272e+15,0.004696,2.434e+17
2005-02-01,2005-02-28,1.855e+15,0.004137,2.455e+17
2005-03-01,2005-03-31,1.743e+15,0.00458,2.45e+17
2005-04-01,2005-04-30,1.681e+15,0.004774,2.381e+17
2005-05-01,2005-05-31,1.846e+15,0.005052,2.367e+17
2005-06-01,2005-06-30,1.206e+15,0.005176,2.373e+17
2005-07-01,2005-07-31,1.676e+15,0.005468,2.527e+17
2005-08-01,2005-08-31,1.941e+15,0.004888,2.55e+17
2005-09-01,2005-09-30,1.254e+15,0.005275,2.56e+17
2005-10-01,2005-10-31,1.966e+15,0.004901,2.589e+17
2005-11-01,2005-11-30,2.292e+15,0.004657,2.467e+17
2005-12-01,2005-12-31,2.169e+15,0.004846,2.517e+17
2006-01-01,2006-01-31,1.265e+15,0.004791,2.457e+17
2006-02-01,2006-02-28,1.554e+15,0.004603,2.346e+17
2006-03-01,2006-03-31,1.45e+15,0.005152,2.526e+17
2006-04-01,2006-04-30,1.804e+15,0.005073,2.421e+17
2006-05-01,2006-05-31,1.59e+15,0.005308,2.389e+17
2006-06-01,2006-06-30,1.947e+15,0.004799,2.407e+17
2006-07-01,2006-07-31,2.019e+15,0.004933,2.498e+17
2006-08-01,2006-08-31,1.952e+15,0.00494,2.567e+17
2006-09-01,2006-09-30,1.864e+15,0.004959,2.487e+17
2006-10-01,2006-10-31,2.107e+15,0.005307,2.592e+17
2006-11-01,2006-11-30,2.033e+15,0.004523,2.626e+17
2006-12-01,2006-12-31,2.199e+15,0.004743,2.569e+17
2007-01-01,2007-01-31,1.507e+15,0.004866,2.551e+17
2007-02-01,2007-02-28,1.692e+15,0.004782,2.517e+17
2007-03-01,2007-03-31,1.603e+15,0.004859,2.629e+17
2007-04-01,2007-04-30,1.847e+15,0.00522,2.514e+17
2007-05-01,2007-05-31,1.61e+15,0.005374,2.387e+17
2007-06-01,2007-06-30,1.64e+15,0.006135,2.397e+17
2007-07-01,2007-07-31,2.687e+15,0.005442,2.579e+17
2007-08-01,2007-08-31,2.138e+15,0.004955,2.592e+17
2007-09-01,2007-09-30,1.828e+15,0.005394,2.588e+17
2007-10-01,2007-10-31,1.901e+15,0.005142,2.638e+17
2007-11-01,2007-11-30,2.429e+15,0.004855,2.615e+17
2007-12-01,2007-12-31,1.7e+15,0.004837,2.584e+17
2008-01-01,2008-01-31,1.127e+15,0.005171,2.64e+17
2008-02-01,2008-02-29,1.547e+15,0.005358,2.497e+17
2008-03-01,2008-03-31,1.627e+15,0.00483,2.358e+17
2008-04-01,2008-04-30,1.617e+15,0.005153,2.384e+17
2008-05-01,2008-05-31,1.477e+15,0.004988,2.409e+17
2008-06-01,2008-06-30,1.293e+15,0.005236,2.408e+17
2008-07-01,2008-07-31,1.853e+15,0.005395,2.517e+17
2008-08-01,2008-08-31,1.563e+15,0.005656,2.598e+17
2008-09-01,2008-09-30,1.521e+15,0.004835,2.58e+17
2008-10-01,2008-10-31,1.942e+15,0.005086,2.572e+17
2008-11-01,2008-11-30,1.721e+15,0.005061,2.622e+17
2008-12-01,2008-12-31,1.595e+15,0.005554,2.71e+17
2009-01-01,2009-01-31,1.799e+15,0.004608,2.401e+17
2009-02-01,2009-02-28,1.736e+15,0.005078,2.372e+17
2009-03-01,2009-03-31,1.687e+15,0.005156,2.574e+17
2009-04-01,2009-04-30,1.623e+15,0.00513,2.544e+17
2009-05-01,2009-05-31,1.375e+15,0.005391,2.49e+17
2009-06-01,2009-06-30,1.397e+15,0.004786,2.509e+17
2009-07-01,2009-07-31,1.357e+15,0.005159,2.548e+17
2009-08-01,2009-08-31,1.325e+15,0.005241,2.65e+17
2009-09-01,2009-09-30,1.963e+15,0.004456,2.661e+17
2009-10-01,2009-10-31,1.538e+15,0.004779,2.602e+17
2009-11-01,2009-11-30,2.238e+15,0.004789,2.533e+17
2009-12-01,2009-12-31,1.487e+15,0.005121,2.323e+17
2010-01-01,2010-01-31,1.707e+15,0.005042,2.341e+17
2010-02-01,2010-02-28,1.659e+15,0.005261,2.486e+17
2010-03-01,2010-03-31,1.569e+15,0.004857,2.669e+17
2010-04-01,2010-04-30,1.441e+15,0.005226,2.623e+17
2010-05-01,2010-05-31,1.234e+15,0.005316,2.496e+17
2010-06-01,2010-06-30,1.231e+15,0.005146,2.497e+17
2010-07-01,2010-07-31,1.744e+15,0.005042,2.719e+17
2010-08-01,2010-08-31,1.091e+15,0.005689,2.701e+17
2010-09-01,2010-09-30,2.006e+15,0.005737,2.678e+17
2010-10-01,2010-10-31,1.718e+15,0.004958,2.562e+17
2010-11-01,2010-11-30,1.853e+15,0.004696,2.46e+17
2010-12-01,2010-12-31,1.498e+15,0.005235,2.391e+17
2011-01-01,2011-01-31,1.96e+15,0.005616,2.532e+17
2011-02-01,2011-02-28,1.921e+15,0.004886,2.499e+17
2011-03-01,2011-03-31,1.293e+15,0.005397,2.689e+17
2011-04-01,2011-04-30,1.189e+15,0.005344,2.558e+17
2011-05-01,2011-05-31,1.254e+15,0.005058,2.516e+17
2011-06-01,2011-06-30,8.095e+14,0.005456,2.539e+17
2011-07-01,2011-07-31,1.901e+15,0.005595,2.654e+17
2011-08-01,2011-08-31,1.73e+15,0.004982,2.755e+17
2011-09-01,2011-09-30,1.695e+15,0.005333,2.736e+17
2011-10-01,2011-10-31,2.004e+15,0.005183,2.521e+17
2011-11-01,2011-11-30,1.598e+15,0.005041,2.538e+17
2011-12-01,2011-12-31,1.547e+15,0.004366,2.512e+17
2012-01-01,2012-01-31,1.622e+15,0.005319,2.541e+17
2012-02-01,2012-02-29,1.547e+15,0.00526,2.497e+17
2012-03-01,2012-03-31,1.396e+15,0.005064,2.58e+17
2012-04-01,2012-04-30,1.555e+15,0.005509,2.471e+17
2012-05-01,2012-05-31,1.255e+15,0.005176,2.56e+17
2012-06-01,2012-06-30,1.364e+15,0.005513,2.613e+17
2012-07-01,2012-07-31,1.206e+15,0.005378,2.727e+17
2012-08-01,2012-08-31,1.412e+15,0.005702,2.776e+17
2012-09-01,2012-09-30,1.75e+15,0.005189,2.813e+17
2012-10-01,2012-10-31,1.811e+15,0.005597,2.766e+17
2012-11-01,2012-11-30,1.713e+15,0.004775,2.51e+17
2012-12-01,2012-12-31,1.199e+15,0.004738,2.423e+17
