SiteName,Craig CO
ShortName,Craig
SiteLongitude,-107.3500
SiteLatitude,40.5000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.702e+15,0.01711,2.419e+17
2005-02-01,2005-02-28,1.962e+15,0.0447,2.57e+17
2005-03-01,2005-03-31,1.48e+15,0.01545,2.465e+17
2005-04-01,2005-04-30,1.752e+15,0.07827,2.359e+17
2005-05-01,2005-05-31,2.041e+15,0.01748,2.279e+17
2005-06-01,2005-06-30,1.886e+15,0.08247,2.32e+17
2005-07-01,2005-07-31,2.341e+15,0.0133,2.447e+17
2005-08-01,2005-08-31,2.614e+15,0.008442,2.517e+17
2005-09-01,2005-09-30,2.06e+15,0.01157,2.567e+17
2005-10-01,2005-10-31,2.101e+15,0.007757,2.695e+17
2005-11-01,2005-11-30,1.567e+15,0.02386,2.668e+17
2005-12-01,2005-12-31,1.928e+15,0.05443,2.56e+17
2006-01-01,2006-01-31,1.453e+15,0.02427,2.499e+17
2006-02-01,2006-02-28,1.588e+15,0.01041,2.473e+17
2006-03-01,2006-03-31,1.414e+15,0.05892,2.524e+17
2006-04-01,2006-04-30,1.784e+15,0.02703,2.406e+17
2006-05-01,2006-05-31,1.999e+15,0.01503,2.334e+17
2006-06-01,2006-06-30,2.107e+15,0.01557,2.335e+17
2006-07-01,2006-07-31,2.582e+15,0.03935,2.39e+17
2006-08-01,2006-08-31,2.253e+15,0.1983,2.532e+17
2006-09-01,2006-09-30,2.105e+15,0.01465,2.532e+17
2006-10-01,2006-10-31,2.683e+15,0.009341,2.693e+17
2006-11-01,2006-11-30,1.761e+15,0.01816,2.789e+17
2006-12-01,2006-12-31,2.472e+15,0.01593,2.648e+17
2007-01-01,2007-01-31,2.505e+15,0.01049,2.679e+17
2007-02-01,2007-02-28,1.59e+15,0.01693,2.647e+17
2007-03-01,2007-03-31,2.347e+15,0.01798,2.717e+17
2007-04-01,2007-04-30,1.811e+15,0.02258,2.476e+17
2007-05-01,2007-05-31,1.805e+15,0.007449,2.308e+17
2007-06-01,2007-06-30,2.203e+15,0.01688,2.336e+17
2007-07-01,2007-07-31,2.415e+15,0.02086,2.44e+17
2007-08-01,2007-08-31,2.468e+15,0.2291,2.547e+17
2007-09-01,2007-09-30,1.987e+15,0.01347,2.591e+17
2007-10-01,2007-10-31,2.521e+15,0.01277,2.72e+17
2007-11-01,2007-11-30,2.033e+15,0.01883,2.738e+17
2007-12-01,2007-12-31,1.669e+15,0.01379,2.674e+17
2008-01-01,2008-01-31,9.045e+14,0.01573,2.653e+17
2008-02-01,2008-02-29,5.492e+14,0.0116,2.543e+17
2008-03-01,2008-03-31,1.237e+15,0.01858,2.432e+17
2008-04-01,2008-04-30,1.124e+15,0.02157,2.378e+17
