SiteName,Four Corners-San Juan NM
SiteLongitude,-108.3000
SiteLatitude,36.7500
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,6.378e+15
2005-02-01,2005-02-28,5.516e+15
2005-03-01,2005-03-31,3.893e+15
2005-04-01,2005-04-30,3.599e+15
2005-05-01,2005-05-31,3.815e+15
2005-06-01,2005-06-30,3.691e+15
2005-07-01,2005-07-31,4.634e+15
2005-08-01,2005-08-31,4.892e+15
2005-09-01,2005-09-30,4.107e+15
2005-10-01,2005-10-31,5.537e+15
2005-11-01,2005-11-30,6.051e+15
2005-12-01,2005-12-31,4.789e+15
2006-01-01,2006-01-31,4.887e+15
2006-02-01,2006-02-28,3.833e+15
2006-03-01,2006-03-31,3.226e+15
2006-04-01,2006-04-30,3.336e+15
2006-05-01,2006-05-31,5.314e+15
2006-06-01,2006-06-30,4.389e+15
2006-07-01,2006-07-31,5.412e+15
2006-08-01,2006-08-31,4.139e+15
2006-09-01,2006-09-30,5.033e+15
2006-10-01,2006-10-31,5.053e+15
2006-11-01,2006-11-30,5.101e+15
2006-12-01,2006-12-31,6.866e+15
2007-01-01,2007-01-31,5.579e+15
2007-02-01,2007-02-28,4.528e+15
2007-03-01,2007-03-31,4.302e+15
2007-04-01,2007-04-30,4.072e+15
2007-05-01,2007-05-31,4.353e+15
2007-06-01,2007-06-30,4.098e+15
2007-07-01,2007-07-31,5.508e+15
2007-08-01,2007-08-31,5.351e+15
2007-09-01,2007-09-30,5.475e+15
2007-10-01,2007-10-31,4.662e+15
2007-11-01,2007-11-30,6.077e+15
2007-12-01,2007-12-31,3.778e+15
2008-01-01,2008-01-31,4.904e+15
2008-02-01,2008-02-29,4.597e+15
2008-03-01,2008-03-31,3.346e+15
2008-04-01,2008-04-30,2.78e+15
2008-05-01,2008-05-31,3.157e+15
2008-06-01,2008-06-30,3.464e+15
2008-07-01,2008-07-31,4.506e+15
2008-08-01,2008-08-31,3.845e+15
2008-09-01,2008-09-30,4.307e+15
2008-10-01,2008-10-31,4.343e+15
2008-11-01,2008-11-30,5.634e+15
2008-12-01,2008-12-31,3.466e+15
2009-01-01,2009-01-31,5.068e+15
2009-02-01,2009-02-28,4.072e+15
2009-03-01,2009-03-31,3.215e+15
2009-04-01,2009-04-30,3.565e+15
2009-05-01,2009-05-31,2.798e+15
2009-06-01,2009-06-30,3.819e+15
2009-07-01,2009-07-31,3.101e+15
2009-08-01,2009-08-31,3.829e+15
2009-09-01,2009-09-30,4.439e+15
2009-10-01,2009-10-31,4.213e+15
2009-11-01,2009-11-30,6.048e+15
2009-12-01,2009-12-31,2.85e+15
2010-01-01,2010-01-31,5.222e+15
2010-02-01,2010-02-28,5.047e+15
2010-03-01,2010-03-31,3.095e+15
2010-04-01,2010-04-30,2.945e+15
2010-05-01,2010-05-31,2.336e+15
2010-06-01,2010-06-30,3.178e+15
2010-07-01,2010-07-31,3.051e+15
2010-08-01,2010-08-31,3.21e+15
2010-09-01,2010-09-30,4.151e+15
2010-10-01,2010-10-31,4.514e+15
2010-11-01,2010-11-30,3.872e+15
2010-12-01,2010-12-31,4.285e+15
2011-01-01,2011-01-31,5.887e+15
2011-02-01,2011-02-28,4.716e+15
2011-03-01,2011-03-31,2.663e+15
2011-04-01,2011-04-30,2.013e+15
2011-05-01,2011-05-31,2.745e+15
2011-06-01,2011-06-30,2.869e+15
2011-07-01,2011-07-31,3.578e+15
2011-08-01,2011-08-31,3.459e+15
2011-09-01,2011-09-30,4.116e+15
2011-10-01,2011-10-31,3.951e+15
2011-11-01,2011-11-30,3.574e+15
2011-12-01,2011-12-31,4.812e+15
2012-01-01,2012-01-31,5.649e+15
2012-02-01,2012-02-29,3.194e+15
2012-03-01,2012-03-31,2.622e+15
2012-04-01,2012-04-30,2.263e+15
2012-05-01,2012-05-31,3.041e+15
2012-06-01,2012-06-30,3.456e+15
2012-07-01,2012-07-31,3.84e+15
2012-08-01,2012-08-31,2.97e+15
2012-09-01,2012-09-30,4.331e+15
2012-10-01,2012-10-31,3.678e+15
2012-11-01,2012-11-30,4.874e+15
2012-12-01,2012-12-31,3.169e+15
2013-01-01,2013-01-31,7.42e+15
2013-02-01,2013-02-28,3.532e+15
2013-03-01,2013-03-31,2.957e+15
2013-04-01,2013-04-30,2.504e+15
2013-05-01,2013-05-31,3.035e+15
2013-06-01,2013-06-30,3.055e+15
2013-07-01,2013-07-31,3.51e+15
2013-08-01,2013-08-31,3.802e+15
2013-09-01,2013-09-30,3.153e+15
2013-10-01,2013-10-31,3.281e+15
2013-11-01,2013-11-30,3.843e+15
2013-12-01,2013-12-31,4.319e+15
2014-01-01,2014-01-31,3.85e+15
2014-02-01,2014-02-28,3.389e+15
2014-03-01,2014-03-31,2.833e+15
2014-04-01,2014-04-30,2.501e+15
2014-05-01,2014-05-31,2.483e+15
2014-06-01,2014-06-30,2.649e+15
2014-07-01,2014-07-31,2.884e+15
2014-08-01,2014-08-31,2.537e+15
2014-09-01,2014-09-30,2.987e+15
2014-10-01,2014-10-31,3.147e+15
2014-11-01,2014-11-30,3.726e+15
