SiteName,Four Corners-San Juan NM
ShortName,Four Corners
SiteLongitude,-108.3000
SiteLatitude,36.7500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.378e+15,0.004146,2.515e+17
2005-02-01,2005-02-28,5.516e+15,0.003846,2.563e+17
2005-03-01,2005-03-31,3.893e+15,0.003654,2.471e+17
2005-04-01,2005-04-30,3.599e+15,0.003876,2.342e+17
2005-05-01,2005-05-31,3.815e+15,0.004162,2.319e+17
2005-06-01,2005-06-30,3.691e+15,0.004235,2.323e+17
2005-07-01,2005-07-31,4.634e+15,0.004376,2.472e+17
2005-08-01,2005-08-31,4.892e+15,0.004275,2.532e+17
2005-09-01,2005-09-30,4.107e+15,0.004055,2.562e+17
2005-10-01,2005-10-31,5.537e+15,0.004104,2.614e+17
2005-11-01,2005-11-30,6.051e+15,0.003706,2.548e+17
2005-12-01,2005-12-31,4.789e+15,0.003871,2.534e+17
2006-01-01,2006-01-31,4.887e+15,0.003948,2.477e+17
2006-02-01,2006-02-28,3.833e+15,0.003838,2.373e+17
2006-03-01,2006-03-31,3.226e+15,0.00397,2.493e+17
2006-04-01,2006-04-30,3.336e+15,0.004126,2.414e+17
2006-05-01,2006-05-31,5.314e+15,0.003966,2.351e+17
2006-06-01,2006-06-30,4.389e+15,0.00418,2.365e+17
2006-07-01,2006-07-31,5.412e+15,0.003937,2.421e+17
2006-08-01,2006-08-31,4.139e+15,0.004123,2.518e+17
2006-09-01,2006-09-30,5.033e+15,0.003937,2.498e+17
2006-10-01,2006-10-31,5.053e+15,0.003804,2.65e+17
2006-11-01,2006-11-30,5.101e+15,0.004031,2.695e+17
2006-12-01,2006-12-31,6.866e+15,0.004194,2.653e+17
2007-01-01,2007-01-31,5.579e+15,0.004112,2.602e+17
2007-02-01,2007-02-28,4.528e+15,0.004306,2.537e+17
2007-03-01,2007-03-31,4.302e+15,0.004028,2.687e+17
2007-04-01,2007-04-30,4.072e+15,0.004094,2.485e+17
2007-05-01,2007-05-31,4.353e+15,0.00399,2.335e+17
2007-06-01,2007-06-30,4.098e+15,0.004235,2.368e+17
2007-07-01,2007-07-31,5.508e+15,0.004403,2.498e+17
2007-08-01,2007-08-31,5.351e+15,0.004468,2.563e+17
2007-09-01,2007-09-30,5.475e+15,0.004169,2.58e+17
2007-10-01,2007-10-31,4.662e+15,0.003998,2.671e+17
2007-11-01,2007-11-30,6.077e+15,0.004034,2.637e+17
2007-12-01,2007-12-31,3.778e+15,0.003914,2.588e+17
2008-01-01,2008-01-31,4.904e+15,0.004211,2.619e+17
2008-02-01,2008-02-29,4.597e+15,0.004039,2.549e+17
2008-03-01,2008-03-31,3.346e+15,0.003904,2.362e+17
2008-04-01,2008-04-30,2.78e+15,0.004032,2.348e+17
2008-05-01,2008-05-31,3.157e+15,0.003981,2.367e+17
2008-06-01,2008-06-30,3.464e+15,0.004082,2.395e+17
2008-07-01,2008-07-31,4.506e+15,0.004195,2.49e+17
2008-08-01,2008-08-31,3.845e+15,0.004469,2.583e+17
2008-09-01,2008-09-30,4.307e+15,0.004084,2.55e+17
2008-10-01,2008-10-31,4.343e+15,0.004336,2.568e+17
2008-11-01,2008-11-30,5.634e+15,0.004238,2.631e+17
2008-12-01,2008-12-31,3.466e+15,0.004072,2.8e+17
2009-01-01,2009-01-31,5.068e+15,0.004005,2.398e+17
2009-02-01,2009-02-28,4.072e+15,0.004152,2.376e+17
2009-03-01,2009-03-31,3.215e+15,0.004171,2.556e+17
2009-04-01,2009-04-30,3.565e+15,0.004281,2.539e+17
2009-05-01,2009-05-31,2.798e+15,0.004124,2.44e+17
2009-06-01,2009-06-30,3.819e+15,0.004459,2.502e+17
2009-07-01,2009-07-31,3.101e+15,0.004364,2.544e+17
2009-08-01,2009-08-31,3.829e+15,0.00462,2.644e+17
2009-09-01,2009-09-30,4.439e+15,0.004197,2.697e+17
2009-10-01,2009-10-31,4.213e+15,0.004237,2.588e+17
2009-11-01,2009-11-30,6.048e+15,0.003433,2.443e+17
2009-12-01,2009-12-31,2.85e+15,0.003936,2.306e+17
2010-01-01,2010-01-31,5.222e+15,0.0036,2.429e+17
2010-02-01,2010-02-28,5.047e+15,0.004322,2.508e+17
2010-03-01,2010-03-31,3.095e+15,0.004136,2.642e+17
2010-04-01,2010-04-30,2.945e+15,0.004267,2.59e+17
2010-05-01,2010-05-31,2.336e+15,0.004139,2.492e+17
2010-06-01,2010-06-30,3.178e+15,0.004226,2.504e+17
2010-07-01,2010-07-31,3.051e+15,0.00477,2.591e+17
2010-08-01,2010-08-31,3.21e+15,0.005,2.745e+17
2010-09-01,2010-09-30,4.151e+15,0.004363,2.683e+17
2010-10-01,2010-10-31,4.514e+15,0.003799,2.53e+17
2010-11-01,2010-11-30,3.872e+15,0.003845,2.477e+17
2010-12-01,2010-12-31,4.285e+15,0.003665,2.444e+17
2011-01-01,2011-01-31,5.887e+15,0.004623,2.492e+17
2011-02-01,2011-02-28,4.716e+15,0.004375,2.511e+17
2011-03-01,2011-03-31,2.663e+15,0.004387,2.761e+17
2011-04-01,2011-04-30,2.013e+15,0.004109,2.546e+17
2011-05-01,2011-05-31,2.745e+15,0.004086,2.472e+17
2011-06-01,2011-06-30,2.869e+15,0.004501,2.55e+17
2011-07-01,2011-07-31,3.578e+15,0.004548,2.67e+17
2011-08-01,2011-08-31,3.459e+15,0.004821,2.757e+17
2011-09-01,2011-09-30,4.116e+15,0.004398,2.773e+17
2011-10-01,2011-10-31,3.951e+15,0.004056,2.56e+17
2011-11-01,2011-11-30,3.574e+15,0.00346,2.47e+17
2011-12-01,2011-12-31,4.812e+15,0.004352,2.514e+17
2012-01-01,2012-01-31,5.649e+15,0.004663,2.574e+17
2012-02-01,2012-02-29,3.194e+15,0.003801,2.556e+17
2012-03-01,2012-03-31,2.622e+15,0.004459,2.452e+17
2012-04-01,2012-04-30,2.263e+15,0.004574,2.498e+17
2012-05-01,2012-05-31,3.041e+15,0.00416,2.547e+17
2012-06-01,2012-06-30,3.456e+15,0.00435,2.546e+17
2012-07-01,2012-07-31,3.84e+15,0.004885,2.738e+17
