SiteName,Gen J M Gavin OH
SiteLongitude,-80.4500
SiteLatitude,40.5500
StartDate,EndDate,BEHRNO2
2005-01-01,2005-01-31,8.098e+15
2005-02-01,2005-02-28,1.311e+16
2005-03-01,2005-03-31,1.302e+16
2005-04-01,2005-04-30,1.192e+16
2005-05-01,2005-05-31,7.865e+15
2005-06-01,2005-06-30,9.268e+15
2005-07-01,2005-07-31,5.665e+15
2005-08-01,2005-08-31,7.022e+15
2005-09-01,2005-09-30,8.185e+15
2005-10-01,2005-10-31,1.158e+16
2005-11-01,2005-11-30,1.096e+16
2005-12-01,2005-12-31,9.76e+15
2006-01-01,2006-01-31,9.771e+15
2006-02-01,2006-02-28,1.044e+16
2006-03-01,2006-03-31,8.444e+15
2006-04-01,2006-04-30,1.092e+16
2006-05-01,2006-05-31,7.941e+15
2006-06-01,2006-06-30,5.296e+15
2006-07-01,2006-07-31,4.271e+15
2006-08-01,2006-08-31,6.326e+15
2006-09-01,2006-09-30,6.985e+15
2006-10-01,2006-10-31,8.027e+15
2006-11-01,2006-11-30,9.489e+15
2006-12-01,2006-12-31,9.992e+15
2007-01-01,2007-01-31,6.911e+15
2007-02-01,2007-02-28,1.638e+16
2007-03-01,2007-03-31,9.16e+15
2007-04-01,2007-04-30,8.351e+15
2007-05-01,2007-05-31,8.736e+15
2007-06-01,2007-06-30,5.584e+15
2007-07-01,2007-07-31,4.481e+15
2007-08-01,2007-08-31,8.161e+15
2007-09-01,2007-09-30,8.658e+15
2007-10-01,2007-10-31,1.123e+16
2007-11-01,2007-11-30,1.155e+16
2007-12-01,2007-12-31,8.638e+15
2008-01-01,2008-01-31,9.675e+15
2008-02-01,2008-02-29,7.388e+15
2008-03-01,2008-03-31,8.243e+15
2008-04-01,2008-04-30,9.896e+15
2008-05-01,2008-05-31,5.815e+15
2008-06-01,2008-06-30,4.132e+15
2008-07-01,2008-07-31,5.172e+15
2008-08-01,2008-08-31,4.431e+15
2008-09-01,2008-09-30,6.722e+15
2008-10-01,2008-10-31,9.414e+15
2008-11-01,2008-11-30,1.234e+16
2008-12-01,2008-12-31,5.583e+15
2009-01-01,2009-01-31,5.479e+15
2009-02-01,2009-02-28,1.086e+16
2009-03-01,2009-03-31,6.884e+15
2009-04-01,2009-04-30,4.62e+15
2009-05-01,2009-05-31,5.868e+15
2009-06-01,2009-06-30,3.973e+15
2009-07-01,2009-07-31,3.865e+15
2009-08-01,2009-08-31,5.712e+15
2009-09-01,2009-09-30,6.102e+15
2009-10-01,2009-10-31,5.087e+15
2009-11-01,2009-11-30,6.326e+15
2009-12-01,2009-12-31,6.486e+15
2010-01-01,2010-01-31,4.187e+15
2010-02-01,2010-02-28,3.686e+15
2010-03-01,2010-03-31,1.012e+16
2010-04-01,2010-04-30,5.313e+15
2010-05-01,2010-05-31,4.664e+15
2010-06-01,2010-06-30,5.886e+15
2010-07-01,2010-07-31,3.737e+15
2010-08-01,2010-08-31,5.179e+15
2010-09-01,2010-09-30,4.934e+15
2010-10-01,2010-10-31,5.226e+15
2010-11-01,2010-11-30,8.436e+15
2010-12-01,2010-12-31,8.51e+15
2011-01-01,2011-01-31,4.205e+15
2011-02-01,2011-02-28,8.155e+15
2011-03-01,2011-03-31,5.405e+15
2011-04-01,2011-04-30,7.556e+15
2011-05-01,2011-05-31,4.764e+15
2011-06-01,2011-06-30,3.555e+15
2011-07-01,2011-07-31,3.309e+15
2011-08-01,2011-08-31,5.4e+15
2011-09-01,2011-09-30,6.808e+15
2011-10-01,2011-10-31,6.285e+15
2011-11-01,2011-11-30,5.591e+15
2011-12-01,2011-12-31,7.243e+15
2012-01-01,2012-01-31,6.515e+15
2012-02-01,2012-02-29,7.189e+15
2012-03-01,2012-03-31,6.549e+15
2012-04-01,2012-04-30,4.723e+15
2012-05-01,2012-05-31,7.983e+15
2012-06-01,2012-06-30,4.527e+15
2012-07-01,2012-07-31,3.483e+15
2012-08-01,2012-08-31,4.701e+15
2012-09-01,2012-09-30,5.117e+15
2012-10-01,2012-10-31,5.146e+15
2012-11-01,2012-11-30,9.185e+15
2012-12-01,2012-12-31,9.784e+15
2013-01-01,2013-01-31,6.048e+15
2013-02-01,2013-02-28,8.376e+15
2013-03-01,2013-03-31,6.684e+15
