SiteName,Gibson IN
ShortName,Gibson
SiteLongitude,-87.0000
SiteLatitude,37.9500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,7.874e+15,0.001277,2.42e+17
2005-02-01,2005-02-28,8.57e+15,0.001243,2.472e+17
2005-03-01,2005-03-31,8.097e+15,0.001224,2.363e+17
2005-04-01,2005-04-30,8.688e+15,0.001225,2.315e+17
2005-05-01,2005-05-31,4.999e+15,0.00123,2.347e+17
2005-06-01,2005-06-30,5.664e+15,0.001295,2.362e+17
2005-07-01,2005-07-31,4.705e+15,0.001356,2.475e+17
2005-08-01,2005-08-31,7.17e+15,0.001375,2.513e+17
2005-09-01,2005-09-30,6.107e+15,0.001299,2.541e+17
2005-10-01,2005-10-31,8.982e+15,0.001251,2.659e+17
2005-11-01,2005-11-30,7.342e+15,0.00117,2.552e+17
2005-12-01,2005-12-31,8.503e+15,0.001254,2.522e+17
2006-01-01,2006-01-31,6.35e+15,0.001238,2.418e+17
2006-02-01,2006-02-28,8.1e+15,0.001241,2.364e+17
2006-03-01,2006-03-31,6.851e+15,0.001293,2.506e+17
2006-04-01,2006-04-30,8.022e+15,0.001309,2.427e+17
2006-05-01,2006-05-31,4.852e+15,0.001292,2.376e+17
2006-06-01,2006-06-30,4.978e+15,0.001307,2.379e+17
2006-07-01,2006-07-31,5.032e+15,0.00133,2.432e+17
2006-08-01,2006-08-31,5.547e+15,0.001386,2.515e+17
2006-09-01,2006-09-30,6.418e+15,0.001285,2.514e+17
2006-10-01,2006-10-31,7.548e+15,0.001241,2.533e+17
2006-11-01,2006-11-30,8.33e+15,0.001253,2.716e+17
2006-12-01,2006-12-31,7.948e+15,0.001206,2.629e+17
2007-01-01,2007-01-31,6.165e+15,0.001287,2.594e+17
2007-02-01,2007-02-28,7.974e+15,0.001259,2.54e+17
2007-03-01,2007-03-31,7.054e+15,0.001265,2.641e+17
2007-04-01,2007-04-30,6.844e+15,0.001247,2.431e+17
2007-05-01,2007-05-31,4.768e+15,0.001255,2.371e+17
2007-06-01,2007-06-30,4.595e+15,0.001312,2.362e+17
2007-07-01,2007-07-31,4.742e+15,0.001352,2.482e+17
2007-08-01,2007-08-31,5.375e+15,0.001384,2.537e+17
2007-09-01,2007-09-30,5.596e+15,0.00132,2.581e+17
2007-10-01,2007-10-31,7.528e+15,0.001267,2.674e+17
