SiteName,Hatsfield Ferry Power Station PA
ShortName,Hatsfield
SiteLongitude,-79.9000
SiteLatitude,39.8500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,1.057e+16,0.001429,2.471e+17
2005-02-01,2005-02-28,1.139e+16,0.001397,2.4e+17
2005-03-01,2005-03-31,1.323e+16,0.001349,2.337e+17
2005-04-01,2005-04-30,8.324e+15,0.001378,2.301e+17
2005-05-01,2005-05-31,5.936e+15,0.001403,2.3e+17
2005-06-01,2005-06-30,5.785e+15,0.001434,2.328e+17
2005-07-01,2005-07-31,4.72e+15,0.001565,2.433e+17
2005-08-01,2005-08-31,5.458e+15,0.001575,2.522e+17
2005-09-01,2005-09-30,7.143e+15,0.001481,2.55e+17
2005-10-01,2005-10-31,8.209e+15,0.001429,2.642e+17
2005-11-01,2005-11-30,8.376e+15,0.001397,2.695e+17
2005-12-01,2005-12-31,1.481e+16,0.001399,2.511e+17
2006-01-01,2006-01-31,6.492e+15,0.001454,2.456e+17
2006-02-01,2006-02-28,8.86e+15,0.001453,2.376e+17
2006-03-01,2006-03-31,8.325e+15,0.001474,2.518e+17
2006-04-01,2006-04-30,8.853e+15,0.00151,2.448e+17
2006-05-01,2006-05-31,5.825e+15,0.001457,2.393e+17
2006-06-01,2006-06-30,5.143e+15,0.001466,2.323e+17
2006-07-01,2006-07-31,4.695e+15,0.001522,2.378e+17
2006-08-01,2006-08-31,5.884e+15,0.001592,2.528e+17
2006-09-01,2006-09-30,7.239e+15,0.001461,2.517e+17
2006-10-01,2006-10-31,6.947e+15,0.001405,2.59e+17
2006-11-01,2006-11-30,9.082e+15,0.001446,2.796e+17
2006-12-01,2006-12-31,9.67e+15,0.001374,2.625e+17
2007-01-01,2007-01-31,7.338e+15,0.001515,2.59e+17
2007-02-01,2007-02-28,1.238e+16,0.001424,2.577e+17
2007-03-01,2007-03-31,7.961e+15,0.001422,2.643e+17
2007-04-01,2007-04-30,8.211e+15,0.00143,2.387e+17
2007-05-01,2007-05-31,6.653e+15,0.001418,2.347e+17
2007-06-01,2007-06-30,6.842e+15,0.001481,2.368e+17
2007-07-01,2007-07-31,4.957e+15,0.001516,2.479e+17
2007-08-01,2007-08-31,6.222e+15,0.001596,2.553e+17
2007-09-01,2007-09-30,6.29e+15,0.001512,2.57e+17
2007-10-01,2007-10-31,8.238e+15,0.001455,2.63e+17
2007-11-01,2007-11-30,9.088e+15,0.001447,2.699e+17
2007-12-01,2007-12-31,7.611e+15,0.001351,2.487e+17
2008-01-01,2008-01-31,7.952e+15,0.001478,2.555e+17
2008-02-01,2008-02-29,7.123e+15,0.001552,2.633e+17
2008-03-01,2008-03-31,8.648e+15,0.001394,2.416e+17
2008-04-01,2008-04-30,9.679e+15,0.001417,2.352e+17
2008-05-01,2008-05-31,5.857e+15,0.001419,2.335e+17
2008-06-01,2008-06-30,4.99e+15,0.001496,2.351e+17
2008-07-01,2008-07-31,4.702e+15,0.001571,2.444e+17
2008-08-01,2008-08-31,5.97e+15,0.001606,2.55e+17
2008-09-01,2008-09-30,5.935e+15,0.001477,2.545e+17
2008-10-01,2008-10-31,7.21e+15,0.001483,2.66e+17
2008-11-01,2008-11-30,7.341e+15,0.001415,2.636e+17
2008-12-01,2008-12-31,5.97e+15,0.001489,2.623e+17
2009-01-01,2009-01-31,8.074e+15,0.001605,2.566e+17
2009-02-01,2009-02-28,5.796e+15,0.001492,2.461e+17
2009-03-01,2009-03-31,6.15e+15,0.001431,2.461e+17
2009-04-01,2009-04-30,4.616e+15,0.001437,2.406e+17
2009-05-01,2009-05-31,5.417e+15,0.001468,2.453e+17
2009-06-01,2009-06-30,3.817e+15,0.001539,2.404e+17
2009-07-01,2009-07-31,3.563e+15,0.001554,2.5e+17
2009-08-01,2009-08-31,5.109e+15,0.001614,2.571e+17
2009-09-01,2009-09-30,5.949e+15,0.001594,2.604e+17
2009-10-01,2009-10-31,3.25e+15,0.001506,2.625e+17
2009-11-01,2009-11-30,5.919e+15,0.001407,2.696e+17
2009-12-01,2009-12-31,4.426e+15,0.001512,2.543e+17
2010-01-01,2010-01-31,4.667e+15,0.001403,2.199e+17
2010-02-01,2010-02-28,4.184e+15,0.001343,2.479e+17
2010-03-01,2010-03-31,1.158e+16,0.001545,2.652e+17
2010-04-01,2010-04-30,6.237e+15,0.001535,2.539e+17
2010-05-01,2010-05-31,4.808e+15,0.001458,2.523e+17
2010-06-01,2010-06-30,6.002e+15,0.001655,2.497e+17
2010-07-01,2010-07-31,4.778e+15,0.001683,2.534e+17
2010-08-01,2010-08-31,6.633e+15,0.001747,2.577e+17
2010-09-01,2010-09-30,5.506e+15,0.001604,2.607e+17
2010-10-01,2010-10-31,4.745e+15,0.001393,2.404e+17
2010-11-01,2010-11-30,6.797e+15,0.001636,2.59e+17
2010-12-01,2010-12-31,5.14e+15,0.001031,2.211e+17
2011-01-01,2011-01-31,4.091e+15,0.001649,2.647e+17
2011-02-01,2011-02-28,8.819e+15,0.001497,2.481e+17
2011-03-01,2011-03-31,5.96e+15,0.001576,2.763e+17
2011-04-01,2011-04-30,5.635e+15,0.001533,2.485e+17
2011-05-01,2011-05-31,4.978e+15,0.001586,2.421e+17
2011-06-01,2011-06-30,3.642e+15,0.001657,2.471e+17
2011-07-01,2011-07-31,4.452e+15,0.001707,2.534e+17
2011-08-01,2011-08-31,6.561e+15,0.00169,2.668e+17
2011-09-01,2011-09-30,7.29e+15,0.001584,2.726e+17
2011-10-01,2011-10-31,6.332e+15,0.001514,2.76e+17
2011-11-01,2011-11-30,5.745e+15,0.001491,2.625e+17
2011-12-01,2011-12-31,5.694e+15,0.001258,2.171e+17
2012-01-01,2012-01-31,5.133e+15,0.001568,2.641e+17
2012-02-01,2012-02-29,7.083e+15,0.001383,2.374e+17
2012-03-01,2012-03-31,5.98e+15,0.00146,2.526e+17
2012-04-01,2012-04-30,5.14e+15,0.001555,2.473e+17
2012-05-01,2012-05-31,7.253e+15,0.001489,2.561e+17
2012-06-01,2012-06-30,5.548e+15,0.001662,2.477e+17
2012-07-01,2012-07-31,4.716e+15,0.001722,2.694e+17
2012-08-01,2012-08-31,7.006e+15,0.001744,2.718e+17
2012-09-01,2012-09-30,8.012e+15,0.001721,2.827e+17
2012-10-01,2012-10-31,5.363e+15,0.001501,2.658e+17
2012-11-01,2012-11-30,8.557e+15,0.001564,2.667e+17
2012-12-01,2012-12-31,8.969e+15,0.00167,2.572e+17
2013-01-01,2013-01-31,4.953e+15,0.001811,2.661e+17
2013-02-01,2013-02-28,3.28e+15,0.001334,2.005e+17
2013-03-01,2013-03-31,6.364e+15,0.001631,2.842e+17
2013-04-01,2013-04-30,6.622e+15,0.001628,2.613e+17
2013-05-01,2013-05-31,4.183e+15,0.001588,2.582e+17
2013-06-01,2013-06-30,5.582e+15,0.001529,2.512e+17
2013-07-01,2013-07-31,3.308e+15,0.001808,2.664e+17
2013-08-01,2013-08-31,5.473e+15,0.001789,2.714e+17
2013-09-01,2013-09-30,5.739e+15,0.001566,2.634e+17
2013-10-01,2013-10-31,6.4e+15,0.001549,2.802e+17
2013-11-01,2013-11-30,5.622e+15,0.001621,2.847e+17
2013-12-01,2013-12-31,5.559e+15,0.001452,2.484e+17
2014-01-01,2014-01-31,3.657e+15,0.001389,2.359e+17
2014-02-01,2014-02-28,7.912e+15,0.001536,2.405e+17
2014-03-01,2014-03-31,4.594e+15,0.001565,2.703e+17
2014-04-01,2014-04-30,3.756e+15,0.001644,2.594e+17
2014-05-01,2014-05-31,3.629e+15,0.001571,2.502e+17
2014-06-01,2014-06-30,3.526e+15,0.001579,2.544e+17
2014-07-01,2014-07-31,2.973e+15,0.001631,2.7e+17
2014-08-01,2014-08-31,4.223e+15,0.001747,2.776e+17
2014-09-01,2014-09-30,6.029e+15,0.001681,2.73e+17
2014-10-01,2014-10-31,5.314e+15,0.001662,2.601e+17
2014-11-01,2014-11-30,5.111e+15,0.001499,2.593e+17
2014-12-01,2014-12-31,5.589e+15,0.001565,2.41e+17
2015-01-01,2015-01-31,5.869e+15,0.001679,2.577e+17
2015-02-01,2015-02-28,3.521e+15,0.001599,2.57e+17
2015-03-01,2015-03-31,4.904e+15,0.001699,2.77e+17
2015-04-01,2015-04-30,5.274e+15,0.001587,2.605e+17
2015-05-01,2015-05-31,4.214e+15,0.00159,2.516e+17
2015-06-01,2015-06-30,3.193e+15,0.001756,2.588e+17
2015-07-01,2015-07-31,3.447e+15,0.001774,2.698e+17
2015-08-01,2015-08-31,3.914e+15,0.001816,2.782e+17
2015-09-01,2015-09-30,5.482e+15,0.001692,2.756e+17
2015-10-01,2015-10-31,5.282e+15,0.001649,2.623e+17
2015-11-01,2015-11-30,4.299e+15,0.001665,2.86e+17
2015-12-01,2015-12-31,4.694e+15,0.001562,2.484e+17
