SiteName,Intermountain UT
ShortName,Intermountain
SiteLongitude,-112.5500
SiteLatitude,39.5500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,2.293e+15,0.003216,2.497e+17
2005-02-01,2005-02-28,3.058e+15,0.003246,2.565e+17
2005-03-01,2005-03-31,2.2e+15,0.00318,2.539e+17
2005-04-01,2005-04-30,2.433e+15,0.002916,2.324e+17
2005-05-01,2005-05-31,2.464e+15,0.003162,2.311e+17
2005-06-01,2005-06-30,2.282e+15,0.003362,2.307e+17
2005-07-01,2005-07-31,3.089e+15,0.003171,2.411e+17
2005-08-01,2005-08-31,3.3e+15,0.00386,2.494e+17
2005-09-01,2005-09-30,2.519e+15,0.003611,2.546e+17
2005-10-01,2005-10-31,3.095e+15,0.003487,2.637e+17
2005-11-01,2005-11-30,2.878e+15,0.002878,2.639e+17
2005-12-01,2005-12-31,2.705e+15,0.003436,2.585e+17
2006-01-01,2006-01-31,1.402e+15,0.003406,2.503e+17
2006-02-01,2006-02-28,3.001e+15,0.003181,2.436e+17
2006-03-01,2006-03-31,3.233e+15,0.003722,2.493e+17
2006-04-01,2006-04-30,1.596e+15,0.003266,2.432e+17
2006-05-01,2006-05-31,2.705e+15,0.003897,2.345e+17
2006-06-01,2006-06-30,3.093e+15,0.003612,2.343e+17
2006-07-01,2006-07-31,3.666e+15,0.003483,2.398e+17
2006-08-01,2006-08-31,2.579e+15,0.003557,2.515e+17
2006-09-01,2006-09-30,3.977e+15,0.003458,2.487e+17
2006-10-01,2006-10-31,3.965e+15,0.003618,2.658e+17
2006-11-01,2006-11-30,3.444e+15,0.00312,2.747e+17
2006-12-01,2006-12-31,1.967e+15,0.003681,2.642e+17
2007-01-01,2007-01-31,2.125e+15,0.003435,2.67e+17
2007-02-01,2007-02-28,2.031e+15,0.004184,2.633e+17
2007-03-01,2007-03-31,2.982e+15,0.003737,2.704e+17
2007-04-01,2007-04-30,1.821e+15,0.003206,2.483e+17
2007-05-01,2007-05-31,2.549e+15,0.003319,2.291e+17
2007-06-01,2007-06-30,3.269e+15,0.003303,2.333e+17
2007-07-01,2007-07-31,3.455e+15,0.003744,2.434e+17
2007-08-01,2007-08-31,2.925e+15,0.003782,2.513e+17
2007-09-01,2007-09-30,3.075e+15,0.003757,2.567e+17
2007-10-01,2007-10-31,2.752e+15,0.003756,2.703e+17
2007-11-01,2007-11-30,2.408e+15,0.003315,2.685e+17
2007-12-01,2007-12-31,1.555e+15,0.003255,2.696e+17
2008-01-01,2008-01-31,3.279e+15,0.004201,2.697e+17
2008-02-01,2008-02-29,2.999e+15,0.003917,2.554e+17
2008-03-01,2008-03-31,2.233e+15,0.003382,2.467e+17
2008-04-01,2008-04-30,1.667e+15,0.003392,2.364e+17
2008-05-01,2008-05-31,3.221e+15,0.003231,2.329e+17
2008-06-01,2008-06-30,3.287e+15,0.003516,2.35e+17
2008-07-01,2008-07-31,3.454e+15,0.005648,2.466e+17
2008-08-01,2008-08-31,2.582e+15,0.003684,2.511e+17
2008-09-01,2008-09-30,3.337e+15,0.003948,2.531e+17
2008-10-01,2008-10-31,3.613e+15,0.01016,2.614e+17
2008-11-01,2008-11-30,2.134e+15,0.003125,2.715e+17
2008-12-01,2008-12-31,2.237e+15,0.003465,2.82e+17
2009-01-01,2009-01-31,1.72e+15,0.003224,2.402e+17
2009-02-01,2009-02-28,2.912e+15,0.005342,2.389e+17
2009-03-01,2009-03-31,1.675e+15,0.003028,2.534e+17
2009-04-01,2009-04-30,2.098e+15,0.003229,2.503e+17
2009-05-01,2009-05-31,2.775e+15,0.003832,2.397e+17
2009-06-01,2009-06-30,2.46e+15,0.003603,2.412e+17
2009-07-01,2009-07-31,2.571e+15,0.003953,2.447e+17
2009-08-01,2009-08-31,2.641e+15,0.004805,2.569e+17
2009-09-01,2009-09-30,2.508e+15,0.00351,2.622e+17
2009-10-01,2009-10-31,3.206e+15,0.003375,2.57e+17
2009-11-01,2009-11-30,2.296e+15,0.003695,2.618e+17
2009-12-01,2009-12-31,1.871e+15,0.00468,2.458e+17
2010-01-01,2010-01-31,1.175e+15,0.003327,2.48e+17
2010-02-01,2010-02-28,2.324e+15,0.003755,2.612e+17
2010-03-01,2010-03-31,2.859e+15,0.003575,2.618e+17
2010-04-01,2010-04-30,2.712e+15,0.003323,2.59e+17
2010-05-01,2010-05-31,2.117e+15,0.006107,2.429e+17
2010-06-01,2010-06-30,2.827e+15,0.00384,2.432e+17
2010-07-01,2010-07-31,3.237e+15,0.005565,2.551e+17
2010-08-01,2010-08-31,2.412e+15,0.005276,2.667e+17
2010-09-01,2010-09-30,2.025e+15,0.003534,2.637e+17
2010-10-01,2010-10-31,2.314e+15,0.002963,2.616e+17
2010-11-01,2010-11-30,2.43e+15,0.003586,2.525e+17
2010-12-01,2010-12-31,1.189e+15,0.003617,2.578e+17
2011-01-01,2011-01-31,1.426e+15,0.004115,2.509e+17
2011-02-01,2011-02-28,1.834e+15,0.004177,2.496e+17
2011-03-01,2011-03-31,2.23e+15,0.003544,2.723e+17
2011-04-01,2011-04-30,1.276e+15,0.004493,2.752e+17
2011-05-01,2011-05-31,2.228e+15,0.004412,2.409e+17
2011-06-01,2011-06-30,2.253e+15,0.00392,2.452e+17
2011-07-01,2011-07-31,2.413e+15,0.003864,2.597e+17
2011-08-01,2011-08-31,2.523e+15,0.004346,2.714e+17
2011-09-01,2011-09-30,3.275e+15,0.003924,2.719e+17
2011-10-01,2011-10-31,3.953e+15,0.003659,2.623e+17
2011-11-01,2011-11-30,1.849e+15,0.004258,2.749e+17
2011-12-01,2011-12-31,2.297e+15,0.004219,2.631e+17
2012-01-01,2012-01-31,1.328e+15,0.004177,2.667e+17
2012-02-01,2012-02-29,1.256e+15,0.003632,2.733e+17
2012-03-01,2012-03-31,1.333e+15,0.003456,2.546e+17
2012-04-01,2012-04-30,1.733e+15,0.003294,2.469e+17
2012-05-01,2012-05-31,1.502e+15,0.003328,2.463e+17
2012-06-01,2012-06-30,2.193e+15,0.003993,2.514e+17
2012-07-01,2012-07-31,2.105e+15,0.003906,2.657e+17
2012-08-01,2012-08-31,3.203e+15,0.004008,2.757e+17
2012-09-01,2012-09-30,2.679e+15,0.003824,2.726e+17
2012-10-01,2012-10-31,3.093e+15,0.003572,2.748e+17
2012-11-01,2012-11-30,2.643e+15,0.003586,2.7e+17
2012-12-01,2012-12-31,1.909e+15,0.00487,2.531e+17
2013-01-01,2013-01-31,3.5e+14,0.003844,2.464e+17
2013-02-01,2013-02-28,8.977e+14,0.003993,2.464e+17
2013-03-01,2013-03-31,1.862e+15,0.003663,2.762e+17
2013-04-01,2013-04-30,1.588e+15,0.003633,2.595e+17
2013-05-01,2013-05-31,2.558e+15,0.00423,2.543e+17
2013-06-01,2013-06-30,2.605e+15,0.006262,2.555e+17
2013-07-01,2013-07-31,2.907e+15,0.00495,2.63e+17
2013-08-01,2013-08-31,2.263e+15,0.004045,2.737e+17
2013-09-01,2013-09-30,2.308e+15,0.00448,2.806e+17
2013-10-01,2013-10-31,3.353e+15,0.005119,2.739e+17
2013-11-01,2013-11-30,2.119e+15,0.003434,2.744e+17
2013-12-01,2013-12-31,1.718e+15,0.003381,2.672e+17
2014-01-01,2014-01-31,2.887e+15,0.00441,2.587e+17
2014-02-01,2014-02-28,2.009e+15,0.00369,2.758e+17
2014-03-01,2014-03-31,2.377e+15,0.006283,2.805e+17
2014-04-01,2014-04-30,1.412e+15,0.005003,2.574e+17
2014-05-01,2014-05-31,2.779e+15,0.003675,2.47e+17
2014-06-01,2014-06-30,2.837e+15,0.003543,2.544e+17
2014-07-01,2014-07-31,2.793e+15,0.005113,2.683e+17
2014-08-01,2014-08-31,2.529e+15,0.006845,2.74e+17
2014-09-01,2014-09-30,2.476e+15,0.004411,2.821e+17
2014-10-01,2014-10-31,2.257e+15,0.003896,2.868e+17
2014-11-01,2014-11-30,2.827e+15,0.004112,2.605e+17
2014-12-01,2014-12-31,2.649e+15,0.003327,2.619e+17
2015-01-01,2015-01-31,1.635e+15,0.0065,2.525e+17
2015-02-01,2015-02-28,1.857e+15,0.004452,2.721e+17
2015-03-01,2015-03-31,1.759e+15,0.004863,2.906e+17
2015-04-01,2015-04-30,1.503e+15,0.003088,2.617e+17
2015-05-01,2015-05-31,2.277e+15,0.003107,2.568e+17
2015-06-01,2015-06-30,2.792e+15,0.005337,2.563e+17
2015-07-01,2015-07-31,1.907e+15,0.004139,2.725e+17
2015-08-01,2015-08-31,2.163e+15,0.004257,2.781e+17
2015-09-01,2015-09-30,2.398e+15,0.00532,2.81e+17
2015-10-01,2015-10-31,2.155e+15,0.005191,2.754e+17
2015-11-01,2015-11-30,1.595e+15,0.002983,2.807e+17
2015-12-01,2015-12-31,1.095e+15,0.003047,2.731e+17
