SiteName,Gen J M Gavin OH
ShortName,JM Gavin
SiteLongitude,-80.4500
SiteLatitude,40.5500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,8.098e+15,0.001376,2.458e+17
2005-02-01,2005-02-28,1.311e+16,0.001368,2.359e+17
2005-03-01,2005-03-31,1.302e+16,0.001298,2.384e+17
2005-04-01,2005-04-30,1.192e+16,0.001315,2.298e+17
2005-05-01,2005-05-31,7.865e+15,0.001316,2.29e+17
2005-06-01,2005-06-30,9.268e+15,0.001398,2.315e+17
2005-07-01,2005-07-31,5.665e+15,0.00146,2.431e+17
2005-08-01,2005-08-31,7.022e+15,0.001496,2.476e+17
2005-09-01,2005-09-30,8.185e+15,0.001429,2.527e+17
2005-10-01,2005-10-31,1.158e+16,0.001365,2.636e+17
2005-11-01,2005-11-30,1.096e+16,0.001294,2.626e+17
2005-12-01,2005-12-31,9.76e+15,0.001307,2.346e+17
2006-01-01,2006-01-31,9.771e+15,0.001389,2.492e+17
2006-02-01,2006-02-28,1.044e+16,0.001372,2.372e+17
2006-03-01,2006-03-31,8.444e+15,0.001389,2.499e+17
2006-04-01,2006-04-30,1.092e+16,0.001425,2.456e+17
2006-05-01,2006-05-31,7.941e+15,0.00138,2.361e+17
2006-06-01,2006-06-30,5.296e+15,0.00142,2.334e+17
2006-07-01,2006-07-31,4.271e+15,0.001451,2.379e+17
2006-08-01,2006-08-31,6.326e+15,0.001525,2.497e+17
2006-09-01,2006-09-30,6.985e+15,0.001405,2.515e+17
2006-10-01,2006-10-31,8.027e+15,0.001354,2.604e+17
2006-11-01,2006-11-30,9.489e+15,0.001362,2.797e+17
2006-12-01,2006-12-31,9.992e+15,0.001284,2.602e+17
2007-01-01,2007-01-31,6.911e+15,0.00145,2.576e+17
2007-02-01,2007-02-28,1.638e+16,0.001403,2.547e+17
2007-03-01,2007-03-31,9.16e+15,0.001379,2.62e+17
2007-04-01,2007-04-30,8.351e+15,0.001345,2.384e+17
2007-05-01,2007-05-31,8.736e+15,0.00135,2.322e+17
2007-06-01,2007-06-30,5.584e+15,0.001411,2.32e+17
2007-07-01,2007-07-31,4.481e+15,0.001443,2.416e+17
2007-08-01,2007-08-31,8.161e+15,0.001506,2.551e+17
2007-09-01,2007-09-30,8.658e+15,0.001462,2.553e+17
2007-10-01,2007-10-31,1.123e+16,0.001397,2.645e+17
2007-11-01,2007-11-30,1.155e+16,0.00142,2.731e+17
2007-12-01,2007-12-31,8.638e+15,0.001241,2.437e+17
2008-01-01,2008-01-31,9.675e+15,0.001493,2.647e+17
2008-02-01,2008-02-29,7.388e+15,0.001429,2.631e+17
2008-03-01,2008-03-31,8.243e+15,0.001299,2.372e+17
2008-04-01,2008-04-30,9.896e+15,0.001334,2.315e+17
2008-05-01,2008-05-31,5.815e+15,0.001402,2.332e+17
2008-06-01,2008-06-30,4.132e+15,0.001452,2.317e+17
