SiteName,Jim Bridger WY
ShortName,Jim Bridger
SiteLongitude,-108.6500
SiteLatitude,41.7500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,2.228e+15,0.006694,2.486e+17
2005-02-01,2005-02-28,2.952e+15,0.00669,2.605e+17
2005-03-01,2005-03-31,1.797e+15,0.006288,2.607e+17
2005-04-01,2005-04-30,1.737e+15,0.005994,2.375e+17
2005-05-01,2005-05-31,1.788e+15,0.005712,2.252e+17
2005-06-01,2005-06-30,1.983e+15,0.006907,2.287e+17
2005-07-01,2005-07-31,2.132e+15,0.006329,2.393e+17
2005-08-01,2005-08-31,2.777e+15,0.006645,2.49e+17
2005-09-01,2005-09-30,2.59e+15,0.006321,2.539e+17
2005-10-01,2005-10-31,2.922e+15,0.006249,2.722e+17
2005-11-01,2005-11-30,1.866e+15,0.006063,2.676e+17
2005-12-01,2005-12-31,2.204e+15,0.006342,2.631e+17
2006-01-01,2006-01-31,1.611e+15,0.006531,2.543e+17
2006-02-01,2006-02-28,1.707e+15,0.006152,2.485e+17
2006-03-01,2006-03-31,2.056e+15,0.005896,2.498e+17
2006-04-01,2006-04-30,1.489e+15,0.006165,2.426e+17
2006-05-01,2006-05-31,1.349e+15,0.006495,2.323e+17
2006-06-01,2006-06-30,1.795e+15,0.005964,2.284e+17
2006-07-01,2006-07-31,2.401e+15,0.006251,2.339e+17
2006-08-01,2006-08-31,2.529e+15,0.006634,2.476e+17
2006-09-01,2006-09-30,2.573e+15,0.006448,2.52e+17
2006-10-01,2006-10-31,2.021e+15,0.006078,2.679e+17
2006-11-01,2006-11-30,2.078e+15,0.006154,2.786e+17
2006-12-01,2006-12-31,1.292e+15,0.00608,2.671e+17
2007-01-01,2007-01-31,1.38e+15,0.006774,2.673e+17
2007-02-01,2007-02-28,1.255e+15,0.00641,2.643e+17
2007-03-01,2007-03-31,1.915e+15,0.0067,2.766e+17
2007-04-01,2007-04-30,1.259e+15,0.006442,2.518e+17
2007-05-01,2007-05-31,1.784e+15,0.005933,2.312e+17
2007-06-01,2007-06-30,2.365e+15,0.006318,2.295e+17
2007-07-01,2007-07-31,2.066e+15,0.006524,2.403e+17
2007-08-01,2007-08-31,2.252e+15,0.006485,2.511e+17
2007-09-01,2007-09-30,2.21e+15,0.006219,2.574e+17
2007-10-01,2007-10-31,1.92e+15,0.006597,2.715e+17
2007-11-01,2007-11-30,1.672e+15,0.006506,2.705e+17
2007-12-01,2007-12-31,1.109e+15,0.005907,2.697e+17
2008-01-01,2008-01-31,1.33e+15,0.006615,2.701e+17
2008-02-01,2008-02-29,1.122e+15,0.006609,2.57e+17
2008-03-01,2008-03-31,1.285e+15,0.00572,2.439e+17
2008-04-01,2008-04-30,1.453e+15,0.005826,2.327e+17
2008-05-01,2008-05-31,1.163e+15,0.005556,2.294e+17
2008-06-01,2008-06-30,1.509e+15,0.006163,2.323e+17
2008-07-01,2008-07-31,1.453e+15,0.00673,2.399e+17
2008-08-01,2008-08-31,1.687e+15,0.006231,2.493e+17
2008-09-01,2008-09-30,2.26e+15,0.005889,2.552e+17
2008-10-01,2008-10-31,1.872e+15,0.005807,2.631e+17
2008-11-01,2008-11-30,1.407e+15,0.005949,2.743e+17
2008-12-01,2008-12-31,8.755e+14,0.006316,2.794e+17
2009-01-01,2009-01-31,1.224e+15,0.006226,2.486e+17
2009-02-01,2009-02-28,1.347e+15,0.005783,2.3e+17
2009-03-01,2009-03-31,1.431e+15,0.005994,2.485e+17
2009-04-01,2009-04-30,9.462e+14,0.005543,2.546e+17
2009-05-01,2009-05-31,1.657e+15,0.005806,2.378e+17
2009-06-01,2009-06-30,1.556e+15,0.006528,2.379e+17
2009-07-01,2009-07-31,1.327e+15,0.006514,2.425e+17
2009-08-01,2009-08-31,1.848e+15,0.006863,2.529e+17
2009-09-01,2009-09-30,1.939e+15,0.006519,2.624e+17
2009-10-01,2009-10-31,2.128e+15,0.007126,2.612e+17
2009-11-01,2009-11-30,1.489e+15,0.005828,2.674e+17
2009-12-01,2009-12-31,1.377e+15,0.006215,2.455e+17
2010-01-01,2010-01-31,1.324e+15,0.006887,2.437e+17
2010-02-01,2010-02-28,1.485e+15,0.006547,2.525e+17
2010-03-01,2010-03-31,1.236e+15,0.006153,2.622e+17
2010-04-01,2010-04-30,1.314e+15,0.006313,2.558e+17
2010-05-01,2010-05-31,1.031e+15,0.006801,2.448e+17
2010-06-01,2010-06-30,1.321e+15,0.00662,2.436e+17
2010-07-01,2010-07-31,1.225e+15,0.006574,2.559e+17
2010-08-01,2010-08-31,1.491e+15,0.007623,2.621e+17
2010-09-01,2010-09-30,1.452e+15,0.006517,2.585e+17
2010-10-01,2010-10-31,1.844e+15,0.005963,2.615e+17
2010-11-01,2010-11-30,1.374e+15,0.006399,2.468e+17
2010-12-01,2010-12-31,9.463e+14,0.006417,2.546e+17
2011-01-01,2011-01-31,7.649e+14,0.006891,2.609e+17
2011-02-01,2011-02-28,9.43e+14,0.006758,2.621e+17
2011-03-01,2011-03-31,9.945e+14,0.006042,2.653e+17
2011-04-01,2011-04-30,1.367e+15,0.006012,2.544e+17
2011-05-01,2011-05-31,8.502e+14,0.006049,2.411e+17
2011-06-01,2011-06-30,1.224e+15,0.00622,2.426e+17
2011-07-01,2011-07-31,1.285e+15,0.007017,2.559e+17
2011-08-01,2011-08-31,1.337e+15,0.006971,2.685e+17
2011-09-01,2011-09-30,1.577e+15,0.006249,2.682e+17
2011-10-01,2011-10-31,1.536e+15,0.006604,2.721e+17
2011-11-01,2011-11-30,1.506e+15,0.006267,2.694e+17
2011-12-01,2011-12-31,1.54e+15,0.006117,2.641e+17
2012-01-01,2012-01-31,1.063e+15,0.007313,2.663e+17
2012-02-01,2012-02-29,9.658e+14,0.006107,2.666e+17
2012-03-01,2012-03-31,1.354e+15,0.006232,2.53e+17
2012-04-01,2012-04-30,8.735e+14,0.005976,2.434e+17
2012-05-01,2012-05-31,9.308e+14,0.00651,2.47e+17
2012-06-01,2012-06-30,1.191e+15,0.006384,2.479e+17
2012-07-01,2012-07-31,1.03e+15,0.006786,2.583e+17
2012-08-01,2012-08-31,1.651e+15,0.006961,2.698e+17
2012-09-01,2012-09-30,1.809e+15,0.006553,2.788e+17
2012-10-01,2012-10-31,1.739e+15,0.005915,2.658e+17
2012-11-01,2012-11-30,1.325e+15,0.00578,2.424e+17
2012-12-01,2012-12-31,1.046e+15,0.006877,2.536e+17
2013-01-01,2013-01-31,7.944e+14,0.007076,2.416e+17
2013-02-01,2013-02-28,5.854e+14,0.006649,2.636e+17
2013-03-01,2013-03-31,9.742e+14,0.006808,2.85e+17
2013-04-01,2013-04-30,1.015e+15,0.006309,2.561e+17
2013-05-01,2013-05-31,1.076e+15,0.006293,2.528e+17
2013-06-01,2013-06-30,1.225e+15,0.006825,2.502e+17
2013-07-01,2013-07-31,1.482e+15,0.006745,2.623e+17
2013-08-01,2013-08-31,1.58e+15,0.007093,2.74e+17
2013-09-01,2013-09-30,1.496e+15,0.006316,2.789e+17
2013-10-01,2013-10-31,1.993e+15,0.006316,2.845e+17
2013-11-01,2013-11-30,1.582e+15,0.006515,2.741e+17
2013-12-01,2013-12-31,1.386e+15,0.007507,2.75e+17
2014-01-01,2014-01-31,9.927e+14,0.007162,2.532e+17
2014-02-01,2014-02-28,9.156e+14,0.006702,2.59e+17
2014-03-01,2014-03-31,1.102e+15,0.006815,2.876e+17
2014-04-01,2014-04-30,1.032e+15,0.006429,2.584e+17
