SiteName,Johnsonville TN
ShortName,Johnsonville
SiteLongitude,-87.9000
SiteLatitude,36.0500
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,7.819e+15,0.001291,2.445e+17
2005-02-01,2005-02-28,6.071e+15,0.001252,2.428e+17
2005-03-01,2005-03-31,5.623e+15,0.001235,2.442e+17
2005-04-01,2005-04-30,6.547e+15,0.001238,2.327e+17
2005-05-01,2005-05-31,4.078e+15,0.001252,2.355e+17
2005-06-01,2005-06-30,4.846e+15,0.00132,2.379e+17
2005-07-01,2005-07-31,3.878e+15,0.001378,2.517e+17
2005-08-01,2005-08-31,5.87e+15,0.0014,2.539e+17
2005-09-01,2005-09-30,4.731e+15,0.001312,2.534e+17
2005-10-01,2005-10-31,5.773e+15,0.001244,2.571e+17
2005-11-01,2005-11-30,4.531e+15,0.001189,2.511e+17
2005-12-01,2005-12-31,5.353e+15,0.001216,2.464e+17
2006-01-01,2006-01-31,4.231e+15,0.001261,2.409e+17
2006-02-01,2006-02-28,7.126e+15,0.001261,2.324e+17
2006-03-01,2006-03-31,7.489e+15,0.001341,2.482e+17
2006-04-01,2006-04-30,5.505e+15,0.001307,2.454e+17
2006-05-01,2006-05-31,4.571e+15,0.001286,2.38e+17
2006-06-01,2006-06-30,3.179e+15,0.001324,2.408e+17
2006-07-01,2006-07-31,3.911e+15,0.001371,2.451e+17
2006-08-01,2006-08-31,5.197e+15,0.001418,2.536e+17
2006-09-01,2006-09-30,4.515e+15,0.001297,2.512e+17
2006-10-01,2006-10-31,3.917e+15,0.001232,2.562e+17
2006-11-01,2006-11-30,5.318e+15,0.001266,2.687e+17
2006-12-01,2006-12-31,5.316e+15,0.00119,2.522e+17
2007-01-01,2007-01-31,3.884e+15,0.001264,2.509e+17
2007-02-01,2007-02-28,6.158e+15,0.001264,2.51e+17
2007-03-01,2007-03-31,4.338e+15,0.001265,2.607e+17
2007-04-01,2007-04-30,4.77e+15,0.001289,2.481e+17
2007-05-01,2007-05-31,4.152e+15,0.001269,2.368e+17
2007-06-01,2007-06-30,3.749e+15,0.001338,2.374e+17
2007-07-01,2007-07-31,3.377e+15,0.001385,2.529e+17
2007-08-01,2007-08-31,4.645e+15,0.001393,2.604e+17
2007-09-01,2007-09-30,4.933e+15,0.001325,2.585e+17
2007-10-01,2007-10-31,5.991e+15,0.001284,2.639e+17
2007-11-01,2007-11-30,6.849e+15,0.001263,2.661e+17
2007-12-01,2007-12-31,4.307e+15,0.001196,2.491e+17
2008-01-01,2008-01-31,4.434e+15,0.001349,2.596e+17
2008-02-01,2008-02-29,5.092e+15,0.001289,2.478e+17
2008-03-01,2008-03-31,3.85e+15,0.001235,2.365e+17
2008-04-01,2008-04-30,4.126e+15,0.001269,2.343e+17
2008-05-01,2008-05-31,2.631e+15,0.001293,2.412e+17
2008-06-01,2008-06-30,2.395e+15,0.001334,2.431e+17
2008-07-01,2008-07-31,3.687e+15,0.001385,2.52e+17
2008-08-01,2008-08-31,3.934e+15,0.001408,2.592e+17
2008-09-01,2008-09-30,3.898e+15,0.001296,2.58e+17
2008-10-01,2008-10-31,3.985e+15,0.001252,2.579e+17
2008-11-01,2008-11-30,4.158e+15,0.00123,2.633e+17
2008-12-01,2008-12-31,4.184e+15,0.001194,2.506e+17
2009-01-01,2009-01-31,4.427e+15,0.001226,2.309e+17
2009-02-01,2009-02-28,4.756e+15,0.001239,2.306e+17
2009-03-01,2009-03-31,3.655e+15,0.001238,2.402e+17
2009-04-01,2009-04-30,3.994e+15,0.001332,2.504e+17
2009-05-01,2009-05-31,3.612e+15,0.001324,2.477e+17
2009-06-01,2009-06-30,2.716e+15,0.00138,2.492e+17
2009-07-01,2009-07-31,3.312e+15,0.001382,2.544e+17
2009-08-01,2009-08-31,3.278e+15,0.001418,2.644e+17
