SiteName,Joppa Steam IL
ShortName,Joppa Steam
SiteLongitude,-88.7500
SiteLatitude,37.2000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,6.006e+15,0.001303,2.509e+17
2005-02-01,2005-02-28,7.801e+15,0.001235,2.493e+17
2005-03-01,2005-03-31,6.615e+15,0.001207,2.44e+17
2005-04-01,2005-04-30,7.821e+15,0.001199,2.323e+17
2005-05-01,2005-05-31,4.251e+15,0.001229,2.355e+17
2005-06-01,2005-06-30,4.534e+15,0.001293,2.368e+17
2005-07-01,2005-07-31,4.621e+15,0.00135,2.489e+17
2005-08-01,2005-08-31,5.804e+15,0.001379,2.537e+17
2005-09-01,2005-09-30,5.621e+15,0.001287,2.551e+17
2005-10-01,2005-10-31,6.501e+15,0.001252,2.613e+17
2005-11-01,2005-11-30,5.179e+15,0.001171,2.587e+17
2005-12-01,2005-12-31,6.048e+15,0.001228,2.508e+17
2006-01-01,2006-01-31,4.842e+15,0.001202,2.421e+17
2006-02-01,2006-02-28,7.066e+15,0.001249,2.349e+17
2006-03-01,2006-03-31,5.182e+15,0.001271,2.527e+17
2006-04-01,2006-04-30,6.424e+15,0.001311,2.479e+17
2006-05-01,2006-05-31,3.812e+15,0.001276,2.383e+17
2006-06-01,2006-06-30,3.387e+15,0.001291,2.386e+17
2006-07-01,2006-07-31,4.292e+15,0.001325,2.427e+17
2006-08-01,2006-08-31,5.115e+15,0.00137,2.536e+17
2006-09-01,2006-09-30,6.159e+15,0.001269,2.509e+17
2006-10-01,2006-10-31,4.83e+15,0.001225,2.556e+17
2006-11-01,2006-11-30,7.196e+15,0.001251,2.748e+17
2006-12-01,2006-12-31,5.952e+15,0.001191,2.617e+17
2007-01-01,2007-01-31,4.67e+15,0.001283,2.571e+17
2007-02-01,2007-02-28,5.975e+15,0.001239,2.53e+17
2007-03-01,2007-03-31,5.484e+15,0.001255,2.63e+17
2007-04-01,2007-04-30,5.517e+15,0.001235,2.461e+17
2007-05-01,2007-05-31,4.954e+15,0.001248,2.378e+17
2007-06-01,2007-06-30,4.49e+15,0.001287,2.36e+17
2007-07-01,2007-07-31,3.886e+15,0.001354,2.501e+17
2007-08-01,2007-08-31,4.784e+15,0.001368,2.581e+17
2007-09-01,2007-09-30,5.859e+15,0.001307,2.589e+17
2007-10-01,2007-10-31,5.947e+15,0.001256,2.647e+17
2007-11-01,2007-11-30,8.054e+15,0.001266,2.672e+17
2007-12-01,2007-12-31,6.212e+15,0.001161,2.497e+17
2008-01-01,2008-01-31,4.858e+15,0.001341,2.657e+17
2008-02-01,2008-02-29,5.011e+15,0.001273,2.495e+17
