SiteName,Laramie River WY
ShortName,Laramie R
SiteLongitude,-104.8500
SiteLatitude,42.1000
StartDate,EndDate,BEHRNO2,O3_VMR,O3_tVCD
2005-01-01,2005-01-31,2.514e+15,0.003457,2.467e+17
2005-02-01,2005-02-28,2.44e+15,0.003417,2.578e+17
2005-03-01,2005-03-31,1.91e+15,0.003104,2.564e+17
2005-04-01,2005-04-30,2.047e+15,0.00292,2.368e+17
2005-05-01,2005-05-31,1.826e+15,0.003009,2.298e+17
2005-06-01,2005-06-30,2.063e+15,0.003098,2.272e+17
2005-07-01,2005-07-31,1.99e+15,0.003388,2.358e+17
2005-08-01,2005-08-31,2.042e+15,0.003457,2.45e+17
2005-09-01,2005-09-30,2.152e+15,0.003287,2.569e+17
2005-10-01,2005-10-31,2.813e+15,0.003014,2.701e+17
2005-11-01,2005-11-30,2.353e+15,0.002972,2.708e+17
2005-12-01,2005-12-31,1.903e+15,0.003027,2.595e+17
2006-01-01,2006-01-31,1.816e+15,0.003593,2.601e+17
2006-02-01,2006-02-28,1.317e+15,0.003164,2.504e+17
2006-03-01,2006-03-31,2.225e+15,0.002916,2.548e+17
2006-04-01,2006-04-30,2.274e+15,0.003008,2.434e+17
2006-05-01,2006-05-31,1.837e+15,0.003119,2.352e+17
2006-06-01,2006-06-30,2.423e+15,0.002873,2.302e+17
2006-07-01,2006-07-31,2.798e+15,0.00329,2.362e+17
2006-08-01,2006-08-31,2.112e+15,0.003218,2.504e+17
2006-09-01,2006-09-30,2.049e+15,0.00294,2.516e+17
2006-10-01,2006-10-31,2.845e+15,0.002855,2.678e+17
2006-11-01,2006-11-30,3.091e+15,0.003101,2.794e+17
2006-12-01,2006-12-31,1.786e+15,0.003363,2.719e+17
2007-01-01,2007-01-31,1.295e+15,0.003825,2.671e+17
2007-02-01,2007-02-28,2.34e+15,0.00338,2.687e+17
2007-03-01,2007-03-31,1.659e+15,0.003268,2.759e+17
2007-04-01,2007-04-30,2.081e+15,0.002784,2.482e+17
2007-05-01,2007-05-31,1.927e+15,0.002658,2.297e+17
2007-06-01,2007-06-30,1.888e+15,0.003481,2.284e+17
2007-07-01,2007-07-31,2.502e+15,0.003708,2.433e+17
2007-08-01,2007-08-31,2.397e+15,0.003339,2.508e+17
2007-09-01,2007-09-30,2.133e+15,0.003134,2.562e+17
2007-10-01,2007-10-31,2.221e+15,0.003121,2.729e+17
2007-11-01,2007-11-30,2.184e+15,0.003121,2.726e+17
2007-12-01,2007-12-31,1.207e+15,0.002976,2.677e+17
2008-01-01,2008-01-31,1.224e+15,0.00405,2.644e+17
2008-02-01,2008-02-29,1.83e+15,0.003463,2.529e+17
2008-03-01,2008-03-31,2.076e+15,0.00318,2.465e+17
